sid,area,power
817,19677.72,14157.19
416,19579.79,15013.73
1714,19216.22,13722.36
709,18422.07,14924.18
169,19305.66,15397.66
464,20244.27,15318.48
1934,17548.57,14026.47
960,19174.11,13783.8
1860,19542.81,15061.97
1347,18593.76,14085.29
1346,18298.18,13912.47
162,20528.53,14792.45
1974,18158.87,14575.51
420,20778.54,14618.45
524,18547.85,14306.84
806,18786.81,15046.61
1821,18903.72,14838.78
1632,18770.46,15044.83
1721,18060.15,14623.13
1419,18827.11,14673.31
1225,18928.66,14797.51
867,18362.16,14365.95
161,20265.81,15282.42
226,18203.42,14615.76
392,20323.51,14961.98
313,18897.82,15193.71
707,17645.22,14787.87
1625,18896.74,14572.63
410,19171.82,15446.32
260,19239.49,14404.84
343,17978.65,14388.98
411,19345.16,14248.78
1385,18142.2,14492.5
154,20890.48,15581.08
1412,18652.31,13994.69
1153,19895.16,15040.72
1254,18635.75,15363.17
1761,18675.02,14700.58
91,20212.96,15176.8
1542,18606.89,14034.6
1012,18504.11,14236.68
256,18318.78,15159.37
968,17900.7,14527.34
477,18122.44,15303.64
853,18103.51,14167.88
70,18262.69,14574.54
1211,20098.54,15193.78
1284,19232.64,14491.71
1257,19300.39,14610.82
1491,19095.63,14460.17
1059,19830.59,14321.54
909,19478.75,14678.39
273,19267.35,15183.54
1089,18161.35,14283.31
1587,20267.76,14596.13
1,19372.81,15275.48
1607,18564.14,14870.0
1764,18901.22,14990.6
994,18051.26,14034.15
1631,18589.08,14845.51
380,18311.99,14810.62
79,20555.48,15488.36
1426,19442.54,13886.3
301,18748.96,14802.04
1185,20596.51,14870.5
1865,19822.91,14505.53
1272,17811.32,14489.39
61,20842.85,14960.96
1334,18330.65,14690.68
1408,19159.46,15071.02
1275,20099.52,15265.51
1073,17934.31,14880.48
1751,19442.67,14543.61
1726,18955.29,14222.84
1482,20091.0,15218.03
310,20743.12,13345.31
1049,20071.3,14641.17
1300,19600.6,15545.65
600,19149.13,15480.05
1130,18198.23,14436.36
962,19824.87,14020.63
254,18432.61,15282.79
276,18938.2,14607.73
772,19358.22,15065.54
1019,19227.72,14184.26
513,19432.84,15263.61
658,20030.18,14468.97
696,20017.46,14590.02
99,19898.53,14722.81
453,19136.08,14316.36
1658,18983.41,14973.27
472,18547.57,13831.85
662,20387.01,15721.23
1260,20269.04,13733.15
366,19873.38,14843.89
1415,19137.89,14889.58
2,17819.07,14206.98
1176,20136.71,15377.32
263,20399.58,15074.47
988,20122.53,13271.07
112,19256.25,14989.38
219,18789.4,13663.91
314,18412.14,14107.22
1639,20131.9,14582.02
1112,18297.35,13906.77
1943,19899.83,15149.29
1507,18631.13,13978.03
1389,19942.24,14902.65
1088,19958.94,14966.97
899,18452.68,14881.0
1603,20499.57,14448.72
466,18272.47,14640.25
770,20416.82,15408.82
449,18234.91,14393.62
1516,17209.09,14180.01
1237,18311.8,14385.75
500,20212.84,15561.98
1838,20830.51,15337.6
249,19224.71,15516.85
1873,19302.35,14818.17
1113,19579.22,15083.9
1263,20239.99,14604.54
1249,18210.77,14546.07
1291,18673.33,14918.41
711,18629.88,14072.76
26,19341.94,14870.08
222,17790.31,14244.64
405,21049.13,13369.78
1696,20183.42,15721.66
1064,19624.91,14233.61
1643,19656.19,14344.88
1152,18777.8,13930.55
484,17907.84,13930.73
1630,19535.56,14740.45
1460,19063.29,13924.11
1964,18573.84,14888.91
481,18643.4,14598.9
956,18779.41,14706.43
741,17303.6,14477.01
1194,18110.27,14155.74
1586,17860.77,14112.01
447,19916.43,14745.22
764,19366.54,14324.92
1665,18209.03,15018.3
1996,20500.54,14794.19
634,19030.77,14492.62
969,18608.49,14175.08
1506,20214.74,15431.97
1241,19239.24,15107.66
1992,18636.64,14977.0
1933,18200.52,13916.17
835,19458.22,14746.57
788,19886.67,14999.37
739,20526.82,14573.18
846,18037.21,13987.8
1610,18386.63,15240.89
365,18533.19,14701.9
1135,20687.1,14975.78
622,18779.96,15058.34
1723,19942.36,15129.19
948,20328.44,14976.04
1902,19910.02,15244.1
387,20264.31,13539.23
814,18403.41,14390.02
1951,18777.04,14348.99
412,19725.1,14084.65
704,19246.26,14157.72
1315,17742.7,14683.19
1158,17485.01,14147.11
761,19041.36,15326.26
337,19451.83,15023.08
1896,18926.72,13495.8
502,19941.03,14179.98
727,18237.41,14314.79
1083,17927.87,14777.75
1570,18989.88,14485.63
1720,18980.5,14771.55
1438,20087.93,15471.16
1484,18078.12,14388.22
666,17799.59,13808.36
712,18129.16,14141.14
708,20134.56,14450.59
511,19054.67,13628.64
338,17972.88,13971.63
1247,18676.89,14467.34
25,19919.06,14853.31
1311,18207.83,14495.7
1563,19550.05,13797.75
803,19988.15,14573.14
626,17714.38,14287.27
885,19971.41,14461.13
1379,18178.88,14748.66
508,18476.55,15258.52
563,18907.84,14553.2
407,20657.66,15165.68
1842,20286.09,14977.54
1261,18318.63,14915.3
1767,19768.27,14989.45
1093,17200.21,13894.12
465,19372.66,14975.37
858,18107.48,14995.47
1645,18578.95,13961.0
116,21134.73,13514.91
514,18310.94,14606.07
1982,18105.19,14824.64
188,19008.42,15226.83
921,19663.22,13883.76
737,17164.02,13758.37
526,21157.89,15473.42
1463,19719.99,14864.37
1917,18675.47,14803.54
157,19735.83,14953.83
1662,19581.01,15251.27
1377,19307.76,14060.54
1596,20627.43,14723.75
234,18517.11,14692.12
992,18636.8,14411.99
1687,18986.53,14540.02
1624,19741.53,14813.99
762,20216.07,14468.01
990,19474.57,14212.46
1175,18790.77,14727.39
593,20040.89,15510.9
265,18910.65,14393.72
1906,19922.56,14696.81
1166,18363.62,14918.15
686,19335.54,14993.88
1635,18601.16,15058.98
322,19740.45,13833.16
418,18952.16,14891.52
1382,18282.51,14496.98
958,21273.15,15525.15
794,19529.06,14696.76
636,19692.35,14432.17
1231,20556.64,13379.76
295,18742.82,14146.93
1770,17965.61,14310.84
213,19538.49,13614.16
1689,18649.66,14747.69
398,18313.49,14585.28
1931,19746.94,14666.71
1462,19717.85,14192.81
278,18654.76,14854.82
1366,20001.97,14845.25
824,18990.99,15190.4
290,18564.85,14697.06
1622,19999.75,14719.75
1075,19379.36,14474.85
1281,19119.52,15011.02
1155,19645.74,13281.15
596,19054.02,14669.8
1042,19556.11,13852.47
765,19158.38,14946.48
966,20906.06,15054.21
128,18661.54,14644.1
980,20487.49,14558.07
641,20038.09,14672.17
560,17919.42,14140.52
1815,19899.1,14117.9
42,19814.43,13501.52
1327,18824.61,13612.82
1735,18640.69,14683.51
1004,19064.82,14416.13
698,17769.96,14619.85
1292,18252.24,13845.54
388,19873.39,14305.9
1404,18167.24,13107.91
153,19816.4,15191.02
123,18589.42,13603.61
368,18994.39,15066.35
1312,20175.65,14862.82
884,19843.75,14384.81
1277,20289.37,14614.76
1994,20112.08,14437.03
1712,20413.7,13686.75
44,19853.98,14011.0
80,18411.19,14656.54
572,18084.92,14410.54
1626,17746.22,13289.65
236,17509.33,13653.23
951,17927.77,14464.55
293,18768.66,14422.16
528,18644.62,14849.71
1769,18086.12,14760.39
233,18571.54,14705.82
1997,17977.81,14037.54
