sid,area,power
420,24182.74,20279.48
524,23130.97,20171.08
416,21802.63,19042.76
1714,22409.0,19547.88
817,22341.44,19136.08
960,22102.96,18809.36
1934,22634.5,20657.33
709,21683.46,19559.71
169,22880.14,19981.35
1346,23207.15,20761.62
464,23328.09,19904.68
1347,22518.83,19593.49
162,23019.41,19752.8
1974,21543.17,19271.28
1860,22314.27,19649.39
1632,22481.47,19760.61
806,23214.89,20337.4
1821,22927.16,19954.56
1721,22967.66,20107.84
1419,24067.08,20267.22
1225,23179.9,20589.78
867,22888.46,19986.72
1412,22527.19,19604.44
392,23734.94,20351.33
1625,21655.83,19000.92
410,22205.59,19651.97
260,23883.57,19799.06
313,21849.1,19411.11
154,23350.58,20279.75
411,22906.05,19492.76
161,23365.98,20120.84
1385,23005.11,20309.32
1542,22081.08,19149.21
343,23052.17,19546.57
226,21119.84,18596.0
707,22142.62,19391.99
1153,24301.25,21115.44
91,24234.72,20961.87
1761,23630.36,20057.86
1254,21533.39,19019.62
1012,23534.59,20129.19
853,20938.55,18902.74
909,23735.86,20878.43
70,21879.07,19559.67
256,22003.79,19156.57
1491,23188.34,20176.25
1257,22822.4,19749.59
1284,23651.17,20495.99
1587,23058.0,19927.22
968,21653.44,18196.65
1059,23963.9,20661.51
273,22701.53,19964.34
477,20620.07,18709.96
1211,23029.23,19791.34
1,23593.69,20341.16
1089,22166.76,19101.01
994,21329.0,18753.63
1607,22737.34,19789.68
1764,22310.66,19475.17
1631,22392.55,19845.03
79,23213.87,20134.25
1426,22999.27,19996.58
380,21556.15,18617.63
1865,23071.45,19810.81
1334,22149.12,19454.61
1185,23195.11,19644.62
61,24238.31,20232.18
1482,23199.04,19911.72
1049,23683.39,20517.23
1408,23020.8,19879.45
310,22437.9,18796.84
1751,23105.53,19984.75
301,21906.05,18922.76
1275,22891.44,19613.41
1726,23057.58,19687.0
1272,21933.32,19429.85
1300,23428.8,20575.48
1073,22969.63,20154.3
600,21822.45,18810.54
1130,22291.56,18966.4
962,23819.26,20440.08
1019,22870.55,19628.53
276,23860.41,20744.69
254,21403.9,18900.46
99,21493.11,18529.46
772,22838.23,19725.66
658,23941.02,19995.94
472,21806.95,18507.98
453,23630.39,20781.8
513,23181.57,20315.56
1260,22905.63,19644.66
1658,21472.5,18886.07
696,21571.96,18345.76
2,23074.83,19614.54
366,21863.66,18816.44
1415,22120.52,19357.34
662,23747.99,20047.98
988,23757.0,19529.09
263,23412.4,19551.18
1176,22934.65,20343.37
112,24123.95,20216.96
219,22089.12,19508.05
1507,22519.74,19721.05
1639,23177.47,19082.12
1389,22193.52,19356.9
314,23253.46,19934.35
1112,21633.46,19099.27
1943,23835.44,20248.12
1603,23818.64,20190.02
1088,23401.52,20352.96
770,22672.73,19354.46
449,23137.55,19875.06
899,22077.34,19357.94
466,23127.28,20180.33
1516,20782.6,18691.85
500,22805.5,20091.81
1237,22009.73,19499.32
1838,23362.75,19771.98
1873,24440.47,21113.02
249,22569.8,19642.5
1263,23921.6,20260.67
