sid,area,power
1714,32163.86,16181.31
420,32954.09,16527.51
416,32674.64,15834.07
960,32051.38,15265.25
169,32517.78,15996.49
817,32666.39,16604.29
1934,31913.64,14963.81
1347,32881.02,16597.98
524,32655.73,15525.73
709,32728.26,15843.1
1974,33302.68,16661.11
464,34112.15,17209.28
162,33142.32,16236.88
1860,32900.37,16121.4
1346,32763.86,16514.64
806,33663.76,16276.48
1821,33552.3,16554.1
1419,32780.76,16607.65
1721,33114.13,16354.87
1632,33010.66,16508.38
161,32364.26,16264.06
867,31942.2,15610.11
1225,33244.37,16918.78
392,32776.41,15982.7
1625,31882.23,14930.84
411,32782.33,15460.34
410,33148.33,16616.67
154,32939.09,16605.05
1412,31982.47,15503.86
260,33935.67,17002.86
313,32648.28,15849.3
1385,33129.46,16085.0
707,33384.2,16302.75
1153,33176.62,16725.62
91,33355.1,16737.74
343,32484.18,16047.14
1542,32459.69,15983.95
1254,33422.28,17355.13
226,32986.21,16388.57
1761,32852.41,16625.37
1012,32415.81,16339.83
256,34067.8,16951.63
853,32584.6,15835.15
1491,33036.54,16510.8
70,33030.33,15194.69
1257,32321.12,14995.61
909,33379.61,16428.01
1059,32446.63,16236.69
1284,32947.57,16172.11
1587,32110.98,15630.36
477,33698.74,16846.01
968,33540.57,16346.12
1211,33614.71,16337.71
1089,33205.41,17100.95
273,33377.96,16482.14
1,32812.93,16244.49
994,32041.49,15545.06
1607,33292.58,16576.66
1764,33252.34,17325.04
1631,32433.27,16005.84
79,33395.48,16669.03
1865,32850.13,15815.78
380,33231.14,16593.33
1185,33033.08,16220.01
1426,32238.44,16139.3
1482,32982.55,16058.49
61,33380.5,16595.63
1275,32484.82,16072.26
1334,34117.88,16935.71
1751,33089.91,15989.09
1408,33379.45,16712.21
310,32039.21,15303.57
1726,32192.46,15795.3
1049,33328.69,16362.57
301,33392.76,16636.5
1300,32986.25,16644.38
1073,32361.19,16511.41
1272,32962.59,16884.71
1130,32851.99,16435.19
600,33823.98,16865.8
962,32123.2,15298.45
1019,32613.48,15905.99
276,33013.15,16539.13
658,32480.99,16073.13
254,33147.09,17607.65
99,33451.56,17172.44
772,32507.11,16458.63
472,32221.36,15473.39
513,33289.9,16969.01
453,33211.12,16684.76
1658,32734.54,16471.43
1260,32300.78,16461.17
696,33382.94,16784.66
2,32796.07,15905.77
366,32799.93,16575.98
1415,33100.17,16783.68
662,33346.47,16709.78
263,32671.71,16253.76
1176,32677.56,16124.74
988,32147.34,15897.97
112,32667.03,15930.76
219,32447.52,16111.36
1507,32695.49,15885.83
1639,33563.97,16422.62
1943,32361.69,15940.86
314,32214.51,15473.01
1389,33558.84,16698.26
1603,32561.28,16111.24
1088,33201.4,16393.41
1112,33074.08,15527.41
899,33834.87,17028.46
770,32806.46,16684.79
466,32689.09,16179.26
1516,32181.54,16501.65
1237,32184.71,15213.11
449,32642.65,16351.32
1838,33983.21,16564.5
500,33028.35,16921.31
249,32564.8,16227.91
1873,32920.56,16462.04
1263,32927.35,15954.7
1291,32940.03,16282.9
1113,33907.89,16173.84
405,32246.18,15614.22
1249,33013.38,15884.77
711,32902.17,15808.71
26,32621.54,15998.41
1643,32886.15,16241.74
222,33461.36,16537.67
1152,32346.66,16088.62
484,32090.38,15519.94
1064,32724.71,15582.28
1460,32213.21,15675.56
481,33055.19,15608.3
1696,33438.42,16940.75
1630,33344.3,16749.02
1194,32338.48,15693.88
956,33206.52,17299.4
1964,33264.67,17134.75
741,32379.75,16376.38
1586,32233.07,15218.05
447,32062.53,15679.95
764,33280.3,16199.66
634,32482.57,15828.03
1665,33770.08,16579.36
1996,33068.07,16223.07
1506,32503.7,15705.44
835,33549.28,16883.81
969,32748.97,16682.05
1992,32686.8,16252.09
1241,33434.46,17026.83
739,31896.26,15436.11
788,32473.3,16441.3
1933,32900.28,17063.6
622,33689.55,16726.56
846,32991.15,15532.04
1135,32688.07,15905.89
1610,33578.48,16668.91
365,32693.18,16417.64
948,31992.84,15525.58
1723,32963.7,16298.46
387,33015.32,16186.3
1902,33704.9,16646.8
814,32247.45,15802.95
502,32961.6,15725.64
704,32283.84,16276.86
1158,33261.77,16018.34
1951,32920.99,16795.81
412,32433.64,16616.4
727,32966.23,15753.49
1896,32347.85,16091.34
761,34064.46,17156.42
337,32997.66,15860.19
1315,32590.67,16559.78
1720,33596.42,16958.45
1570,33887.67,16745.1
1083,32960.02,16457.86
1438,32320.44,16657.25
712,33187.96,16913.42
666,32617.07,15529.42
1484,33810.19,17126.13
708,32922.55,16832.67
511,32611.18,16016.39
338,31637.97,14979.19
1247,33229.4,17043.12
1311,32052.58,16028.0
885,32306.15,15174.78
1563,33103.36,16462.16
803,32839.93,16405.44
25,32864.81,16284.68
626,32803.46,16955.37
1379,32378.59,16400.23
1842,32467.08,16568.94
508,33191.04,16426.24
1767,33400.18,16701.78
563,33054.46,16326.31
407,32819.21,16837.88
1261,33077.31,16357.38
1645,32622.88,16343.56
116,32328.55,15524.96
1093,32403.05,15785.82
465,32824.09,16669.49
858,33001.68,17009.43
921,32299.54,16351.35
1463,32750.98,16962.03
1982,32084.15,15799.3
188,32914.29,16020.57
514,33293.59,16655.95
1662,33630.0,16852.82
1917,32759.58,16968.74
526,33557.28,16604.93
1377,32638.52,16117.5
737,33240.75,16863.79
1596,32979.36,16731.79
234,33030.32,16565.37
1687,33069.4,16636.92
157,33671.41,16724.42
1624,33444.74,16190.58
992,32312.08,16199.32
990,32144.03,15790.55
762,32452.43,16246.52
1175,34117.08,17473.99
686,33310.62,16282.18
1906,32600.64,16173.41
322,31745.09,14944.83
593,32778.55,16514.34
265,32568.33,16619.87
958,33390.58,16684.35
1635,33965.93,16620.58
1382,33110.78,16522.51
794,32675.68,16384.78
1231,32604.15,16017.09
213,32665.7,16391.76
1166,33241.16,16927.27
295,32347.26,15616.43
418,32593.61,16970.0
636,33555.5,16697.04
1689,32037.0,15910.75
1770,32218.44,16259.65
398,32236.9,15907.51
1462,33184.19,16257.53
1931,32539.61,16587.54
1155,32225.21,15885.51
824,33078.1,16717.9
1042,32518.6,15965.99
1075,32044.74,16168.8
278,32896.86,16587.03
1281,33372.12,16584.52
1366,32369.44,15956.85
596,33230.71,16576.29
1622,32026.69,15790.63
290,32989.42,16533.64
128,33339.79,16891.93
966,32945.9,16240.99
765,33621.61,17064.17
1815,32883.31,16872.03
641,32729.32,16259.66
980,32525.24,16295.47
560,32529.99,16059.81
42,32735.05,15996.08
1327,31953.82,15591.56
1404,32600.4,16215.0
1292,33019.96,16787.86
1735,32884.6,16488.04
1004,33382.44,16510.67
1312,33471.05,16730.7
123,32285.91,16137.96
153,32710.58,16118.86
884,33632.87,16864.12
368,33753.56,16204.33
1994,33594.06,16808.57
388,32095.76,16291.95
1277,32863.45,16462.61
1712,32113.89,15774.71
698,33288.79,17108.96
44,32744.73,15571.05
80,32627.36,16510.37
1626,32621.96,16117.8
236,32065.82,15191.4
572,33286.33,16351.42
528,33293.33,16322.4
