sid,area,power
416,923.77,629.11
1347,888.15,593.29
1714,861.16,576.34
709,915.14,618.01
1860,913.94,607.23
1346,914.34,604.01
960,945.56,655.04
1419,904.94,577.85
420,892.03,595.31
1721,937.56,607.49
817,925.86,636.65
162,910.07,620.59
1821,941.41,628.75
1974,858.95,564.49
524,920.05,605.99
464,931.57,615.51
1632,907.69,606.52
169,932.63,620.07
1934,920.13,608.87
806,939.05,597.85
867,891.95,590.57
260,930.33,593.7
1225,939.98,629.29
313,933.15,615.77
1412,922.21,598.49
1153,888.03,562.85
161,888.97,574.93
1385,930.4,607.35
1625,930.99,631.04
1542,907.08,587.87
410,911.32,616.32
154,906.28,605.67
343,939.19,614.71
392,937.08,604.79
707,964.72,609.84
1254,892.53,576.27
1761,934.49,592.72
411,944.47,628.18
91,901.36,583.57
226,919.0,612.69
1012,911.59,611.12
1059,898.78,605.5
853,897.34,592.69
1491,898.12,598.76
1211,928.51,608.14
1089,918.08,606.58
1587,904.43,613.74
256,987.28,634.49
477,965.1,640.05
1764,900.46,597.64
70,941.83,605.67
273,909.67,596.35
909,895.62,598.97
994,941.26,643.12
1631,919.04,615.08
968,947.11,606.89
1607,918.33,595.03
1,893.24,585.13
1284,921.09,630.91
1257,918.2,630.5
79,908.18,599.78
1865,931.37,613.04
1426,888.19,604.61
61,921.36,603.94
1049,934.79,618.76
1185,938.37,615.73
1334,942.59,606.36
1408,934.91,625.27
1751,910.76,603.71
301,973.61,634.25
1073,926.22,599.29
1275,958.37,652.88
1482,916.15,595.1
1726,922.78,622.25
380,929.43,608.46
310,904.97,615.63
1272,874.65,589.76
1130,956.25,612.8
1300,894.8,584.65
600,974.31,638.93
962,921.22,614.79
276,891.66,593.73
99,902.39,586.43
513,871.8,573.81
658,912.84,612.73
696,911.55,604.08
254,898.78,588.85
472,925.0,611.49
1019,898.27,594.19
453,911.49,612.13
1658,889.41,600.66
772,914.89,623.53
662,919.02,599.29
2,995.44,663.59
1260,896.68,605.82
366,910.75,607.61
1415,938.07,611.53
1176,891.93,598.66
988,898.15,606.69
263,929.84,611.53
112,907.3,570.5
1943,896.48,592.48
1507,912.12,601.09
1639,919.25,605.49
1112,946.36,610.94
1389,906.55,615.27
219,918.62,634.36
770,939.47,639.55
449,902.63,598.44
899,918.23,600.19
314,937.69,630.51
1838,962.67,638.61
466,926.93,606.47
1603,886.27,585.24
1088,929.56,599.81
500,881.12,572.29
1516,919.74,632.46
1237,933.13,617.05
1873,905.53,618.0
1263,910.77,618.67
249,909.75,603.2
1113,929.42,613.39
1291,899.36,589.03
1249,920.08,605.8
26,892.79,585.27
405,964.34,657.46
711,911.55,605.83
1643,902.84,594.68
222,947.02,634.22
1696,870.55,568.51
1064,911.06,604.77
1152,961.75,652.26
1964,884.78,583.3
1630,882.42,570.91
481,947.14,605.72
484,898.62,609.22
1460,901.43,603.96
1194,916.49,603.3
956,886.59,586.67
1586,924.08,599.78
741,891.12,583.94
447,907.09,618.8
764,939.21,631.3
1665,932.09,603.72
1241,902.56,603.2
788,898.87,580.8
969,859.24,589.9
634,927.86,631.07
835,949.2,634.15
1506,933.08,632.8
1933,918.1,613.77
1996,930.49,625.59
739,933.04,633.37
1135,934.63,636.17
1992,897.81,597.36
846,981.37,636.9
622,950.95,615.19
1723,922.15,608.64
1610,912.46,599.68
365,909.66,607.68
387,934.81,607.25
948,928.84,614.58
1902,910.87,612.35
814,898.04,577.67
1951,877.08,585.92
502,974.29,649.97
727,924.59,593.95
1896,921.24,632.64
761,925.82,592.69
704,922.14,619.2
412,905.56,607.61
1158,951.33,602.05
1720,906.55,601.64
1083,896.49,595.78
1484,914.26,621.54
337,942.53,616.76
1315,886.4,585.1
1570,922.93,612.22
666,927.17,608.42
712,919.34,612.97
1438,873.42,584.15
708,929.98,621.22
511,903.84,606.51
338,922.37,615.04
1563,936.1,616.33
1247,879.22,583.86
1311,929.88,628.74
1379,890.27,578.05
803,918.7,611.57
885,920.38,617.36
626,913.91,617.32
1767,924.74,615.47
1261,937.03,618.95
25,949.52,631.89
563,910.22,604.05
407,908.01,605.17
508,911.86,603.76
1093,907.73,585.57
116,909.03,607.19
1842,944.16,658.31
1645,924.71,614.03
465,922.24,617.11
514,950.37,635.5
1463,892.18,592.96
1982,903.1,602.8
921,894.6,603.7
858,901.51,596.01
188,927.66,628.86
1917,907.27,592.05
1662,885.93,600.74
1596,927.26,632.02
737,904.76,588.87
526,933.01,627.37
1377,919.91,642.27
234,932.7,595.45
1687,931.91,616.32
157,937.09,616.3
992,898.81,598.43
1624,929.39,640.61
1175,895.63,585.0
990,877.57,589.15
762,909.52,619.96
265,935.87,631.55
593,937.74,635.88
1166,927.28,625.41
418,925.58,613.43
958,931.58,615.66
1906,924.79,603.79
686,942.99,608.3
322,914.56,606.53
1635,966.67,607.29
1231,921.43,619.51
1382,918.36,613.33
794,925.69,627.95
295,921.97,609.17
213,903.16,601.15
636,918.0,604.07
1689,918.67,610.4
1770,888.27,588.93
1931,925.78,608.3
1075,889.58,593.46
398,925.37,621.59
1281,922.88,612.53
1622,919.06,621.96
1462,939.82,632.1
824,938.78,622.07
596,914.46,613.52
278,896.13,599.09
1042,928.87,615.97
1366,892.68,600.66
290,886.15,581.3
1155,912.42,607.62
765,899.88,586.61
966,928.71,619.0
641,930.8,632.14
1815,908.2,612.2
128,951.67,622.56
980,877.9,590.41
560,931.52,629.31
1327,904.43,619.82
1735,887.71,577.18
1404,927.99,613.64
1004,931.54,604.0
1292,893.36,595.07
42,928.85,623.43
698,904.59,606.77
153,932.38,626.08
1994,918.61,601.61
388,908.19,607.29
1712,913.92,620.02
1277,919.09,617.96
1312,915.84,618.09
884,932.87,612.18
123,936.77,625.32
368,932.23,606.53
80,935.76,621.27
44,947.31,629.38
1626,883.06,583.18
572,936.98,621.25
528,941.01,619.82
236,931.02,611.43
293,899.69,581.74
951,944.42,645.29
1910,910.96,597.56
1769,916.21,611.29
233,935.77,650.28
1287,938.59,612.08
880,918.47,612.7
1997,915.58,628.07
215,886.72,584.24
917,898.03,605.87
1889,924.08,619.68
95,935.97,629.87
474,911.44,601.63
776,916.41,621.45
1133,913.24,601.37
428,869.08,575.71
1033,942.99,651.3
1701,911.72,617.01
836,909.8,604.37
1803,921.97,612.11
961,915.67,623.0
1824,896.11,582.5
332,916.64,606.1
208,899.66,587.96
1537,905.71,593.83
1008,892.23,568.84
362,914.4,621.59
1901,912.57,599.31
1098,895.14,601.51
503,926.95,615.95
1077,897.28,614.27
1364,975.77,624.84
1405,915.31,605.54
175,897.26,601.06
1180,898.79,586.26
1295,916.4,605.81
724,904.68,580.53
1452,895.79,584.56
84,954.48,615.06
424,934.72,613.93
102,935.2,614.17
121,926.77,627.24
1839,919.09,600.92
617,894.55,587.67
172,950.98,627.35
491,910.27,587.96
1612,902.33,597.7
1744,897.26,578.95
618,949.15,625.81
891,920.9,599.65
103,927.22,642.03
14,928.36,621.99
1328,904.67,602.68
525,896.68,616.25
1305,900.98,595.7
1702,928.84,611.33
1841,921.43,597.73
895,948.74,614.04
159,940.0,641.96
475,910.43,619.45
857,930.55,607.36
1589,940.56,620.35
1120,903.89,599.1
1350,916.29,618.49
1663,896.72,589.22
318,948.61,647.71
742,880.0,582.81
1957,926.07,614.15
1339,918.56,616.73
221,946.73,650.0
1003,896.5,601.48
521,904.1,590.37
451,890.19,575.62
888,914.94,590.34
1161,908.52,609.8
1361,915.39,616.73
1040,911.7,603.85
1494,956.27,617.69
1894,880.06,582.87
1475,877.0,569.59
1883,923.66,618.91
882,917.99,622.56
841,927.37,613.52
1167,892.11,595.63
1269,911.51,618.36
1518,924.66,625.09
1209,951.37,619.51
1644,916.42,611.44
1634,896.93,606.3
