sid,area,power
420,48983.02,50635.42
960,51044.75,51398.78
416,48881.33,49907.11
162,49146.88,49806.08
1714,47827.78,49481.0
1934,52425.32,52310.7
1860,49005.97,50310.75
817,49881.65,50554.22
1346,50778.01,51711.01
709,49846.68,50750.32
806,48735.94,49604.48
1821,49534.23,49625.37
524,50297.42,50890.69
1347,49087.29,49643.34
464,48219.28,49461.59
169,50523.5,51543.99
1974,48222.31,49463.9
1721,49865.23,51575.31
1632,48053.61,49160.02
1419,49376.45,50160.03
867,50102.6,50604.17
1412,50794.41,51929.68
260,48602.19,49594.78
392,49519.59,49769.02
1625,51117.12,51474.12
411,50645.14,51243.25
154,49430.96,49567.78
161,50547.5,50965.8
313,50767.85,52070.59
1225,48271.21,49623.89
1542,50600.8,51265.0
1153,47676.8,49283.76
410,49261.89,50111.51
1385,49202.8,49787.22
1761,49895.48,51139.91
707,49923.38,51182.56
91,47576.73,48893.56
226,50167.66,50558.88
343,49867.12,50876.27
1254,49609.65,50630.85
1012,48606.73,50426.68
853,49975.5,50559.1
1491,49552.86,50109.38
1587,48528.61,49639.04
909,47787.7,49728.97
1257,51032.54,50969.14
1284,48856.95,49812.06
1211,48534.18,49286.66
256,48573.99,49952.26
1059,50045.74,50759.45
70,50819.51,51844.7
968,49425.04,50678.68
273,50830.03,52265.4
1089,50189.67,50783.58
1,48745.21,50141.02
994,51341.1,51445.93
477,48954.2,50035.54
79,49519.01,49992.53
1482,49659.43,50014.55
1764,49740.62,50518.97
1607,49827.74,50537.88
1185,49439.37,49299.95
1426,51137.62,51553.3
1631,49728.86,50563.91
1865,50893.46,51002.91
61,48695.56,49533.32
380,49564.21,50624.08
1334,48360.9,49867.39
1049,48376.1,49226.83
1726,50182.43,51130.47
310,52364.89,52199.41
1751,48282.42,49080.06
1408,47414.48,48854.43
301,48279.83,50114.38
1275,49929.99,51072.38
1300,47346.14,49082.89
962,50316.12,50732.75
1073,49193.28,50350.92
1272,48127.97,49686.12
472,51220.6,51512.29
99,49190.92,49584.77
276,49069.5,49458.51
658,49029.65,50231.79
453,49318.25,50273.68
1019,49768.29,50210.68
1130,50541.81,50905.07
1260,49723.12,50664.51
772,49666.5,50791.27
600,48252.34,49364.88
696,48614.27,49609.68
513,47785.32,49501.05
254,48356.09,49525.09
366,49291.66,49822.56
1658,49891.77,50487.09
662,48708.87,49693.63
2,50331.42,51130.12
1415,48772.47,49590.43
988,49314.34,50550.43
263,49047.2,49792.01
1176,50398.98,51284.59
219,50166.38,50617.47
1507,50485.31,51537.74
1639,48804.09,49909.75
112,50773.13,51477.07
1389,49356.24,50172.61
1112,50327.54,50892.8
1943,50345.55,50694.48
314,49675.36,50592.82
899,47887.74,49566.01
770,49416.63,50041.44
1603,48566.16,50027.09
1088,48978.8,49722.83
449,48941.38,50453.92
466,49901.87,51185.84
500,49166.8,50162.08
1838,49053.31,49582.26
1237,51486.99,51444.25
405,51683.51,51266.38
1263,48923.84,50695.95
1516,49778.62,50666.47
1873,50438.05,51157.05
249,49891.07,51194.97
1113,48664.2,49999.45
1291,48710.35,49776.14
1249,51072.52,51580.33
711,50872.78,51409.23
26,49789.97,51041.73
1643,50257.01,50967.44
1064,50703.09,51049.85
1152,50114.43,50682.58
222,50426.19,51195.52
484,50187.45,51075.23
1630,49201.76,49562.95
1460,51770.72,51674.27
481,51304.99,52077.7
1194,51592.83,51283.45
1696,47574.14,49607.68
1964,49523.5,50428.69
1996,48697.87,49755.04
447,49797.84,50839.89
764,49146.73,49878.72
1586,51645.73,51370.48
956,48079.46,48828.48
634,48992.88,49824.17
1506,50113.29,51112.95
741,49631.39,50722.35
788,50498.83,51216.71
739,50619.76,51708.93
1992,48455.57,50124.72
1241,49831.24,50566.91
969,49036.43,50073.27
835,48988.12,49297.43
1933,48692.3,49305.31
1135,50147.45,50592.83
846,50544.99,50961.03
1665,48357.55,49476.85
387,49274.51,50703.89
622,48827.21,50269.65
1723,50449.34,51148.95
948,50445.33,51292.04
502,51360.12,51470.9
365,48714.33,49579.02
814,51449.94,51273.43
1902,46390.67,48957.46
1951,49566.84,50023.87
727,50531.32,51095.47
1610,47083.33,49641.24
1158,49938.59,50865.88
704,50193.31,50556.6
412,48958.8,50033.61
1896,50014.75,50312.07
1438,48749.55,49837.03
761,48470.53,49441.7
1315,48284.06,49484.9
337,50489.64,51225.91
1720,47286.21,49022.66
1570,49002.8,49497.24
511,49519.91,50317.94
666,51332.09,51508.41
1563,49481.34,50346.79
