sid,area,power
416,714.11,700.67
1714,724.77,723.69
1632,680.53,676.81
169,676.16,679.98
464,699.69,702.54
1821,738.97,720.56
162,730.11,725.2
1347,670.48,672.24
806,707.84,720.09
1860,712.93,707.36
960,762.22,743.29
1419,675.4,683.71
1974,681.3,696.73
709,677.78,679.33
524,779.35,755.94
420,758.03,720.95
1721,713.31,707.21
817,702.81,700.31
1934,747.17,727.5
1346,736.45,736.43
1225,687.7,704.19
154,746.88,734.58
411,751.11,732.15
1385,682.81,670.92
161,785.31,752.41
392,715.8,710.24
1625,754.63,733.5
410,674.27,677.48
1153,701.92,706.12
1542,681.05,681.12
260,700.71,719.78
707,664.0,660.18
313,690.69,673.98
1761,693.81,680.0
867,696.65,690.04
1412,665.53,648.8
343,696.46,678.72
226,676.72,661.92
1254,680.2,686.43
91,686.65,690.99
1012,734.96,729.98
1284,714.04,709.92
1059,695.2,688.88
853,687.3,705.38
256,655.26,661.79
1491,721.04,728.52
909,668.83,693.51
1257,709.89,686.45
1211,679.29,672.64
968,709.26,696.1
1587,711.69,719.85
70,759.41,743.35
477,677.33,668.14
273,683.22,703.94
1089,682.44,703.23
1,737.27,729.78
1764,648.33,659.94
994,744.97,727.61
1631,685.59,677.76
1607,681.1,660.56
61,669.21,657.51
1426,717.91,723.99
1865,769.04,745.41
1751,737.17,739.12
1408,673.11,676.42
301,707.98,688.85
1073,663.56,666.93
1334,679.43,687.16
1275,769.1,750.17
1726,689.28,696.52
79,710.17,705.73
380,666.35,670.14
1049,709.17,700.44
1482,699.21,686.01
1300,673.78,689.06
1272,653.09,658.91
1185,713.07,708.78
310,753.4,712.57
600,684.62,663.36
1130,702.22,681.44
962,741.02,738.98
254,651.28,671.95
276,708.07,715.68
1019,692.57,670.74
772,680.75,696.03
696,687.84,702.61
658,775.81,776.62
453,699.89,707.21
472,802.9,782.11
2,674.77,657.87
99,718.07,717.54
1260,705.36,704.28
1415,674.36,669.01
1658,674.77,694.26
366,704.05,701.65
513,705.15,701.69
263,722.46,703.29
662,706.91,699.44
1176,688.85,697.06
988,725.95,728.61
112,689.56,670.46
1507,742.46,747.45
1389,678.38,688.59
314,720.84,693.92
1943,708.42,702.62
219,728.09,744.01
1112,724.62,722.14
899,680.25,697.54
1603,736.89,720.1
1639,700.62,703.11
466,711.53,702.83
449,688.91,689.39
1516,666.63,680.83
770,729.65,740.96
1088,704.36,698.71
500,686.21,688.26
1838,709.02,688.97
1873,683.46,688.2
1237,698.44,671.51
249,687.13,666.34
1263,740.31,713.82
1113,750.54,727.41
1249,738.57,731.34
222,701.03,677.97
1064,734.17,734.05
26,687.12,696.21
1291,672.07,685.1
405,753.59,725.54
1643,725.93,714.34
1696,651.56,666.02
1630,692.65,697.57
1460,738.65,721.34
484,714.24,708.18
711,802.03,777.44
481,710.04,684.54
1152,700.53,683.58
1194,800.54,766.23
1964,683.99,704.24
741,669.42,685.18
1586,705.85,702.5
956,699.82,704.49
447,756.54,769.85
1506,720.83,718.22
1665,674.92,666.37
1996,737.13,745.69
634,675.36,676.38
764,720.4,704.96
969,676.91,684.27
1992,677.52,668.33
835,667.29,674.54
1933,682.01,688.0
1135,724.35,714.97
