sid,area,power
416,11072.98,12583.09
960,11282.02,12874.64
817,11223.93,12539.93
1714,11343.86,12981.39
709,10935.77,12447.73
1347,11092.7,12450.81
420,11288.74,12703.93
464,10887.48,12370.27
162,11353.03,12817.82
1346,11219.54,12503.89
524,11182.71,12569.24
169,11156.24,12501.41
1860,11084.73,12630.26
1934,11638.06,13234.74
806,10909.99,12268.95
1974,10767.84,12195.74
1821,11179.77,12669.95
1419,11729.0,13011.32
1632,11061.17,12444.02
1721,11179.37,12626.69
867,10935.95,12499.02
260,11280.84,12620.52
1412,10919.85,12296.24
161,11365.0,12540.19
392,10894.95,12177.18
410,11226.42,12796.27
1225,11072.22,12513.37
154,11035.14,12491.01
313,11216.4,12564.96
411,11159.53,12649.29
1625,11804.38,13233.97
343,11246.96,12788.45
1542,11169.96,12744.1
1153,11194.34,12595.9
1385,11112.3,12370.4
226,11095.38,12530.18
91,11291.02,12654.07
1254,10979.55,12477.44
707,11256.62,12788.86
1761,11156.81,12682.92
1012,10930.21,12374.53
853,11107.43,12644.71
256,10824.17,12228.7
1491,11306.47,12727.43
909,10985.43,12476.16
1059,11169.87,12616.79
70,11167.34,12713.12
1257,11158.74,12720.32
1587,11207.13,12772.06
968,11194.74,12638.52
1284,11174.77,12578.1
273,11218.82,12798.55
1089,11019.23,12606.01
477,11496.02,13017.77
1,11188.5,12585.96
994,11393.14,13009.36
1211,10962.9,12435.6
1764,11343.15,12926.29
1607,11182.35,12628.61
1631,11156.41,12517.24
79,10909.2,12267.96
1185,11243.81,12729.45
380,11280.98,12699.17
1865,11013.64,12532.69
1426,10970.61,12504.87
1482,10904.72,12238.27
61,11248.1,12646.1
1408,11113.41,12557.22
310,11996.54,13462.96
1049,10911.92,12270.28
1726,11128.87,12696.28
1334,10872.57,12329.38
1073,11163.61,12608.13
1275,11326.92,12901.04
301,11041.66,12563.51
1272,11257.69,12769.9
1751,11101.58,12606.23
1300,11179.31,12726.75
600,11196.55,12692.8
1130,11253.78,12723.28
962,11545.06,13174.98
276,11423.31,12937.29
1019,11111.24,12597.31
472,11323.31,12920.94
99,11265.69,12842.97
658,11261.8,12724.8
453,11197.94,12548.89
772,11208.9,12701.88
254,11325.2,12712.28
513,11203.12,12681.36
696,11229.88,12650.05
1658,11029.26,12598.04
1260,11222.25,12709.63
366,11079.67,12527.64
2,11202.56,12754.23
662,11337.33,12747.01
1415,11088.96,12615.04
1176,11270.96,12667.28
988,10869.05,12369.42
263,11253.26,12765.2
112,11365.66,12561.08
219,11201.1,12789.76
1507,10931.91,12316.27
1639,11164.7,12598.03
899,10854.06,12357.75
1389,10923.38,12488.03
1943,11737.54,13046.86
314,11107.22,12547.49
770,11227.86,12648.64
1603,11140.41,12658.74
1112,11194.96,12691.66
466,11393.66,12843.94
449,11121.65,12483.11
1088,10943.53,12357.31
1516,11435.6,13049.88
1838,11247.8,12767.69
500,11009.57,12411.8
1237,11213.99,12768.85
1873,11630.29,13088.5
249,11245.65,12638.18
1263,11164.6,12678.26
405,11644.86,13061.09
1291,11105.97,12524.92
711,11358.97,12838.41
26,11134.93,12556.56
1113,11258.88,12754.68
1249,11137.95,12717.84
222,11183.73,12808.83
1152,11045.28,12633.27
1064,11147.43,12548.42
1643,11011.2,12547.13
1630,11113.73,12519.4
484,11616.95,13150.72
1460,11551.12,13128.3
1696,11069.24,12600.31
1964,11496.16,13120.87
481,11299.34,12899.51
1194,11503.16,13104.63
956,10942.69,12498.83
741,11260.29,12789.8
447,11239.64,12712.69
1586,11285.51,12817.86
764,11116.92,12516.0
634,11384.26,12828.19
1996,11207.08,12497.64
788,11865.19,13135.37
969,11071.85,12612.53
1241,11062.47,12540.7
739,11174.77,12559.25
1506,11189.53,12630.03
1992,11155.0,12587.78
