sid,area,power
960,41155.22,47258.13
420,41201.78,46993.08
1714,38707.51,45010.66
709,40960.68,43010.15
416,41087.67,47134.84
817,41152.99,47008.04
162,41041.54,47056.55
524,41219.67,47076.12
1860,41119.8,47239.0
1346,41086.07,46797.58
464,40904.76,46473.17
1347,39065.52,44806.59
1934,41314.54,43182.82
169,41094.01,42937.45
1974,40770.1,46944.47
806,38787.15,41443.03
1721,41053.87,42895.29
1632,41015.96,46696.54
1419,40964.71,42684.21
1821,41046.47,43541.35
260,40968.44,42983.35
867,41025.99,42882.46
1225,40933.78,47049.54
392,38707.89,41316.93
161,41104.54,42828.85
154,41055.56,43170.18
313,41047.39,42817.31
410,40989.39,46724.25
1412,41141.23,42924.66
411,41237.22,47117.95
1153,40762.3,46614.95
1385,41054.94,43397.09
343,40992.43,42936.09
1625,41226.9,43061.58
91,39052.16,45094.94
1542,40957.94,42777.83
226,41006.95,46768.84
707,41048.93,42897.03
1254,41035.49,46950.49
1761,40976.9,42867.98
909,39174.0,41354.2
1012,41067.74,47135.63
1284,40974.72,46857.12
1491,40977.39,46917.3
853,41039.49,42943.45
1059,41018.43,42919.7
968,41026.29,42904.19
1587,41047.05,47365.71
273,40949.01,42693.15
70,41182.89,42935.27
256,41018.36,46562.15
1257,41156.9,42991.48
1089,40905.08,46811.94
477,40971.6,47107.27
1,41104.69,46974.64
1211,40883.37,43484.89
994,41202.91,47127.52
1764,41009.88,46666.93
1607,40988.0,42981.04
1631,40961.27,43075.77
61,41006.47,43405.72
79,41002.29,46958.81
1185,41125.01,43721.34
1482,38713.95,41327.83
1426,38849.77,44987.51
1049,38783.78,44686.38
380,41048.06,43459.66
1865,41248.03,43017.16
310,41543.18,43875.22
1726,40907.67,42932.98
1408,40795.35,43362.22
1334,38740.88,41479.3
1751,40863.86,43318.44
301,40819.51,43432.16
1275,41053.94,42842.15
1272,41022.03,46960.86
1073,40942.69,42602.64
1300,38808.88,41438.08
600,40973.49,46889.66
1130,41036.23,46503.26
962,41095.6,42970.07
254,38750.94,44874.0
1019,41249.79,47181.17
99,41060.62,47017.7
276,41008.77,43433.0
472,41146.85,47070.98
658,41110.08,46980.68
772,41008.73,42841.6
696,38761.77,45114.73
513,40873.77,43266.54
1260,38815.76,45066.85
366,40879.51,46824.63
453,40968.45,46927.05
1658,40938.1,42906.99
2,41155.95,42889.12
662,40940.13,46773.19
1415,40991.68,47171.41
1176,41130.38,42870.34
988,41017.34,43057.21
263,41175.88,47131.46
112,41035.46,42646.79
314,41030.95,42931.29
219,40974.64,42856.56
1943,40966.34,42592.5
1639,41017.14,46907.14
1507,41176.46,43017.2
1603,40857.61,46992.48
466,41050.26,42924.51
1389,40843.82,46979.5
899,38806.66,44770.55
770,40969.18,46971.29
1112,41151.14,47046.83
1088,38769.52,41548.22
449,41062.41,47025.5
1516,40940.23,46911.5
500,40915.79,43179.23
1838,41072.37,43599.55
1873,40896.96,42813.29
1237,41122.29,42910.45
249,40976.46,42669.68
1263,41078.76,46913.62
405,41256.83,47004.56
26,40995.74,42660.29
1291,40914.05,46823.16
1113,41051.3,43574.54
1249,41205.17,43075.55
1643,40889.64,42823.9
711,41402.61,47316.36
1064,40973.15,42686.23
1152,41056.23,42890.04
1630,41175.2,46952.33
222,40879.21,42931.09
484,41165.87,47227.95
481,41248.09,42976.79
1460,41066.94,43128.91
1696,41112.19,43617.88
1194,41145.38,43203.98
1964,40987.5,43111.18
956,38732.18,44884.27
741,41000.48,42912.23
1586,41200.1,43033.7
447,41082.38,42982.93
764,41035.02,43291.8
1996,41142.42,43432.99
1506,41137.86,42981.58
1241,38875.28,41572.59
788,41059.58,42852.06
1992,41084.63,47110.54
969,41001.14,43372.68
835,41010.21,43404.16
634,41102.75,47335.28
739,41133.13,42860.9
1933,40915.8,47026.43
1665,41116.54,43426.97
1135,41106.43,42822.57
846,41138.2,47057.58
