sid,area,power
416,3682.14,4173.47
420,3779.55,4256.5
1714,3720.73,4180.13
960,3758.61,4235.66
1347,3682.02,4130.63
709,3728.6,4176.52
524,3725.94,4188.4
817,3695.82,4163.89
1934,3742.64,4202.06
1860,3727.19,4210.76
1346,3797.22,4292.88
162,3759.06,4245.85
1974,3719.98,4214.92
169,3696.41,4192.32
1632,3733.85,4210.95
464,3790.57,4278.37
1721,3799.26,4282.26
1821,3755.69,4230.31
806,3782.28,4269.66
1419,3736.99,4222.53
867,3718.4,4158.91
260,3785.66,4256.22
161,3761.2,4242.92
313,3737.87,4233.37
411,3680.93,4135.46
392,3676.46,4156.94
1412,3753.14,4246.59
1625,3731.35,4203.19
410,3637.07,4119.78
154,3579.35,4008.38
1225,3856.07,4377.58
1542,3648.69,4095.27
1385,3800.11,4307.43
91,3676.47,4137.86
707,3720.67,4162.99
343,3703.98,4184.36
1153,3778.49,4246.3
1254,3723.48,4189.07
226,3785.63,4299.24
1761,3831.43,4314.69
256,3721.31,4180.75
1012,3750.26,4216.11
70,3780.81,4259.3
853,3734.0,4234.69
909,3811.9,4278.65
1059,3753.04,4255.58
1257,3727.38,4178.46
1587,3658.21,4113.26
1284,3679.1,4141.85
1491,3746.37,4205.67
968,3739.96,4204.74
1,3778.77,4240.81
1211,3768.87,4257.77
994,3691.1,4159.01
477,3764.1,4270.35
273,3785.41,4258.94
1089,3811.69,4323.65
1631,3698.8,4179.62
1607,3739.3,4216.51
1764,3778.83,4260.75
79,3813.06,4308.09
380,3709.62,4156.0
1426,3692.88,4146.18
1865,3747.61,4199.89
1482,3807.22,4272.98
61,3643.73,4058.79
1185,3789.81,4243.15
1751,3787.31,4245.95
1049,3652.18,4085.06
1275,3731.69,4200.33
1408,3788.62,4266.03
1726,3629.56,4063.85
1334,3715.83,4216.34
310,3739.86,4187.28
301,3753.35,4225.27
1073,3846.25,4360.52
1300,3736.86,4232.07
1272,3726.04,4198.16
600,3730.34,4208.27
1130,3750.12,4207.39
962,3661.17,4102.77
1019,3681.53,4139.22
99,3783.55,4265.69
658,3811.03,4303.11
472,3728.85,4221.32
276,3785.17,4239.59
254,3728.4,4223.84
453,3805.77,4338.94
1260,3692.89,4136.13
772,3777.29,4270.64
513,3653.99,4091.17
696,3757.08,4236.96
2,3745.89,4204.66
366,3633.18,4078.34
988,3678.39,4127.15
1658,3767.62,4271.38
1415,3814.14,4332.11
263,3739.46,4193.29
662,3718.15,4188.52
1176,3680.96,4166.5
112,3706.28,4182.17
219,3671.05,4137.02
1389,3781.21,4253.15
314,3743.79,4237.96
1507,3677.67,4125.56
1943,3624.73,4062.76
1603,3738.08,4194.62
1112,3776.5,4253.19
466,3737.84,4192.87
1639,3677.18,4139.4
449,3677.83,4130.45
770,3681.12,4126.89
1088,3643.91,4093.58
899,3701.35,4129.96
1516,3714.67,4198.76
1237,3683.85,4158.72
500,3722.09,4166.3
1838,3666.92,4099.79
249,3733.43,4190.54
1873,3713.99,4201.04
1263,3724.16,4187.4
1113,3713.89,4167.9
405,3697.04,4134.56
711,3842.63,4338.56
1249,3752.86,4206.83
26,3682.2,4112.42
222,3770.2,4247.97
1291,3803.7,4335.42
1643,3714.66,4165.22
1064,3601.43,4027.49
484,3725.94,4215.8
1460,3638.29,4099.72
481,3742.03,4222.34
1152,3749.88,4222.89
1194,3706.31,4170.3
1630,3768.14,4251.37
1696,3708.77,4181.87
1964,3715.52,4212.21
956,3645.8,4108.78
741,3750.88,4260.63
1586,3662.43,4131.94
764,3776.2,4282.1
447,3858.88,4378.21
1996,3764.29,4233.03
1992,3760.92,4243.09
1506,3705.5,4151.35
788,3682.85,4188.09
1665,3786.24,4284.88
1241,3635.96,4081.41
969,3677.03,4139.19
835,3771.72,4256.64
634,3818.51,4315.35
739,3736.96,4179.29
1135,3712.34,4159.99
1933,3750.05,4233.85
622,3787.47,4243.02
365,3659.03,4124.48
1610,3824.06,4321.58
1723,3785.46,4251.36
846,3640.81,4073.03
387,3710.22,4166.71
948,3751.68,4234.5
1902,3697.08,4199.72
704,3772.75,4264.53
727,3897.04,4410.25
502,3687.45,4137.06
412,3682.97,4111.97
814,3753.55,4261.03
1896,3711.22,4165.06
1951,3744.46,4213.68
1158,3756.13,4213.24
761,3745.85,4218.98
1315,3670.07,4109.78
1720,3788.49,4268.58
337,3718.87,4180.32
1570,3825.16,4323.56
1438,3752.23,4231.09
708,3765.21,4217.76
666,3748.91,4224.62
1484,3701.96,4182.72
1083,3745.52,4243.15
712,3801.05,4298.27
511,3840.08,4354.27
338,3681.74,4136.72
1311,3712.52,4198.46
1563,3737.45,4180.84
626,3665.95,4150.16
1247,3709.0,4172.81
885,3733.28,4217.55
803,3842.6,4374.31
1767,3682.24,4127.17
1379,3714.39,4186.26
508,3739.22,4210.15
25,3703.58,4153.39
563,3668.34,4110.51
1842,3756.97,4238.86
407,3744.84,4205.19
116,3692.33,4147.42
1093,3596.67,4024.36
1261,3694.77,4158.97
1645,3756.34,4236.7
465,3717.65,4187.64
1982,3781.23,4288.12
514,3652.18,4098.46
921,3764.86,4205.99
858,3704.19,4163.25
1463,3715.83,4206.58
188,3750.05,4212.52
1917,3575.57,4023.43
1662,3772.86,4240.58
1596,3812.4,4288.34
737,3759.21,4262.35
526,3842.23,4344.21
234,3718.15,4168.6
1377,3744.49,4196.71
157,3762.19,4229.79
990,3660.88,4111.03
1624,3717.39,4191.83
1687,3731.68,4203.29
992,3813.25,4324.31
686,3842.79,4331.08
1175,3766.3,4251.89
762,3653.5,4107.27
593,3655.89,4117.23
322,3728.21,4182.98
958,3662.14,4090.35
