sid,area,power
420,22651.17,22711.37
416,22492.48,22613.8
1714,22498.07,22511.91
960,23578.66,23497.68
162,22186.5,22157.42
709,22770.48,22865.91
524,22990.0,23174.32
1347,21874.38,22007.68
817,22597.49,22739.7
464,22388.55,22408.17
1346,22883.07,22898.66
169,23001.36,23199.98
1934,23783.42,23997.14
1821,22408.34,22624.94
1632,22334.84,22372.79
806,22201.25,22145.33
1860,22914.78,23138.52
1974,22489.22,22661.52
1419,22288.02,22311.49
1721,22347.4,22476.38
867,22500.22,22633.63
1412,22425.58,22529.26
260,22306.45,22399.59
313,23035.09,23137.61
154,22999.35,22858.19
1625,23191.01,23343.94
411,22895.25,22874.32
161,22450.67,22500.06
1153,22337.32,22411.32
410,22508.06,22587.28
1225,22898.05,22996.91
392,22120.95,22075.76
1385,22509.95,22716.9
343,22640.41,22642.6
1542,22900.95,22845.25
707,22251.21,22277.0
91,22855.4,22957.29
1761,22087.33,22087.76
226,22953.95,23025.75
1254,22485.09,22628.06
256,21857.35,21914.4
1012,22395.4,22468.49
853,22958.17,22965.41
1491,23554.29,23603.82
909,22532.86,22622.97
1284,22260.55,22176.26
1587,22709.45,22800.04
1059,22371.51,22557.42
1257,23406.5,23611.99
1211,22064.02,22049.76
70,23673.37,23720.71
968,22426.57,22472.43
1,22334.42,22385.57
273,23334.39,23454.73
994,23609.79,23669.99
1089,22896.35,22977.12
477,22923.0,23156.0
1764,23143.08,23296.03
1607,22595.01,22590.3
1631,22544.75,22649.48
79,22489.95,22577.5
61,22422.67,22556.9
1482,22384.64,22429.95
1426,22879.57,23082.72
1049,22179.16,22192.36
1185,22257.67,22280.27
310,23637.4,23473.4
380,22872.86,22948.6
1865,23099.97,23230.85
1751,21927.28,21930.56
1334,23137.2,23173.44
1726,22988.58,23163.08
1073,22403.41,22474.24
1408,23084.25,23295.42
1275,22617.52,22602.7
1272,22495.37,22639.23
301,22416.92,22346.97
1300,22888.44,22935.01
962,23129.44,23273.61
600,22171.12,22128.89
1130,22516.97,22498.63
276,22706.45,22851.64
99,22310.74,22508.45
658,22623.56,22760.32
1019,22879.68,22873.59
453,22941.66,23006.95
254,22955.53,23229.44
772,23242.82,23271.11
472,23206.05,23354.86
696,22720.29,22862.5
1260,22776.94,22765.07
513,22716.52,22784.61
2,22449.94,22568.55
366,22985.68,22967.45
1176,23086.89,23040.3
988,23057.62,22860.5
1658,23080.51,23148.74
662,22096.05,22086.99
1415,22537.31,22567.89
263,22346.5,22373.37
112,22283.73,22285.46
1507,22993.34,23031.47
219,23157.63,23180.14
1389,22374.72,22404.56
1639,22639.21,22617.01
314,22403.55,22543.6
899,23179.23,23142.15
1603,21963.42,22004.21
1943,22550.55,22590.57
770,22894.91,22942.99
1112,23307.12,23320.56
466,22424.98,22402.67
1516,22861.82,23071.72
1088,21965.03,21902.46
449,22189.36,22145.56
500,22512.76,22554.9
249,22514.74,22572.44
1838,22070.76,22067.84
1873,23359.53,23462.07
1237,23089.93,23217.08
1263,22152.99,22305.17
1113,22345.85,22562.1
1291,22739.78,22699.49
405,23905.02,23813.5
1249,23057.59,23261.61
26,22808.2,22755.35
711,23517.04,23733.99
1643,21836.81,21910.48
222,22500.96,22588.97
1064,22933.92,22777.84
1152,22516.18,22621.32
1460,23851.83,23897.75
484,22720.0,22757.83
1630,22580.31,22600.14
1696,22830.0,23015.64
481,23354.87,23480.98
1194,23448.53,23437.24
1964,22888.24,23014.9
956,22824.16,22998.77
741,22708.79,22926.01
1996,22336.71,22326.35
764,22359.35,22485.06
447,22672.23,22735.89
1586,23134.27,23285.77
1506,22617.26,22538.77
788,22796.64,22830.88
1992,22396.43,22466.15
969,22341.75,22470.07
634,22943.93,23167.34
739,22918.54,23108.48
1241,22834.1,23000.47
1933,22302.43,22394.1
1665,22051.42,22230.83
835,22233.1,22334.67
1135,22357.47,22360.42
622,22856.19,22925.38
365,22362.56,22627.0
846,23068.79,23032.14
1723,23056.17,23006.75
387,22528.66,22312.35
1610,22282.42,22468.97
948,22580.29,22632.07
814,23462.69,23564.94
1902,22782.59,22877.26
502,23597.05,23515.7
1158,22247.76,22349.34
727,22763.36,22637.47
412,22677.5,22787.87
704,22424.75,22507.69
1951,23203.92,23292.9
1896,23013.83,23061.45
1720,22810.38,22954.08
761,21964.21,22085.62
1315,22847.76,22993.03
337,22438.2,22580.65
1438,22581.7,22577.68
1570,22220.93,22424.48
708,22653.02,22740.31
712,22567.03,22783.52
1083,22043.97,22222.72
666,23392.56,23546.06
1484,22697.0,22813.41
511,22360.93,22415.4
1563,23141.1,23146.62
338,23224.12,23367.15
1311,22915.0,22998.74
1247,23600.03,23691.82
626,22552.34,22702.59
885,23801.65,23763.48
803,22025.9,22059.04
1379,22855.18,22920.66
1767,22458.39,22474.94
25,23288.83,23386.92
563,22828.92,22989.29
508,22815.4,22850.13
1842,22585.94,22782.19
407,23179.51,23295.51
1261,22098.29,22089.45
116,23702.53,23656.92
858,22487.43,22646.1
465,22950.89,23031.32
921,23369.5,23402.19
1093,23020.66,23151.13
1645,22294.11,22413.41
1463,22257.43,22314.39
1982,23471.57,23654.76
514,23050.25,23193.1
188,22586.04,22606.13
1662,22244.66,22445.74
1596,22610.92,22669.35
1917,22130.28,22185.1
1377,22743.2,22740.09
737,22866.0,22923.18
526,22340.91,22417.0
157,22609.07,22608.54
234,22600.47,22587.99
992,22611.61,22601.67
1687,21936.62,22073.07
1624,22464.12,22693.63
990,23176.64,23170.89
686,22625.15,22560.15
762,22802.59,22744.95
593,22919.89,22977.78
1175,22747.39,22919.19
958,22335.01,22395.14
265,23362.9,23442.82
1906,22429.84,22436.15
322,23454.92,23727.51
794,23840.48,23932.04
1231,22267.04,22250.59
295,22799.78,22750.47
