sid,area,power
420,5203.35,5732.2
960,5117.62,5776.99
524,5156.54,5812.08
709,5115.68,5768.19
162,5190.87,5796.41
817,5103.5,5755.43
1714,5189.72,5777.79
416,5211.92,5853.96
806,5068.88,5749.95
464,4998.18,5650.25
1346,5278.55,5898.49
1347,5050.86,5720.44
1934,5323.51,5918.58
1821,5014.12,5610.04
169,5064.07,5699.59
1721,4976.99,5518.71
1632,5084.87,5652.01
1860,5029.19,5634.61
1974,5044.21,5665.14
1419,5072.71,5670.62
867,5095.6,5733.57
1412,5310.18,6058.63
260,5047.2,5622.16
1625,5072.88,5724.23
392,5148.72,5828.2
411,5017.24,5659.86
1225,5265.8,5935.96
313,5082.61,5704.82
1385,5054.46,5684.84
410,5179.99,5758.04
154,5218.74,5938.57
161,5112.06,5762.15
1153,5077.43,5692.0
1542,5107.44,5770.5
343,4975.17,5525.82
707,5012.97,5626.32
91,5132.24,5675.35
1761,4984.74,5551.1
226,5051.96,5716.04
1254,5017.11,5675.85
256,5222.74,5895.7
1012,5146.81,5834.4
909,5080.68,5751.24
853,5013.35,5592.83
70,5176.01,5702.67
1587,5052.01,5643.35
1284,5075.98,5690.47
1491,5168.58,5724.96
1059,5098.03,5803.5
1257,5123.25,5726.47
968,5085.51,5705.14
1211,5088.96,5734.01
1,5121.08,5682.15
1089,5049.45,5688.56
273,5170.86,5828.28
994,5225.57,5779.71
477,5214.21,5881.33
1764,5031.14,5629.72
1607,5266.57,5950.45
1631,5029.91,5674.78
79,5075.81,5715.39
380,5076.58,5725.65
1426,5121.88,5801.85
1865,5207.19,5852.21
1185,5065.79,5650.96
1049,5120.12,5767.59
61,5069.74,5622.72
1751,5041.25,5613.22
1482,5158.93,5808.82
1408,5061.11,5684.82
1334,5106.42,5676.73
310,5101.94,5683.87
1726,5092.24,5703.1
1275,5188.95,5857.01
301,5079.08,5763.37
1272,5111.16,5770.41
1300,5123.54,5786.94
1073,5167.07,5805.68
600,5002.9,5574.89
1130,5009.28,5599.31
962,5194.72,5821.63
1019,5168.81,5791.13
99,5223.96,5894.6
276,5189.0,5762.5
658,5083.3,5707.06
254,5036.39,5713.1
472,5073.83,5684.3
772,5129.75,5788.12
696,5082.89,5754.78
2,5089.99,5715.2
453,5153.52,5827.55
513,5265.73,6031.57
1260,5049.31,5635.93
366,5164.87,5861.08
1658,5205.68,5898.17
1176,5151.87,5823.78
1415,5045.39,5704.32
662,5078.55,5775.9
263,5177.48,5810.1
988,5065.7,5694.73
112,5160.17,5855.62
219,5189.64,5861.18
1507,5162.91,5713.4
1639,5100.07,5698.25
1943,4984.69,5597.25
1389,5163.39,5820.65
314,5104.31,5807.18
1603,5045.89,5629.84
449,5112.6,5745.98
770,5112.05,5753.26
1112,5079.44,5749.74
1088,5042.31,5680.88
466,5073.54,5660.51
1516,5125.45,5771.79
899,5276.78,5934.8
