sid,area,power
420,102753.98,110662.68
162,99562.44,107680.14
1714,100042.81,108966.99
960,102569.26,110435.05
1347,99943.67,109383.52
416,100353.73,107998.06
1632,100788.26,109340.92
709,100937.41,108036.7
524,103759.81,111628.32
817,100873.19,109311.02
464,99353.67,107481.16
806,101532.16,110341.56
1860,98833.91,105655.83
1821,99577.89,107208.02
169,99531.55,106575.97
1419,101723.87,110754.7
1346,100455.03,107562.81
1934,104324.05,111561.88
1974,99029.74,107420.15
867,99445.98,106945.77
1721,99376.79,107059.17
1412,99157.82,106470.55
260,98381.28,105840.39
1153,99101.62,106306.37
313,99958.48,107365.86
154,98584.57,106833.0
1625,102919.26,110305.62
161,102531.14,110870.12
1385,100272.31,108580.91
1225,99119.51,107212.84
392,99692.07,108122.9
410,99444.26,107370.85
411,103365.22,110628.26
1542,99908.06,108430.62
91,98441.19,106474.29
343,99672.51,108090.02
1761,99844.88,108238.85
707,99014.81,106052.03
909,100035.91,107376.41
256,100044.24,108414.6
226,100216.75,107572.84
1254,99282.72,107863.89
1012,101644.37,109365.38
853,101160.56,108559.92
1491,99836.56,108078.16
1587,99099.2,106869.6
1284,102828.69,111563.1
1059,101465.18,110108.02
1211,99136.57,107107.35
70,102695.99,109300.46
1257,104181.03,111971.07
968,100744.06,108405.1
1,102125.87,109397.45
273,101355.26,109195.51
994,103044.88,110684.53
1089,101377.86,109903.68
79,102679.76,112219.91
1764,100531.35,109307.08
477,97786.85,105156.55
61,101452.72,108500.3
1049,102756.68,112366.9
1482,101210.74,109775.62
1607,101322.62,109868.33
1185,98813.57,107220.38
1631,100188.3,108900.9
1426,101282.31,109142.77
310,100667.37,106597.67
380,98961.59,107044.64
1865,102593.53,109460.2
1751,99110.43,107419.2
1408,100712.51,108952.23
1726,100174.99,108629.09
1300,99054.75,106957.2
1334,98732.15,106303.23
1275,99554.59,106916.15
1272,99341.75,107934.84
962,99670.22,106537.36
1073,99430.83,108421.62
301,99415.24,107981.02
276,100168.29,108194.63
254,101463.35,110922.38
