sid,area,power
1714,2290.59,2644.78
416,2254.66,2621.1
464,2236.8,2596.92
709,2229.5,2577.79
1860,2314.37,2690.56
162,2255.22,2621.52
960,2328.85,2676.51
817,2226.04,2571.48
1347,2203.27,2568.38
1821,2232.21,2604.61
524,2291.03,2646.16
169,2239.32,2601.56
420,2267.96,2618.13
1632,2160.57,2506.14
1419,2285.41,2657.36
1934,2251.09,2596.74
1346,2284.21,2639.88
1974,2165.28,2506.43
1721,2206.24,2566.59
806,2189.57,2561.52
1225,2213.52,2579.52
867,2254.33,2594.57
161,2287.74,2659.72
260,2260.97,2626.41
1412,2248.5,2616.94
313,2245.4,2598.82
154,2314.71,2686.35
392,2230.07,2603.38
1153,2272.49,2634.08
410,2213.85,2550.27
226,2227.72,2577.68
1385,2216.49,2558.7
1761,2224.49,2568.39
411,2222.4,2553.3
1625,2235.4,2570.87
343,2209.92,2547.43
91,2265.4,2644.28
1542,2276.24,2621.52
1254,2199.81,2542.29
707,2209.39,2544.33
1012,2206.85,2580.12
1211,2218.34,2574.27
256,2201.9,2551.69
909,2291.97,2674.05
968,2242.84,2617.3
1284,2229.5,2617.86
1491,2316.81,2691.06
853,2311.98,2665.13
1059,2186.03,2533.57
1257,2297.68,2670.74
1587,2261.44,2615.81
1,2228.32,2592.99
273,2299.89,2675.44
477,2244.27,2600.9
1089,2278.68,2651.9
1764,2257.3,2614.34
1607,2185.42,2525.41
70,2272.3,2633.25
994,2298.9,2649.41
1631,2169.21,2506.26
79,2297.87,2676.67
301,2258.97,2627.07
310,2494.47,2869.93
1426,2282.16,2612.03
1185,2227.07,2583.5
1408,2253.58,2614.83
380,2211.59,2566.87
61,2258.38,2620.9
1751,2176.64,2514.5
1049,2226.84,2584.17
1275,2219.25,2595.57
1334,2256.42,2613.23
1865,2261.99,2625.4
1073,2219.3,2598.07
1482,2280.11,2661.17
1726,2240.95,2595.32
1272,2221.92,2599.38
1300,2233.64,2591.49
600,2163.77,2512.2
1130,2229.12,2587.4
962,2300.71,2656.82
276,2246.48,2603.0
772,2266.15,2630.38
254,2252.13,2615.58
513,2292.16,2678.42
658,2237.51,2602.5
453,2313.01,2696.78
472,2287.48,2629.96
1019,2282.9,2646.64
1658,2246.23,2608.64
1260,2295.96,2647.11
696,2301.31,2677.16
99,2266.64,2633.68
662,2245.86,2619.35
366,2264.08,2614.94
2,2268.69,2620.22
1176,2270.93,2637.88
1415,2242.91,2588.99
988,2315.21,2681.76
263,2251.17,2594.9
112,2211.83,2573.83
219,2349.7,2711.06
314,2195.83,2530.56
770,2307.87,2687.03
1943,2226.73,2580.91
1389,2261.34,2617.56
1639,2224.81,2585.7
1603,2245.9,2610.56
1507,2285.12,2637.04
466,2259.69,2619.34
1112,2272.0,2639.84
1516,2223.61,2575.62
1088,2216.48,2563.19
500,2291.35,2654.28
449,2236.63,2603.06
1237,2255.72,2605.32
899,2252.2,2622.29
1873,2269.02,2635.53
249,2237.81,2583.56
1838,2194.63,2560.66
1113,2229.47,2575.53
1263,2219.34,2583.36
405,2404.96,2759.59
1249,2235.79,2586.8
26,2240.43,2599.67
1152,2262.64,2604.05
1291,2230.0,2593.64
1696,2221.65,2595.64
484,2262.08,2598.94
222,2225.84,2557.59
1643,2234.55,2588.43
1630,2268.42,2637.31
711,2334.95,2679.76
1460,2264.6,2610.61
1064,2228.15,2576.67
1964,2230.93,2583.6
956,2248.45,2607.81
1194,2341.18,2703.01
481,2291.1,2645.66
741,2239.1,2597.2
1586,2251.98,2595.82
1996,2289.95,2666.66
447,2242.31,2596.38
634,2269.84,2625.55
969,2230.4,2586.58
764,2270.77,2613.98
1241,2245.78,2594.12
835,2163.22,2518.05
739,2330.02,2689.57
1992,2226.77,2593.3
1135,2260.01,2642.04
1506,2264.09,2620.84
1665,2228.6,2602.34
1933,2254.61,2611.06
846,2261.85,2607.43
1610,2236.46,2585.12
788,2250.4,2614.94
622,2279.81,2643.5
365,2227.98,2583.42
1723,2288.13,2638.62
387,2345.48,2712.77
948,2231.27,2575.57
1902,2210.93,2587.79
412,2362.09,2757.99
704,2272.96,2606.34
814,2251.13,2582.02
1896,2293.36,2652.63
761,2216.29,2587.17
1158,2240.55,2576.53
1951,2274.77,2654.68
1720,2318.26,2684.84
337,2254.36,2605.0
727,2257.45,2623.57
1315,2228.88,2588.74
1570,2201.2,2563.12
502,2368.99,2751.87
1438,2264.67,2612.79
1484,2193.52,2548.0
708,2290.03,2653.72
1083,2199.61,2527.76
712,2250.35,2592.11
666,2307.42,2672.92
338,2263.02,2618.66
511,2249.08,2597.25
1311,2308.23,2683.68
1247,2270.89,2628.13
1563,2367.35,2740.59
885,2331.13,2697.21
626,2198.35,2534.01
563,2245.12,2601.39
508,2221.44,2577.11
25,2230.72,2590.67
803,2229.84,2594.34
1379,2219.72,2578.91
407,2360.4,2740.79
1842,2180.83,2523.45
1261,2198.07,2542.96
1767,2227.51,2592.56
116,2394.47,2752.33
465,2240.09,2612.18
1093,2247.8,2594.08
1645,2209.27,2567.68
858,2215.05,2576.01
514,2250.03,2592.16
1982,2241.45,2606.91
921,2368.7,2764.55
1463,2227.96,2592.92
188,2276.23,2622.56
526,2264.42,2626.84
157,2258.58,2608.47
1662,2234.01,2578.51
234,2193.39,2550.3
1377,2267.38,2630.34
737,2287.19,2625.71
1687,2250.78,2611.32
1596,2242.26,2585.69
1917,2200.03,2564.65
992,2247.89,2616.72
1624,2197.63,2553.26
990,2276.16,2616.13
762,2310.28,2665.97
1175,2267.14,2630.45
593,2299.7,2671.92
1906,2197.48,2542.95
686,2272.96,2629.99
322,2306.34,2664.02
958,2273.27,2642.01
265,2333.45,2711.72
794,2345.15,2731.98
418,2285.77,2663.02
1166,2240.86,2608.37
1635,2149.68,2510.5
295,2305.49,2673.97
1231,2262.29,2622.67
1382,2234.87,2587.48
636,2223.58,2589.29
213,2294.59,2662.71
1770,2267.56,2632.76
1689,2232.7,2601.59
398,2225.76,2602.34
1462,2267.2,2618.3
1931,2244.31,2583.71
824,2187.37,2546.63
278,2276.97,2622.24
1075,2241.49,2603.95
1155,2211.77,2560.4
1366,2264.05,2628.61
1281,2285.88,2633.52
1042,2290.08,2648.21
290,2267.31,2646.34
1622,2255.77,2595.98
596,2316.53,2703.1
641,2234.17,2605.45
966,2235.89,2603.44
980,2200.39,2557.88
765,2258.15,2627.05
1815,2247.53,2598.07
128,2226.25,2568.87
560,2180.99,2536.55
1327,2287.96,2647.94
1735,2279.39,2637.75
42,2343.07,2695.98
1404,2280.24,2644.18
1292,2309.26,2677.8
388,2276.71,2646.85
698,2323.27,2718.32
884,2184.86,2541.54
1004,2208.63,2546.11
368,2238.41,2605.58
123,2309.62,2658.11
1312,2292.25,2666.38
153,2266.42,2627.41
1277,2257.79,2618.26
1994,2230.46,2598.59
1626,2305.69,2651.75
44,2302.24,2673.87
80,2257.63,2599.24
1712,2198.66,2557.81
572,2190.07,2525.12
236,2292.06,2646.12
528,2250.97,2610.05
293,2296.12,2668.78
1910,2227.25,2580.1
951,2207.57,2565.02
233,2242.98,2609.57
95,2296.78,2671.59
1997,2274.59,2638.8
215,2296.44,2661.34
776,2236.84,2604.29
880,2247.76,2610.29
1287,2239.76,2596.9
917,2275.93,2625.72
1769,2215.39,2551.86
1889,2246.34,2582.76
1701,2247.75,2597.3
474,2221.94,2568.61
1033,2270.49,2625.71
428,2293.61,2649.85
1133,2341.77,2703.47
836,2197.81,2543.35
961,2231.63,2592.64
1824,2209.5,2582.42
332,2216.67,2567.56
362,2233.06,2585.37
1803,2215.14,2568.36
208,2268.77,2648.64
84,2266.15,2628.55
503,2394.44,2779.06
1537,2269.28,2619.92
1098,2263.71,2612.99
1180,2258.5,2630.89
1405,2244.97,2584.68
1901,2299.84,2668.06
1077,2260.04,2639.82
1008,2291.33,2652.18
1364,2217.87,2558.44
1295,2237.81,2596.04
1452,2230.4,2592.91
724,2225.29,2591.83
175,2256.11,2622.98
617,2212.76,2557.04
424,2297.14,2684.24
121,2299.92,2665.41
172,2268.99,2634.7
1744,2214.97,2588.25
1839,2228.46,2588.88
102,2263.86,2624.67
491,2309.11,2684.67
891,2236.13,2590.39
618,2195.25,2535.11
103,2366.48,2729.71
14,2245.29,2608.05
1612,2231.7,2587.77
1328,2233.32,2580.46
1702,2241.51,2592.22
895,2235.86,2604.13
525,2293.76,2659.7
1305,2234.86,2601.79
1841,2182.16,2530.03
857,2271.42,2634.69
475,2300.82,2683.79
159,2249.25,2613.18
1120,2298.71,2658.78
1589,2266.03,2614.82
221,2339.89,2714.92
742,2283.89,2640.11
451,2311.09,2692.24
1003,2215.55,2547.6
1339,2209.37,2550.66
1350,2263.52,2607.43
318,2268.93,2633.8
1494,2431.42,2875.34
521,2318.61,2686.46
1663,2287.73,2659.78
1957,2213.95,2560.13
1161,2221.49,2574.88
1040,2231.56,2577.52
1361,2296.21,2659.63
1475,2194.43,2555.62
888,2228.6,2579.72
882,2289.69,2656.18
1269,2376.15,2733.83
1883,2206.05,2552.04
1894,2233.31,2592.89
841,2248.78,2612.84
1167,2237.86,2592.99
1518,2203.08,2559.22
753,2264.47,2629.81
1644,2224.6,2583.34
700,2270.76,2611.6
1634,2203.71,2543.28
1209,2377.59,2732.54
1248,2227.41,2578.1
781,2203.3,2561.85
214,2322.97,2676.74
1223,2204.89,2546.5
1911,2200.26,2556.31
1763,2325.84,2703.2
1288,2289.61,2669.16
389,2341.86,2724.92
396,2309.79,2677.31
1320,2211.64,2550.76
1715,2205.07,2538.95
1750,2278.23,2648.14
454,2308.59,2674.26
1580,2182.46,2553.26
439,2257.29,2615.53
587,2281.97,2633.31
165,2263.94,2618.42
927,2311.98,2662.77
1187,2266.05,2607.7
699,2214.87,2577.07
6,2238.36,2569.15
1370,2265.14,2610.48
1765,2198.17,2557.56
1555,2205.82,2567.47
1676,2265.97,2606.81
1411,2280.36,2643.74
713,2230.45,2588.5
480,2263.61,2637.29
393,2270.58,2625.28
306,2272.6,2616.47
289,2320.37,2690.94
1640,2218.07,2564.43
1282,2230.58,2595.93
825,2262.89,2618.66
385,2188.73,2558.82
1817,2231.74,2597.1
789,2421.11,2808.39
1880,2292.67,2663.59
194,2275.75,2618.8
166,2217.56,2584.23
1316,2247.08,2619.98
1041,2272.83,2629.89
1172,2262.07,2633.77
1673,2275.42,2650.79
797,2239.17,2585.55
1534,2146.77,2504.81
187,2248.36,2608.5
1942,2287.4,2656.99
378,2301.13,2654.79
155,2340.56,2717.28
292,2311.12,2682.95
896,2256.54,2623.7
