sid,area,power
420,19523.67,22158.81
162,19612.91,22284.78
1714,18163.67,20473.65
416,18249.82,20561.06
1347,18676.13,21319.05
960,20334.77,23404.72
709,18553.35,21174.14
817,19024.61,21771.84
464,18644.28,21306.64
524,19789.65,22526.72
1632,18950.49,21503.55
169,19029.88,21823.19
1419,18906.29,21739.43
806,19941.65,22467.38
1346,18964.39,21758.16
1860,18269.21,20576.7
1821,18452.2,20303.35
1934,19939.28,22887.66
1974,18482.05,20982.42
1721,18625.89,21194.38
260,19684.48,21911.97
867,18368.96,20703.9
1412,18909.95,21616.37
1153,18918.61,21551.33
154,19353.25,22233.56
313,19019.2,21825.57
161,19034.33,21894.58
1225,19440.84,22195.86
1385,19278.41,22165.26
1542,19137.32,21951.2
410,19027.95,21810.94
91,18179.49,20431.12
392,20105.46,22419.52
1625,19803.72,22537.95
411,19815.68,22549.06
343,18939.37,21514.59
1761,19178.14,21985.46
707,18865.94,21679.42
226,18763.98,21477.52
1254,18974.67,21842.09
909,18981.63,21599.69
1012,19766.26,22585.01
256,19346.1,21638.92
853,18257.54,20556.05
1491,19275.85,22137.14
1587,20098.78,23138.23
1284,19114.22,21987.71
1059,18601.17,21143.09
1211,17769.88,19934.25
968,19076.72,22010.65
70,20157.15,23116.43
273,18703.25,21376.73
1,19477.02,22140.91
1257,19788.6,22520.21
1089,18720.86,21328.8
1764,19458.44,22344.79
994,19968.84,22932.26
477,20043.81,23075.31
79,18879.07,21631.21
1607,18281.86,20880.9
1631,18984.16,21693.19
1049,19208.25,22026.75
61,18266.44,20374.86
1482,19376.36,21564.02
1185,18407.86,20838.14
1426,18601.03,21275.99
380,18867.22,21684.15
310,20627.43,23733.08
1408,19424.62,21576.58
1865,19765.23,22492.1
1751,18507.05,20746.84
1334,19713.51,22087.88
1300,19684.3,22090.28
1726,18553.77,21164.58
1073,19017.78,21753.46
1275,18166.6,20574.7
301,18825.45,21612.58
1272,19268.12,22125.95
962,18402.04,20778.79
600,18595.1,21089.37
276,19687.55,22029.56
254,18859.12,21670.45
1130,18453.9,21008.85
99,18602.29,21148.53
772,19463.95,22279.08
453,19391.68,22232.19
1019,19801.11,22535.78
696,18693.8,21478.04
658,19700.27,22502.71
513,19638.85,22010.0
472,20281.77,23371.67
1260,19973.57,22942.51
2,19084.47,21733.43
366,18782.46,21503.2
1176,19039.28,21873.36
1658,18723.38,21463.13
988,19694.87,22408.88
662,19209.49,21885.19
263,19730.42,22485.43
1415,18307.28,20618.38
219,18787.61,21544.48
112,19057.91,21843.3
1507,18959.48,21714.21
1389,19266.89,22142.98
1639,18476.44,21083.5
1943,19100.65,21962.52
899,19712.99,22077.66
770,19340.91,22207.31
1603,19244.67,22207.97
314,18406.43,20939.11
466,19491.73,22305.49
449,19576.95,22265.66
500,19889.54,22784.69
1516,18510.11,21137.49
1112,20308.28,23310.09
1088,19168.8,21299.41
1838,18983.47,21057.86
1873,19297.48,22191.54
249,19310.55,22250.92
1263,18160.92,20540.96
1237,19773.05,22513.25
1113,20202.67,22508.03
26,18698.48,21444.47
1291,19262.35,22018.85
405,20361.61,23398.92
222,18745.9,21438.27
1643,18670.33,21270.2
1249,19752.9,22481.48
1630,19659.11,21954.48
1064,18631.4,21409.1
711,19773.25,22513.44
1152,18353.75,20689.55
1696,19073.76,21846.59
1460,20346.25,23425.5
484,20352.41,23448.9
956,18675.69,21214.97
481,19682.11,22499.65
1194,20119.66,23155.45
1964,19052.67,21924.41
741,18760.14,21349.5
1996,18763.98,20714.63
764,18489.96,20308.3
447,18629.65,21244.54
788,18803.56,21620.19
969,18682.0,21279.48
1506,19431.01,22232.21
1586,20246.54,23296.5
