sid,area,power
960,48957.62,52863.19
420,48995.04,53738.91
416,48807.16,52748.33
1714,46776.22,51930.97
1347,46909.24,52182.91
817,47837.13,51505.32
1346,48505.86,51799.39
162,48673.38,55678.8
524,49215.77,52789.23
709,48849.21,52494.95
464,46587.46,51511.12
1860,48919.54,54758.35
806,46573.69,51885.22
169,48941.38,52612.37
1821,48740.64,53645.96
1934,49471.51,53152.25
1419,48499.51,51326.2
1974,48505.9,54869.05
1632,48740.95,53041.91
1721,48952.72,52184.27
867,46831.94,51742.44
1412,48536.71,51590.97
260,47057.39,51967.1
1225,46729.38,52012.16
392,46986.43,52558.2
410,48569.49,54216.75
161,48567.35,51663.27
411,49145.74,53472.19
313,48962.84,52579.36
154,46835.25,51890.24
1153,46990.42,52718.47
1625,49074.32,52666.85
1385,49093.8,52261.58
343,48825.24,52418.98
1542,47880.09,51593.18
91,47220.79,52249.58
707,49022.18,52227.96
1761,48985.29,52150.24
226,49134.36,56025.2
1254,46635.12,54298.48
1012,48685.9,53653.37
909,47307.85,51941.93
1491,46959.52,53381.98
1284,46876.51,52132.12
256,48636.33,54074.23
70,49104.83,52599.11
853,47850.83,51702.09
1059,48267.47,51500.44
1587,48706.95,53776.47
968,48821.27,52340.73
1257,49049.43,52561.42
1089,46928.02,51039.94
273,47921.62,51817.0
1,48695.63,53619.95
1211,48864.22,56151.06
477,48666.99,52840.06
994,49138.33,52981.75
1764,48375.95,51675.29
1631,48748.78,52364.91
1607,49053.91,52318.84
79,46834.93,52781.1
1426,47906.67,51919.98
380,49042.66,52221.88
1185,48827.06,52668.66
61,46983.08,53252.97
1482,46910.12,51673.99
1408,47122.1,52044.43
1334,46875.63,52628.21
1726,47793.49,51679.31
1049,46870.01,51938.35
310,50441.69,51371.2
1751,48410.78,54109.91
1865,49194.56,52583.7
301,48678.83,54438.06
1275,48939.68,52370.41
1300,46751.49,52612.42
1073,47748.77,50576.93
1272,46908.13,51680.37
1130,49147.22,56501.63
600,48610.06,55861.26
962,46923.87,52782.27
276,46807.23,52600.88
254,46496.28,52758.11
99,48828.87,52838.9
658,48759.66,53774.9
772,48551.72,51461.26
1019,49023.7,53560.65
472,49114.67,52799.12
1260,46826.18,52272.62
2,49260.23,52739.49
513,46531.16,52545.94
453,47216.22,53231.61
366,46796.03,51933.96
696,46642.17,52107.29
662,46867.4,54162.07
1658,47736.51,51410.66
1415,48805.52,53769.64
1176,48482.64,51664.89
263,48857.67,54626.18
988,46918.73,52833.54
112,48419.5,51421.53
1639,48615.99,53520.05
219,47840.15,51759.92
1507,48577.64,51623.3
1389,46638.18,52248.77
1943,48450.52,51505.3
314,48755.21,52022.05
1088,46726.58,51837.15
1112,49074.58,52327.46
770,46963.62,53035.7
1603,46827.59,51898.78
899,46691.23,52650.11
466,48511.01,51341.33
449,48786.8,52583.09
1838,48776.36,53847.98
500,46811.19,53361.37
1516,46751.32,50788.48
1237,49028.16,52611.16
1263,48870.43,54334.7
1873,47969.38,51964.55
249,49015.32,52422.23
405,49834.47,50258.52
26,48420.93,51409.38
1113,48697.13,52702.41
1291,47015.62,51721.96
1249,48931.68,52481.95
1643,47948.96,51689.05
222,48908.82,52612.38
711,49636.47,53291.82
1152,47948.12,51739.09
1460,48878.39,52711.84
1064,48883.72,52343.95
1630,47238.75,52624.54
484,49004.09,53919.49
481,49256.65,52711.18
1696,46803.26,52217.54
1194,49281.46,53183.67
1964,47739.79,51288.95
956,46739.59,52580.15
741,48261.77,51290.61
1586,49063.78,52718.73
447,48812.73,52247.52
1996,47504.2,52223.79
764,48790.25,54972.64
1506,48395.56,51377.76
634,48774.76,52872.21
969,48657.48,53586.36
788,48356.05,51526.69
835,46532.32,51200.63
1992,48670.63,53471.66
739,48045.86,52659.89
1665,48560.91,53378.35
1241,46672.69,50479.0
1933,48558.03,53274.79
1135,48520.99,51583.09
622,48801.01,56191.97
846,49068.64,52309.81
365,48607.26,52645.74
387,47518.97,53218.16
948,48982.82,52942.59
1610,48604.51,54153.6
1723,48564.6,51713.02
814,48866.89,52426.62
1902,46756.59,51471.93
502,49310.02,52768.35
412,47065.04,52300.12
704,48048.74,50876.6
1896,48083.22,51887.2
727,48974.13,52358.97
1951,47082.69,52846.14
1720,47484.05,52308.91
1158,48781.06,52361.73
761,47592.24,51458.45
1315,46569.25,51723.28
1570,48491.54,53799.37
337,49058.41,52554.9
1438,46639.12,53277.52
708,47422.23,53873.72
712,48732.69,54010.21
666,49168.95,52951.08
1484,48986.44,52768.31
1083,48567.47,54089.02
1563,47080.93,52265.14
511,46731.54,52164.47
338,49013.01,52846.3
1311,48599.0,51862.92
803,48649.71,53718.46
1247,47054.85,51865.33
25,48652.36,54758.36
885,49032.42,52650.57
1767,48654.41,54085.89
1379,48214.3,51132.0
626,48629.83,52600.69
508,46581.94,51494.93
563,46763.6,52981.12
1842,48723.03,52541.93
116,49808.68,50612.66
407,47274.21,53692.45
1261,48519.62,55282.38
858,46666.12,51759.48
1982,48378.46,51376.26
1093,48988.6,53691.75
1645,48998.69,52717.25
465,46569.86,51785.61
1463,46861.69,51880.46
921,47787.34,53814.43
514,49039.04,56074.04
188,48968.33,52771.91
1596,47049.37,52745.69
1662,48657.26,55022.75
526,48769.95,54415.19
1917,46508.33,52300.29
1377,46801.71,52552.74
737,46959.28,51168.43
234,48430.75,51319.8
157,46717.23,52624.11
992,47005.27,52440.14
1624,46450.59,52651.51
1687,48618.27,53659.68
990,48366.38,51568.58
762,47863.87,51666.02
1175,46761.91,52506.69
686,48914.44,53379.34
593,48043.28,51871.57
1906,48390.27,51608.65
322,49312.88,52851.07
