sid,area,power
1934,480.31,577.2
420,430.91,540.13
709,478.94,580.05
169,474.34,568.25
464,417.21,516.79
960,432.13,502.35
1419,476.58,573.43
1346,437.96,516.49
1632,390.11,488.73
416,428.69,536.93
817,435.78,512.2
806,430.95,537.68
1347,431.91,539.33
1714,432.78,544.04
1860,428.69,536.93
1821,428.27,532.64
162,426.32,530.01
1721,477.29,570.01
1974,424.79,530.62
524,402.12,477.17
867,477.62,579.14
1225,428.28,536.62
1412,482.15,584.5
1153,416.39,514.98
260,416.41,516.34
313,475.68,568.35
392,428.29,533.86
1385,442.48,524.94
154,427.17,532.26
1542,480.81,581.35
1625,475.79,574.57
343,463.77,547.12
707,477.09,580.01
1761,484.79,585.33
91,419.85,520.28
1254,455.91,546.96
410,428.54,533.06
161,480.8,580.23
411,439.75,533.42
226,453.51,546.2
1012,418.24,520.51
256,431.47,539.96
968,474.66,564.77
909,429.84,535.13
70,480.57,578.42
1257,476.05,573.45
1059,466.94,554.61
853,476.55,574.96
1284,433.04,541.68
1491,430.08,537.47
273,478.16,578.31
1587,428.21,538.04
1089,432.12,505.02
1211,421.94,520.57
477,415.81,519.12
1764,454.05,549.22
1,420.37,522.66
994,432.92,503.89
1607,452.74,543.72
1631,435.27,508.9
380,436.86,512.36
1185,426.06,532.57
1426,438.75,517.45
1334,424.37,531.08
79,419.3,519.26
1408,425.36,526.94
61,428.54,531.96
1482,428.25,533.5
1275,479.46,583.67
1865,479.79,575.29
1726,480.82,582.48
301,428.05,535.66
1751,433.86,539.98
1073,475.98,569.06
1300,425.71,527.41
1049,432.26,538.68
1272,426.35,532.8
310,433.16,506.92
1130,456.46,548.15
600,419.83,522.36
962,481.61,582.36
254,436.27,547.67
1019,403.15,481.14
658,420.63,521.78
99,430.35,537.54
772,473.3,565.93
276,429.53,541.91
696,421.2,525.11
453,417.95,519.27
472,437.88,530.18
1658,478.4,577.03
513,425.5,533.16
2,482.67,581.56
1260,430.14,536.73
662,426.94,528.98
1415,427.95,535.67
1176,480.01,579.92
366,419.28,520.99
988,418.78,521.4
263,390.81,499.96
1943,480.81,580.42
112,477.1,575.32
1603,429.07,534.84
1088,429.35,538.0
899,419.84,522.94
770,419.83,523.59
1507,481.36,579.86
219,479.26,583.18
1389,428.75,537.55
1639,423.2,532.58
449,418.49,522.62
500,419.32,521.64
1838,426.84,534.34
249,473.82,566.25
314,474.37,567.89
1516,442.48,521.81
466,476.21,568.34
1112,436.33,527.91
1873,481.32,582.15
1237,478.69,577.69
1113,423.95,534.31
1263,389.46,499.48
1249,477.65,576.1
405,433.44,507.4
711,401.85,474.83
1291,427.99,536.75
26,479.22,576.29
1643,480.27,581.13
1064,472.24,565.45
222,478.1,570.43
1152,477.63,578.12
1696,426.23,530.98
1630,417.74,517.27
1460,477.38,573.28
1964,457.01,548.25
956,431.92,540.65
1194,480.3,578.0
481,475.54,573.24
484,433.69,508.6
741,479.46,577.1
1586,477.33,578.75
447,476.74,568.54
764,427.63,536.3
788,478.15,575.87
1241,451.11,539.8
1992,425.87,533.58
634,419.29,518.54
969,427.95,534.99
835,426.59,531.92
1933,425.64,526.68
1996,419.58,520.79
739,483.74,586.92
622,417.98,519.89
1135,482.4,581.13
1665,425.53,531.09
1610,416.42,512.43
1506,463.22,550.8
846,401.06,477.89
1723,479.98,582.37
365,431.15,539.18
387,420.64,524.86
1902,431.45,539.47
948,475.95,566.43
502,480.84,578.49
1951,431.94,539.31
412,425.59,531.39
814,474.7,573.73
704,434.46,510.16
1720,426.69,528.31
1158,480.27,579.2
337,477.28,567.83
727,475.96,570.24
1315,428.02,529.96
1083,427.95,535.09
1570,422.34,531.11
1896,484.02,584.02
708,419.07,519.18
761,427.49,530.71
1438,419.32,521.87
1484,447.43,540.06
712,428.41,536.34
666,432.91,503.99
511,428.01,535.44
1563,415.31,516.23
338,478.7,578.09
1311,438.2,515.79
626,477.11,576.67
1379,476.02,575.78
803,421.82,530.69
1247,440.63,520.97
885,480.05,576.64
1767,429.03,537.25
25,417.42,520.28
508,424.64,528.83
1261,430.38,535.76
1842,428.48,535.75
563,416.9,517.9
1093,434.22,506.83
407,420.87,524.79
1645,482.41,582.75
858,428.02,529.08
116,432.11,505.6
1463,426.94,529.85
465,422.26,523.52
921,418.76,520.21
188,476.49,569.23
514,452.99,545.25
1982,474.89,567.18
1917,431.98,540.04
1662,435.67,539.06
526,388.91,498.25
234,471.02,565.56
1596,419.58,519.31
1624,418.49,521.46
1377,426.95,535.21
1687,427.45,533.08
992,425.83,532.69
737,433.69,505.39
157,431.73,538.38
990,477.11,576.54
686,428.5,536.82
1175,429.6,538.67
762,482.94,584.55
1906,467.73,556.58
265,429.86,535.64
958,418.77,521.05
593,480.52,578.34
418,431.73,538.86
1635,425.52,531.78
322,476.33,573.19
