sid,area,power
420,10126.46,12006.62
960,9689.2,11451.09
416,10295.66,12264.74
162,9773.61,11669.04
1347,9603.01,11502.11
1714,9531.84,11434.17
709,10382.69,12228.62
817,9769.36,11641.07
524,10663.1,12632.67
806,9734.28,11569.59
169,10338.55,12071.47
1632,10118.17,12127.62
1934,10836.96,12691.51
1419,9576.36,11416.71
464,9601.22,11540.7
1860,10187.13,12172.39
1821,10152.64,12049.25
1346,9969.1,11906.17
1974,9629.71,11434.12
1721,10498.8,12424.19
867,9650.42,11533.12
1412,9702.43,11601.36
260,9595.59,11434.36
1153,9656.23,11615.56
313,10417.55,12139.52
1225,9727.77,11501.96
154,9615.02,11531.77
1625,10637.06,12539.84
161,9633.75,11440.49
1385,10462.83,12408.93
392,9936.28,11802.98
410,9711.22,11550.38
411,10649.45,12502.13
1542,10320.99,11884.2
91,9767.06,11505.99
343,10441.63,12353.01
1761,10419.74,12271.34
1254,9670.82,11631.73
707,10232.35,11799.66
226,10320.5,11931.06
1012,10064.86,12014.96
256,10219.42,12208.0
909,9769.77,11732.03
853,10380.17,12134.41
1284,9676.3,11515.18
1491,9900.45,11909.63
1587,10156.94,12059.51
70,10063.19,11820.16
1059,9814.63,11768.93
1257,10448.38,12346.43
968,10341.18,12255.99
1211,10136.07,12079.82
273,9565.23,11507.4
1,10122.11,12059.91
1089,9521.96,11495.22
994,9898.76,11566.94
477,10144.68,12105.4
1764,9758.08,11603.81
1607,10367.18,12356.82
79,9658.81,11672.94
1631,10335.02,12208.27
1049,9769.15,11579.05
61,9804.85,11572.74
1185,10146.74,12061.84
1426,9774.84,11760.1
1482,9892.89,11800.94
380,9653.67,11431.24
310,10335.09,12088.74
1865,10652.92,12496.69
1726,9805.08,11649.96
1408,9810.81,11664.38
1751,10227.98,12208.11
1334,9776.45,11552.51
1300,9593.26,11586.14
1073,9794.86,11711.56
1275,10295.14,11897.37
301,10255.08,12251.6
1272,10201.1,12259.07
962,9717.91,11566.24
254,9592.27,11481.89
99,10243.65,12329.63
600,10100.05,12083.75
276,9894.57,11682.26
1019,9952.94,11730.83
1130,10210.02,11906.61
658,10057.23,11999.9
453,9789.18,11656.55
772,9759.73,11484.56
472,10459.14,12116.89
513,9738.61,11610.66
1260,9870.5,11827.07
696,9666.11,11592.39
366,9670.85,11705.19
2,10409.26,12238.83
662,9717.73,11513.33
1658,9852.21,11690.73
988,9615.84,11424.45
1415,10235.17,12257.02
1176,10443.27,12332.37
263,10082.96,12013.35
219,9570.82,11374.71
112,9709.62,11488.38
1639,9582.39,11262.17
1507,10040.84,11882.08
1389,10191.05,12221.63
1943,9686.56,11517.88
314,10266.8,12107.85
1603,9764.73,11635.19
899,9828.63,11634.51
1112,9754.91,11464.99
466,9679.31,11393.93
770,9666.29,11507.68
449,10094.33,12055.99
1088,9691.95,11523.53
500,9636.34,11621.47
1516,10245.02,11848.11
1838,10235.35,12179.2
1873,9735.41,11743.11
249,10219.47,11840.96
1237,10544.84,12370.47
1263,10182.46,12146.62
405,9749.69,11594.5
1113,10190.91,12174.96
26,9834.09,11660.84
1291,9516.32,11413.63
1064,9559.66,11352.93
711,10740.55,12600.83
1643,9601.77,11462.52
222,10344.38,12074.28
1152,9759.28,11655.63
1249,10532.25,12334.96
1630,9773.95,11646.82
1460,9582.46,11354.97
1696,9799.22,11697.84
484,9670.16,11578.32
1964,9740.79,11658.95
1194,9967.4,11883.31
481,10821.3,12682.22
956,9758.02,11708.24
741,10465.12,12378.44
1996,9640.08,11469.49
447,9679.24,11443.78
764,10087.57,11912.53
1586,9848.15,11619.23
788,9586.49,11412.72
969,9708.08,11693.33
1506,10325.71,12072.35
1241,9710.82,11645.32
634,10209.96,12190.92
1992,10044.44,11972.77
835,9846.45,11633.5
1933,10102.12,12084.83
1135,9680.91,11433.38
739,9894.76,11713.45
1665,10253.47,12268.59
622,10067.85,11983.28
846,10561.38,12334.72
387,10299.62,12250.88
365,10069.28,11929.51
1723,9873.86,11786.33
814,9661.67,11342.87
948,10306.77,11955.27
1902,9656.0,11505.67
1610,10137.16,12104.92
727,9698.15,11511.46
412,9711.81,11645.31
704,9922.5,11828.55
1158,10361.55,12144.43
502,10101.98,11942.76
1896,9615.44,11524.3
1720,9707.09,11591.67
1951,9645.12,11682.9
761,9782.98,11605.35
1315,10340.48,12311.73
1438,9700.4,11726.1
708,9773.22,11717.8
1570,10140.6,12078.3
337,10244.54,11815.2
1083,9679.23,11467.85
666,10412.58,12108.98
511,9656.28,11683.96
1484,10360.63,12290.29
1563,9870.98,11729.76
712,10159.1,12190.48
338,10492.63,12237.88
1311,10459.06,12279.19
1247,9751.65,11628.51
626,10274.24,11858.42
885,9895.04,11531.75
803,10127.51,12029.44
1379,9714.67,11572.81
1767,10107.41,12001.37
563,10178.82,12044.82
407,9701.45,11681.22
508,10081.58,12136.39
25,10119.69,11869.06
116,9734.21,11573.75
1261,9839.77,11723.31
1842,10222.54,12148.79
1093,9741.44,11439.12
921,9849.32,11862.12
858,10135.04,12135.17
1463,9561.73,11556.97
465,9779.06,11753.93
1982,10391.11,12289.57
1645,10381.11,12225.16
514,10283.78,11907.92
1662,10053.75,11988.3
188,10222.75,11798.06
1917,9821.28,11753.52
1596,9778.89,11546.88
737,9617.01,11481.32
526,9979.76,11715.65
1377,10032.33,12009.77
1687,10282.91,12316.04
234,9752.88,11628.02
992,9720.7,11642.62
990,10428.51,12288.83
157,10015.83,11975.46
686,9813.43,11730.88
1624,9578.81,11416.81
1175,9665.88,11583.86
762,10200.36,11747.34
593,9628.23,11448.98
322,10540.05,12193.76
958,9740.98,11687.44
1906,9697.33,11606.36
265,9755.28,11684.91
794,9691.19,11658.32
418,9695.14,11682.14
1231,9814.04,11825.91
1635,10126.56,12036.52
213,9546.41,11524.8
1166,10286.25,12373.09
295,9886.94,11692.81
1382,10307.67,12351.77
1770,9662.84,11552.64
398,10062.47,12001.08
