sid,area,power
1714,548.77,613.37
1347,548.61,614.61
1821,549.71,617.09
420,560.39,610.81
960,574.83,630.36
806,537.31,590.03
1860,539.3,601.24
1934,563.72,611.08
464,553.25,609.48
524,573.8,613.11
416,537.15,599.63
1419,561.97,600.3
1974,529.68,594.33
1632,536.9,592.38
709,558.17,605.81
1346,567.39,612.57
169,560.49,607.02
162,559.52,617.84
817,575.31,618.13
1721,578.03,624.17
867,562.64,598.02
313,565.0,607.05
260,545.02,603.89
1412,574.85,624.87
1625,561.35,607.7
1153,544.24,605.52
392,536.94,599.54
1385,578.7,625.96
411,556.61,604.32
161,579.91,619.69
410,550.12,603.78
1542,584.13,630.39
707,569.29,609.47
154,556.32,635.14
1761,568.23,604.65
1225,549.72,614.02
1254,553.9,606.83
91,548.05,616.19
226,553.62,591.93
343,567.68,601.47
1012,561.44,618.52
909,556.05,630.62
256,548.03,612.68
968,566.86,608.73
853,572.49,620.19
1257,581.99,625.86
1211,530.22,586.98
1491,564.16,653.57
1059,575.11,619.71
477,530.55,591.17
1089,560.31,602.51
273,580.66,630.76
1,561.2,614.16
70,584.86,638.22
1284,554.76,609.76
994,572.94,623.37
1587,552.82,618.87
1764,570.42,631.13
1607,554.67,590.6
1631,549.42,582.48
1482,552.85,622.93
380,556.86,587.86
79,542.45,601.1
61,556.84,618.57
1049,557.68,615.15
1185,549.4,611.96
1426,568.47,616.59
1751,543.83,604.6
1073,568.27,613.87
301,528.97,581.33
310,577.4,641.08
1865,574.77,622.86
600,540.04,602.49
1275,552.33,570.54
1300,555.73,622.27
1408,546.24,606.39
1726,577.7,618.37
1334,554.47,612.58
1130,553.67,586.0
1272,557.12,611.62
962,572.99,612.42
99,543.67,608.57
1019,570.83,629.68
772,570.17,614.63
254,554.29,632.69
513,558.07,628.56
658,560.12,613.5
276,553.76,618.77
453,549.53,616.52
472,571.69,609.75
696,538.97,600.35
1658,567.99,609.46
2,593.0,636.95
1415,531.6,591.79
1260,546.41,634.86
662,541.37,605.74
366,543.73,606.75
263,538.35,592.47
988,565.86,642.2
1176,577.51,611.51
112,568.47,593.95
1507,567.72,606.68
314,579.21,619.75
1639,546.87,600.07
