sid,area,power
416,2000.53,2039.32
960,2267.74,2309.24
1714,2098.1,2253.14
709,1999.62,2028.14
817,2046.08,2054.23
524,2013.77,2020.43
420,1947.45,1996.78
1934,1970.3,1983.98
169,1974.91,2007.18
806,2001.97,2044.5
1347,1996.19,2016.07
1346,2167.75,2270.63
162,2085.7,2186.49
1974,2069.46,2225.25
464,2199.14,2269.06
1721,2044.84,2001.0
1632,2014.84,2041.94
1860,2005.76,2030.66
1821,2061.8,2046.56
1419,2243.82,2349.32
867,1986.48,2070.18
260,2232.0,2307.43
1225,2220.85,2309.03
1153,2223.76,2314.36
313,2005.47,2019.74
392,2021.77,2037.65
161,2002.25,2086.66
1625,1988.68,2028.65
411,2024.17,2028.76
1412,2004.57,2067.23
1385,1984.83,2011.9
154,2216.66,2295.08
1542,2245.33,2294.2
1254,2081.4,2064.73
343,2002.85,2013.7
226,1961.2,1997.7
410,2097.01,2189.76
91,2138.73,2289.15
1761,1969.87,1985.98
707,2010.97,2040.09
256,1924.85,1957.09
1012,2065.97,2058.61
1257,1938.73,1970.45
968,1953.97,1970.78
70,2219.33,2259.19
1284,1972.39,2003.12
1211,1936.51,1991.39
909,2146.04,2278.61
853,2192.7,2303.7
1587,2127.8,2289.59
477,2012.0,2048.96
1089,2102.07,2241.72
994,2263.74,2302.19
273,2282.99,2368.22
1491,2136.84,2278.51
1,2057.52,2045.17
1059,1993.2,2051.12
1607,1956.64,2020.4
1764,2227.85,2343.13
1631,1979.46,2011.56
1865,2027.25,2009.81
1185,2015.72,2003.2
380,2074.25,2218.05
79,2003.22,2051.85
310,2187.61,2263.77
1482,2255.72,2284.32
61,2275.67,2336.46
1426,1998.09,2086.04
1408,2211.49,2332.68
1751,2015.48,1996.49
1049,2171.6,2267.68
1726,2262.51,2327.62
1272,2127.62,2209.93
1073,2229.93,2290.14
301,1994.27,2032.95
1300,2135.74,2234.98
1275,1977.89,2007.05
1334,2233.98,2328.76
600,2064.75,2048.77
1130,1982.67,2014.84
962,2018.79,2112.55
254,2131.05,2241.58
276,2194.75,2345.13
1019,1937.18,1980.86
772,2076.8,2180.53
99,2058.62,2035.16
513,2144.9,2198.62
696,2149.58,2262.48
453,2115.23,2268.79
1658,2198.41,2299.12
1260,2018.35,2057.41
366,2255.35,2300.89
1415,2003.1,2039.7
658,2060.45,2028.56
472,2070.58,2048.5
988,2253.71,2284.3
2,1988.17,2002.98
662,1983.92,2036.32
1176,2250.22,2297.74
263,1973.5,1994.05
219,2159.16,2272.01
1507,2199.15,2321.52
1943,2172.26,2274.78
112,1969.18,2027.69
1112,2305.0,2306.3
1389,2237.4,2324.63
314,1963.7,2010.95
1639,2180.41,2292.87
770,2137.09,2329.41
1603,1964.09,2037.59
466,2197.24,2285.61
1088,2041.78,2012.6
899,2237.82,2313.63
1516,2067.45,2245.85
1838,2028.69,2003.02
449,2086.59,2037.79
500,2178.45,2351.55
1237,1991.93,1982.68
1873,2081.36,2213.89
1263,1983.79,2000.71
249,1977.33,2001.14
1113,2022.44,1994.83
1291,2198.86,2319.52
26,2235.14,2317.86
1643,1993.34,2032.2
405,2184.84,2256.45
1249,1928.18,1961.67
711,2045.19,2064.56
222,1960.25,1998.35
1696,2129.37,2265.32
1460,2217.86,2255.68
484,2078.25,2065.56
1064,2254.05,2327.63
1630,2238.8,2298.51
481,2026.18,2010.84
1152,1951.86,2031.0
1194,2263.65,2295.08
1964,2203.05,2305.74
956,2150.96,2324.17
447,2214.71,2246.84
764,2020.66,1983.31
741,2080.95,2242.16
1586,2068.77,2036.44
1996,2192.63,2283.58
1665,1918.57,1980.46
634,1978.36,1998.02
788,2180.28,2294.33
969,2101.79,2239.55
1992,2050.51,2017.05
835,2016.92,2087.35
739,1952.1,2014.56
1241,2167.36,2287.85
1135,2013.88,2051.52
1506,2167.73,2273.35
1933,1926.55,1976.25
622,2064.07,2070.44
1610,1924.97,1954.55
846,2099.87,2061.12
365,2045.73,2079.92
387,2250.65,2280.97
948,1985.14,2015.44
1723,2180.47,2296.32
1902,2020.83,2092.95
814,2227.99,2260.17
