sid,area,power
420,19964.24,24728.65
416,19006.24,22851.86
1934,22922.5,29092.27
1347,19346.28,23840.75
1821,19447.46,24108.72
162,20473.69,25369.46
1860,19799.76,24564.8
960,22782.51,28702.37
709,18733.09,22484.15
806,19881.95,24475.93
1714,20518.42,25520.37
464,20337.01,25126.18
169,19004.26,22873.77
817,20295.38,25082.26
524,20595.05,24931.63
1346,19070.91,23086.05
1632,21697.44,26875.23
1974,19222.86,23719.45
1721,19429.64,24074.67
1419,20890.62,25872.6
867,19655.38,24398.49
260,21104.05,26153.58
1412,19203.47,23651.01
313,18812.31,22531.28
1625,19635.76,23712.66
154,20397.97,25257.74
411,19586.08,23623.62
392,21450.62,26803.68
1225,19961.35,24666.18
1385,21360.95,26549.35
161,19300.75,23760.5
410,22173.9,27590.89
1542,21256.82,26411.67
1153,20489.6,25386.81
707,19028.24,22847.35
1761,19944.29,24634.45
343,18402.22,22001.96
1254,18734.38,22949.46
226,18760.91,22489.72
256,19597.58,23636.29
1012,20944.69,25962.3
91,20322.41,25140.63
1491,19864.35,24374.13
853,18730.0,22625.77
1284,19530.92,23892.1
1587,20686.34,25760.49
909,21017.78,25939.63
1211,20558.24,25660.32
70,20753.7,25113.01
968,19751.24,23776.0
1059,19328.71,23808.56
1257,20593.28,24919.73
1,19746.1,24431.07
1089,21354.31,26327.9
273,19608.7,24192.94
477,22024.65,27655.05
994,20701.4,25028.41
1764,17625.29,21514.96
79,20440.06,25397.21
1607,18965.18,22720.2
1185,19346.34,23976.83
380,19239.46,23769.35
1482,20428.42,25383.33
1426,19621.15,24176.42
61,22347.42,28013.75
1049,22379.57,28082.43
310,22812.58,28740.15
1631,19084.65,22891.45
1751,20844.03,26077.34
1865,20600.2,24927.21
1334,20070.95,24754.63
1073,20079.49,24620.85
1726,21256.05,26411.41
1275,19913.83,24674.86
1408,21863.09,27305.84
301,20400.4,25249.07
1300,20661.44,25624.21
962,19447.44,24153.58
1272,19847.74,24438.52
276,22907.31,28644.62
99,19634.65,24248.98
600,19155.71,22985.86
254,20601.01,25517.66
1019,20609.49,24939.62
1130,19190.16,23081.0
658,20934.14,25953.59
472,22804.05,28738.09
772,17989.45,21887.06
696,19230.29,23753.0
1260,20931.26,25990.59
513,22728.66,28455.92
453,20865.18,25777.61
366,20557.03,25450.72
988,20870.9,25891.99
2,19659.01,24206.34
1415,19820.7,23932.66
263,22269.27,27771.14
1658,22924.54,28682.62
1176,21267.43,26398.9
1507,19720.62,24445.18
662,17677.83,21585.14
219,19716.39,24458.07
1389,19305.71,23920.35
1639,20859.74,25875.72
112,17410.64,21114.49
449,21296.09,26404.02
770,21832.19,27280.54
899,20070.95,24754.63
1943,21310.54,26376.66
466,19332.72,23906.77
1603,19770.39,24425.98
314,22778.36,28560.37
1516,18834.37,23057.1
1838,18365.35,21981.71
1088,19518.99,24025.18
1112,20750.77,25109.27
1237,21648.4,27067.0
1263,21038.8,26084.2
249,19875.06,24386.03
500,21322.54,26668.28
405,20598.72,24914.71
1113,20389.41,25361.41
1873,21395.42,26753.47
1291,20154.27,24932.37
26,18905.59,23143.33
1064,19629.89,24256.44
711,22748.36,29138.03
222,20868.72,26065.07
1249,20608.17,24939.15
1460,20545.5,24865.91
1643,20272.98,25189.34
1152,19704.65,24469.89
484,19616.47,23653.76
1696,19244.56,23757.49
1630,22799.99,28591.79
481,20641.9,24974.93
764,19768.03,24412.49
1194,22783.28,28699.7
1964,20390.5,25171.92
741,21576.85,26856.3
1996,20619.2,25560.16
447,22771.03,28556.83
956,19184.34,23638.86
634,18764.36,22570.01
1506,19454.83,23984.73
1586,19616.43,23654.78
1241,19601.18,24314.87
1992,20899.67,25923.71
739,19566.93,24267.38
835,20402.22,25146.04
969,19957.03,24704.7
1933,20681.58,25801.98
788,22012.11,27304.26
1135,19233.98,23839.21
387,20931.74,25949.97
622,21009.2,26031.77
1723,20545.07,25514.86
846,20693.5,25547.03
365,19349.15,23352.96
1665,22079.39,27475.48
948,19574.49,24149.06
1902,18999.28,23121.29
1158,20781.99,25898.66
727,20989.86,26065.32
1951,21828.44,27277.95
814,20734.43,25099.98
1610,19647.64,24240.48
704,19783.17,24538.73
412,22478.29,28075.09
502,20610.8,24940.17
1896,20209.55,24995.89
761,20484.96,25396.71
1315,22824.88,28579.46
1720,20661.11,25642.79
1570,20489.5,25399.2
337,20747.37,25666.42
666,22817.89,28747.47
511,22611.94,28354.7
1563,21074.82,26266.92
712,19376.16,23970.04
1438,20536.43,25545.12
708,21433.45,26632.12
1484,20518.02,25541.4
1311,19604.87,24337.15
1083,22502.28,28222.09
338,21887.14,27352.79
1247,19700.07,24246.57
803,21841.92,27456.0
1767,19781.56,24396.64
626,20925.47,26165.39
1379,19704.29,24399.8
885,20696.03,25005.9
563,19240.74,23751.89
1842,20001.43,24622.42
508,19449.24,23978.12
25,20667.92,25737.96
921,19498.22,24013.08
116,20597.4,24913.69
1463,19576.61,24069.98
1645,19416.07,23794.75
1261,19395.38,23937.29
858,19800.5,24448.9
407,20895.91,25912.45
1982,19236.49,23750.74
1093,19500.86,23526.45
514,18675.65,22424.1
188,18887.95,22711.39
465,19281.96,23551.43
1662,20188.11,25042.02
737,20822.12,25823.94
1917,21662.07,27087.27
1377,19431.04,23965.85
1596,21375.13,26694.34
526,20559.0,25471.64
157,19295.21,23894.55
234,19337.9,23769.8
990,22749.92,28500.4
992,19435.4,23898.03
1624,19324.97,23801.35
686,20895.59,25936.26
1175,19200.46,23684.28
1906,20663.37,25579.93
322,22817.36,28746.03
1687,21975.04,27324.29
593,19081.94,23351.83
958,20616.53,25285.29
265,18549.8,22539.27
762,20012.64,24711.4
213,22434.87,28101.54
794,21830.29,27278.62
1231,20931.19,25948.33
1635,19648.29,23618.12
295,19814.79,24551.9
418,21293.2,26483.96
398,21689.53,26862.06
1382,22070.15,27758.07
1155,22632.77,28374.45
1770,19136.13,23666.2
278,18647.86,22385.57
1166,19465.64,23450.31
636,20556.45,25636.66
1689,19184.2,23392.14
1462,20289.92,25159.85
1281,19791.13,23914.69
1931,17739.15,21561.14
1042,22804.05,28738.09
1075,19446.69,23981.52
824,19579.71,23615.74
1622,19261.5,23838.75
596,17958.44,22066.58
290,19388.33,23914.5
1366,21417.04,26776.75
765,17553.98,21509.8
641,19535.96,24112.24
1404,22434.87,28101.54
966,20387.54,25336.43
980,20325.69,25052.6
42,20638.77,25706.83
128,18342.56,21967.53
1815,20494.97,25487.11
1292,19022.53,23071.24
560,20403.72,25386.53
1327,22802.22,28732.53
1735,19237.71,23766.83
884,20785.47,25797.99
1712,22170.66,27612.43
123,19667.18,24385.79
368,19518.99,24025.18
1994,20818.09,25835.66
1004,20399.56,25248.35
1312,21946.61,27373.29
1277,20816.52,25851.02
153,21425.34,26800.89
698,19317.41,23830.48
388,19197.26,23603.95
1626,19727.95,24457.37
80,22374.12,28090.06
236,22802.47,28734.99
44,20603.09,24930.75
528,19298.4,23898.23
1910,21221.7,26493.1
293,18932.95,22897.03
572,18256.6,21872.05
951,18985.46,22791.21
233,18877.75,23028.28
776,19634.28,24246.14
880,20665.99,25560.4
1287,19615.86,24264.43
1997,19749.62,23830.3
215,20539.65,24857.24
917,19576.99,24150.78
1769,18719.29,22423.56
1701,19621.05,24211.72
428,20111.84,24857.46
95,20998.55,26035.49
1889,19472.65,24013.69
474,20803.62,25844.49
1033,21074.62,26206.25
1133,19081.6,23136.78
332,21334.87,26433.92
1824,20498.93,25357.11
1803,19311.88,23805.38
961,18920.17,23062.24
836,22049.93,27489.95
1537,21887.4,27378.16
208,19627.83,24164.51
1008,19804.71,24450.95
1098,22116.16,27648.32
362,19595.26,24166.49
503,20611.89,24943.38
1077,20825.98,25839.33
1180,20200.14,25027.25
1901,20604.1,25644.02
1405,19248.14,23852.32
1295,20657.94,25623.62
84,20600.52,25707.11
1452,20552.66,25543.9
424,19361.96,23996.14
172,19874.76,24462.73
175,20365.23,25258.69
1364,19076.32,22904.28
1839,19324.12,23920.05
724,18822.04,23037.82
617,20827.0,25855.2
121,21483.68,26853.54
103,20637.17,25705.68
102,21850.23,27317.43
14,19410.2,23874.88
491,20566.51,25452.54
1744,21934.63,27295.45
891,20974.32,26004.92
618,19363.34,23809.78
1328,19526.37,24097.51
1702,19425.62,23947.8
1612,19315.0,23903.42
895,20579.97,25469.6
525,20934.14,25953.59
159,20413.91,25402.8
1120,21199.6,26495.92
857,20117.5,24814.4
1305,19401.38,23924.78
1350,22603.65,28347.23
475,19026.44,23388.42
1841,20385.84,25133.59
318,20723.55,25801.26
1589,18730.01,22502.75
742,20795.13,25868.45
1663,19656.58,24380.08
221,19818.78,24554.92
521,20189.23,25074.07
1339,20339.5,25317.86
1003,19546.92,23631.67
451,19988.13,24685.37
1494,22166.97,28283.55
888,19462.16,23992.3
1957,19958.36,24486.41
1040,20972.98,26035.56
1894,18951.04,23103.83
1161,18942.35,23174.95
882,20611.06,24940.12
1475,19747.6,24286.59
1269,19678.98,23716.71
841,19400.71,23890.98
1361,21539.7,26839.78
1518,20818.33,26028.74
1883,19735.76,24447.27
1209,22812.59,28738.91
1644,20342.82,25322.82
1167,20912.32,25896.14
700,19790.84,23915.35
1223,20809.53,25843.21
1634,19606.71,23645.74
389,20036.16,24761.27
214,20789.62,25142.09
1248,22827.51,28585.26
753,19212.54,23694.8
1750,20385.93,25336.8
1320,18409.35,21975.54
396,22804.05,28738.09
1911,21275.53,26580.16
1288,21701.97,27071.08
781,19637.78,23611.64
1715,19029.3,22877.07
454,21326.17,26477.94
699,19520.71,24029.76
587,22603.12,28348.0
927,22817.89,28747.48
1765,18628.67,22291.21
1763,19843.0,24574.45
439,21190.62,26449.84
1187,22783.54,28702.34
1580,20075.96,24813.4
1370,20558.62,25451.71
393,19665.89,24389.05
6,18949.51,22772.32
1411,20597.8,24924.81
289,19632.14,24172.4
165,21213.53,26306.34
1676,18718.31,22470.74
1555,20846.7,25864.81
1282,19236.55,23357.78
1640,19298.08,23904.57
306,19719.31,24461.82
713,20726.71,25495.92
789,22630.69,28955.75
385,20106.32,24666.84
480,19773.13,24368.95
1172,19483.59,24036.31
825,20987.72,26065.62
1880,19754.07,24494.93
797,19063.25,22929.43
166,19440.74,23995.63
194,18589.55,22416.32
378,20667.26,25749.46
1316,20798.44,25775.79
155,19735.61,24483.13
1673,19332.66,23954.75
1041,20414.38,25298.55
1817,20848.29,25873.03
1534,19431.89,23782.09
1942,20592.12,24927.82
187,19578.49,24131.41
760,20743.13,25662.14
900,20154.07,25010.67
292,20546.02,24865.3
896,20054.32,24729.23
1062,21340.24,26669.17
1232,19628.3,24124.69
619,21445.21,26715.75
1590,20771.2,25900.62
110,19907.4,24559.36
104,19067.97,23236.22
802,22630.69,28955.75
1380,19452.83,23977.36
697,19848.79,24573.03
1022,22781.15,28701.06
565,18938.38,22755.14
180,20989.49,25999.06
606,19626.74,23665.1
62,19394.27,24031.49
680,19811.96,24587.71
1637,21954.5,27387.37
1577,20297.45,25279.55
1737,18924.55,23238.72
1058,19565.38,24091.23
1944,18910.11,23067.87
1960,19497.33,23467.25
582,19646.33,24375.51
886,20010.01,24592.85
1218,19502.35,24176.08
621,17462.72,20768.77
730,18764.25,22602.87
401,21347.33,26691.75
924,19735.61,24483.13
268,19694.22,24279.31
639,19685.7,24253.25
819,20740.7,25677.29
1109,18661.22,22412.13
755,19867.37,24631.45
1742,18943.63,22932.31
1785,19614.58,23652.42
1756,21637.3,26999.48
463,22419.27,28101.86
1417,21534.84,26722.26
347,20483.6,25490.76
