sid,area,power
420,12571.33,12049.52
1714,12533.94,11963.22
162,12395.03,11743.75
1347,12462.81,11836.1
416,12542.43,12054.2
1632,12582.36,12212.09
960,12236.01,11949.98
709,12462.06,12181.86
817,12597.67,11962.67
524,12432.99,12208.93
1419,12985.22,12680.8
806,12413.09,12142.63
464,12517.81,11923.44
1346,12778.88,12481.43
1821,12434.14,11841.16
169,12463.89,12229.44
1860,12464.09,12247.48
1934,12236.19,11952.85
1974,12592.81,12180.41
1721,12435.23,12130.29
867,12476.36,12254.01
260,13296.86,12870.48
1412,12775.54,12483.37
313,12767.4,12450.36
1153,13154.09,12732.59
154,12690.38,11980.14
392,12834.61,12511.29
161,12667.77,12068.48
410,12692.92,12025.24
1225,12490.77,11719.43
1385,12600.19,12325.77
1625,12215.96,11926.98
91,12476.95,11945.38
411,12212.19,11943.22
1542,12517.01,12181.44
343,12422.44,11810.42
1761,12820.74,12488.71
707,12895.47,12638.2
226,12761.83,12444.3
909,12486.15,11952.4
1254,12649.08,12333.34
1012,12497.11,11931.45
256,13051.93,12466.56
853,12805.05,12528.51
1491,12678.99,11975.9
1587,12502.92,11964.03
1284,12385.79,11653.74
1059,12508.69,11925.65
1211,12450.24,11769.66
968,13079.22,12485.94
70,12549.16,12282.48
273,12521.33,12234.91
1,12559.83,12049.34
1257,12230.38,11960.88
1089,12740.95,12453.29
477,13161.31,12666.06
1764,12424.69,12037.09
79,12318.16,11928.14
994,12199.51,11925.7
1049,12413.13,11762.92
1607,12596.31,11938.77
61,12451.75,11800.83
1631,12484.25,11883.3
1482,12658.98,12245.66
1185,12478.54,11880.0
1426,12598.59,12074.13
380,12592.13,12336.43
310,12403.2,12155.91
1865,12250.04,11998.12
1751,12424.06,11746.36
1408,12327.81,11700.72
1726,12564.92,12298.27
1334,12755.49,12442.32
1073,13124.47,12620.61
1300,12320.01,11499.54
301,12787.77,12524.32
1275,12593.58,12056.53
1272,12471.52,11759.56
962,12569.88,12072.59
600,13060.03,12545.09
276,12610.36,12058.28
254,12688.57,12320.08
772,12352.18,11652.26
99,12446.71,11873.02
1130,12882.21,12586.95
453,12329.12,11648.39
1019,12254.51,11966.35
658,12494.64,11917.43
513,12446.6,11821.85
696,12536.28,12020.04
472,12274.96,11998.26
1260,12565.35,12030.32
2,12406.31,12111.71
366,12479.72,12159.39
1176,12323.22,11919.51
988,12548.05,12013.17
662,12878.28,12540.35
1658,12502.27,11809.15
263,12507.65,11950.94
1415,12447.58,12208.97
112,12554.11,12294.19
219,12624.93,12053.49
1507,12463.11,12263.52
1389,12405.86,11712.66
1639,12593.35,11995.38
1943,12687.39,12017.3
899,12754.14,12441.1
314,12434.88,11806.93
770,12604.22,11956.24
449,12545.56,12011.76
1603,12448.43,11898.69
500,13132.96,12607.57
466,12481.98,12202.24
1112,12716.45,12504.3
1516,12493.18,11896.93
1088,12441.05,11788.27
1838,12594.33,11946.3
1873,12567.75,11840.68
1263,12558.73,12016.25
249,12485.96,11849.59
1113,12345.81,11715.22
1237,12237.71,11957.57
405,12230.23,11936.73
26,12572.33,11977.11
1291,12616.53,12196.46
222,12638.31,12307.31
1249,12545.15,12268.91
1643,12485.32,11907.34
1064,12594.49,12054.0
711,12446.67,12228.63
1630,12430.19,11752.24
1152,12613.87,12088.06
1696,12390.49,11639.96
1460,12398.19,12192.28
484,12213.5,11913.91
956,12671.27,12320.77
481,12545.06,12283.11
1996,12506.55,11951.78
1964,12632.05,12079.32
741,12753.43,12229.55
1194,12534.78,12253.83
764,12429.05,11832.04
447,12474.27,11861.56
788,12577.28,11997.02
969,12549.72,12069.24
1586,12525.34,12249.58
1992,12505.68,11942.08
634,12560.45,12024.72
1241,12978.15,12634.3
1506,12496.39,12156.55
1665,13120.38,12565.68
387,12548.89,11995.35
835,12292.75,11663.02
1135,12524.31,11919.45
365,12538.87,11988.35
1933,12459.22,11832.1
739,12620.77,12136.15
622,13168.92,12795.53
1723,12661.38,12019.6
846,12720.46,12507.85
948,12579.9,12050.4
814,12394.8,12183.2
727,12911.01,12648.73
412,12637.04,12082.12
1610,12546.05,12172.92
502,12725.67,12512.69
1158,12394.06,12063.17
1720,12344.12,11723.7
1902,12503.99,11912.86
704,12590.17,12047.02
1951,12598.36,11944.05
1896,12575.75,12058.35
761,13041.72,12477.03
708,12661.06,12089.59
1438,12584.07,12321.35
1315,12618.76,12001.89
511,13134.27,12643.66
1570,12517.44,11960.12
337,12631.95,12072.86
1563,12501.89,11989.98
1083,12835.27,12532.63
712,12561.14,11923.67
666,12405.39,12202.57
1484,12594.37,12266.6
1311,12492.4,12271.0
338,12249.98,11951.98
1247,12647.09,12301.54
626,12630.9,12315.42
803,12516.8,11934.8
1379,12643.42,12117.27
885,12240.1,11952.76
1767,12544.51,12074.17
508,12371.21,11789.13
407,12691.85,12146.25
563,12400.85,11764.34
921,12445.65,11843.65
25,12713.26,12224.61
1261,12467.68,12130.33
116,12396.07,12157.54
1842,12554.3,12031.88
858,12486.88,11924.09
1463,12540.9,11886.04
465,12518.42,11921.7
1982,12565.14,12310.9
1645,12625.55,12106.99
1093,12539.71,12271.03
188,12843.07,12575.32
514,12793.24,12476.86
1662,12520.63,11973.61
1596,12501.53,11946.69
1377,12435.8,11726.27
1917,12578.38,12019.36
526,12414.44,11685.46
737,12421.95,12166.34
990,12428.89,11832.29
157,12426.46,11731.11
234,13095.82,12609.4
686,13097.65,12680.95
992,12469.66,11867.92
1175,12856.05,12492.17
1687,12400.83,11692.69
762,12527.4,11905.9
593,12585.62,12000.77
265,12564.06,11916.11
958,12651.55,12127.8
322,12407.13,12190.03
1624,12384.4,11732.03
794,12850.32,12309.33
1906,12422.87,11829.43
1231,12516.89,11943.45
418,12906.74,12455.76
213,12522.25,12009.26
295,12470.29,12290.29
1166,12477.33,11851.27
1635,12885.31,12536.09
1382,12578.41,11998.84
1770,12520.36,12114.69
398,12482.76,11912.71
278,12548.2,12017.88
824,12498.85,11943.08
636,12594.3,11919.48
1462,12504.79,11919.77
1689,12702.07,12019.44
1155,12557.81,12024.26
1931,12637.15,12060.86
1281,12409.06,12133.92
1075,12598.49,12033.95
1042,12722.72,12499.9
1622,12430.46,11765.67
1366,12613.55,12026.73
290,12596.19,12173.07
596,12534.46,12200.59
1815,12498.55,11920.82
641,12422.41,11807.12
765,12390.31,12008.9
42,12530.33,11992.58
966,12420.69,11784.02
980,12568.61,12053.97
128,12549.83,12195.18
560,12557.5,12156.97
1735,12592.33,12040.49
1404,12425.93,12170.16
1292,12410.89,12182.96
1327,12453.11,12231.85
1312,12603.19,11952.27
1994,12505.71,11917.86
884,12508.08,11942.87
1277,12566.08,12037.31
388,12620.13,12052.36
123,12574.69,12023.04
1712,12571.94,12051.11
1004,12592.21,11932.44
368,12429.4,12171.64
698,13087.73,12679.75
80,12650.31,12301.55
153,12624.82,12046.03
1626,12857.56,12596.81
293,12427.1,12199.58
236,12427.35,12194.28
572,12641.73,12283.15
528,12450.82,12175.78
44,12226.57,11951.19
1910,12461.09,11870.82
233,12658.35,12358.53
776,12339.24,11712.91
951,12605.56,11964.51
880,12816.2,12420.37
1287,12932.5,12423.96
95,12511.65,11957.29
917,12580.4,12194.65
1769,12765.71,12459.67
215,12250.78,11964.66
474,12550.19,12032.39
1889,12596.06,11993.69
1997,12396.06,12174.05
1701,12422.14,12166.72
428,12539.29,12139.08
1133,12412.51,12180.1
836,12539.75,12162.37
1033,12616.92,12088.07
1803,12622.64,11970.31
1824,12692.86,12204.22
961,12341.88,11730.58
332,12553.5,12072.44
208,12581.92,11918.45
1098,12663.43,12065.94
1008,12920.54,12691.18
1180,12341.92,11716.71
1537,12421.56,12185.62
1405,12441.5,11866.6
1077,12564.12,12045.67
362,12588.64,12065.3
503,12723.51,12496.76
1295,12346.33,11622.75
1452,12494.96,11920.89
1901,12773.13,12491.32
424,12768.83,12417.18
724,12839.53,12488.33
84,12549.96,12225.04
1364,12801.53,12488.75
617,12548.24,12008.19
172,13147.92,12660.3
121,12598.0,12259.91
175,12519.47,11916.58
103,12581.24,12050.75
1744,12603.33,12007.81
14,12606.5,11977.63
891,12446.49,11752.67
1839,12764.9,12478.62
491,13181.97,12742.35
618,13069.7,12417.98
102,12541.69,12267.59
159,12431.56,11841.42
1328,12483.06,12245.75
525,12529.48,11976.68
1841,12478.91,11930.91
895,13075.97,12463.3
1305,12564.87,11921.99
1612,12492.07,12085.31
1120,12557.47,12035.7
1350,12567.66,12034.17
318,12495.61,11948.83
857,12893.19,12640.87
1702,12611.47,12086.55
1589,12853.41,12563.38
475,12700.32,12053.25
221,12572.12,12056.92
1339,12463.38,11783.34
742,12415.75,12177.07
1663,12469.59,12243.27
451,12502.93,11915.56
521,12552.34,11879.79
1003,12585.32,12054.07
1161,12483.47,11882.04
1361,12579.21,11929.27
1957,12692.39,12011.58
1040,12579.23,12064.24
1894,12644.12,12070.15
1494,12556.74,12279.57
888,12828.25,12540.57
882,12235.32,11967.42
1167,12488.49,11970.67
1475,12639.81,12085.52
1269,12204.38,11927.72
841,12687.68,11992.35
1518,12447.71,11792.92
1644,12722.09,12231.91
1209,12214.04,11940.34
700,12447.01,12208.56
1223,13155.3,12739.18
1634,12485.18,11922.26
1883,12561.19,12017.86
214,12236.32,11944.55
1248,12394.98,12068.94
753,12589.25,12268.46
781,12564.51,12295.54
1750,12439.21,11772.96
1911,12510.97,11836.76
389,12642.55,12101.61
454,12593.48,11948.74
396,12734.94,12516.43
1580,12486.09,11795.26
1288,12588.37,11991.28
1320,12371.37,11655.6
1715,12563.98,12036.17
