sid,area,power
1714,282.28,367.15
1419,294.71,384.9
960,288.87,356.11
1934,295.24,386.08
420,286.47,375.27
169,296.87,371.48
1721,295.8,369.84
1346,295.0,370.33
806,287.56,375.96
524,295.26,370.34
464,283.05,350.77
416,267.72,367.14
162,264.9,365.11
1860,267.22,366.93
709,293.63,384.18
1974,281.73,366.71
817,295.0,370.33
1632,270.9,333.47
1821,256.77,330.17
1347,264.9,365.11
1153,306.1,385.27
1625,294.69,385.71
154,260.28,334.39
260,276.28,343.68
161,294.71,384.9
1225,286.47,375.29
392,256.77,330.17
867,293.37,384.17
410,260.28,334.39
313,296.87,371.48
411,295.26,370.34
1385,293.67,368.17
1542,293.37,384.18
1761,294.71,384.9
707,295.5,385.65
343,296.6,371.68
1412,293.91,384.65
226,295.78,386.49
91,270.37,336.74
1254,293.63,384.15
1012,294.89,367.85
1059,295.26,369.61
1284,287.02,375.73
968,298.21,372.41
1491,256.49,330.59
1257,294.45,384.89
477,278.31,345.53
853,293.92,384.62
1089,286.74,353.7
1587,281.73,366.71
273,293.37,384.18
1211,283.06,349.5
256,257.29,330.24
1764,294.17,384.61
70,294.17,384.65
1607,278.38,371.54
909,284.15,374.11
1,282.25,348.72
994,289.68,358.02
1631,295.53,370.04
79,269.31,331.98
380,295.8,370.57
1865,295.23,385.94
1049,287.56,375.96
61,256.77,325.82
1185,285.11,393.57
1482,256.77,330.17
1334,295.43,368.08
1426,289.94,358.03
1408,256.77,326.12
1751,287.56,375.96
1073,295.8,369.86
1726,292.05,382.21
301,287.28,376.07
1300,294.89,367.85
1272,264.35,364.68
1275,294.71,384.9
600,295.42,368.26
310,290.21,358.3
1130,297.12,387.42
254,255.71,325.55
658,282.25,348.72
696,277.78,347.95
276,261.1,361.08
1658,293.37,384.18
472,289.94,358.03
962,293.63,384.17
1019,295.26,370.34
2,294.71,384.89
1260,263.93,337.88
772,295.8,369.86
1415,284.66,373.82
662,256.77,326.12
988,282.25,348.72
1176,293.91,384.65
99,274.08,355.46
366,268.52,330.83
513,261.1,361.08
453,269.31,331.98
263,287.02,375.73
1507,294.17,384.66
112,292.58,382.49
219,294.18,384.62
1639,287.02,375.73
1943,294.71,384.9
314,295.8,369.84
1389,281.73,366.71
466,295.8,369.84
1088,287.56,375.96
899,295.43,368.08
1603,284.13,374.65
1112,295.26,370.33
