sid,area,power
817,6335.87,5287.93
416,6342.65,5239.63
960,6321.31,5152.73
420,6298.31,5157.7
162,6293.57,5344.88
1347,6229.23,5312.21
1714,6226.0,5351.7
1346,6411.27,5261.08
169,6315.34,5221.96
709,6292.86,5153.9
1934,6469.07,5233.32
806,6285.44,5280.37
1974,6195.67,5341.17
464,6195.77,5203.78
524,6330.67,5148.41
1860,6405.05,5242.78
1632,6225.29,5283.38
1821,6354.61,5286.09
1721,6320.21,5203.77
1419,6331.64,5290.39
867,6375.31,5236.68
1225,6278.83,5338.17
161,6399.73,5298.82
1412,6559.06,5397.53
410,6240.96,5328.16
392,6340.76,5271.03
1625,6274.99,5112.54
313,6407.34,5265.37
260,6311.04,5299.15
411,6439.07,5168.92
154,6438.04,5472.48
1385,6284.14,5261.29
707,6229.66,5183.31
1542,6430.26,5467.11
343,6241.77,5174.87
1153,6333.12,5407.87
91,6327.25,5392.6
1761,6239.27,5175.56
226,6462.27,5246.71
1254,6260.69,5298.36
1491,6343.65,5354.86
1012,6215.32,5079.0
1284,6260.03,5196.81
853,6382.52,5236.11
1257,6338.56,5156.02
256,6207.92,5236.18
70,6526.91,5276.67
909,6239.69,5443.7
1587,6367.21,5381.04
1059,6228.46,5299.21
1211,6327.33,5234.32
477,6261.47,5216.24
273,6404.98,5445.42
968,6322.86,5262.29
1,6259.64,5097.46
1089,6237.45,5223.7
994,6388.85,5253.1
1631,6209.7,5264.37
1764,6286.49,5344.63
1607,6271.8,5269.84
79,6358.18,5374.39
1426,6349.62,5222.74
1185,6288.59,5204.42
61,6282.74,5288.97
1865,6319.95,5124.88
380,6270.42,5245.95
1482,6373.01,5363.74
1751,6226.06,5273.76
1726,6310.87,5368.53
301,6421.27,5294.65
310,6592.61,5401.05
1049,6240.3,5270.0
1408,6347.05,5440.46
1275,6212.61,5191.2
1334,6338.36,5291.09
1073,6201.48,5238.5
1272,6263.9,5393.49
1300,6294.99,5386.15
600,6249.15,5237.94
1130,6442.1,5141.54
962,6434.84,5303.74
276,6339.72,5401.66
772,6416.69,5458.39
1019,6308.81,5149.3
99,6304.61,5297.77
472,6364.06,5182.41
658,6293.3,5170.56
254,6232.6,5366.36
696,6221.85,5355.13
453,6219.87,5364.66
513,6291.12,5385.38
1658,6284.4,5360.42
366,6229.71,5314.46
1260,6255.0,5290.94
1415,6348.86,5212.72
662,6265.85,5232.79
2,6342.21,5229.43
988,6475.98,5316.66
1176,6437.18,5481.19
263,6465.51,5286.24
112,6335.23,5273.02
219,6416.37,5357.33
1639,6323.12,5249.66
1389,6187.97,5212.26
314,6421.58,5353.59
770,6273.55,5296.27
1507,6412.72,5372.79
1943,6330.28,5364.27
1112,6513.12,5232.04
1603,6241.83,5205.67
899,6368.69,5342.9
466,6339.81,5298.41
1088,6303.71,5248.85
1516,6201.28,5267.56
449,6280.57,5117.37
500,6375.95,5396.83
1237,6377.99,5131.42
1873,6358.78,5463.69
249,6331.23,5226.13
1838,6376.93,5274.75
1263,6192.99,5145.98
1113,6177.56,5211.98
1249,6323.54,5143.78
26,6385.75,5386.83
405,6522.54,5296.15
1291,6374.72,5374.77
222,6330.74,5301.86
711,6518.3,5267.5
1460,6302.62,5180.17
1643,6316.57,5296.6
1064,6354.36,5301.4
1696,6121.17,5214.48
1152,6354.36,5268.11
484,6271.93,5111.83
1630,6276.33,5360.35
1194,6419.49,5259.6
956,6212.54,5324.66
1964,6282.59,5333.31
481,6396.17,5211.27
741,6257.58,5264.56
447,6346.18,5314.01
1586,6286.21,5116.84
764,6266.46,5191.72
634,6224.76,5105.58
1996,6305.12,5266.02
969,6215.84,5248.82
1992,6251.51,5172.99
1241,6332.4,5417.44
1665,6205.22,5196.8
1506,6416.17,5388.19
1933,6114.59,5222.07
788,6381.09,5421.34
835,6316.05,5301.68
739,6480.75,5359.8
622,6515.76,5309.27
846,6471.41,5208.54
365,6166.87,5157.54
1610,6281.04,5248.29
1135,6376.29,5274.07
1723,6330.52,5252.69
948,6319.01,5200.48
387,6535.39,5373.12
1902,6226.94,5370.33
704,6267.49,5203.74
412,6356.27,5377.42
814,6365.38,5183.6
1951,6338.28,5338.35
502,6513.32,5271.03
1315,6275.88,5259.57
1896,6351.8,5321.76
727,6404.47,5289.15
1158,6445.77,5312.53
761,6266.01,5262.5
1720,6282.75,5414.53
1438,6212.96,5294.98
337,6356.6,5163.79
1570,6243.22,5258.94
1083,6159.11,5269.17
708,6323.03,5372.62
1484,6200.54,5196.19
666,6287.94,5100.66
712,6231.79,5215.88
338,6217.18,5054.69
511,6404.12,5292.5
1247,6336.68,5349.08
1311,6472.07,5289.86
626,6218.76,5284.57
1563,6428.42,5284.08
885,6483.35,5301.41
803,6267.53,5277.7
25,6331.24,5321.15
1379,6238.47,5342.79
508,6186.61,5206.1
563,6218.65,5232.9
1842,6323.66,5221.21
1767,6297.0,5088.31
1261,6220.39,5341.16
407,6421.59,5480.37
1093,6362.7,5200.67
1645,6364.21,5272.87
116,6483.71,5276.43
465,6157.04,5281.31
858,6230.62,5237.68
1982,6254.34,5259.68
921,6395.58,5368.25
514,6410.7,5248.52
1463,6237.86,5253.38
188,6329.95,5185.3
1917,6199.4,5316.37
737,6445.2,5263.43
1662,6220.43,5246.81
526,6276.73,5355.15
1377,6240.74,5335.68
1596,6357.4,5404.91
157,6310.71,5363.35
1687,6239.74,5264.57
234,6307.69,5289.99
1624,6183.97,5258.33
990,6278.9,5276.32
992,6367.46,5429.7
762,6341.85,5362.63
1175,6298.33,5366.07
