sid,area,power
416,311.26,398.18
1860,312.57,396.62
1821,318.42,414.6
709,306.51,387.08
1934,315.22,389.56
1714,307.56,390.96
169,314.23,396.32
1974,307.26,391.67
1347,302.0,382.91
524,319.47,405.48
1346,308.66,390.05
464,310.48,393.88
1419,307.36,384.83
420,313.15,402.01
162,311.0,396.97
960,313.68,393.34
1721,313.71,399.11
817,312.62,397.23
1632,311.31,392.31
806,316.62,400.47
1225,311.29,393.61
867,306.76,391.24
260,305.73,388.61
1412,310.02,390.88
1153,308.64,388.59
1385,307.6,391.01
410,309.44,394.16
1625,313.14,395.4
161,313.73,397.97
343,304.1,381.7
1761,303.85,387.77
1542,310.47,395.9
392,310.5,397.45
154,311.5,394.3
1254,309.64,381.63
707,312.32,385.49
313,311.31,396.38
226,314.51,396.72
91,311.8,394.0
411,315.81,397.59
968,307.32,383.83
1012,312.86,401.68
256,309.38,395.89
909,307.53,392.25
70,314.77,394.64
1059,313.94,400.2
477,306.95,394.14
1284,310.79,393.5
1764,309.45,394.95
1,313.14,400.45
994,314.77,392.3
1607,314.24,399.38
1257,312.88,391.11
853,312.08,392.41
1211,309.39,393.49
273,303.85,385.76
1491,304.9,388.8
1587,308.6,392.87
1089,312.12,393.97
1631,313.66,398.85
79,307.29,394.21
380,313.14,395.34
1185,310.46,397.1
1865,311.6,398.26
1482,305.7,385.9
61,302.22,380.06
1049,309.94,390.1
1426,310.72,387.59
1751,315.24,403.52
1073,306.55,384.12
1408,312.36,396.85
1726,310.75,396.5
1334,310.2,394.14
310,315.83,400.81
1275,311.56,397.12
1272,297.73,378.2
301,314.46,396.62
1300,300.65,378.96
600,309.43,389.21
1130,308.68,387.9
254,304.14,388.86
1019,311.56,397.89
276,309.73,396.05
962,313.9,390.32
99,308.09,394.55
772,308.67,390.45
513,300.91,382.25
472,315.83,401.36
658,309.98,398.29
2,309.16,393.41
453,304.35,391.0
696,309.42,395.35
1260,314.43,403.02
1658,311.26,393.67
662,308.92,391.3
366,306.49,390.79
988,308.39,388.48
1176,308.63,391.15
1415,312.8,400.0
263,317.1,405.08
1507,308.93,391.36
1639,310.21,391.06
112,312.64,396.78
219,319.51,405.86
1943,313.47,397.63
1112,316.92,399.74
1389,309.15,395.94
314,305.18,389.12
899,305.96,389.66
770,303.79,386.63
1088,311.28,395.95
1603,309.7,396.81
1516,307.55,392.54
466,314.2,398.21
1237,317.12,404.6
449,320.01,406.51
500,308.35,392.75
1838,311.78,394.21
1873,310.47,394.41
249,314.78,397.8
1263,314.66,405.64
1113,314.95,403.66
1291,307.31,387.55
1249,313.93,401.98
26,312.96,397.82
405,315.81,398.56
1643,307.57,390.44
222,313.95,399.43
711,316.03,395.4
1630,304.35,384.24
1964,304.42,386.37
1064,308.69,390.85
1696,309.66,390.49
1152,315.5,399.99
1460,315.03,398.0
484,315.23,397.24
1194,316.08,396.02
481,313.19,400.35
741,310.28,395.59
956,304.9,388.79
1586,313.12,393.89
764,316.77,410.62
1996,316.33,399.93
1506,307.35,390.31
447,310.44,392.8
1665,318.69,411.99
1241,308.9,389.62
788,309.71,389.55
969,308.3,393.55
634,311.76,396.75
739,313.42,397.7
835,309.93,396.35
1933,313.08,401.63
1992,310.45,400.36
1610,307.04,386.6
846,316.32,402.56
1135,315.51,399.38
622,311.55,400.26
365,304.1,389.37
1723,307.84,386.33
387,312.07,398.32
948,309.95,395.61
1158,313.4,394.38
1902,306.26,384.68
502,316.91,397.56
814,313.44,391.84
412,311.27,397.57
727,307.6,378.42
704,308.62,393.9
1951,303.85,385.17
1896,314.7,399.56
761,308.9,394.56
1720,312.35,396.84
1315,309.74,393.13
1570,316.33,405.78
337,309.71,390.06
1438,308.35,392.75
708,317.09,401.68
666,312.6,398.59
511,308.66,391.92
1083,307.79,393.48
