sid,area,power
960,64879.65,71604.49
420,67207.63,70599.87
416,65835.68,69450.92
709,69650.13,75365.73
1714,68780.93,72741.74
1346,69771.55,73031.23
1347,67248.47,72189.66
162,71069.2,76135.56
1860,64616.45,69739.84
464,62821.95,70948.56
817,64477.42,69488.35
806,66287.63,72794.81
1934,64870.24,74168.72
524,70020.32,74565.04
169,64892.14,73736.09
1821,65225.0,72690.57
1974,68927.38,76593.23
1419,66951.8,73445.02
1632,64507.21,72094.56
1721,69033.17,75447.3
260,62382.14,67023.77
867,68571.8,73911.83
154,63968.03,72903.01
410,69217.7,76169.08
1412,68938.26,73924.13
392,62913.6,71453.97
1153,63747.79,69582.45
161,64729.87,72713.1
1625,70561.53,76435.15
313,70068.07,77073.33
1225,64788.83,72469.63
411,65686.22,69822.83
1542,62011.73,69460.34
1385,68898.43,73611.15
343,70641.17,76841.3
1761,67531.89,74942.98
91,64038.84,69469.58
707,70248.98,75379.49
1254,62285.42,68154.8
226,70116.23,73714.4
1012,65361.58,70600.08
1491,63443.5,72762.69
968,70647.97,77115.44
909,66671.34,73239.48
1587,69591.03,75589.51
1284,64921.32,71620.54
853,66891.02,73229.04
1059,73430.31,75810.63
70,74900.9,78620.76
1257,73531.02,77889.38
273,62034.62,69499.34
256,64682.67,74719.96
1211,64506.03,68139.59
1089,68251.0,73173.27
1,66558.95,71666.41
994,66057.92,71465.16
477,64573.32,75816.55
1607,68580.56,74070.09
79,62501.11,71796.55
1764,67025.38,72533.25
1631,70646.57,75943.67
1482,62860.45,71429.25
380,69307.03,73963.12
61,64418.11,72686.02
1185,64643.19,74546.17
1426,72393.79,74294.93
1408,64855.9,69673.03
1726,62137.27,69227.75
310,67468.04,71019.09
1334,64279.74,72579.37
1865,70431.12,76742.86
1751,64574.28,69989.8
301,64625.16,72067.81
1049,64799.04,71474.21
1272,65664.41,73807.27
1073,69583.82,74580.88
1275,70292.06,75796.41
1300,64517.12,72512.8
962,68004.93,73812.08
600,64580.93,71712.88
1130,65656.84,69672.33
99,64697.44,74394.18
1019,68241.01,73045.59
254,62901.01,72359.79
772,65371.43,73428.42
276,64626.52,69812.23
513,63572.53,69889.62
658,64968.67,71343.58
472,64877.3,70288.59
453,63016.12,72311.99
1260,63437.26,70196.5
696,66136.1,73779.36
1658,67371.68,73196.64
366,62538.92,71837.23
2,70455.17,76853.23
662,64904.11,72462.09
1415,64598.21,69944.72
988,63424.26,69516.95
1176,66043.28,73362.26
263,64713.57,69669.48
219,68283.44,73525.2
112,66086.15,73359.71
1639,68642.25,75199.06
1507,68442.5,73567.82
1389,62237.48,69914.18
1943,64752.39,72756.6
314,71013.31,75654.0
899,62349.42,71467.08
1112,68464.51,75617.17
770,63471.39,72883.3
466,65394.4,73430.98
1603,66907.01,74288.17
1088,64947.0,71481.6
449,64711.83,70183.84
1516,67568.32,73313.44
500,63819.04,70475.9
1237,70624.78,76307.16
1838,64620.67,74341.91
1873,63286.5,70001.62
249,70140.55,75796.52
405,67208.65,70770.4
1263,64662.53,68217.52
1291,64417.35,71371.66
1113,64656.42,74401.55
26,68594.63,73745.19
1249,72362.12,77712.34
222,68594.12,75646.27
1152,68682.31,74140.64
1643,67256.74,74115.78
1064,70683.49,77453.0
711,64850.05,71011.99
484,64814.19,71509.91
1696,65347.17,72688.26
1630,63541.57,70992.77
1460,66960.06,74751.49
481,64886.2,73052.98
1194,66729.91,75118.25
956,64893.48,70949.03
1964,68246.39,72142.23
741,68672.49,73898.49
447,67918.17,75416.02
764,65924.45,73142.67
1996,64113.18,71187.75
1586,66372.72,75055.43
634,64644.54,72142.95
739,69016.75,73743.8
969,64612.71,68907.8
1506,66403.33,73683.5
1241,68240.83,72610.94
835,67551.37,72579.7
1665,65515.43,73435.49
788,65902.16,73436.67
1933,65838.9,74043.29
1135,65354.11,73483.66
1992,64678.26,70710.55
846,64919.83,74372.05
622,64646.62,70513.52
365,64614.27,69728.8
387,63532.13,69520.8
1723,66079.97,73414.62
948,64685.97,74519.54
1610,65193.6,71362.49
814,66354.75,75002.23
1902,67745.39,72362.74
412,63901.61,69311.13
502,74885.33,78580.18
704,72518.89,74453.85
1951,63463.05,72786.66
1158,69880.23,76532.73
1896,68124.96,73377.0
727,70136.22,77260.81
1720,68346.34,72804.71
761,64369.24,69484.29
1315,62913.28,70943.31
1438,63810.21,70466.3
337,64841.41,74438.79
1570,65929.92,71068.27
712,64614.52,74617.01
666,65253.02,71537.86
511,62631.19,69798.19
1484,71206.09,76048.2
