sid,area,power
817,24941.9,27388.55
960,24961.31,27750.31
416,24537.77,27596.67
1346,24959.93,27976.61
1714,24689.89,27509.71
1347,24347.42,27629.41
420,24584.3,27404.95
709,24687.57,27957.17
169,26007.36,28084.55
1934,25220.72,28139.85
464,26084.0,27613.56
162,25334.63,27876.12
524,25597.05,27810.72
1632,24789.76,27338.58
1860,24727.89,27791.29
1974,24840.35,27711.13
806,25403.01,27605.68
1419,25748.13,27790.36
1721,25843.75,27792.98
1821,24986.02,27830.97
260,26485.91,28076.1
1225,25293.32,28398.09
161,25464.72,28589.75
867,24772.26,28054.21
392,26040.77,28179.62
1625,25508.67,28137.55
410,25546.82,27941.99
1412,25267.81,28553.16
313,25534.2,27579.59
411,26184.18,27752.03
1385,25974.26,27807.36
343,25928.73,27775.3
154,24990.87,27981.54
1153,26626.82,28012.89
226,25174.51,27482.2
1542,24463.59,27975.79
91,25626.76,28412.93
707,26128.43,28300.1
1761,25907.18,27736.38
1254,24769.64,28154.55
1012,25478.55,28036.3
1491,24394.24,28004.85
1284,24946.21,27528.12
853,24693.74,28264.84
968,26105.06,27721.58
1059,25488.48,27459.91
70,25928.18,28231.18
1257,25567.72,27874.65
1587,24359.02,27546.2
256,26154.98,27975.96
909,24579.82,27674.27
1089,24699.36,28084.29
1211,26021.51,27685.4
477,24494.93,27759.7
273,24723.49,28306.8
1,24757.68,27546.88
1607,24991.87,27247.95
1764,25656.49,27774.53
994,24938.07,27671.74
1631,25450.94,27589.33
79,24564.85,27779.81
1426,24644.23,27386.76
1865,26088.37,28026.28
380,25977.59,27871.84
1185,25979.74,27782.14
1049,25771.92,27753.2
301,26014.81,28168.18
1334,25955.61,27617.78
310,25327.71,28256.46
1408,24810.59,27812.09
61,26208.63,27831.49
1751,25902.05,27982.11
1482,26121.82,28247.49
1272,24671.9,27932.97
1275,25372.55,27466.13
1726,24603.16,28155.66
1073,25561.48,27567.22
1300,25302.85,28340.72
600,25899.68,27610.68
1130,25861.2,27637.32
962,24709.85,27429.71
1019,26125.03,27784.47
276,25364.23,28321.96
99,24591.19,27388.81
772,25292.52,28371.2
254,24702.57,28207.3
472,25122.3,27961.93
658,25408.11,27928.76
453,24688.61,28201.59
696,24765.05,27654.42
513,25671.25,29153.96
1658,24462.41,27965.3
1260,24611.95,27448.71
662,26200.16,28044.44
366,24551.05,27682.61
2,25809.95,28066.96
1415,24567.32,27700.81
988,25348.36,27481.37
1176,25739.24,27796.68
263,25518.19,27360.31
219,24898.73,27634.51
112,25610.02,27684.97
1639,25552.31,27541.02
899,25860.77,27605.35
1943,25568.13,28744.46
1507,25159.74,28320.45
1389,24565.79,27717.21
314,25300.9,27546.63
1603,25380.03,27763.45
1112,26211.55,28215.02
1088,25406.69,27333.25
770,24724.44,27552.94
466,25893.11,27669.17
1516,24666.35,28268.39
1873,24581.52,28002.75
1237,25510.68,27961.39
449,25034.82,27905.74
