sid,area,power
1347,2461.78,2529.16
169,2443.9,2479.38
817,2475.48,2444.06
1346,2463.71,2422.03
1934,2533.3,2500.58
1974,2370.04,2361.29
960,2455.38,2422.94
806,2363.16,2338.86
1721,2454.54,2499.33
709,2473.86,2463.34
524,2496.97,2468.25
416,2382.7,2379.41
162,2524.26,2542.2
420,2532.35,2487.35
1632,2403.73,2389.48
1860,2416.0,2432.71
464,2368.86,2355.12
1714,2471.24,2443.27
1419,2465.52,2492.11
1821,2379.89,2345.35
867,2444.94,2454.28
1225,2362.2,2342.0
260,2399.15,2349.14
1412,2458.86,2398.1
313,2452.18,2460.53
410,2436.55,2417.26
154,2440.0,2438.4
411,2486.71,2421.04
392,2437.86,2424.04
1625,2523.16,2424.13
707,2497.47,2446.57
1542,2397.25,2390.74
161,2451.28,2469.14
1385,2430.54,2420.85
1153,2407.48,2399.34
343,2520.79,2504.9
1254,2488.43,2489.48
226,2466.77,2460.36
1761,2449.3,2404.57
91,2385.76,2338.73
1012,2359.42,2356.49
256,2428.4,2437.91
968,2476.88,2485.13
1059,2483.61,2454.37
70,2541.26,2504.91
1491,2417.06,2426.99
1257,2516.33,2439.21
1284,2450.57,2448.34
1211,2416.75,2385.94
853,2452.16,2425.99
1089,2451.5,2421.76
1587,2400.57,2396.99
909,2403.89,2436.67
477,2376.75,2374.85
994,2509.22,2442.95
1631,2378.27,2371.99
273,2453.86,2423.31
1764,2487.57,2504.7
1,2406.63,2412.5
1607,2454.32,2489.49
380,2430.18,2419.13
79,2368.86,2309.69
1185,2536.9,2555.07
1426,2460.55,2448.37
1482,2392.13,2396.38
1049,2483.26,2498.45
1408,2369.46,2336.88
1865,2648.93,2555.89
1334,2398.33,2378.57
1726,2434.38,2432.8
61,2486.61,2480.15
1751,2418.67,2419.2
301,2376.45,2375.03
310,2539.48,2512.34
1272,2479.1,2468.97
600,2333.11,2282.85
1300,2327.66,2270.45
1073,2424.86,2490.47
1275,2524.04,2480.46
1130,2452.68,2481.27
962,2535.58,2521.15
254,2418.8,2406.83
1019,2543.03,2507.83
276,2472.34,2457.03
772,2430.16,2452.79
1658,2426.59,2377.53
696,2433.82,2346.79
453,2399.92,2325.52
99,2507.82,2538.69
513,2474.29,2483.16
658,2400.72,2409.03
472,2573.09,2502.09
2,2443.4,2424.8
1415,2421.26,2422.09
263,2480.41,2469.16
1176,2422.76,2418.43
366,2435.93,2463.02
662,2444.7,2438.65
988,2420.13,2423.32
1260,2420.72,2373.92
112,2442.29,2438.2
219,2488.87,2486.3
1639,2380.2,2377.38
1943,2435.53,2415.05
1507,2409.41,2373.74
314,2463.09,2458.5
1088,2424.11,2395.03
899,2399.85,2365.2
1516,2431.41,2389.91
1389,2389.67,2411.04
1112,2517.09,2511.15
466,2430.7,2468.64
1603,2384.15,2337.44
1237,2523.37,2447.73
770,2453.24,2466.02
249,2429.25,2447.7
500,2356.6,2299.41
449,2397.52,2360.08
1838,2495.82,2499.79
1873,2413.22,2398.23
1263,2404.35,2388.01
1291,2423.6,2446.63
1249,2508.6,2535.54
1113,2511.86,2519.38
26,2491.7,2461.87
405,2542.47,2481.48
222,2417.88,2390.21
1643,2473.75,2439.18
484,2473.08,2437.76
1460,2486.69,2448.37
1064,2434.66,2475.56
1152,2485.36,2476.93
1964,2492.07,2536.24
711,2570.61,2538.25
481,2467.07,2421.1
1696,2348.83,2364.12
1630,2426.13,2375.07
956,2382.56,2392.23
1194,2494.07,2454.57
741,2393.47,2365.75
1586,2487.54,2414.4
447,2448.85,2450.74
764,2468.86,2511.58
1241,2458.32,2479.88
969,2357.21,2370.09
634,2381.21,2352.92
1506,2436.15,2463.99
1665,2447.8,2497.65
1992,2385.93,2382.23
788,2433.64,2426.65
1996,2469.42,2426.77
835,2439.01,2494.41
1933,2357.49,2330.21
739,2489.92,2446.71
846,2533.08,2521.23
622,2377.94,2353.65
1135,2513.3,2504.25
1610,2391.01,2398.32
365,2383.22,2379.88
1723,2435.34,2424.12
948,2454.94,2434.74
387,2469.2,2425.17
1902,2412.66,2406.07
814,2514.0,2466.89
412,2430.47,2372.4
1951,2411.54,2402.95
1158,2458.68,2481.72
502,2486.65,2486.35
704,2475.18,2416.69
1315,2395.55,2399.14
1896,2536.03,2559.39
727,2417.09,2415.44
1720,2413.03,2373.3
761,2421.78,2456.57
1570,2420.99,2423.69
337,2509.51,2540.12
1083,2377.08,2366.42
1438,2385.03,2372.22
1484,2500.18,2488.4
708,2397.38,2412.59
666,2505.24,2480.08
712,2405.49,2427.19
511,2391.45,2398.66
338,2497.81,2469.29
1247,2448.56,2420.13
1563,2455.57,2439.51
1379,2441.61,2417.12
885,2579.2,2561.27
626,2487.65,2452.07
508,2402.03,2381.93
25,2367.93,2346.39
803,2464.37,2499.97
1311,2397.18,2379.69
1767,2364.51,2340.6
407,2393.94,2371.27
1261,2386.54,2407.21
1842,2423.14,2418.44
563,2402.57,2391.17
1093,2444.12,2398.2
1645,2515.01,2497.11
116,2547.41,2527.09
465,2366.6,2328.9
858,2446.28,2444.86
1463,2414.37,2413.34
1982,2411.86,2382.73
188,2441.66,2452.26
514,2498.92,2528.59
921,2515.39,2501.8
737,2479.99,2493.11
1662,2439.55,2453.9
1917,2394.83,2395.92
1596,2392.46,2353.32
526,2472.55,2511.26
234,2439.23,2425.63
157,2401.44,2401.14
1687,2459.55,2451.27
1624,2366.26,2312.87
1377,2444.9,2432.2
992,2446.24,2475.81
990,2465.71,2481.25
1175,2377.24,2379.96
762,2496.99,2482.51
686,2416.46,2415.44
1906,2474.69,2483.66
593,2473.44,2468.43
265,2379.66,2397.04
322,2495.59,2468.6
958,2454.48,2416.62
1635,2460.57,2504.59
418,2381.34,2378.92
1382,2419.64,2395.85
1166,2377.48,2373.71
794,2412.62,2387.43
213,2388.77,2387.07
636,2435.44,2429.66
1231,2420.42,2395.9
295,2435.73,2411.39
1689,2431.95,2447.36
1770,2478.91,2471.17
1931,2549.53,2537.36
1462,2479.96,2516.15
398,2404.12,2374.88
824,2431.99,2398.25
1281,2393.9,2386.35
1155,2376.04,2350.46
1075,2515.94,2523.32
1042,2467.88,2429.76
1366,2493.21,2465.03
290,2383.69,2373.66
278,2393.25,2359.35
596,2440.21,2403.07
1622,2457.49,2421.5
1815,2397.74,2451.7
966,2420.46,2443.78
128,2416.92,2447.28
560,2460.79,2456.32
641,2477.19,2455.72
980,2380.6,2315.86
765,2458.41,2372.07
1327,2593.75,2575.98
1404,2423.7,2402.94
42,2389.48,2364.62
1292,2439.25,2433.12
1735,2347.87,2310.14
1004,2452.38,2427.98
1994,2376.53,2388.79
388,2446.22,2453.61
698,2404.67,2398.74
368,2415.99,2398.42
1312,2469.64,2450.97
123,2454.59,2408.32
884,2377.68,2341.06
153,2502.16,2522.63
1712,2378.46,2348.74
1277,2426.54,2450.16
80,2470.56,2483.97
1626,2442.71,2411.28
572,2437.79,2456.49
44,2556.82,2465.5
528,2373.78,2375.53
293,2443.76,2405.15
951,2437.01,2409.06
236,2483.43,2431.73
1910,2474.67,2465.47
1769,2442.68,2467.42
233,2425.51,2453.61
1287,2351.52,2356.28
1997,2518.72,2525.83
880,2365.25,2357.54
917,2440.22,2445.3
215,2483.97,2456.06
1701,2437.78,2411.23
474,2368.46,2339.27
1889,2518.68,2555.6
95,2521.2,2493.74
776,2506.23,2503.48
1133,2469.92,2449.34
1033,2507.03,2514.52
428,2426.66,2429.65
836,2417.57,2380.65
961,2395.64,2376.17
1803,2420.32,2415.06
1824,2423.64,2412.87
332,2415.83,2434.83
208,2391.41,2414.97
1537,2493.64,2486.85
362,2507.01,2511.25
1901,2456.29,2444.54
1008,2427.67,2356.29
84,2488.4,2524.23
1405,2433.28,2442.69
1098,2365.57,2357.28
503,2514.98,2494.76
1180,2382.09,2402.76
1295,2380.86,2382.27
1364,2503.01,2501.63
724,2442.93,2422.89
1077,2499.44,2576.16
1452,2403.63,2435.03
175,2486.98,2506.35
172,2422.71,2415.27
121,2380.86,2357.71
1839,2478.92,2453.98
617,2368.78,2337.38
102,2467.45,2454.57
424,2445.0,2432.54
491,2398.64,2372.43
