sid,BUFF,NOT,AND,PI,PO,LP
416,0,882,6718,2339,2137,7
817,0,753,6487,2339,2137,8
420,0,897,6646,2339,2137,7
1714,0,1030,6852,2339,2137,7
1347,0,1043,7028,2339,2137,7
960,0,969,7365,2339,2137,7
464,0,874,6566,2339,2137,7
709,0,1139,7728,2339,2137,7
169,0,1146,7291,2339,2137,8
524,0,935,7416,2339,2137,7
1346,0,809,6556,2339,2137,8
1934,0,1411,8358,2339,2137,7
1860,0,803,6569,2339,2137,7
162,0,1002,6930,2339,2137,7
806,0,1005,6836,2339,2137,7
1974,0,906,6728,2339,2137,7
1632,0,583,6164,2339,2137,8
1419,0,882,7363,2339,2137,8
1821,0,900,7456,2339,2137,8
1721,0,1325,8089,2339,2137,7
867,0,898,7342,2339,2137,7
1225,0,1015,6929,2339,2137,8
392,0,728,6265,2339,2137,8
260,0,551,6309,2339,2137,8
410,0,859,6636,2339,2137,7
1412,0,1038,7584,2339,2137,8
161,0,944,7202,2339,2137,8
154,0,925,6579,2339,2137,7
313,0,911,6939,2339,2137,8
411,0,779,7097,2339,2137,7
343,0,1290,7994,2339,2137,7
1625,0,1416,8387,2339,2137,7
1385,0,481,5970,2339,2137,7
1153,0,635,6335,2339,2137,8
226,0,592,6383,2339,2137,8
91,0,591,6377,2339,2137,8
1542,0,949,7625,2339,2137,7
707,0,1241,7710,2339,2137,7
1254,0,582,6951,2339,2137,7
1761,0,914,7138,2339,2137,7
1012,0,442,5894,2339,2137,7
1059,0,1084,7359,2339,2137,8
256,0,631,6354,2339,2137,8
1491,0,920,6628,2339,2137,8
853,0,1067,7477,2339,2137,8
1284,0,999,6759,2339,2137,7
909,0,863,6452,2339,2137,8
70,0,1337,7886,2339,2137,7
968,0,928,6771,2339,2137,8
1257,0,1154,7881,2339,2137,7
1089,0,783,6823,2339,2137,9
1211,0,528,6025,2339,2137,7
1587,0,862,6681,2339,2137,7
477,0,671,6204,2339,2137,7
273,0,1052,7674,2339,2137,8
1,0,422,5912,2339,2137,7
994,0,977,7345,2339,2137,8
1764,0,618,6592,2339,2137,8
1607,0,569,6597,2339,2137,8
1631,0,631,6217,2339,2137,9
79,0,480,6132,2339,2137,8
380,0,612,6185,2339,2137,7
1426,0,731,6563,2339,2137,8
61,0,869,6595,2339,2137,7
1865,0,1343,7793,2339,2137,8
1185,0,745,6547,2339,2137,8
1482,0,713,6302,2339,2137,7
310,0,600,6424,2339,2137,8
1049,0,1015,6777,2339,2137,7
1726,0,880,7360,2339,2137,7
1408,0,739,6299,2339,2137,8
301,0,772,6546,2339,2137,7
1751,0,696,6388,2339,2137,8
1334,0,662,6296,2339,2137,8
1275,0,809,7287,2339,2137,7
1073,0,925,6838,2339,2137,8
1300,0,973,7398,2339,2137,7
1272,0,920,6699,2339,2137,8
600,0,607,6045,2339,2137,7
1130,0,621,6629,2339,2137,8
962,0,924,7324,2339,2137,8
276,0,1039,6874,2339,2137,7
254,0,769,6321,2339,2137,7
1019,0,1048,7429,2339,2137,8
472,0,972,6821,2339,2137,8
453,0,551,6384,2339,2137,7
772,0,1007,7137,2339,2137,8
99,0,773,6366,2339,2137,7
658,0,483,5985,2339,2137,7
696,0,503,6076,2339,2137,7
1260,0,729,6320,2339,2137,7
513,0,931,6854,2339,2137,7
1658,0,994,7616,2339,2137,8
366,0,480,6139,2339,2137,8
662,0,744,6311,2339,2137,7
2,0,858,7047,2339,2137,8
1415,0,850,6683,2339,2137,7
988,0,582,6262,2339,2137,8
1176,0,943,7331,2339,2137,7
263,0,838,6728,2339,2137,7
112,0,882,7153,2339,2137,7
219,0,942,7335,2339,2137,8
1639,0,889,6750,2339,2137,7
1507,0,892,7385,2339,2137,8
314,0,784,6709,2339,2137,8
1112,0,987,7408,2339,2137,8
1943,0,867,7365,2339,2137,8
1389,0,976,6772,2339,2137,7
1516,0,682,6520,2339,2137,8
770,0,441,6184,2339,2137,8
899,0,660,6343,2339,2137,8
1088,0,979,6819,2339,2137,7
466,0,874,6706,2339,2137,7
1603,0,848,6481,2339,2137,7
449,0,416,5900,2339,2137,7
500,0,555,6208,2339,2137,7
1873,0,949,7609,2339,2137,7
1838,0,771,6612,2339,2137,8
1237,0,1108,7724,2339,2137,7
249,0,826,6901,2339,2137,8
1263,0,830,6714,2339,2137,7
1113,0,790,6608,2339,2137,7
405,0,560,6255,2339,2137,7
26,0,798,7229,2339,2137,8
1249,0,1356,8083,2339,2137,7
1291,0,987,6604,2339,2137,7
711,0,902,7386,2339,2137,7
222,0,912,6677,2339,2137,9
1643,0,878,7411,2339,2137,8
1152,0,960,7395,2339,2137,8
484,0,875,7228,2339,2137,7
1460,0,1597,8485,2339,2137,7
1064,0,791,6743,2339,2137,7
1696,0,945,7503,2339,2137,7
1964,0,866,7020,2339,2137,8
1630,0,557,6247,2339,2137,8
956,0,1039,6999,2339,2137,8
481,0,1194,7698,2339,2137,7
741,0,1064,7681,2339,2137,8
1194,0,1370,8321,2339,2137,7
1586,0,1411,8349,2339,2137,7
447,0,849,6939,2339,2137,8
764,0,831,6685,2339,2137,8
1996,0,491,6241,2339,2137,8
634,0,608,6200,2339,2137,7
969,0,868,6658,2339,2137,7
1992,0,887,6750,2339,2137,7
1241,0,733,6984,2339,2137,8
788,0,888,7165,2339,2137,8
1665,0,937,6917,2339,2137,7
1506,0,1086,7191,2339,2137,8
835,0,948,6919,2339,2137,8
1933,0,529,5935,2339,2137,8
739,0,980,7339,2339,2137,8
846,0,901,7211,2339,2137,7
365,0,893,6820,2339,2137,7
1135,0,911,7225,2339,2137,7
622,0,613,6285,2339,2137,8
1610,0,583,6043,2339,2137,7
1723,0,989,7365,2339,2137,8
948,0,1102,7327,2339,2137,8
387,0,511,6291,2339,2137,8
1902,0,994,6972,2339,2137,7
814,0,1495,8369,2339,2137,7
412,0,791,6316,2339,2137,7
704,0,731,6435,2339,2137,8
1951,0,941,6802,2339,2137,8
1896,0,1045,7713,2339,2137,8
502,0,989,7269,2339,2137,8
1158,0,916,7108,2339,2137,8
727,0,945,6987,2339,2137,8
1315,0,870,6296,2339,2137,9
761,0,826,6493,2339,2137,7
1720,0,732,6298,2339,2137,8
337,0,923,7038,2339,2137,8
1438,0,502,6164,2339,2137,7
1570,0,793,6646,2339,2137,7
1083,0,933,6958,2339,2137,7
1484,0,775,6898,2339,2137,8
708,0,646,6440,2339,2137,8
712,0,798,6453,2339,2137,7
666,0,924,7301,2339,2137,8
511,0,873,6673,2339,2137,7
338,0,1192,7836,2339,2137,7
1247,0,739,6451,2339,2137,7
1563,0,512,6180,2339,2137,7
1311,0,709,6412,2339,2137,8
885,0,1295,8274,2339,2137,7
803,0,902,6717,2339,2137,8
626,0,968,7530,2339,2137,8
25,0,618,6188,2339,2137,7
1379,0,922,7606,2339,2137,8
508,0,879,6569,2339,2137,8
563,0,878,7314,2339,2137,8
1767,0,935,6803,2339,2137,7
407,0,566,6250,2339,2137,8
1842,0,810,6624,2339,2137,7
1261,0,909,6649,2339,2137,7
1093,0,889,7256,2339,2137,8
1645,0,777,7072,2339,2137,8
116,0,544,6214,2339,2137,8
465,0,711,6467,2339,2137,8
858,0,921,6529,2339,2137,8
921,0,467,6217,2339,2137,8
1982,0,902,6920,2339,2137,7
514,0,642,6682,2339,2137,9
1463,0,864,6699,2339,2137,8
188,0,980,7005,2339,2137,8
737,0,621,6380,2339,2137,8
526,0,755,6467,2339,2137,7
1917,0,965,6790,2339,2137,7
1596,0,542,6207,2339,2137,8
1662,0,807,6889,2339,2137,8
1377,0,994,6917,2339,2137,7
234,0,1000,7498,2339,2137,8
157,0,965,6880,2339,2137,7
1687,0,851,6592,2339,2137,7
1624,0,929,7296,2339,2137,8
992,0,1055,6820,2339,2137,7
990,0,987,7259,2339,2137,7
762,0,960,7479,2339,2137,8
1175,0,839,6734,2339,2137,7
686,0,894,6772,2339,2137,7
593,0,839,7362,2339,2137,7
958,0,609,6418,2339,2137,8
1906,0,1050,7117,2339,2137,8
322,0,1069,7524,2339,2137,8
265,0,931,6703,2339,2137,8
1635,0,887,6664,2339,2137,7
418,0,886,6803,2339,2137,7
1166,0,898,6793,2339,2137,8
794,0,961,6729,2339,2137,7
1231,0,534,6206,2339,2137,8
1382,0,832,6732,2339,2137,7
213,0,736,6401,2339,2137,7
295,0,992,7270,2339,2137,8
636,0,784,6591,2339,2137,7
1770,0,557,6709,2339,2137,8
1689,0,955,7059,2339,2137,8
1931,0,750,6582,2339,2137,8
398,0,488,5972,2339,2137,7
1462,0,1047,7038,2339,2137,7
824,0,778,7004,2339,2137,8
1075,0,828,6893,2339,2137,8
278,0,597,5989,2339,2137,7
1155,0,505,6190,2339,2137,8
1281,0,866,6720,2339,2137,7
1042,0,1016,7454,2339,2137,8
1366,0,963,7309,2339,2137,7
