sid,BUFF,NOT,AND,PI,PO,LP
420,0,2647,24509,3087,2604,26
524,0,2088,23221,3087,2604,24
416,0,2320,21430,3087,2604,25
1714,0,2625,22121,3087,2604,26
817,0,2328,21834,3087,2604,26
960,0,1962,21504,3087,2604,26
1934,0,2481,22518,3087,2604,25
709,0,1873,21172,3087,2604,25
169,0,2396,22554,3087,2604,25
1346,0,2595,23606,3087,2604,24
464,0,2781,23493,3087,2604,26
1347,0,2545,22311,3087,2604,26
162,0,2143,23119,3087,2604,26
1974,0,2191,21214,3087,2604,26
1860,0,2306,21862,3087,2604,26
1632,0,2563,22424,3087,2604,26
806,0,2706,23832,3087,2604,27
1821,0,2669,22871,3087,2604,25
1721,0,2393,22553,3087,2604,27
1419,0,2361,23054,3087,2604,26
1225,0,2635,23739,3087,2604,25
867,0,2141,22146,3087,2604,24
1412,0,2176,22158,3087,2604,26
392,0,2565,24323,3087,2604,26
1625,0,1831,21514,3087,2604,26
410,0,2576,22332,3087,2604,26
260,0,2900,24304,3087,2604,26
313,0,2422,21518,3087,2604,27
154,0,2623,23322,3087,2604,25
411,0,2343,22885,3087,2604,26
161,0,2231,22905,3087,2604,25
1385,0,2693,23132,3087,2604,26
1542,0,1974,21256,3087,2604,26
343,0,2433,22605,3087,2604,27
226,0,2132,20990,3087,2604,27
707,0,2451,21723,3087,2604,28
1153,0,2881,24911,3087,2604,25
91,0,2453,24612,3087,2604,24
1761,0,2392,23042,3087,2604,26
1254,0,2100,20977,3087,2604,27
1012,0,2075,23907,3087,2604,25
853,0,1802,20497,3087,2604,25
909,0,2370,24093,3087,2604,24
70,0,2223,21957,3087,2604,27
256,0,3184,22493,3087,2604,26
1491,0,1957,22971,3087,2604,23
1257,0,1955,22447,3087,2604,26
1284,0,2844,23644,3087,2604,25
1587,0,2184,22277,3087,2604,25
968,0,2202,20795,3087,2604,26
1059,0,2550,23462,3087,2604,24
273,0,1926,22137,3087,2604,25
477,0,2094,20481,3087,2604,25
1211,0,2813,23643,3087,2604,27
1,0,2749,24313,3087,2604,24
1089,0,2038,21908,3087,2604,25
994,0,1743,20927,3087,2604,26
1607,0,2478,22984,3087,2604,26
1764,0,2549,22624,3087,2604,27
1631,0,2293,22413,3087,2604,26
79,0,1920,23126,3087,2604,24
1426,0,2149,22718,3087,2604,23
380,0,2438,21965,3087,2604,29
1865,0,2006,22491,3087,2604,25
1334,0,2678,22638,3087,2604,28
1185,0,3069,23584,3087,2604,27
61,0,3458,25075,3087,2604,27
1482,0,2604,23579,3087,2604,26
1049,0,2894,24081,3087,2604,26
1408,0,2769,23387,3087,2604,25
310,0,2156,21903,3087,2604,26
1751,0,2966,23801,3087,2604,27
301,0,2598,22490,3087,2604,29
1275,0,2129,22491,3087,2604,26
1726,0,1881,21996,3087,2604,25
1272,0,2615,21933,3087,2604,26
1300,0,2525,23747,3087,2604,26
1073,0,2490,22449,3087,2604,26
600,0,2563,22063,3087,2604,26
1130,0,2459,21999,3087,2604,26
962,0,2371,23012,3087,2604,24
1019,0,1934,22355,3087,2604,25
276,0,2826,24502,3087,2604,25
254,0,1973,21456,3087,2604,26
99,0,2115,21500,3087,2604,26
772,0,2418,22598,3087,2604,25
658,0,2181,24397,3087,2604,26
472,0,1757,21325,3087,2604,25
453,0,2373,23854,3087,2604,23
513,0,2438,23813,3087,2604,26
1260,0,2101,22540,3087,2604,25
1658,0,1964,21073,3087,2604,26
696,0,2045,20567,3087,2604,25
2,0,2309,21995,3087,2604,27
366,0,1847,21549,3087,2604,25
1415,0,2334,21775,3087,2604,26
662,0,3280,24417,3087,2604,27
988,0,2093,24128,3087,2604,26
263,0,2550,24019,3087,2604,27
1176,0,2787,22811,3087,2604,27
112,0,2041,22905,3087,2604,26
219,0,1978,21455,3087,2604,24
1507,0,2093,22273,3087,2604,24
1639,0,2689,23490,3087,2604,27
1389,0,2024,22154,3087,2604,27
314,0,2460,22574,3087,2604,26
1112,0,2362,21839,3087,2604,28
1943,0,2270,23048,3087,2604,26
1603,0,2539,24230,3087,2604,25
1088,0,2840,23800,3087,2604,28
770,0,1991,22117,3087,2604,24
449,0,2116,23780,3087,2604,25
899,0,2779,22633,3087,2604,28
466,0,2235,22418,3087,2604,26
1516,0,1983,20495,3087,2604,26
500,0,2397,22986,3087,2604,24
1237,0,1899,21856,3087,2604,27
1838,0,2830,23364,3087,2604,26
1873,0,2224,23543,3087,2604,23
249,0,2243,22080,3087,2604,25
1263,0,2431,24006,3087,2604,27
1291,0,2454,22395,3087,2604,26
1113,0,2904,23736,3087,2604,27
