sid,BUFF,NOT,AND,PI,PO,LP
416,0,104,918,45,45,9
1347,0,100,880,45,45,9
1714,0,93,859,45,45,10
709,0,92,898,45,45,9
1860,0,91,900,45,45,9
1346,0,89,896,45,45,9
960,0,94,925,45,45,9
1419,0,114,904,45,45,10
420,0,97,877,45,45,9
1721,0,122,941,45,45,9
817,0,90,905,45,45,9
162,0,83,873,45,45,9
1821,0,104,924,45,45,9
1974,0,79,850,45,45,9
524,0,82,903,45,45,9
464,0,105,924,45,45,9
1632,0,109,887,45,45,9
169,0,92,907,45,45,10
1934,0,78,892,45,45,9
806,0,132,942,45,45,10
867,0,97,892,45,45,9
260,0,117,923,45,45,9
1225,0,108,926,45,45,9
313,0,84,925,45,45,9
1412,0,107,916,45,45,9
1153,0,122,898,45,45,10
161,0,96,888,45,45,9
1385,0,107,927,45,45,9
1625,0,96,922,45,45,9
1542,0,114,913,45,45,9
410,0,99,898,45,45,9
154,0,114,904,45,45,9
343,0,105,930,45,45,9
392,0,118,930,45,45,10
707,0,115,965,45,45,9
1254,0,99,894,45,45,9
1761,0,141,953,45,45,10
411,0,100,927,45,45,9
91,0,96,888,45,45,9
226,0,87,911,45,45,9
1012,0,86,893,45,45,9
1059,0,90,883,45,45,9
853,0,89,891,45,45,9
1491,0,97,902,45,45,9
1211,0,93,908,45,45,9
1089,0,87,912,45,45,9
1587,0,99,883,45,45,10
256,0,137,982,45,45,10
477,0,95,955,45,45,9
1764,0,93,890,45,45,9
70,0,103,938,45,45,10
273,0,91,898,45,45,9
909,0,99,882,45,45,9
994,0,96,918,45,45,9
1631,0,108,906,45,45,9
968,0,118,946,45,45,9
1607,0,93,922,45,45,9
1,0,87,884,45,45,10
1284,0,101,913,45,45,9
1257,0,80,895,45,45,9
79,0,92,897,45,45,9
1865,0,86,917,45,45,9
1426,0,89,879,45,45,9
61,0,98,901,45,45,9
1049,0,129,944,45,45,9
1185,0,111,935,45,45,9
1334,0,123,945,45,45,9
1408,0,101,932,45,45,9
1751,0,102,902,45,45,9
301,0,145,978,45,45,9
1073,0,115,919,45,45,9
1275,0,92,941,45,45,9
1482,0,104,894,45,45,9
1726,0,103,910,45,45,9
380,0,107,919,45,45,10
310,0,87,880,45,45,9
1272,0,109,882,45,45,10
1130,0,125,966,45,45,9
1300,0,108,891,45,45,9
600,0,131,969,45,45,10
962,0,98,926,45,45,9
276,0,92,877,45,45,9
99,0,82,887,45,45,9
513,0,96,848,45,45,10
658,0,101,895,45,45,9
696,0,99,913,45,45,10
254,0,102,887,45,45,9
472,0,97,912,45,45,9
1019,0,78,871,45,45,9
453,0,90,897,45,45,9
1658,0,93,885,45,45,9
772,0,93,902,45,45,9
662,0,107,908,45,45,9
2,0,104,969,45,45,9
1260,0,98,889,45,45,9
366,0,101,897,45,45,9
1415,0,92,924,45,45,10
1176,0,97,887,45,45,10
988,0,85,864,45,45,9
263,0,100,911,45,45,9
112,0,117,905,45,45,9
1943,0,92,887,45,45,9
1507,0,102,907,45,45,9
1639,0,104,905,45,45,9
1112,0,98,937,45,45,9
1389,0,86,892,45,45,9
219,0,98,904,45,45,9
770,0,108,937,45,45,9
449,0,102,886,45,45,9
899,0,118,917,45,45,9
314,0,108,930,45,45,9
1838,0,104,952,45,45,9
466,0,124,927,45,45,9
1603,0,89,870,45,45,9
1088,0,114,931,45,45,10
500,0,111,879,45,45,10
1516,0,103,916,45,45,9
1237,0,96,925,45,45,9
1873,0,96,905,45,45,9
1263,0,89,889,45,45,9
249,0,90,882,45,45,9
1113,0,113,937,45,45,9
1291,0,90,884,45,45,9
1249,0,104,920,45,45,10
26,0,99,883,45,45,9
405,0,94,943,45,45,9
711,0,96,904,45,45,9
1643,0,107,901,45,45,9
222,0,87,928,45,45,9
1696,0,92,856,45,45,9
1064,0,88,896,45,45,9
1152,0,98,956,45,45,9
1964,0,101,888,45,45,10
1630,0,97,877,45,45,9
481,0,106,939,45,45,9
484,0,81,868,45,45,9
1460,0,80,883,45,45,9
1194,0,95,916,45,45,9
956,0,107,889,45,45,9
1586,0,101,917,45,45,10
741,0,84,878,45,45,9
447,0,82,899,45,45,9
764,0,93,919,45,45,9
1665,0,127,928,45,45,10
1241,0,93,888,45,45,9
788,0,91,898,45,45,9
969,0,86,847,45,45,9
634,0,95,925,45,45,9
835,0,110,954,45,45,10
1506,0,93,917,45,45,9
1933,0,98,913,45,45,9
1996,0,96,910,45,45,9
739,0,90,919,45,45,9
1135,0,86,907,45,45,9
1992,0,94,880,45,45,9
846,0,116,972,45,45,9
622,0,122,951,45,45,9
1723,0,97,901,45,45,9
1610,0,92,906,45,45,9
365,0,96,912,45,45,9
387,0,117,932,45,45,9
948,0,104,933,45,45,9
1902,0,104,912,45,45,9
814,0,85,891,45,45,9
1951,0,83,861,45,45,9
502,0,98,949,45,45,9
727,0,107,925,45,45,9
1896,0,94,903,45,45,9
761,0,116,922,45,45,9
704,0,94,909,45,45,9
412,0,110,908,45,45,9
1158,0,127,956,45,45,9
1720,0,108,916,45,45,9
1083,0,86,873,45,45,9
1484,0,80,886,45,45,9
337,0,114,945,45,45,9
1315,0,90,870,45,45,10
1570,0,103,909,45,45,9
666,0,91,912,45,45,9
712,0,86,900,45,45,9
1438,0,90,868,45,45,9
708,0,94,907,45,45,9
511,0,98,893,45,45,9
338,0,85,906,45,45,9
1563,0,101,928,45,45,9
1247,0,94,875,45,45,9
1311,0,92,915,45,45,9
1379,0,94,879,45,45,9
803,0,100,904,45,45,9
885,0,78,904,45,45,10
626,0,88,916,45,45,9
1767,0,85,895,45,45,9
1261,0,110,931,45,45,9
25,0,115,958,45,45,9
563,0,88,904,45,45,9
407,0,101,911,45,45,9
508,0,115,916,45,45,10
1093,0,94,886,45,45,10
116,0,89,897,45,45,10
1842,0,104,942,45,45,9
1645,0,93,918,45,45,10
465,0,93,903,45,45,9
514,0,105,939,45,45,9
1463,0,86,883,45,45,9
1982,0,101,900,45,45,10
921,0,78,875,45,45,9
858,0,107,898,45,45,10
188,0,82,905,45,45,9
1917,0,112,904,45,45,9
1662,0,82,876,45,45,9
1596,0,90,916,45,45,9
737,0,98,901,45,45,10
526,0,95,926,45,45,9
1377,0,90,901,45,45,9
234,0,108,929,45,45,9
1687,0,107,926,45,45,9
157,0,105,919,45,45,9
992,0,103,900,45,45,9
1624,0,100,922,45,45,9
1175,0,89,887,45,45,9
990,0,77,862,45,45,9
762,0,97,907,45,45,9
265,0,114,951,45,45,9
593,0,97,934,45,45,9
1166,0,93,914,45,45,10
418,0,95,917,45,45,9
958,0,99,919,45,45,9
1906,0,99,914,45,45,9
686,0,108,920,45,45,10
322,0,93,902,45,45,10
1635,0,125,969,45,45,10
1231,0,88,896,45,45,9
1382,0,99,919,45,45,9
794,0,95,909,45,45,9
295,0,94,909,45,45,9
213,0,90,892,45,45,9
636,0,111,913,45,45,9
1689,0,112,926,45,45,9
1770,0,86,870,45,45,9
1931,0,104,921,45,45,9
1075,0,90,877,45,45,9
398,0,99,908,45,45,9
1281,0,97,919,45,45,9
1622,0,103,926,45,45,9
1462,0,100,923,45,45,9
824,0,115,948,45,45,10
596,0,94,898,45,45,10
278,0,89,882,45,45,9
1042,0,91,909,45,45,9
1366,0,89,882,45,45,9
290,0,106,883,45,45,9
1155,0,111,920,45,45,10
765,0,89,889,45,45,9
966,0,96,914,45,45,9
641,0,97,912,45,45,9
1815,0,95,896,45,45,9
128,0,101,934,45,45,9
980,0,77,848,45,45,9
560,0,94,922,45,45,9
1327,0,95,892,45,45,9
1735,0,89,885,45,45,9
1404,0,104,921,45,45,9
1004,0,103,922,45,45,9
1292,0,86,878,45,45,9
42,0,91,922,45,45,9
698,0,96,908,45,45,9
153,0,93,921,45,45,9
1994,0,110,921,45,45,9
388,0,104,904,45,45,10
1712,0,96,892,45,45,9
1277,0,99,904,45,45,9
1312,0,126,926,45,45,10
884,0,125,941,45,45,10
123,0,94,929,45,45,9
368,0,117,918,45,45,9
80,0,105,932,45,45,9
44,0,81,918,45,45,9
1626,0,86,878,45,45,9
572,0,99,926,45,45,9
528,0,132,936,45,45,11
236,0,94,921,45,45,9
293,0,80,868,45,45,9
951,0,94,935,45,45,9
1910,0,96,890,45,45,9
1769,0,93,912,45,45,10
233,0,102,930,45,45,9
1287,0,125,934,45,45,9
880,0,103,917,45,45,9
1997,0,74,891,45,45,9
215,0,92,879,45,45,9
917,0,98,894,45,45,9
1889,0,101,914,45,45,9
95,0,105,924,45,45,9
474,0,101,902,45,45,9
776,0,98,892,45,45,9
1133,0,100,912,45,45,9
428,0,77,861,45,45,9
1033,0,98,936,45,45,9
1701,0,104,912,45,45,9
836,0,105,906,45,45,9
1803,0,94,917,45,45,9
961,0,90,899,45,45,9
1824,0,80,887,45,45,9
332,0,90,905,45,45,9
208,0,93,890,45,45,9
1537,0,104,902,45,45,9
1008,0,103,896,45,45,10
362,0,95,901,45,45,9
1901,0,88,906,45,45,9
1098,0,94,883,45,45,9
503,0,92,919,45,45,9
1077,0,91,885,45,45,9
1364,0,109,971,45,45,10
1405,0,116,923,45,45,9
175,0,91,893,45,45,9
1180,0,95,887,45,45,9
1295,0,103,912,45,45,10
724,0,120,901,45,45,9
1452,0,94,889,45,45,9
84,0,110,952,45,45,9
424,0,113,921,45,45,9
102,0,98,919,45,45,9
121,0,93,904,45,45,9
1839,0,103,904,45,45,9
617,0,92,874,45,45,10
172,0,109,951,45,45,10
491,0,111,896,45,45,9
1612,0,94,895,45,45,9
1744,0,91,889,45,45,9
618,0,99,950,45,45,10
891,0,109,913,45,45,9
103,0,92,914,45,45,9
14,0,101,930,45,45,10
1328,0,90,895,45,45,10
525,0,77,865,45,45,9
1305,0,94,900,45,45,10
1702,0,104,933,45,45,10
1841,0,108,917,45,45,10
895,0,124,949,45,45,9
159,0,86,912,45,45,9
475,0,99,894,45,45,9
857,0,98,913,45,45,9
1589,0,104,931,45,45,10
1120,0,98,895,45,45,10
1350,0,99,915,45,45,9
1663,0,100,882,45,45,10
318,0,93,933,45,45,9
742,0,85,867,45,45,9
1957,0,95,921,45,45,9
1339,0,102,918,45,45,9
221,0,101,938,45,45,9
1003,0,90,879,45,45,9
521,0,89,897,45,45,10
451,0,102,895,45,45,10
888,0,115,912,45,45,9
1161,0,99,915,45,45,9
1361,0,84,887,45,45,9
1040,0,90,898,45,45,9
1494,0,99,943,45,45,9
1894,0,91,869,45,45,9
1475,0,100,868,45,45,9
1883,0,102,915,45,45,9
882,0,83,893,45,45,9
841,0,106,928,45,45,9
1167,0,96,880,45,45,9
1269,0,102,904,45,45,9
1518,0,99,911,45,45,9
1209,0,105,952,45,45,9
1644,0,96,905,45,45,9
1634,0,106,888,45,45,10
753,0,89,891,45,45,9
1223,0,115,920,45,45,10
700,0,89,902,45,45,9
781,0,111,946,45,45,10
1248,0,97,898,45,45,10
214,0,97,916,45,45,9
1911,0,91,889,45,45,9
1763,0,101,917,45,45,9
389,0,106,921,45,45,9
1750,0,100,913,45,45,9
1288,0,103,938,45,45,9
1320,0,81,910,45,45,9
396,0,94,911,45,45,9
1715,0,89,881,45,45,9
454,0,86,898,45,45,9
1580,0,115,888,45,45,9
699,0,92,901,45,45,9
1187,0,93,910,45,45,9
927,0,97,925,45,45,9
165,0,107,913,45,45,10
1765,0,98,909,45,45,9
587,0,107,963,45,45,9
6,0,102,944,45,45,9
439,0,96,897,45,45,9
1555,0,104,882,45,45,9
1676,0,111,960,45,45,9
1370,0,92,891,45,45,9
