sid,BUFF,NOT,AND,PI,PO,LP
420,0,3944,47540,11592,8413,52
960,0,4669,50971,11592,8413,50
416,0,4561,47161,11592,8413,51
162,0,4257,47149,11592,8413,50
1714,0,4948,45448,11592,8413,46
1934,0,5399,52088,11592,8413,48
1860,0,4457,47506,11592,8413,49
817,0,4387,48461,11592,8413,46
1346,0,4565,50895,11592,8413,46
709,0,5070,48191,11592,8413,50
806,0,4072,46986,11592,8413,51
1821,0,4231,47619,11592,8413,52
524,0,4182,48820,11592,8413,52
1347,0,4156,47196,11592,8413,46
464,0,3778,45489,11592,8413,49
169,0,5097,49344,11592,8413,46
1974,0,4009,45809,11592,8413,46
1721,0,4843,48849,11592,8413,50
1632,0,3802,44906,11592,8413,49
1419,0,4527,47018,11592,8413,50
867,0,5068,48181,11592,8413,50
1412,0,5544,50639,11592,8413,48
260,0,4104,46157,11592,8413,50
392,0,4076,47886,11592,8413,48
1625,0,5164,49833,11592,8413,55
411,0,4098,49988,11592,8413,52
154,0,3858,47364,11592,8413,50
161,0,4743,48803,11592,8413,48
313,0,5297,50134,11592,8413,48
1225,0,3880,45561,11592,8413,49
1542,0,5153,49383,11592,8413,48
1153,0,3949,44434,11592,8413,49
410,0,4040,47317,11592,8413,49
1385,0,3602,46733,11592,8413,50
1761,0,4973,48540,11592,8413,53
707,0,4911,48212,11592,8413,49
91,0,3841,44249,11592,8413,46
226,0,4360,47863,11592,8413,48
343,0,4539,48069,11592,8413,46
1254,0,4307,48315,11592,8413,48
1012,0,3850,47059,11592,8413,49
853,0,5170,48409,11592,8413,48
1491,0,4303,47997,11592,8413,48
1587,0,4129,46718,11592,8413,48
909,0,3769,44668,11592,8413,47
1257,0,4887,49223,11592,8413,51
1284,0,4000,46794,11592,8413,47
1211,0,3862,46028,11592,8413,51
256,0,4367,46321,11592,8413,50
1059,0,5286,48486,11592,8413,49
70,0,5118,49902,11592,8413,53
968,0,4743,47766,11592,8413,51
273,0,5992,50747,11592,8413,46
1089,0,4397,49262,11592,8413,43
1,0,3923,46861,11592,8413,54
994,0,4758,51095,11592,8413,50
477,0,4444,47282,11592,8413,49
79,0,3982,48005,11592,8413,47
1482,0,4124,48018,11592,8413,48
1764,0,4603,48678,11592,8413,48
1607,0,4042,48369,11592,8413,47
1185,0,3181,46542,11592,8413,46
1426,0,4808,51128,11592,8413,43
1631,0,3912,48375,11592,8413,49
1865,0,5041,48946,11592,8413,52
61,0,4258,46847,11592,8413,52
380,0,4432,47802,11592,8413,48
1334,0,4194,45958,11592,8413,49
1049,0,3873,46294,11592,8413,51
1726,0,4678,49065,11592,8413,46
310,0,4851,53257,11592,8413,54
1751,0,3496,45300,11592,8413,49
1408,0,4037,43952,11592,8413,45
301,0,4486,46373,11592,8413,51
1275,0,4640,48283,11592,8413,50
1300,0,3670,43900,11592,8413,50
962,0,5225,48543,11592,8413,50
1073,0,4831,47386,11592,8413,48
1272,0,4415,45454,11592,8413,51
472,0,4721,51070,11592,8413,53
