sid,BUFF,NOT,AND,PI,PO,LP
416,0,83,728,75,16,20
1714,0,111,771,75,16,19
1632,0,74,700,75,16,21
169,0,72,694,75,16,19
464,0,94,720,75,16,19
1821,0,89,768,75,16,18
162,0,112,761,75,16,20
1347,0,87,680,75,16,22
806,0,92,730,75,16,19
1860,0,97,744,75,16,18
960,0,91,782,75,16,20
1419,0,103,696,75,16,20
1974,0,91,703,75,16,19
709,0,76,697,75,16,19
524,0,84,800,75,16,19
420,0,90,782,75,16,20
1721,0,80,729,75,16,19
817,0,64,705,75,16,19
1934,0,78,751,75,16,18
1346,0,97,752,75,16,19
1225,0,92,703,75,16,20
154,0,97,775,75,16,20
411,0,84,767,75,16,19
1385,0,63,695,75,16,21
161,0,148,842,75,16,19
392,0,90,738,75,16,20
1625,0,81,770,75,16,18
410,0,91,680,75,16,21
1153,0,85,716,75,16,18
1542,0,89,690,75,16,17
260,0,105,723,75,16,20
707,0,69,677,75,16,18
313,0,62,707,75,16,18
1761,0,98,724,75,16,20
867,0,69,708,75,16,18
1412,0,64,670,75,16,20
343,0,76,710,75,16,20
226,0,77,696,75,16,18
1254,0,96,699,75,16,20
91,0,87,702,75,16,19
1012,0,72,755,75,16,20
1284,0,87,739,75,16,19
1059,0,76,708,75,16,19
853,0,85,702,75,16,18
256,0,72,667,75,16,19
1491,0,95,756,75,16,22
909,0,93,686,75,16,19
1257,0,80,731,75,16,18
1211,0,105,695,75,16,20
968,0,88,727,75,16,20
1587,0,95,730,75,16,19
70,0,92,777,75,16,20
477,0,72,692,75,16,20
273,0,79,692,75,16,20
1089,0,94,693,75,16,19
1,0,93,767,75,16,19
1764,0,108,664,75,16,19
994,0,97,767,75,16,20
1631,0,79,706,75,16,19
1607,0,65,692,75,16,19
61,0,74,673,75,16,21
1426,0,72,725,75,16,20
1865,0,69,771,75,16,18
1751,0,103,768,75,16,20
1408,0,102,698,75,16,19
301,0,78,728,75,16,20
1073,0,100,672,75,16,21
1334,0,84,693,75,16,21
1275,0,103,803,75,16,19
1726,0,101,698,75,16,19
79,0,98,753,75,16,20
380,0,83,668,75,16,20
1049,0,82,723,75,16,20
1482,0,79,722,75,16,21
1300,0,94,695,75,16,20
1272,0,88,679,75,16,21
1185,0,88,726,75,16,20
310,0,80,768,75,16,20
600,0,82,698,75,16,21
1130,0,81,711,75,16,19
962,0,88,759,75,16,19
254,0,97,676,75,16,20
276,0,86,726,75,16,21
1019,0,81,698,75,16,19
772,0,106,696,75,16,20
696,0,81,699,75,16,19
658,0,79,800,75,16,22
453,0,94,725,75,16,19
472,0,94,823,75,16,19
2,0,66,682,75,16,20
99,0,100,751,75,16,20
1260,0,109,734,75,16,20
1415,0,77,690,75,16,18
1658,0,87,688,75,16,19
366,0,82,718,75,16,19
513,0,92,709,75,16,19
263,0,87,736,75,16,19
662,0,87,719,75,16,20
1176,0,93,698,75,16,18
988,0,76,732,75,16,18
112,0,107,706,75,16,20
