sid,BUFF,NOT,AND,PI,PO,LP
960,0,7832,39172,128,128,2216
162,0,3237,18905,128,128,2196
524,0,8204,39919,128,128,2269
416,0,8182,38968,128,128,2229
420,0,6298,35014,128,128,2202
709,0,7690,38023,128,128,2216
817,0,6824,36498,128,128,2210
1346,0,7600,37971,128,128,2228
464,0,7139,38886,128,128,2220
1974,0,7456,37805,128,128,2209
806,0,6885,38723,128,128,2216
1934,0,9406,47611,128,128,2238
1821,0,6744,37786,128,128,2206
1347,0,7131,37625,128,128,2226
169,0,7777,38446,128,128,2231
1860,0,6266,36498,128,128,2214
1714,0,6022,35344,128,128,2203
1721,0,6165,36538,128,128,2214
1419,0,6676,37346,128,128,2226
1632,0,6791,37464,128,128,2218
867,0,6302,35656,128,128,2219
260,0,7718,40084,128,128,2227
1412,0,6962,36880,128,128,2228
1225,0,5952,35252,128,128,2215
1542,0,3280,20947,128,128,2217
313,0,8122,39202,128,128,2228
410,0,6751,37238,128,128,2210
1625,0,7424,38149,128,128,2214
411,0,7980,39604,128,128,2208
154,0,6200,35944,128,128,2225
161,0,5374,34160,128,128,2203
392,0,6651,38108,128,128,2222
226,0,8117,39389,128,128,2229
1385,0,5841,34419,128,128,2220
1153,0,7541,39988,128,128,2224
343,0,8346,41231,128,128,2226
707,0,8251,39093,128,128,2216
91,0,5114,33532,128,128,2208
1254,0,5951,34665,128,128,2222
1761,0,5454,34529,128,128,2205
1012,0,8230,39451,128,128,2231
70,0,7556,38942,128,128,2203
853,0,6907,37054,128,128,2224
1491,0,7102,37436,128,128,2226
256,0,8444,39883,128,128,2223
909,0,7318,37976,128,128,2231
1257,0,5546,33980,128,128,2243
1284,0,6319,36638,128,128,2214
1587,0,5527,34744,128,128,2199
1059,0,7117,37621,128,128,2225
994,0,7399,38728,128,128,2219
968,0,6019,34510,128,128,2211
1089,0,7163,37539,128,128,2231
273,0,4962,33119,128,128,2212
1211,0,7807,39253,128,128,2225
477,0,8464,39571,128,128,2218
1,0,6898,37872,128,128,2212
1764,0,6136,35637,128,128,2216
1607,0,7543,38461,128,128,2226
1631,0,7546,38225,128,128,2223
79,0,4844,32769,128,128,2195
380,0,6747,36597,128,128,2210
1865,0,8336,39722,128,128,2210
1185,0,6744,37933,128,128,2218
1482,0,5952,35918,128,128,2197
1426,0,7575,38446,128,128,2247
1726,0,5922,35416,128,128,2217
61,0,6296,36235,128,128,2221
310,0,8087,38410,128,128,2273
1049,0,6455,36561,128,128,2220
1334,0,5845,36749,128,128,2214
1751,0,6907,36933,128,128,2209
1275,0,5046,33488,128,128,2195
1408,0,7041,37593,128,128,2223
301,0,7206,38241,128,128,2223
1272,0,6322,35752,128,128,2218
1300,0,6070,35089,128,128,2220
1073,0,7340,39533,128,128,2220
962,0,7252,37001,128,128,2225
600,0,7806,40888,128,128,2227
1130,0,7514,39621,128,128,2225
1019,0,7901,39224,128,128,2214
276,0,6958,37694,128,128,2221
99,0,4903,32916,128,128,2199
472,0,7853,39172,128,128,2209
658,0,5143,33685,128,128,2187
453,0,5397,33620,128,128,2200
254,0,5738,34462,128,128,2219
772,0,6202,35693,128,128,2217
696,0,6585,36046,128,128,2222
2,0,6444,36872,128,128,2205
513,0,6289,36242,128,128,2219
1260,0,7002,37641,128,128,2225
988,0,8286,40374,128,128,2222
1658,0,6195,35695,128,128,2221
366,0,5569,34621,128,128,2215
1176,0,5855,34985,128,128,2222
1415,0,8250,39583,128,128,2224
263,0,8033,39286,128,128,2228
