sid,BUFF,NOT,AND,PI,PO,LP
416,0,1451,10250,2708,2575,20
960,0,1077,10380,2708,2575,20
817,0,782,9618,2708,2575,20
1714,0,1141,10211,2708,2575,19
709,0,593,9305,2708,2575,22
1347,0,1207,9695,2708,2575,20
420,0,1663,10328,2708,2575,21
464,0,707,9312,2708,2575,20
162,0,1624,10575,2708,2575,20
1346,0,837,9561,2708,2575,20
524,0,1113,10074,2708,2575,20
169,0,847,9558,2708,2575,21
1860,0,1421,10422,2708,2575,21
1934,0,1324,10491,2708,2575,19
806,0,763,9311,2708,2575,22
1974,0,921,9253,2708,2575,20
1821,0,975,10227,2708,2575,21
1419,0,784,10294,2708,2575,22
1632,0,673,9581,2708,2575,20
1721,0,1190,9796,2708,2575,21
867,0,505,9263,2708,2575,21
260,0,777,9796,2708,2575,20
1412,0,541,9202,2708,2575,21
161,0,593,9769,2708,2575,20
392,0,672,9118,2708,2575,20
410,0,1235,10285,2708,2575,19
1225,0,1121,9755,2708,2575,20
154,0,796,9448,2708,2575,20
313,0,758,9585,2708,2575,21
411,0,1082,10125,2708,2575,20
1625,0,1235,10722,2708,2575,20
343,0,1103,9906,2708,2575,20
1542,0,668,9658,2708,2575,20
1153,0,640,9745,2708,2575,20
1385,0,721,9339,2708,2575,21
226,0,724,9555,2708,2575,20
91,0,805,9929,2708,2575,19
1254,0,986,10039,2708,2575,20
707,0,1133,9977,2708,2575,21
1761,0,1081,9812,2708,2575,21
1012,0,1157,9677,2708,2575,20
853,0,647,9507,2708,2575,21
256,0,477,9270,2708,2575,21
1491,0,545,9759,2708,2575,20
909,0,929,9532,2708,2575,20
1059,0,1142,9795,2708,2575,20
70,0,1126,9865,2708,2575,20
1257,0,1076,9829,2708,2575,21
1587,0,1462,10465,2708,2575,19
968,0,1166,9894,2708,2575,21
1284,0,1000,9727,2708,2575,20
273,0,670,9664,2708,2575,20
1089,0,614,9524,2708,2575,20
477,0,1021,10614,2708,2575,21
1,0,984,10099,2708,2575,20
994,0,1115,10527,2708,2575,20
1211,0,710,9317,2708,2575,21
1764,0,1125,10483,2708,2575,20
1607,0,748,9621,2708,2575,21
1631,0,714,9504,2708,2575,20
79,0,515,9356,2708,2575,20
1185,0,1545,10437,2708,2575,20
380,0,1110,10171,2708,2575,20
1865,0,965,9579,2708,2575,21
1426,0,637,9486,2708,2575,20
1482,0,688,9144,2708,2575,20
61,0,870,9974,2708,2575,21
1408,0,1101,10034,2708,2575,20
310,0,580,10802,2708,2575,20
1049,0,723,9277,2708,2575,21
1726,0,648,9526,2708,2575,20
1334,0,688,9232,2708,2575,20
1073,0,646,9521,2708,2575,20
1275,0,1140,10113,2708,2575,21
301,0,1153,9697,2708,2575,20
1272,0,1602,10535,2708,2575,20
1751,0,1172,9823,2708,2575,20
1300,0,1162,10208,2708,2575,20
600,0,1356,10271,2708,2575,20
1130,0,780,9732,2708,2575,21
962,0,823,10048,2708,2575,20
276,0,1186,10227,2708,2575,20
1019,0,1048,10077,2708,2575,19
472,0,1142,10452,2708,2575,21
99,0,1443,10537,2708,2575,19
658,0,1002,10216,2708,2575,19
453,0,576,9705,2708,2575,20
772,0,1132,9877,2708,2575,20
254,0,1023,10400,2708,2575,20
513,0,1009,9986,2708,2575,20
696,0,490,9646,2708,2575,19
1658,0,614,9451,2708,2575,19
1260,0,536,9739,2708,2575,20
366,0,469,9541,2708,2575,19
2,0,1103,9941,2708,2575,21
662,0,923,10128,2708,2575,21
1415,0,1440,10403,2708,2575,21
1176,0,651,9606,2708,2575,20
988,0,684,9177,2708,2575,19
263,0,1490,10521,2708,2575,20
112,0,594,9783,2708,2575,21
219,0,752,9725,2708,2575,20
1507,0,495,9136,2708,2575,21
1639,0,1440,10189,2708,2575,19
899,0,636,9163,2708,2575,21
1389,0,928,9556,2708,2575,19
1943,0,755,10328,2708,2575,21
314,0,1153,9724,2708,2575,22
770,0,550,9712,2708,2575,20
1603,0,1087,9885,2708,2575,20
1112,0,1127,10172,2708,2575,20
466,0,1176,10003,2708,2575,20
449,0,990,10072,2708,2575,21
1088,0,776,9343,2708,2575,20
1516,0,1129,10562,2708,2575,20
1838,0,1529,10514,2708,2575,21
500,0,519,9498,2708,2575,20
1237,0,1101,9913,2708,2575,20
1873,0,790,10322,2708,2575,19
249,0,751,9613,2708,2575,20
1263,0,1636,10298,2708,2575,20
405,0,491,10401,2708,2575,21
1291,0,912,9549,2708,2575,19
711,0,1111,10256,2708,2575,20
26,0,572,9400,2708,2575,21
1113,0,1519,10437,2708,2575,20
1249,0,1089,9813,2708,2575,21
222,0,574,9606,2708,2575,21
1152,0,641,9512,2708,2575,20
1064,0,688,9500,2708,2575,21
1643,0,585,9350,2708,2575,20
1630,0,884,9579,2708,2575,20
484,0,1054,10900,2708,2575,20
1460,0,1297,10347,2708,2575,19
1696,0,1131,10057,2708,2575,21
1964,0,1223,10721,2708,2575,20
481,0,1120,10026,2708,2575,20
1194,0,1249,10262,2708,2575,20
956,0,900,9488,2708,2575,19
741,0,1142,9955,2708,2575,21
447,0,1138,9858,2708,2575,20
1586,0,1213,10015,2708,2575,21
764,0,1330,10179,2708,2575,20
634,0,983,10457,2708,2575,19
1996,0,769,9751,2708,2575,20
788,0,786,10443,2708,2575,20
969,0,1419,10231,2708,2575,19
1241,0,1017,10074,2708,2575,19
739,0,586,9480,2708,2575,20
1506,0,1121,9764,2708,2575,20
1992,0,1328,10151,2708,2575,20
1665,0,861,9484,2708,2575,20
835,0,843,9563,2708,2575,20
1933,0,1004,10657,2708,2575,20
1135,0,611,9407,2708,2575,20
846,0,1040,10009,2708,2575,21
622,0,1140,9996,2708,2575,21
1610,0,632,9208,2708,2575,21
365,0,1018,10351,2708,2575,20
1723,0,818,10341,2708,2575,21
387,0,736,9471,2708,2575,20
948,0,591,9621,2708,2575,20
1902,0,1107,9650,2708,2575,19
814,0,1051,9737,2708,2575,19
412,0,587,9729,2708,2575,20
1951,0,595,9724,2708,2575,20
502,0,1222,10546,2708,2575,20
727,0,691,9607,2708,2575,21
1158,0,626,9562,2708,2575,20
704,0,644,9216,2708,2575,20
1315,0,733,10029,2708,2575,20
1720,0,999,9776,2708,2575,21
1896,0,554,9463,2708,2575,19
761,0,421,9170,2708,2575,20
1570,0,1505,10408,2708,2575,20
337,0,648,9347,2708,2575,20
1484,0,527,9175,2708,2575,20
1438,0,482,9502,2708,2575,20
708,0,956,9615,2708,2575,20
1083,0,950,9302,2708,2575,20
666,0,1058,10325,2708,2575,21
712,0,1414,10277,2708,2575,20
511,0,626,9755,2708,2575,20
1247,0,754,9952,2708,2575,20
338,0,1188,10033,2708,2575,21
1563,0,531,9745,2708,2575,19
1311,0,794,9459,2708,2575,20
25,0,978,10538,2708,2575,20
885,0,1133,9949,2708,2575,20
626,0,1240,10113,2708,2575,21
803,0,1433,10267,2708,2575,20
508,0,1314,10266,2708,2575,21
1379,0,1184,10494,2708,2575,21
407,0,570,9827,2708,2575,18
1767,0,1665,10314,2708,2575,20
563,0,477,9570,2708,2575,20
1842,0,1463,10355,2708,2575,19
1261,0,798,9203,2708,2575,20
1093,0,1004,10264,2708,2575,20
1645,0,493,9154,2708,2575,20
116,0,506,10312,2708,2575,21
465,0,1130,10240,2708,2575,21
858,0,923,9677,2708,2575,20
921,0,570,9853,2708,2575,20
1982,0,1187,9953,2708,2575,21
514,0,650,9536,2708,2575,20
188,0,745,9934,2708,2575,20
1463,0,586,9712,2708,2575,19
1662,0,997,10484,2708,2575,20
526,0,1582,10504,2708,2575,20
737,0,699,9689,2708,2575,20
1917,0,897,9307,2708,2575,20
1624,0,443,9520,2708,2575,20
1377,0,1008,9862,2708,2575,20
1596,0,1181,9987,2708,2575,19
234,0,1155,10003,2708,2575,20
157,0,1130,9564,2708,2575,21
1687,0,1515,10922,2708,2575,20
992,0,1251,9776,2708,2575,20
990,0,537,9279,2708,2575,20
1175,0,961,9596,2708,2575,20
762,0,721,9846,2708,2575,20
686,0,1485,10456,2708,2575,20
322,0,1137,10521,2708,2575,20
593,0,654,9575,2708,2575,20
265,0,714,10104,2708,2575,19
958,0,812,9927,2708,2575,20
1906,0,1079,9726,2708,2575,20
1635,0,1505,10297,2708,2575,21
794,0,697,10073,2708,2575,20
213,0,519,9660,2708,2575,21
418,0,899,9321,2708,2575,20
295,0,709,9661,2708,2575,20
1166,0,763,9209,2708,2575,21
1382,0,1469,10228,2708,2575,20
1231,0,674,9115,2708,2575,20
1689,0,1116,9795,2708,2575,20
636,0,1142,9802,2708,2575,20
1770,0,555,9459,2708,2575,21
1931,0,791,9397,2708,2575,20
1462,0,898,9716,2708,2575,20
398,0,1058,10306,2708,2575,19
824,0,728,10138,2708,2575,21
278,0,976,10463,2708,2575,20
1075,0,1149,9931,2708,2575,20
1155,0,504,9509,2708,2575,20
1281,0,1464,10441,2708,2575,20
1042,0,1129,10406,2708,2575,20
1366,0,549,9431,2708,2575,20
596,0,580,9378,2708,2575,20
1622,0,739,9712,2708,2575,19
290,0,874,9465,2708,2575,20
765,0,721,9342,2708,2575,20
641,0,685,9326,2708,2575,21
966,0,726,9225,2708,2575,20
1815,0,925,9515,2708,2575,19
128,0,1478,10407,2708,2575,20
560,0,691,9280,2708,2575,21
980,0,806,9291,2708,2575,20
1327,0,1045,11074,2708,2575,20
1404,0,619,9831,2708,2575,20
1735,0,500,9559,2708,2575,20
42,0,587,9859,2708,2575,19
1292,0,723,9837,2708,2575,19
1312,0,877,9448,2708,2575,20
884,0,551,9599,2708,2575,20
1004,0,786,9338,2708,2575,21
1994,0,731,9283,2708,2575,19
388,0,755,9645,2708,2575,21
123,0,784,10083,2708,2575,19
1712,0,685,9180,2708,2575,20
368,0,771,9230,2708,2575,22
698,0,1069,10545,2708,2575,20
1277,0,1689,10439,2708,2575,19
44,0,1028,9984,2708,2575,20
153,0,921,10057,2708,2575,21
572,0,649,9641,2708,2575,20
1626,0,729,9634,2708,2575,20
80,0,1464,10533,2708,2575,19
236,0,1028,10215,2708,2575,20
293,0,732,9309,2708,2575,21
528,0,790,9280,2708,2575,20
951,0,1479,10376,2708,2575,20
1910,0,1198,10511,2708,2575,20
233,0,1121,9856,2708,2575,20
880,0,541,9326,2708,2575,20
1769,0,796,9723,2708,2575,20
1997,0,1163,10616,2708,2575,20
776,0,1435,10226,2708,2575,20
215,0,1025,10850,2708,2575,19
95,0,673,9639,2708,2575,20
917,0,1150,10211,2708,2575,19
1889,0,745,9807,2708,2575,21
1701,0,627,9571,2708,2575,20
1287,0,656,9178,2708,2575,20
1133,0,679,9705,2708,2575,19
474,0,1534,10578,2708,2575,19
1033,0,558,9297,2708,2575,20
428,0,511,9631,2708,2575,19
836,0,1172,9832,2708,2575,20
1803,0,1251,10150,2708,2575,20
961,0,982,9835,2708,2575,21
1824,0,925,9413,2708,2575,20
332,0,1670,10202,2708,2575,20
208,0,787,9261,2708,2575,20
1537,0,1102,10769,2708,2575,21
1098,0,523,9557,2708,2575,20
362,0,854,10046,2708,2575,19
503,0,1185,10448,2708,2575,20
1901,0,750,9607,2708,2575,20
1008,0,808,9834,2708,2575,20
1405,0,831,10049,2708,2575,21
1077,0,868,9580,2708,2575,19
84,0,1143,10369,2708,2575,21
1180,0,514,9536,2708,2575,19
1364,0,704,9595,2708,2575,21
724,0,909,10133,2708,2575,20
1295,0,1023,10035,2708,2575,18
1452,0,880,9689,2708,2575,19
175,0,1104,10001,2708,2575,20
