sid,BUFF,NOT,AND,PI,PO,LP
960,0,5767,43552,10731,10422,20
420,0,5877,43296,10731,10422,20
1714,0,1268,38820,10731,10422,19
709,0,5457,39019,10731,10422,19
416,0,5756,43363,10731,10422,19
817,0,5806,43246,10731,10422,19
162,0,5750,43284,10731,10422,21
524,0,5731,43519,10731,10422,21
1860,0,5859,43782,10731,10422,21
1346,0,5458,42837,10731,10422,19
464,0,5367,42314,10731,10422,19
1347,0,1409,38683,10731,10422,19
1934,0,5710,39581,10731,10422,19
169,0,5736,39308,10731,10422,19
1974,0,5349,42775,10731,10422,20
806,0,1214,31850,10731,10422,19
1721,0,5756,39256,10731,10422,20
1632,0,5754,42611,10731,10422,20
1419,0,5431,38902,10731,10422,20
1821,0,5748,36278,10731,10422,20
260,0,5346,35286,10731,10422,20
867,0,5392,38989,10731,10422,19
1225,0,5312,43193,10731,10422,18
392,0,1161,31579,10731,10422,19
161,0,5738,39355,10731,10422,19
154,0,5394,35479,10731,10422,19
313,0,5497,38919,10731,10422,19
410,0,5735,42740,10731,10422,19
1412,0,5706,39412,10731,10422,20
411,0,5786,43539,10731,10422,18
1153,0,5235,42471,10731,10422,19
1385,0,5757,36189,10731,10422,19
343,0,5708,39276,10731,10422,19
1625,0,5766,39337,10731,10422,18
91,0,1448,39136,10731,10422,18
1542,0,5445,38961,10731,10422,20
226,0,5515,42866,10731,10422,18
707,0,5729,39258,10731,10422,20
1254,0,5743,43058,10731,10422,20
1761,0,5694,39089,10731,10422,20
909,0,1240,31655,10731,10422,19
1012,0,5770,43526,10731,10422,19
1284,0,5520,42901,10731,10422,19
1491,0,5410,42773,10731,10422,19
853,0,5457,39036,10731,10422,19
1059,0,5750,39226,10731,10422,19
968,0,5735,39248,10731,10422,20
1587,0,5668,43516,10731,10422,19
273,0,5442,38900,10731,10422,20
70,0,5786,39285,10731,10422,20
256,0,5515,42359,10731,10422,20
1257,0,5735,39215,10731,10422,20
1089,0,5497,42818,10731,10422,19
477,0,5652,43071,10731,10422,19
1,0,5798,43238,10731,10422,20
1211,0,5270,35926,10731,10422,19
994,0,5807,43401,10731,10422,21
1764,0,5762,42526,10731,10422,19
1607,0,5409,35328,10731,10422,19
1631,0,5706,35620,10731,10422,19
61,0,5346,35847,10731,10422,20
79,0,5461,42923,10731,10422,21
1185,0,5707,36451,10731,10422,19
1482,0,1252,31692,10731,10422,20
1426,0,1406,38957,10731,10422,19
1049,0,1218,38211,10731,10422,20
380,0,5740,36270,10731,10422,20
1865,0,5803,39333,10731,10422,21
310,0,1167,36709,10731,10422,19
1726,0,5476,38967,10731,10422,19
1408,0,5241,35944,10731,10422,19
1334,0,1211,31908,10731,10422,20
1751,0,5299,35849,10731,10422,20
301,0,5254,35843,10731,10422,20
1275,0,5704,39220,10731,10422,19
1272,0,5741,43066,10731,10422,18
1073,0,5454,38824,10731,10422,20
