sid,BUFF,NOT,AND,PI,PO,LP
420,0,3252,23230,632,409,501
416,0,3138,23123,632,409,499
1714,0,3033,23039,632,409,494
960,0,3268,23901,632,409,497
162,0,3130,22745,632,409,506
709,0,3302,23433,632,409,501
524,0,3216,23408,632,409,499
1347,0,3116,22504,632,409,506
817,0,3248,23199,632,409,492
464,0,3191,22898,632,409,512
1346,0,3114,23412,632,409,493
169,0,3280,23600,632,409,505
1934,0,3412,24323,632,409,507
1821,0,3165,23036,632,409,512
1632,0,3255,22912,632,409,517
806,0,3083,22715,632,409,513
1860,0,3246,23550,632,409,503
1974,0,3102,23039,632,409,499
1419,0,3202,22848,632,409,515
1721,0,3230,22869,632,409,515
867,0,3264,23152,632,409,506
1412,0,3200,23049,632,409,500
260,0,3243,23016,632,409,515
313,0,3308,23683,632,409,504
154,0,3239,23524,632,409,496
1625,0,3318,23705,632,409,505
411,0,3227,23358,632,409,505
161,0,3277,22996,632,409,503
1153,0,3100,22956,632,409,509
410,0,3108,23075,632,409,505
1225,0,3278,23498,632,409,507
392,0,3094,22628,632,409,502
1385,0,3253,23076,632,409,517
343,0,3265,23238,632,409,514
1542,0,3228,23483,632,409,495
707,0,3176,22832,632,409,515
91,0,3342,23603,632,409,506
1761,0,3154,22643,632,409,511
226,0,3313,23609,632,409,506
1254,0,3277,23114,632,409,504
256,0,3077,22444,632,409,511
1012,0,3170,22948,632,409,506
853,0,3212,23491,632,409,504
1491,0,3300,24164,632,409,494
909,0,3208,23200,632,409,508
1284,0,3186,22788,632,409,503
1587,0,3165,23281,632,409,502
1059,0,3129,22945,632,409,501
1257,0,3418,23965,632,409,499
1211,0,3129,22611,632,409,515
70,0,3341,24225,632,409,496
968,0,3261,23040,632,409,514
1,0,3141,22857,632,409,506
273,0,3401,23998,632,409,499
994,0,3452,24109,632,409,499
1089,0,3281,23606,632,409,498
477,0,3256,23502,632,409,500
1764,0,3373,23825,632,409,504
1607,0,3266,23175,632,409,510
1631,0,3290,23157,632,409,516
79,0,3216,22993,632,409,502
61,0,3265,23118,632,409,507
1482,0,3301,23034,632,409,509
1426,0,3298,23504,632,409,500
1049,0,3211,22802,632,409,515
1185,0,3160,22868,632,409,510
310,0,3323,24054,632,409,495
380,0,3279,23371,632,409,499
1865,0,3359,23650,632,409,508
1751,0,3102,22437,632,409,516
1334,0,3299,23633,632,409,512
1726,0,3253,23608,632,409,494
1073,0,3246,22967,632,409,509
1408,0,3323,23699,632,409,499
1275,0,3295,23241,632,409,510
1272,0,3274,23173,632,409,506
301,0,3164,22993,632,409,517
1300,0,3136,23434,632,409,506
962,0,3328,23842,632,409,498
600,0,3175,22737,632,409,520
1130,0,3246,23088,632,409,514
276,0,3216,23370,632,409,509
99,0,3112,22903,632,409,501
658,0,3195,23202,632,409,515
1019,0,3336,23276,632,409,506
453,0,3144,23535,632,409,490
254,0,3290,23590,632,409,501
772,0,3393,23803,632,409,488
472,0,3282,23607,632,409,499
696,0,3191,23293,632,409,495
1260,0,3288,23360,632,409,494
513,0,3195,23314,632,409,498
2,0,3187,23041,632,409,512
366,0,3247,23508,632,409,492
1176,0,3340,23712,632,409,497
988,0,3432,23684,632,409,497
1658,0,3362,23820,632,409,502
662,0,3262,22753,632,409,511
1415,0,3162,23104,632,409,505
263,0,3150,22878,632,409,507
112,0,3264,22839,632,409,506
1507,0,3333,23666,632,409,503
219,0,3272,23772,632,409,498
1389,0,3157,22940,632,409,505
1639,0,3214,23300,632,409,498
314,0,3230,22956,632,409,507
899,0,3303,23710,632,409,513
1603,0,3101,22573,632,409,509
1943,0,3199,23056,632,409,491
770,0,3243,23472,632,409,495
1112,0,3305,23720,632,409,495
466,0,3246,22982,632,409,509
1516,0,3188,23453,632,409,495
1088,0,3057,22471,632,409,504
449,0,3157,22739,632,409,516
500,0,3197,23120,632,409,494
249,0,3218,23081,632,409,510
1838,0,3118,22683,632,409,513
1873,0,3295,23987,632,409,487
1237,0,3327,23643,632,409,507
1263,0,3093,22693,632,409,509
1113,0,3168,22976,632,409,508
1291,0,3238,23284,632,409,510
405,0,3335,24271,632,409,489
1249,0,3334,23608,632,409,509
26,0,3274,23431,632,409,493
711,0,3324,23978,632,409,498
1643,0,3049,22436,632,409,501
222,0,3211,23122,632,409,510
1064,0,3351,23492,632,409,494
1152,0,3202,23117,632,409,506
1460,0,3467,24388,632,409,492
484,0,3283,23217,632,409,499
1630,0,3265,23222,632,409,509
1696,0,3280,23424,632,409,492
481,0,3422,23953,632,409,509
1194,0,3460,23992,632,409,508
1964,0,3271,23484,632,409,508
956,0,3325,23507,632,409,495
741,0,3180,23370,632,409,500
1996,0,3256,23007,632,409,508
764,0,3186,23028,632,409,508
447,0,3240,23234,632,409,511
1586,0,3373,23732,632,409,505
1506,0,3224,23143,632,409,509
788,0,3271,23376,632,409,495
1992,0,3188,22993,632,409,515
969,0,3114,22941,632,409,501
634,0,3210,23450,632,409,499
739,0,3307,23605,632,409,497
1241,0,3215,23517,632,409,499
1933,0,3173,22854,632,409,504
1665,0,3135,22701,632,409,514
835,0,3156,22852,632,409,507
1135,0,3259,22860,632,409,504
622,0,3261,23435,632,409,512
365,0,3169,22938,632,409,497
846,0,3251,23411,632,409,508
1723,0,3256,23604,632,409,495
387,0,3217,23055,632,409,513
1610,0,3039,22828,632,409,506
948,0,3240,23168,632,409,505
814,0,3378,24005,632,409,497
1902,0,3344,23452,632,409,497
502,0,3411,24155,632,409,507
1158,0,3180,22847,632,409,514
727,0,3256,23273,632,409,516
412,0,3188,23342,632,409,498
704,0,3163,22943,632,409,500
1951,0,3240,23811,632,409,490
1896,0,3275,23687,632,409,501
1720,0,3270,23439,632,409,502
761,0,3170,22557,632,409,505
1315,0,3233,23473,632,409,508
337,0,3216,22975,632,409,510
1438,0,3172,23226,632,409,495
1570,0,3105,22851,632,409,511
708,0,3245,23328,632,409,499
712,0,3086,23179,632,409,498
1083,0,3001,22629,632,409,505
666,0,3468,23938,632,409,503
1484,0,3309,23370,632,409,507
511,0,3135,22925,632,409,500
1563,0,3238,23809,632,409,495
338,0,3415,23865,632,409,519
1311,0,3128,23453,632,409,501
1247,0,3443,24159,632,409,495
626,0,3226,23175,632,409,496
885,0,3424,24285,632,409,491
803,0,3047,22576,632,409,504
1379,0,3243,23464,632,409,501
1767,0,3152,23025,632,409,506
25,0,3273,23794,632,409,487
563,0,3100,23313,632,409,498
508,0,3198,23351,632,409,504
1842,0,3240,23195,632,409,503
407,0,3258,23838,632,409,492
1261,0,3046,22688,632,409,503
116,0,3350,24117,632,409,489
858,0,3141,23081,632,409,503
465,0,3349,23602,632,409,500
921,0,3271,23999,632,409,501
1093,0,3260,23447,632,409,499
1645,0,3135,22821,632,409,506
1463,0,3228,22859,632,409,505
1982,0,3321,24005,632,409,494
514,0,3262,23677,632,409,508
188,0,3286,23247,632,409,504
1662,0,3215,22911,632,409,513
1596,0,3281,23281,632,409,497
1917,0,3182,22764,632,409,508
1377,0,3217,23257,632,409,492
737,0,3231,23488,632,409,498
526,0,3167,22945,632,409,503
157,0,3171,23149,632,409,508
234,0,3264,23242,632,409,509
992,0,3264,23238,632,409,504
1687,0,3119,22573,632,409,509
1624,0,3160,23015,632,409,494
990,0,3257,23741,632,409,486
686,0,3179,23218,632,409,513
762,0,3227,23466,632,409,497
593,0,3265,23588,632,409,491
1175,0,3192,23442,632,409,496
958,0,3184,22910,632,409,510
265,0,3264,23988,632,409,490
1906,0,3171,22902,632,409,507
322,0,3442,24040,632,409,499
794,0,3383,24507,632,409,496
1231,0,3273,22845,632,409,506
295,0,3208,23380,632,409,505
1635,0,2936,22529,632,409,517
213,0,3268,23311,632,409,496
418,0,3150,23273,632,409,501
1166,0,3274,23512,632,409,508
1382,0,3173,23246,632,409,501
1770,0,3319,23775,632,409,499
398,0,3117,22686,632,409,513
1689,0,3260,23187,632,409,497
636,0,3182,22721,632,409,514
1462,0,3272,23405,632,409,511
824,0,3244,23141,632,409,510
278,0,3224,23381,632,409,504
1075,0,3131,22668,632,409,505
1931,0,3293,22965,632,409,504
1155,0,3143,23036,632,409,499
1281,0,3303,23398,632,409,506
1042,0,3398,23919,632,409,506
1622,0,3234,23757,632,409,496
1366,0,3264,23525,632,409,500
765,0,3426,23820,632,409,500
596,0,3464,24214,632,409,497
290,0,3377,23527,632,409,496
966,0,3269,23041,632,409,512
641,0,3090,22869,632,409,499
1815,0,3240,23502,632,409,489
980,0,3262,23009,632,409,501
42,0,3272,23786,632,409,485
128,0,3079,23033,632,409,503
1327,0,3232,23511,632,409,499
1404,0,3196,23137,632,409,497
560,0,3225,23022,632,409,499
1292,0,3154,23511,632,409,488
1735,0,3161,23433,632,409,501
884,0,3194,23112,632,409,500
1312,0,3251,23315,632,409,500
1994,0,3201,23285,632,409,495
1004,0,3183,22773,632,409,515
388,0,3229,23022,632,409,503
123,0,3244,23856,632,409,486
1277,0,3374,23549,632,409,499
1712,0,3299,22963,632,409,511
698,0,3166,23383,632,409,500
153,0,3329,23290,632,409,502
368,0,3254,22864,632,409,513
1626,0,3321,23372,632,409,500
80,0,3210,23356,632,409,504
236,0,3306,23334,632,409,508
44,0,3316,23616,632,409,499
572,0,3274,23303,632,409,506
293,0,3233,23690,632,409,499
528,0,3247,23068,632,409,505
1910,0,3358,23664,632,409,499
951,0,3124,23015,632,409,502
233,0,3152,23242,632,409,491
880,0,3156,23087,632,409,500
776,0,3236,23034,632,409,512
1769,0,3426,23828,632,409,507
215,0,3339,23969,632,409,491
917,0,3256,23995,632,409,489
1287,0,3203,23068,632,409,512
1997,0,3415,24174,632,409,511
95,0,3227,23111,632,409,511
474,0,3282,23551,632,409,502
428,0,3316,23852,632,409,492
1889,0,3233,22955,632,409,510
1701,0,3332,23434,632,409,501
1133,0,3216,23672,632,409,498
1033,0,3243,23569,632,409,503
836,0,3083,22560,632,409,508
332,0,3161,22563,632,409,514
1803,0,3292,23406,632,409,497
961,0,3328,23538,632,409,505
1824,0,3203,22596,632,409,500
208,0,3227,22913,632,409,505
1537,0,3275,23642,632,409,508
362,0,3327,23318,632,409,503
1008,0,3330,23585,632,409,512
1098,0,3223,23419,632,409,495
503,0,3402,24116,632,409,514
1901,0,3243,23632,632,409,500
1077,0,3249,23257,632,409,506
1180,0,3268,23196,632,409,508
1405,0,3063,22723,632,409,499
1295,0,3230,23261,632,409,505
84,0,3254,22938,632,409,511
1452,0,3247,23450,632,409,494
724,0,3269,22842,632,409,506
1364,0,3370,23525,632,409,514
172,0,3295,23421,632,409,501
424,0,3407,23550,632,409,505
617,0,3260,23208,632,409,507
175,0,3247,23204,632,409,502
1839,0,3410,23898,632,409,497
121,0,3308,23775,632,409,500
103,0,3210,23866,632,409,487
102,0,3305,23712,632,409,509
14,0,3360,23193,632,409,502
491,0,3232,23254,632,409,510
1744,0,3327,23353,632,409,500
618,0,3347,23650,632,409,499
1328,0,3264,23105,632,409,502
891,0,3197,23087,632,409,504
1612,0,2988,22603,632,409,498
525,0,3307,23250,632,409,502
1702,0,3275,23024,632,409,509
895,0,3278,23214,632,409,512
159,0,3129,22885,632,409,514
1305,0,3184,22741,632,409,507
857,0,3302,23016,632,409,518
1120,0,3269,23533,632,409,500
1841,0,3149,22611,632,409,515
1589,0,3277,23445,632,409,508
475,0,3253,23537,632,409,507
1350,0,3204,23156,632,409,494
742,0,3195,23670,632,409,497
318,0,3219,23364,632,409,496
221,0,3201,23374,632,409,509
451,0,3236,23695,632,409,485
1663,0,3251,23305,632,409,504
1339,0,3201,23164,632,409,501
521,0,3168,23117,632,409,496
1003,0,3102,22861,632,409,504
1494,0,3307,23769,632,409,503
1957,0,3268,23198,632,409,505
1361,0,3282,23608,632,409,505
1161,0,3353,24029,632,409,492
1040,0,3178,22737,632,409,509
888,0,3207,22755,632,409,510
882,0,3368,23856,632,409,501
1894,0,3203,23172,632,409,502
1475,0,3188,23007,632,409,503
841,0,3331,23521,632,409,497
1269,0,3337,23691,632,409,495
1167,0,3132,22692,632,409,505
1883,0,3332,23543,632,409,506
1209,0,3191,23364,632,409,506
1644,0,3098,23111,632,409,504
1518,0,3052,22709,632,409,509
700,0,3083,22784,632,409,502
1223,0,3292,23379,632,409,503
1634,0,3190,22645,632,409,514
214,0,3465,24240,632,409,496
753,0,3133,23247,632,409,503
1248,0,3164,23159,632,409,512
1750,0,3344,23216,632,409,510
389,0,3257,23634,632,409,496
1911,0,3184,23408,632,409,501
781,0,3044,22355,632,409,519
396,0,3378,23888,632,409,510
1288,0,3035,22653,632,409,499
1320,0,3293,23242,632,409,507
454,0,3311,23456,632,409,497
1763,0,3435,23781,632,409,510
1715,0,3224,22851,632,409,515
1580,0,3161,22412,632,409,508
699,0,3297,23129,632,409,510
587,0,3200,22997,632,409,500
439,0,3165,23422,632,409,500
927,0,3461,23959,632,409,506
1187,0,3356,23700,632,409,498
1765,0,3145,22989,632,409,515
6,0,3446,23914,632,409,497
1370,0,3260,23274,632,409,495
165,0,3392,23731,632,409,506
1411,0,3268,23782,632,409,511
1555,0,3257,23433,632,409,497
393,0,3303,23494,632,409,499
1676,0,3379,23740,632,409,509
713,0,3247,22922,632,409,514
289,0,3329,23748,632,409,502
480,0,3299,23193,632,409,502
1640,0,3120,22878,632,409,504
1282,0,3267,23477,632,409,502
306,0,3099,23152,632,409,499
789,0,3297,23838,632,409,497
825,0,3189,22909,632,409,514
385,0,3218,23059,632,409,497
1172,0,3214,22972,632,409,504
194,0,3327,23710,632,409,499
1880,0,3241,23446,632,409,499
797,0,3086,22415,632,409,513
378,0,3201,23369,632,409,497
1316,0,3139,22718,632,409,512
166,0,3167,23295,632,409,491
1817,0,3189,23310,632,409,506
1673,0,3186,23326,632,409,510
1041,0,3331,23447,632,409,499
187,0,3275,23102,632,409,503
