sid,BUFF,NOT,AND,PI,PO,LP
420,0,999,5411,494,441,47
960,0,1040,5401,494,441,47
524,0,1003,5408,494,441,47
709,0,1033,5417,494,441,48
162,0,1007,5437,494,441,48
817,0,974,5339,494,441,48
1714,0,994,5439,494,441,46
416,0,1029,5454,494,441,47
806,0,1019,5342,494,441,46
464,0,1037,5282,494,441,48
1346,0,1051,5532,494,441,47
1347,0,1038,5353,494,441,49
1934,0,1007,5578,494,441,47
1821,0,962,5237,494,441,48
169,0,983,5295,494,441,48
1721,0,1032,5225,494,441,46
1632,0,979,5251,494,441,47
1860,0,981,5258,494,441,47
1974,0,1023,5308,494,441,49
1419,0,1027,5321,494,441,46
867,0,1060,5405,494,441,47
1412,0,1042,5597,494,441,47
260,0,988,5292,494,441,47
1625,0,1024,5365,494,441,46
392,0,1063,5447,494,441,48
411,0,1050,5332,494,441,48
1225,0,1083,5568,494,441,46
313,0,1015,5324,494,441,46
1385,0,1036,5331,494,441,48
410,0,1044,5449,494,441,48
154,0,1099,5554,494,441,47
161,0,1105,5413,494,441,47
1153,0,1020,5329,494,441,47
1542,0,1083,5413,494,441,47
343,0,971,5157,494,441,46
707,0,937,5231,494,441,48
91,0,1031,5392,494,441,49
1761,0,888,5167,494,441,46
226,0,1066,5366,494,441,48
1254,0,1074,5341,494,441,49
256,0,1000,5462,494,441,47
1012,0,1073,5477,494,441,45
909,0,1049,5376,494,441,46
853,0,1023,5287,494,441,47
70,0,992,5375,494,441,46
1587,0,1004,5291,494,441,48
1284,0,966,5313,494,441,46
1491,0,1019,5448,494,441,47
1059,0,1053,5396,494,441,47
1257,0,990,5350,494,441,47
968,0,1000,5346,494,441,47
1211,0,1045,5391,494,441,47
1,0,1017,5349,494,441,47
1089,0,1062,5357,494,441,46
273,0,1050,5449,494,441,48
994,0,1003,5438,494,441,48
477,0,1100,5560,494,441,46
1764,0,987,5279,494,441,47
1607,0,1057,5509,494,441,48
1631,0,1076,5360,494,441,50
79,0,1104,5415,494,441,47
380,0,1038,5358,494,441,49
1426,0,1122,5478,494,441,47
1865,0,1003,5449,494,441,46
1185,0,1013,5290,494,441,46
1049,0,1031,5379,494,441,47
61,0,955,5265,494,441,47
1751,0,991,5284,494,441,48
1482,0,980,5384,494,441,47
1408,0,1036,5353,494,441,49
1334,0,1033,5365,494,441,47
310,0,1049,5351,494,441,48
1726,0,986,5332,494,441,48
1275,0,1028,5442,494,441,46
301,0,973,5363,494,441,48
1272,0,1051,5422,494,441,47
1300,0,1021,5365,494,441,48
1073,0,1068,5464,494,441,48
600,0,1029,5259,494,441,48
1130,0,988,5265,494,441,48
962,0,1070,5474,494,441,46
1019,0,1010,5387,494,441,47
99,0,1062,5549,494,441,48
276,0,1046,5452,494,441,46
658,0,974,5338,494,441,46
254,0,1042,5378,494,441,48
472,0,1034,5359,494,441,46
772,0,1009,5404,494,441,48
696,0,1083,5432,494,441,47
2,0,984,5323,494,441,46
453,0,1111,5502,494,441,47
513,0,1154,5646,494,441,48
1260,0,1005,5286,494,441,46
366,0,1087,5483,494,441,47
1658,0,1055,5511,494,441,48
1176,0,1085,5453,494,441,48
1415,0,1053,5358,494,441,46
662,0,1015,5369,494,441,47
263,0,1021,5449,494,441,48
988,0,1011,5317,494,441,47
112,0,1040,5428,494,441,46
219,0,997,5429,494,441,48
1507,0,1020,5406,494,441,48
1639,0,980,5304,494,441,49
1943,0,1010,5242,494,441,47
1389,0,1020,5435,494,441,48
314,0,1079,5418,494,441,48
1603,0,971,5276,494,441,47
449,0,1015,5373,494,441,47
770,0,1032,5396,494,441,47
1112,0,1102,5407,494,441,47
1088,0,1055,5319,494,441,47
466,0,989,5285,494,441,48
1516,0,1085,5410,494,441,48
899,0,1098,5590,494,441,45
500,0,1013,5378,494,441,47
249,0,1038,5443,494,441,48
1838,0,969,5272,494,441,46
1237,0,1003,5430,494,441,46
1873,0,1064,5532,494,441,47
1263,0,1064,5404,494,441,47
1113,0,1027,5310,494,441,46
405,0,1047,5354,494,441,47
1249,0,991,5371,494,441,47
1291,0,982,5312,494,441,47
26,0,1054,5306,494,441,49
711,0,1074,5674,494,441,47
1643,0,983,5283,494,441,46
222,0,983,5334,494,441,46
1152,0,951,5201,494,441,46
1064,0,1089,5404,494,441,46
484,0,1071,5434,494,441,47
1696,0,1023,5470,494,441,47
1460,0,1033,5426,494,441,48
1630,0,1032,5344,494,441,47
481,0,980,5436,494,441,46
1964,0,1133,5496,494,441,46
1194,0,1061,5538,494,441,47
741,0,1114,5552,494,441,47
956,0,1061,5326,494,441,47
1586,0,1066,5487,494,441,48
447,0,1055,5451,494,441,48
764,0,981,5298,494,441,48
1996,0,1046,5429,494,441,47
634,0,1046,5500,494,441,47
788,0,1040,5372,494,441,48
1992,0,1092,5400,494,441,50
969,0,1012,5310,494,441,48
1241,0,1055,5263,494,441,47
1506,0,987,5374,494,441,48
1665,0,1124,5532,494,441,48
835,0,950,5313,494,441,47
1933,0,1052,5421,494,441,48
739,0,1069,5524,494,441,46
1135,0,1017,5349,494,441,47
622,0,1016,5495,494,441,48
846,0,1004,5192,494,441,48
365,0,988,5374,494,441,48
387,0,1063,5529,494,441,48
1610,0,973,5320,494,441,46
1723,0,1111,5468,494,441,49
948,0,987,5371,494,441,47
814,0,1041,5388,494,441,48
1902,0,1012,5320,494,441,48
502,0,1017,5498,494,441,48
727,0,1001,5442,494,441,47
1158,0,978,5357,494,441,48
412,0,1075,5598,494,441,47
704,0,1069,5367,494,441,48
1951,0,1086,5478,494,441,49
1896,0,1050,5479,494,441,48
1720,0,1035,5407,494,441,48
761,0,1075,5349,494,441,47
1315,0,1072,5531,494,441,48
337,0,1010,5413,494,441,47
1570,0,1004,5366,494,441,47
1438,0,1067,5379,494,441,47
708,0,1085,5426,494,441,48
1083,0,1035,5326,494,441,48
666,0,988,5385,494,441,46
1484,0,991,5320,494,441,47
712,0,957,5281,494,441,47
511,0,1026,5347,494,441,48
338,0,1019,5657,494,441,48
1563,0,1111,5470,494,441,47
1311,0,1154,5702,494,441,47
626,0,1032,5391,494,441,48
1247,0,1012,5307,494,441,47
803,0,1077,5454,494,441,48
885,0,1025,5448,494,441,49
1379,0,1090,5415,494,441,48
1767,0,997,5267,494,441,46
25,0,1019,5410,494,441,48
563,0,1016,5368,494,441,49
1842,0,975,5252,494,441,47
508,0,1080,5599,494,441,46
407,0,1069,5422,494,441,48
1261,0,1060,5488,494,441,49
1093,0,1083,5399,494,441,48
1645,0,950,5376,494,441,48
116,0,1047,5320,494,441,48
858,0,1046,5427,494,441,48
1463,0,1042,5330,494,441,47
465,0,1081,5443,494,441,46
921,0,1053,5505,494,441,47
1982,0,1045,5357,494,441,47
188,0,1022,5354,494,441,47
1662,0,1022,5307,494,441,47
514,0,1032,5391,494,441,46
1596,0,1113,5543,494,441,48
1917,0,1013,5365,494,441,46
1377,0,1015,5309,494,441,47
526,0,1024,5400,494,441,48
737,0,1069,5456,494,441,48
157,0,1026,5333,494,441,49
234,0,1005,5351,494,441,48
1687,0,1044,5354,494,441,47
1624,0,968,5241,494,441,45
990,0,1070,5473,494,441,48
992,0,1027,5490,494,441,47
686,0,1036,5364,494,441,48
762,0,1027,5344,494,441,47
1175,0,967,5307,494,441,47
322,0,1052,5499,494,441,46
958,0,1086,5493,494,441,48
593,0,1011,5400,494,441,48
265,0,1065,5539,494,441,48
1906,0,994,5197,494,441,48
794,0,1101,5593,494,441,47
1635,0,1011,5442,494,441,49
418,0,1114,5423,494,441,46
1231,0,966,5287,494,441,46
213,0,1081,5479,494,441,49
1382,0,1036,5279,494,441,48
1166,0,1026,5502,494,441,48
295,0,1046,5478,494,441,48
1689,0,965,5274,494,441,48
1770,0,1044,5430,494,441,47
636,0,1033,5430,494,441,47
398,0,1092,5583,494,441,47
1931,0,1039,5253,494,441,48
1462,0,1055,5380,494,441,48
824,0,1046,5356,494,441,47
278,0,978,5452,494,441,46
1075,0,1030,5398,494,441,48
1155,0,1048,5447,494,441,47
1281,0,1095,5379,494,441,46
1042,0,998,5278,494,441,46
1366,0,1000,5429,494,441,48
1622,0,1007,5361,494,441,47
641,0,999,5350,494,441,47
290,0,1008,5415,494,441,48
596,0,1053,5550,494,441,48
765,0,1041,5320,494,441,47
966,0,1073,5382,494,441,48
1815,0,1038,5415,494,441,48
128,0,1052,5483,494,441,46
980,0,1016,5445,494,441,45
1327,0,964,5335,494,441,48
560,0,916,5138,494,441,46
42,0,1047,5432,494,441,48
1735,0,1093,5393,494,441,48
1292,0,1091,5547,494,441,48
1404,0,1111,5582,494,441,49
1004,0,1010,5329,494,441,47
1312,0,1030,5317,494,441,48
1994,0,1060,5413,494,441,48
884,0,1061,5445,494,441,48
1277,0,1032,5384,494,441,49
123,0,1018,5358,494,441,49
1712,0,1053,5391,494,441,46
153,0,1025,5388,494,441,47
388,0,1089,5461,494,441,47
368,0,990,5254,494,441,46
80,0,967,5279,494,441,48
698,0,1072,5507,494,441,46
44,0,1073,5649,494,441,47
1626,0,1008,5269,494,441,47
236,0,1046,5390,494,441,48
572,0,977,5306,494,441,48
528,0,1137,5473,494,441,47
293,0,1076,5561,494,441,46
1910,0,1039,5409,494,441,48
951,0,1063,5389,494,441,47
233,0,1073,5460,494,441,47
880,0,1043,5374,494,441,47
776,0,981,5399,494,441,46
1769,0,1056,5433,494,441,47
215,0,1059,5350,494,441,48
1287,0,1063,5383,494,441,46
1997,0,1055,5563,494,441,47
917,0,1071,5514,494,441,46
95,0,1007,5262,494,441,47
474,0,1053,5295,494,441,48
1701,0,995,5282,494,441,47
1889,0,1010,5351,494,441,47
1133,0,1097,5577,494,441,48
428,0,1031,5342,494,441,48
1033,0,1052,5368,494,441,48
836,0,1033,5354,494,441,46
332,0,1000,5230,494,441,47
1803,0,1129,5419,494,441,46
961,0,1095,5478,494,441,46
1537,0,1078,5488,494,441,47
1824,0,1014,5377,494,441,48
208,0,1057,5407,494,441,47
362,0,1042,5425,494,441,47
1098,0,1005,5290,494,441,47
1008,0,1051,5442,494,441,47
503,0,1097,5550,494,441,46
1405,0,998,5305,494,441,48
1180,0,1079,5419,494,441,47
1901,0,1134,5634,494,441,46
84,0,1052,5429,494,441,46
1077,0,1125,5484,494,441,48
1364,0,1015,5302,494,441,47
1295,0,998,5442,494,441,47
1452,0,1073,5438,494,441,48
724,0,1009,5279,494,441,47
175,0,1049,5502,494,441,49
172,0,1007,5364,494,441,47
424,0,972,5423,494,441,47
617,0,1025,5341,494,441,47
1839,0,1051,5381,494,441,48
102,0,987,5231,494,441,48
121,0,1059,5502,494,441,47
103,0,1111,5548,494,441,49
1744,0,1084,5368,494,441,49
491,0,1068,5359,494,441,48
14,0,987,5261,494,441,47
1328,0,1082,5429,494,441,47
891,0,1030,5303,494,441,48
1612,0,1086,5551,494,441,46
618,0,1018,5416,494,441,47
525,0,1049,5420,494,441,47
1702,0,975,5280,494,441,49
895,0,1135,5513,494,441,48
159,0,995,5446,494,441,48
1305,0,1083,5602,494,441,47
1841,0,1025,5357,494,441,48
1120,0,1028,5344,494,441,47
857,0,1029,5397,494,441,49
475,0,1052,5509,494,441,47
1350,0,1096,5415,494,441,47
1589,0,1002,5411,494,441,46
742,0,1056,5459,494,441,48
318,0,1011,5466,494,441,47
221,0,1096,5457,494,441,48
1663,0,996,5189,494,441,47
1339,0,1020,5371,494,441,47
451,0,1049,5324,494,441,47
1003,0,1097,5516,494,441,48
1494,0,1055,5650,494,441,49
521,0,1122,5421,494,441,48
1957,0,1086,5503,494,441,48
1040,0,1011,5331,494,441,47
1161,0,1050,5490,494,441,45
888,0,1076,5444,494,441,48
1361,0,1020,5420,494,441,48
882,0,1081,5543,494,441,47
1894,0,1037,5432,494,441,46
1475,0,1046,5345,494,441,48
841,0,1004,5360,494,441,48
1269,0,1072,5449,494,441,47
1167,0,1056,5458,494,441,48
1883,0,1087,5372,494,441,49
1209,0,1034,5411,494,441,46
1518,0,1050,5365,494,441,48
700,0,937,5140,494,441,46
1644,0,963,5298,494,441,49
1634,0,992,5284,494,441,48
1223,0,1070,5306,494,441,47
214,0,1039,5425,494,441,47
753,0,1061,5390,494,441,47
1248,0,1025,5340,494,441,46
781,0,1015,5308,494,441,47
1911,0,1028,5288,494,441,48
1750,0,966,5272,494,441,47
389,0,978,5341,494,441,47
1288,0,1015,5345,494,441,48
1320,0,917,5087,494,441,46
396,0,1032,5455,494,441,46
1763,0,1073,5593,494,441,47
454,0,1054,5431,494,441,48
699,0,960,5322,494,441,45
1580,0,1057,5334,494,441,47
1715,0,984,5240,494,441,47
1187,0,1043,5307,494,441,47
587,0,1071,5423,494,441,47
927,0,899,5310,494,441,46
439,0,1064,5512,494,441,46
