sid,BUFF,NOT,AND,PI,PO,LP
420,0,16334,106232,4962,4789,28
162,0,17311,104162,4962,4789,29
1714,0,16955,105172,4962,4789,29
960,0,17130,106979,4962,4789,29
1347,0,18207,105209,4962,4789,29
416,0,15656,104216,4962,4789,29
1632,0,16678,105485,4962,4789,30
709,0,16373,104250,4962,4789,29
524,0,17518,107768,4962,4789,29
817,0,17787,106423,4962,4789,29
464,0,17082,104140,4962,4789,30
806,0,16783,106353,4962,4789,28
1860,0,16282,103240,4962,4789,29
1821,0,16735,103808,4962,4789,29
169,0,16241,103091,4962,4789,28
1419,0,17288,105859,4962,4789,29
1346,0,15474,103120,4962,4789,29
1934,0,15892,107904,4962,4789,29
1974,0,16184,103675,4962,4789,28
867,0,17302,103485,4962,4789,29
1721,0,18928,104870,4962,4789,29
1412,0,17114,103309,4962,4789,28
260,0,17206,103888,4962,4789,30
1153,0,17046,104267,4962,4789,29
313,0,15374,102762,4962,4789,29
154,0,17421,103932,4962,4789,29
1625,0,16696,106672,4962,4789,28
161,0,15802,105255,4962,4789,28
1385,0,18045,104933,4962,4789,29
1225,0,16617,103149,4962,4789,29
392,0,16485,104403,4962,4789,29
410,0,17688,104866,4962,4789,28
411,0,16901,107121,4962,4789,28
1542,0,17794,104858,4962,4789,28
91,0,16104,102652,4962,4789,30
343,0,17174,104546,4962,4789,28
1761,0,17904,105284,4962,4789,28
707,0,16260,102957,4962,4789,29
909,0,16616,104556,4962,4789,29
256,0,16724,104817,4962,4789,28
226,0,17169,104313,4962,4789,28
1254,0,16357,103845,4962,4789,29
1012,0,16716,104915,4962,4789,28
853,0,16675,104923,4962,4789,29
1491,0,16886,105044,4962,4789,29
1587,0,17068,103815,4962,4789,29
1284,0,16886,106688,4962,4789,29
1059,0,17574,106352,4962,4789,29
1211,0,17977,104348,4962,4789,29
70,0,16743,106403,4962,4789,28
1257,0,16575,106932,4962,4789,28
968,0,15491,103849,4962,4789,29
1,0,15998,104677,4962,4789,28
273,0,17070,105467,4962,4789,29
994,0,17489,107431,4962,4789,28
1089,0,17693,107066,4962,4789,29
79,0,17934,107592,4962,4789,28
1764,0,16740,105929,4962,4789,29
477,0,16304,101996,4962,4789,29
61,0,17919,106605,4962,4789,29
1049,0,18160,108632,4962,4789,28
1482,0,18024,106487,4962,4789,28
1607,0,16847,106166,4962,4789,29
1185,0,18570,104545,4962,4789,28
1631,0,18264,105600,4962,4789,28
1426,0,15962,104479,4962,4789,29
310,0,17995,106529,4962,4789,29
380,0,16454,103331,4962,4789,28
1865,0,17951,106370,4962,4789,29
1751,0,15823,103445,4962,4789,29
1408,0,17356,105014,4962,4789,29
1726,0,17436,105286,4962,4789,28
1300,0,16936,104693,4962,4789,30
1334,0,18076,104239,4962,4789,29
1275,0,16669,103238,4962,4789,29
1272,0,16681,104602,4962,4789,29
962,0,16913,103362,4962,4789,28
1073,0,18238,104577,4962,4789,29
301,0,16186,104473,4962,4789,30
276,0,16330,104282,4962,4789,29
254,0,18537,107537,4962,4789,29
99,0,18693,107319,4962,4789,29
772,0,18328,104414,4962,4789,29
658,0,14782,105173,4962,4789,28
600,0,16446,104000,4962,4789,29
453,0,18944,109366,4962,4789,29
1130,0,15868,104538,4962,4789,28
1019,0,18578,110208,4962,4789,28
513,0,16381,102805,4962,4789,29
472,0,16657,107807,4962,4789,29
696,0,17264,106057,4962,4789,29
988,0,17347,104265,4962,4789,28
1260,0,16253,103988,4962,4789,29
2,0,17762,105319,4962,4789,28
1176,0,16144,102311,4962,4789,29
366,0,16490,104330,4962,4789,29
662,0,18396,107005,4962,4789,29
263,0,17443,103836,4962,4789,29
1658,0,16495,103493,4962,4789,29
112,0,16830,103788,4962,4789,29
1507,0,15631,103997,4962,4789,28
1415,0,16896,102438,4962,4789,28
219,0,15575,101831,4962,4789,29
1389,0,16279,104032,4962,4789,29
1639,0,17236,102752,4962,4789,29
314,0,16442,103550,4962,4789,29
899,0,17068,102886,4962,4789,29
1943,0,15952,101963,4962,4789,29
770,0,17526,105917,4962,4789,28
1603,0,17076,106560,4962,4789,28
449,0,17498,102691,4962,4789,28
500,0,17385,104740,4962,4789,28
466,0,17034,104204,4962,4789,29
1516,0,18094,104248,4962,4789,29
1112,0,17626,107783,4962,4789,28
1088,0,16362,107478,4962,4789,29
1838,0,16290,103557,4962,4789,29
1263,0,15892,104578,4962,4789,29
1873,0,18935,108525,4962,4789,28
249,0,16617,104067,4962,4789,29
1113,0,18171,106804,4962,4789,29
405,0,17441,108042,4962,4789,28
26,0,15859,103461,4962,4789,29
1237,0,18418,108792,4962,4789,28
1291,0,15985,103558,4962,4789,29
1643,0,17351,107299,4962,4789,28
1249,0,17323,106318,4962,4789,28
222,0,17656,105297,4962,4789,30
1630,0,17689,108886,4962,4789,30
