sid,BUFF,NOT,AND,PI,PO,LP
416,0,956,6267,1187,962,22
709,0,977,6302,1187,962,23
169,0,1006,6352,1187,962,22
1347,0,840,6148,1187,962,23
817,0,964,6510,1187,962,23
1934,0,997,6551,1187,962,22
524,0,901,6562,1187,962,22
1974,0,1102,6037,1187,962,22
1821,0,1077,6368,1187,962,24
960,0,987,6901,1187,962,23
464,0,974,6239,1187,962,24
1346,0,1020,6693,1187,962,23
162,0,1003,6426,1187,962,23
806,0,1037,6507,1187,962,23
1860,0,1014,6257,1187,962,23
420,0,1026,6950,1187,962,22
1714,0,997,6687,1187,962,23
1632,0,1092,6227,1187,962,24
1721,0,915,6207,1187,962,23
1419,0,940,6810,1187,962,23
867,0,859,6694,1187,962,22
1625,0,986,6439,1187,962,23
410,0,1072,6106,1187,962,23
1412,0,849,6715,1187,962,23
313,0,977,6588,1187,962,22
260,0,1010,6779,1187,962,24
411,0,1015,6581,1187,962,22
392,0,889,6244,1187,962,23
1385,0,1010,6582,1187,962,24
707,0,1010,6399,1187,962,23
343,0,991,6173,1187,962,22
1225,0,988,6428,1187,962,23
161,0,876,6809,1187,962,23
1254,0,841,6312,1187,962,24
1761,0,999,6335,1187,962,23
226,0,1019,6611,1187,962,23
91,0,1041,6921,1187,962,24
154,0,936,7263,1187,962,23
1153,0,932,6810,1187,962,24
1542,0,982,7186,1187,962,23
1012,0,1004,6246,1187,962,22
256,0,947,5923,1187,962,23
1059,0,968,6320,1187,962,23
968,0,985,6213,1187,962,24
70,0,908,6615,1187,962,23
1284,0,977,6169,1187,962,22
853,0,1011,6940,1187,962,23
1257,0,1026,6444,1187,962,22
1211,0,1003,6164,1187,962,23
477,0,1132,6237,1187,962,23
909,0,1069,6751,1187,962,23
1587,0,1079,6494,1187,962,22
1491,0,1011,6861,1187,962,23
273,0,1030,6633,1187,962,24
1,0,1017,6477,1187,962,23
994,0,993,6700,1187,962,23
1089,0,1043,6786,1187,962,23
1607,0,906,6227,1187,962,23
1631,0,1011,6250,1187,962,25
1764,0,966,6686,1187,962,24
380,0,1054,6400,1187,962,23
1426,0,1045,6562,1187,962,23
1865,0,961,6614,1187,962,23
79,0,902,6754,1187,962,22
1185,0,930,6337,1187,962,24
1751,0,1044,6076,1187,962,23
1334,0,978,6166,1187,962,24
61,0,1020,6871,1187,962,23
1726,0,893,6452,1187,962,22
301,0,959,6254,1187,962,23
