sid,BUFF,NOT,AND,PI,PO,LP
960,0,6668,44476,11302,10797,25
420,0,6664,46286,11302,10797,26
416,0,6793,47973,11302,10797,26
1714,0,2904,42402,11302,10797,24
1347,0,3072,43658,11302,10797,26
817,0,2556,42143,11302,10797,27
1346,0,4607,44205,11302,10797,26
162,0,6652,49844,11302,10797,24
524,0,6711,44683,11302,10797,25
709,0,6773,48013,11302,10797,26
464,0,2645,41771,11302,10797,26
1860,0,6778,48185,11302,10797,24
806,0,2532,42511,11302,10797,25
169,0,6701,44096,11302,10797,24
1821,0,6730,46186,11302,10797,24
1934,0,6733,48725,11302,10797,26
1419,0,4614,43640,11302,10797,27
1974,0,6763,48343,11302,10797,25
1632,0,7097,46503,11302,10797,26
1721,0,6848,47887,11302,10797,26
867,0,2474,41905,11302,10797,24
1412,0,4665,43935,11302,10797,26
260,0,2552,42157,11302,10797,24
1225,0,2640,42471,11302,10797,24
392,0,2957,44026,11302,10797,25
410,0,6669,47901,11302,10797,26
161,0,4583,44055,11302,10797,25
411,0,6733,46251,11302,10797,26
313,0,6628,48097,11302,10797,25
154,0,2509,42016,11302,10797,26
1153,0,3044,44204,11302,10797,25
1625,0,6651,48266,11302,10797,25
1385,0,7072,44609,11302,10797,25
343,0,6668,47862,11302,10797,26
1542,0,4525,43784,11302,10797,26
91,0,2705,42697,11302,10797,23
707,0,6792,47720,11302,10797,27
1761,0,6981,47863,11302,10797,26
226,0,6974,51979,11302,10797,27
1254,0,2712,47234,11302,10797,25
1012,0,6650,46026,11302,10797,25
909,0,2844,42336,11302,10797,22
1491,0,2722,44892,11302,10797,24
1284,0,2874,43114,11302,10797,26
256,0,6718,47899,11302,10797,25
70,0,6605,48009,11302,10797,25
853,0,4632,43882,11302,10797,24
1059,0,4589,43998,11302,10797,26
1587,0,6760,46137,11302,10797,25
968,0,6643,47685,11302,10797,25
1257,0,6594,48161,11302,10797,25
1089,0,2691,40536,11302,10797,26
273,0,4583,44141,11302,10797,24
