sid,BUFF,NOT,AND,PI,PO,LP
1934,0,96,507,135,125,7
420,0,52,423,135,125,6
709,0,97,510,135,125,6
169,0,96,493,135,125,6
464,0,36,398,135,125,6
960,0,35,395,135,125,5
1419,0,96,505,135,125,6
1346,0,41,405,135,125,6
1632,0,39,380,135,125,6
416,0,49,419,135,125,6
817,0,39,404,135,125,6
806,0,57,424,135,125,6
1347,0,56,425,135,125,6
1714,0,55,426,135,125,6
1860,0,49,419,135,125,6
1821,0,60,423,135,125,6
162,0,48,415,135,125,6
1721,0,97,495,135,125,6
1974,0,50,419,135,125,6
524,0,46,380,135,125,6
867,0,98,508,135,125,6
1225,0,50,419,135,125,6
1412,0,98,512,135,125,6
1153,0,36,394,135,125,6
260,0,35,397,135,125,6
313,0,96,494,135,125,6
392,0,62,424,135,125,6
1385,0,42,416,135,125,6
154,0,60,421,135,125,6
1542,0,97,511,135,125,6
1625,0,95,504,135,125,6
343,0,79,464,135,125,6
707,0,100,509,135,125,6
1761,0,98,516,135,125,7
91,0,38,402,135,125,6
1254,0,44,447,135,125,6
410,0,60,421,135,125,6
161,0,96,508,135,125,6
411,0,74,426,135,125,6
226,0,42,442,135,125,6
1012,0,33,397,135,125,6
256,0,59,434,135,125,6
968,0,95,492,135,125,6
909,0,61,427,135,125,6
70,0,97,508,135,125,7
1257,0,94,501,135,125,6
1059,0,80,471,135,125,6
853,0,97,507,135,125,6
1284,0,59,428,135,125,6
1491,0,62,425,135,125,6
273,0,98,511,135,125,6
1587,0,48,418,135,125,6
1089,0,36,401,135,125,6
1211,0,71,403,135,125,6
477,0,36,396,135,125,6
1764,0,42,444,135,125,6
1,0,34,400,135,125,6
994,0,37,398,135,125,6
1607,0,44,444,135,125,6
1631,0,41,405,135,125,6
380,0,45,408,135,125,6
1185,0,47,416,135,125,6
1426,0,40,408,135,125,6
1334,0,36,403,135,125,6
79,0,39,402,135,125,6
1408,0,57,419,135,125,6
61,0,60,421,135,125,6
1482,0,61,422,135,125,6
1275,0,97,511,135,125,6
1865,0,96,506,135,125,7
1726,0,94,508,135,125,6
301,0,50,421,135,125,6
1751,0,56,423,135,125,6
1073,0,100,495,135,125,6
1300,0,39,407,135,125,6
1049,0,58,424,135,125,6
1272,0,49,418,135,125,6
310,0,37,399,135,125,5
1130,0,43,442,135,125,6
600,0,37,401,135,125,6
962,0,98,512,135,125,6
254,0,63,434,135,125,6
1019,0,48,386,135,125,6
658,0,36,402,135,125,6
99,0,55,425,135,125,6
772,0,95,492,135,125,6
276,0,55,426,135,125,6
