sid,BUFF,NOT,AND,PI,PO,LP
420,0,1516,10325,1943,1042,53
960,0,1406,9764,1943,1042,50
416,0,1707,10687,1943,1042,49
162,0,1349,9880,1943,1042,50
1347,0,1436,9755,1943,1042,50
1714,0,1063,9493,1943,1042,51
709,0,1699,10885,1943,1042,50
817,0,1558,9978,1943,1042,49
524,0,1702,11135,1943,1042,50
806,0,1581,9902,1943,1042,49
169,0,1437,10526,1943,1042,51
1632,0,1546,10391,1943,1042,49
1934,0,1590,11232,1943,1042,50
1419,0,1056,9507,1943,1042,50
464,0,1264,9683,1943,1042,51
1860,0,1584,10463,1943,1042,49
1821,0,1482,10382,1943,1042,50
1346,0,1695,10217,1943,1042,50
1974,0,1498,9808,1943,1042,50
1721,0,1643,10977,1943,1042,51
867,0,1324,9727,1943,1042,50
1412,0,1360,9729,1943,1042,50
260,0,1286,9668,1943,1042,50
1153,0,1169,9768,1943,1042,49
313,0,1455,10625,1943,1042,49
1225,0,1389,9792,1943,1042,50
154,0,1211,9653,1943,1042,50
1625,0,1794,11264,1943,1042,51
161,0,1277,9710,1943,1042,51
1385,0,1748,11065,1943,1042,49
392,0,1618,10224,1943,1042,51
410,0,1447,9858,1943,1042,50
411,0,1657,11079,1943,1042,51
1542,0,1163,10143,1943,1042,50
91,0,1175,9789,1943,1042,49
343,0,1572,10845,1943,1042,50
1761,0,1446,10815,1943,1042,51
1254,0,1420,9792,1943,1042,52
707,0,1272,10297,1943,1042,50
226,0,1370,10461,1943,1042,50
1012,0,1563,10352,1943,1042,50
256,0,1737,10641,1943,1042,51
909,0,1492,9977,1943,1042,49
853,0,1342,10505,1943,1042,49
1284,0,1401,9794,1943,1042,50
1491,0,1462,10002,1943,1042,49
1587,0,1877,10369,1943,1042,49
70,0,1437,10109,1943,1042,51
1059,0,1401,9888,1943,1042,49
1257,0,1571,10849,1943,1042,51
968,0,1513,10803,1943,1042,51
1211,0,1635,10478,1943,1042,51
273,0,1139,9479,1943,1042,49
1,0,1533,10357,1943,1042,50
1089,0,1210,9492,1943,1042,50
994,0,1269,9899,1943,1042,50
477,0,1667,10481,1943,1042,48
1764,0,1352,9847,1943,1042,49
1607,0,1572,10900,1943,1042,50
79,0,1336,9725,1943,1042,50
1631,0,1637,10855,1943,1042,50
1049,0,1547,9921,1943,1042,49
61,0,1212,9866,1943,1042,50
1185,0,1706,10491,1943,1042,50
1426,0,1334,9853,1943,1042,49
1482,0,1575,10106,1943,1042,50
380,0,1493,9854,1943,1042,50
310,0,1419,10330,1943,1042,51
1865,0,1633,11048,1943,1042,52
1726,0,1457,9883,1943,1042,52
1408,0,1504,10010,1943,1042,49
1751,0,1618,10537,1943,1042,51
1334,0,1535,9929,1943,1042,49
1300,0,1309,9676,1943,1042,49
1073,0,1371,9920,1943,1042,49
1275,0,1334,10380,1943,1042,51
301,0,1712,10643,1943,1042,51
1272,0,1528,10521,1943,1042,49
962,0,1273,9726,1943,1042,50
254,0,1223,9627,1943,1042,51
99,0,1621,10580,1943,1042,49
600,0,1594,10414,1943,1042,50
