sid,BUFF,NOT,AND,PI,PO,LP
1714,0,74,508,164,132,8
1347,0,80,524,164,132,8
1821,0,78,508,164,132,7
420,0,55,511,164,132,7
960,0,95,583,164,132,7
806,0,54,482,164,132,7
1860,0,67,494,164,132,7
1934,0,82,551,164,132,8
464,0,67,515,164,132,8
524,0,83,537,164,132,7
416,0,65,494,164,132,7
1419,0,89,542,164,132,9
1974,0,63,484,164,132,7
1632,0,68,488,164,132,8
709,0,76,535,164,132,7
1346,0,88,541,164,132,8
169,0,80,537,164,132,8
162,0,62,510,164,132,7
817,0,91,545,164,132,8
1721,0,107,567,164,132,8
867,0,84,527,164,132,7
313,0,91,552,164,132,8
260,0,64,502,164,132,8
1412,0,95,577,164,132,8
1625,0,84,549,164,132,8
1153,0,71,505,164,132,8
392,0,71,494,164,132,8
1385,0,81,545,164,132,8
411,0,77,537,164,132,8
161,0,104,562,164,132,8
410,0,69,507,164,132,7
1542,0,111,577,164,132,9
707,0,105,570,164,132,8
154,0,85,563,164,132,8
1761,0,92,537,164,132,7
1225,0,67,504,164,132,7
1254,0,78,539,164,132,8
91,0,74,508,164,132,7
226,0,69,515,164,132,8
343,0,93,550,164,132,9
1012,0,60,515,164,132,8
909,0,74,524,164,132,7
256,0,84,513,164,132,8
968,0,83,540,164,132,8
853,0,101,579,164,132,8
1257,0,106,569,164,132,7
1211,0,65,478,164,132,7
1491,0,91,578,164,132,7
1059,0,105,562,164,132,9
477,0,67,487,164,132,7
1089,0,78,522,164,132,8
273,0,109,578,164,132,8
1,0,57,517,164,132,7
70,0,112,584,164,132,9
1284,0,72,513,164,132,8
994,0,88,559,164,132,7
1587,0,73,517,164,132,8
1764,0,89,555,164,132,7
1607,0,79,522,164,132,8
1631,0,67,497,164,132,8
1482,0,81,513,164,132,8
380,0,70,499,164,132,8
79,0,62,490,164,132,7
61,0,82,522,164,132,8
1049,0,58,504,164,132,7
1185,0,79,508,164,132,8
1426,0,94,558,164,132,8
1751,0,67,495,164,132,7
1073,0,98,551,164,132,8
301,0,59,470,164,132,8
310,0,96,585,164,132,8
1865,0,84,551,164,132,7
600,0,66,491,164,132,8
1275,0,65,467,164,132,7
1300,0,75,511,164,132,7
1408,0,68,510,164,132,7
1726,0,102,565,164,132,8
1334,0,73,508,164,132,7
1130,0,68,503,164,132,8
1272,0,74,512,164,132,8
962,0,81,538,164,132,7
99,0,66,498,164,132,7
1019,0,91,580,164,132,8
772,0,95,552,164,132,8
254,0,88,526,164,132,7
513,0,85,528,164,132,7
658,0,55,514,164,132,7
276,0,83,515,164,132,7
453,0,78,505,164,132,8
472,0,80,534,164,132,7
696,0,74,490,164,132,8
1658,0,92,546,164,132,8
2,0,104,574,164,132,7
1415,0,70,488,164,132,7
1260,0,71,542,164,132,7
662,0,83,499,164,132,8
366,0,71,500,164,132,7
263,0,64,491,164,132,8
988,0,85,570,164,132,7
1176,0,103,560,164,132,8
112,0,102,550,164,132,8
1507,0,84,537,164,132,9
314,0,95,554,164,132,8
1639,0,66,502,164,132,7
1112,0,94,555,164,132,8
899,0,72,508,164,132,7
1603,0,57,509,164,132,7
1943,0,102,563,164,132,8
219,0,87,545,164,132,8
1389,0,68,497,164,132,7
466,0,101,589,164,132,8
1516,0,98,580,164,132,8
1088,0,63,483,164,132,7
770,0,63,492,164,132,7
449,0,54,477,164,132,7
