sid,BUFF,NOT,AND,PI,PO,LP
416,0,295,2056,254,238,19
960,0,282,2361,254,238,19
1714,0,296,2213,254,238,18
709,0,314,2072,254,238,18
817,0,305,2127,254,238,20
524,0,294,2112,254,238,19
420,0,280,1974,254,238,20
1934,0,277,2070,254,238,19
169,0,299,2009,254,238,18
806,0,323,2091,254,238,20
1347,0,262,2069,254,238,19
1346,0,340,2286,254,238,18
162,0,298,2203,254,238,18
1974,0,303,2147,254,238,18
464,0,303,2349,254,238,19
1721,0,250,2103,254,238,18
1632,0,284,2086,254,238,18
1860,0,279,2068,254,238,18
1821,0,295,2156,254,238,19
1419,0,283,2368,254,238,19
867,0,309,2071,254,238,20
260,0,374,2375,254,238,19
1225,0,330,2379,254,238,18
1153,0,340,2360,254,238,18
313,0,294,2057,254,238,18
392,0,303,2104,254,238,21
161,0,291,2050,254,238,19
1625,0,286,2042,254,238,20
411,0,287,2137,254,238,19
1412,0,310,2088,254,238,20
1385,0,272,2018,254,238,19
154,0,313,2333,254,238,19
1542,0,320,2353,254,238,19
1254,0,291,2167,254,238,19
343,0,305,2095,254,238,20
226,0,290,2042,254,238,18
410,0,295,2210,254,238,18
91,0,279,2249,254,238,20
1761,0,284,2054,254,238,19
707,0,287,2067,254,238,19
256,0,298,2000,254,238,19
1012,0,283,2162,254,238,19
1257,0,259,1981,254,238,19
968,0,280,2033,254,238,19
70,0,243,2262,254,238,19
1284,0,287,2060,254,238,20
1211,0,264,1982,254,238,19
909,0,335,2277,254,238,18
853,0,329,2292,254,238,18
1587,0,313,2231,254,238,18
477,0,306,2076,254,238,18
1089,0,304,2184,254,238,19
994,0,290,2363,254,238,20
273,0,314,2389,254,238,20
1491,0,292,2222,254,238,19
1,0,281,2128,254,238,20
1059,0,302,2058,254,238,18
1607,0,304,2021,254,238,18
1764,0,353,2350,254,238,18
1631,0,256,2030,254,238,18
1865,0,271,2103,254,238,19
1185,0,276,2096,254,238,18
380,0,273,2167,254,238,18
79,0,313,2078,254,238,20
310,0,259,2317,254,238,20
1482,0,368,2363,254,238,18
61,0,301,2394,254,238,18
1426,0,316,2076,254,238,21
1408,0,292,2326,254,238,19
1751,0,271,2104,254,238,19
1049,0,265,2317,254,238,18
1726,0,323,2380,254,238,18
1272,0,294,2258,254,238,19
1073,0,333,2341,254,238,20
301,0,311,2083,254,238,19
1300,0,277,2272,254,238,19
1275,0,297,2031,254,238,19
1334,0,348,2355,254,238,18
600,0,312,2162,254,238,19
1130,0,289,2058,254,238,19
962,0,326,2111,254,238,20
254,0,329,2248,254,238,20
276,0,353,2287,254,238,19
1019,0,294,2009,254,238,20
772,0,292,2201,254,238,19
99,0,314,2156,254,238,18
513,0,297,2277,254,238,18
696,0,335,2297,254,238,19
453,0,324,2217,254,238,19
1658,0,325,2317,254,238,18
1260,0,316,2076,254,238,18
366,0,360,2386,254,238,20
1415,0,291,2068,254,238,18
658,0,290,2159,254,238,21
472,0,293,2156,254,238,19
988,0,313,2416,254,238,20
2,0,281,2049,254,238,19
662,0,282,2049,254,238,20
1176,0,326,2358,254,238,19
263,0,243,2049,254,238,20
219,0,327,2276,254,238,18
1507,0,336,2276,254,238,18
1943,0,286,2266,254,238,18
112,0,291,2034,254,238,19
1112,0,297,2383,254,238,19
1389,0,337,2356,254,238,17
314,0,272,2001,254,238,18
1639,0,309,2303,254,238,19
770,0,264,2188,254,238,18
1603,0,270,2023,254,238,21
466,0,309,2329,254,238,19
1088,0,295,2146,254,238,19
899,0,369,2384,254,238,19
1516,0,304,2147,254,238,18
1838,0,298,2100,254,238,19
449,0,285,2161,254,238,20
500,0,278,2235,254,238,20
1237,0,288,2055,254,238,19
1873,0,254,2137,254,238,18
1263,0,258,2070,254,238,19
249,0,269,2017,254,238,19
1113,0,259,2104,254,238,19
1291,0,355,2333,254,238,18
26,0,329,2372,254,238,20
1643,0,290,2080,254,238,20
405,0,260,2324,254,238,20
1249,0,261,1978,254,238,19
711,0,320,2139,254,238,19
222,0,300,2049,254,238,19
1696,0,335,2247,254,238,18
1460,0,267,2313,254,238,19
484,0,297,2167,254,238,19
