sid,BUFF,NOT,AND,PI,PO,LP
420,0,2850,20863,128,64,3025
416,0,2680,19081,128,64,3054
1934,0,3325,25034,128,64,3027
1347,0,2777,20213,128,64,2982
1821,0,2769,20295,128,64,3027
162,0,2838,21425,128,64,2969
1860,0,2860,20641,128,64,3021
960,0,4375,24826,128,64,2999
709,0,2694,18788,128,64,2959
806,0,2706,20783,128,64,3011
1714,0,2940,21380,128,64,2959
464,0,2794,21831,128,64,2971
169,0,2619,19024,128,64,3010
817,0,2833,21246,128,64,2959
524,0,3079,20772,128,64,2986
1346,0,2675,19579,128,64,2980
1632,0,3073,22876,128,64,2988
1974,0,2763,19997,128,64,2982
1721,0,2836,20255,128,64,2982
1419,0,2882,22269,128,64,2971
867,0,2712,20469,128,64,2978
260,0,2951,22424,128,64,2990
1412,0,2710,20069,128,64,2960
313,0,2703,18805,128,64,2961
1625,0,2856,19767,128,64,2965
154,0,2914,21348,128,64,3011
411,0,2879,19682,128,64,2961
392,0,3459,23410,128,64,3022
1225,0,2883,20776,128,64,2979
1385,0,3140,22397,128,64,2986
161,0,2779,20137,128,64,2981
410,0,3054,23824,128,64,3000
1542,0,3129,22232,128,64,2987
1153,0,2901,21416,128,64,2990
707,0,2634,19036,128,64,3008
1761,0,2811,20874,128,64,2979
343,0,2650,18444,128,64,2951
1254,0,2669,19267,128,64,2935
226,0,2648,18727,128,64,2961
256,0,2868,19761,128,64,2985
1012,0,3005,22011,128,64,3010
91,0,2872,21084,128,64,3003
1491,0,2477,20439,128,64,3025
853,0,2325,19297,128,64,2992
1284,0,2753,20481,128,64,2949
1587,0,3025,21666,128,64,2958
909,0,3041,21984,128,64,3038
1211,0,4038,22405,128,64,2936
70,0,3090,20941,128,64,2992
968,0,2937,19971,128,64,3007
1059,0,2757,20233,128,64,2982
1257,0,3080,20767,128,64,2986
1,0,2873,20637,128,64,2995
1089,0,2781,22233,128,64,3001
273,0,2769,20476,128,64,2951
477,0,4168,23783,128,64,2955
994,0,3066,20902,128,64,2991
1764,0,2494,18013,128,64,3010
79,0,2880,21372,128,64,3014
1607,0,2664,18947,128,64,3007
1185,0,2750,20164,128,64,3028
380,0,2720,20008,128,64,2982
1482,0,2819,21348,128,64,3014
1426,0,2789,20583,128,64,2963
61,0,3612,24399,128,64,3041
1049,0,3536,24387,128,64,3014
310,0,4457,24883,128,64,3044
1631,0,2736,19158,128,64,3011
1751,0,3987,22799,128,64,2979
1865,0,3087,20780,128,64,2986
1334,0,2473,20961,128,64,2956
1073,0,2871,20623,128,64,2951
1726,0,3124,22226,128,64,2987
1275,0,2805,20790,128,64,2981
1408,0,3381,23817,128,64,2997
301,0,3356,21809,128,64,2981
1300,0,2991,21519,128,64,2959
962,0,2679,20229,128,64,2952
1272,0,2713,20695,128,64,2981
276,0,3504,25112,128,64,3000
99,0,2835,20726,128,64,3026
600,0,2823,19237,128,64,3007
254,0,2900,21513,128,64,2984
1019,0,3080,20784,128,64,2987
1130,0,2744,19287,128,64,3008
658,0,3006,21997,128,64,3008
472,0,4378,24853,128,64,3001
772,0,2655,18433,128,64,2956
696,0,2764,20060,128,64,2958
1260,0,3046,22084,128,64,3011
513,0,3702,24784,128,64,3012
453,0,3064,21880,128,64,3027
366,0,3040,21687,128,64,3013
988,0,3024,21940,128,64,3007
2,0,2824,20687,128,64,2989
1415,0,2895,19837,128,64,2999
263,0,3202,24028,128,64,3028
1658,0,3509,25169,128,64,2992
1176,0,3111,22250,128,64,2986
1507,0,2779,20563,128,64,2979
662,0,2298,17957,128,64,3014
219,0,2740,20528,128,64,2977
1389,0,2771,20122,128,64,2980
1639,0,3011,21892,128,64,2965
112,0,2292,17672,128,64,2972
449,0,3010,22444,128,64,3001
770,0,3645,24052,128,64,3015
899,0,2473,20961,128,64,2956
1943,0,3128,22286,128,64,2985
466,0,2766,20135,128,64,2982
1603,0,2872,20663,128,64,2995
314,0,3683,24866,128,64,3001
1516,0,2452,19709,128,64,2984
1838,0,2729,18449,128,64,2979
1088,0,2768,20522,128,64,2983
1112,0,3088,20935,128,64,2992
1237,0,3464,23598,128,64,2982
1263,0,2999,22176,128,64,3010
249,0,2739,20942,128,64,2967
500,0,3458,23280,128,64,3002
405,0,3119,20798,128,64,3030
1113,0,2814,21322,128,64,2967
1873,0,3785,23401,128,64,3012
1291,0,2890,21419,128,64,2935
26,0,2620,19464,128,64,2947
1064,0,2773,20460,128,64,2952
711,0,3202,23880,128,64,3064
222,0,3980,22770,128,64,2978
1249,0,3080,20784,128,64,2986
1460,0,3090,20718,128,64,2986
1643,0,2840,21119,128,64,2966
1152,0,2744,20525,128,64,2977
484,0,2915,19717,128,64,2961
1696,0,2757,20022,128,64,2982
1630,0,3808,24969,128,64,3031
481,0,3108,20846,128,64,3031
764,0,2855,20851,128,64,3034
1194,0,4377,24827,128,64,2999
1964,0,2837,21896,128,64,2982
741,0,3934,23588,128,64,3002
1996,0,2958,21611,128,64,3002
447,0,3674,24862,128,64,3000
956,0,2700,19944,128,64,3011
634,0,2693,18856,128,64,3004
1506,0,2819,20272,128,64,2982
1586,0,2916,19716,128,64,2960
1241,0,2762,20382,128,64,2966
1992,0,2987,21952,128,64,2965
739,0,2741,20369,128,64,2953
835,0,2908,21381,128,64,2964
969,0,2866,21013,128,64,2981
1933,0,3992,22550,128,64,2975
788,0,3108,23540,128,64,3040
1135,0,2720,20025,128,64,2982
387,0,3006,21995,128,64,3008
622,0,2921,22675,128,64,3021
1723,0,2898,21880,128,64,2940
846,0,3019,21796,128,64,2972
365,0,2504,19765,128,64,3009
1665,0,3060,23845,128,64,3009
948,0,2798,20534,128,64,2961
1902,0,2682,19376,128,64,2958
1158,0,3854,22395,128,64,2933
727,0,2887,22619,128,64,2977
1951,0,3643,24046,128,64,3016
814,0,3077,20912,128,64,2992
1610,0,2907,20532,128,64,2983
704,0,2808,20635,128,64,2976
412,0,3561,24506,128,64,3039
502,0,3083,20790,128,64,2987
1896,0,2827,20959,128,64,2966
761,0,2873,21373,128,64,2963
1315,0,3501,25071,128,64,2991
1720,0,2905,21971,128,64,2976
1570,0,2874,21379,128,64,2963
337,0,3066,22342,128,64,2956
666,0,4461,24891,128,64,3045
511,0,3714,24665,128,64,3025
1563,0,3521,23150,128,64,3050
712,0,2772,20154,128,64,3028
1438,0,2948,21484,128,64,2991
708,0,3029,23057,128,64,3017
1484,0,4018,22327,128,64,2958
1311,0,2732,20395,128,64,2979
1083,0,3623,24406,128,64,2973
338,0,3617,23977,128,64,2984
1247,0,2761,20651,128,64,2951
803,0,4147,23886,128,64,3046
1767,0,2753,20696,128,64,3052
626,0,4029,22837,128,64,2977
1379,0,2747,20497,128,64,2969
885,0,3011,20868,128,64,2991
563,0,2775,20022,128,64,2985
1842,0,2758,21043,128,64,3051
508,0,2783,20333,128,64,2983
25,0,2963,21630,128,64,2960
921,0,2876,20476,128,64,3029
