sid,BUFF,NOT,AND,PI,PO,LP
420,0,1046,11649,64,128,129
1714,0,877,11533,64,128,129
162,0,879,11422,64,128,127
1347,0,999,11457,64,128,128
416,0,1014,11612,64,128,128
1632,0,1284,11972,64,128,128
960,0,1467,11684,64,128,127
709,0,1200,11685,64,128,127
817,0,935,11590,64,128,126
524,0,1646,12002,64,128,129
1419,0,1342,12232,64,128,127
806,0,940,11536,64,128,127
464,0,837,11449,64,128,127
1346,0,1303,12053,64,128,129
1821,0,776,11504,64,128,126
169,0,1041,11519,64,128,127
1860,0,1075,11526,64,128,130
1934,0,1457,11641,64,128,129
1974,0,1204,11882,64,128,127
1721,0,1043,11560,64,128,127
867,0,1281,11733,64,128,129
260,0,1300,12730,64,128,128
1412,0,1292,12014,64,128,129
313,0,1287,11995,64,128,129
1153,0,1165,12563,64,128,128
154,0,904,11876,64,128,128
392,0,1500,12298,64,128,128
161,0,881,11937,64,128,127
410,0,998,11909,64,128,128
1225,0,737,11611,64,128,128
1385,0,1174,11856,64,128,127
1625,0,1386,11580,64,128,128
91,0,750,11389,64,128,129
411,0,1384,11596,64,128,127
1542,0,1268,11736,64,128,128
343,0,747,11266,64,128,129
1761,0,1121,12035,64,128,129
707,0,1284,12288,64,128,128
226,0,1237,11989,64,128,128
909,0,735,11395,64,128,128
1254,0,1200,11991,64,128,127
1012,0,1296,11797,64,128,128
256,0,1028,12393,64,128,128
853,0,1250,12066,64,128,128
1491,0,961,11916,64,128,129
1587,0,1297,11802,64,128,130
1284,0,1034,11465,64,128,128
1059,0,783,11425,64,128,127
1211,0,1042,11604,64,128,127
968,0,1162,12592,64,128,126
70,0,1161,12011,64,128,129
273,0,1306,11972,64,128,128
1,0,1016,11626,64,128,129
1257,0,1451,11665,64,128,128
1089,0,1216,11972,64,128,129
477,0,1347,12802,64,128,128
1764,0,1156,11546,64,128,127
79,0,997,11458,64,128,127
994,0,1391,11568,64,128,128
1049,0,752,11373,64,128,126
1607,0,725,11581,64,128,127
61,0,972,11554,64,128,127
1631,0,846,11454,64,128,127
1482,0,1218,11933,64,128,127
1185,0,782,11463,64,128,128
1426,0,1106,11708,64,128,127
380,0,1073,11863,64,128,128
310,0,1557,11893,64,128,130
1865,0,1455,11691,64,128,128
1751,0,970,11529,64,128,126
1408,0,820,11271,64,128,127
1726,0,1306,11827,64,128,128
1334,0,1133,12005,64,128,129
1073,0,1246,12438,64,128,128
1300,0,1043,11374,64,128,129
301,0,1213,12203,64,128,127
1275,0,1047,11690,64,128,128
1272,0,1073,11580,64,128,127
962,0,984,11651,64,128,129
600,0,1187,12330,64,128,127
276,0,881,11516,64,128,127
254,0,1225,12011,64,128,127
772,0,768,11279,64,128,127
99,0,808,11526,64,128,127
1130,0,1148,12131,64,128,127
453,0,942,11437,64,128,127
1019,0,1473,11722,64,128,127
658,0,1279,11770,64,128,128
513,0,1051,11717,64,128,127
696,0,837,11538,64,128,127
472,0,1527,11769,64,128,130
1260,0,983,11615,64,128,130
2,0,1203,11603,64,128,127
366,0,1057,11687,64,128,128
1176,0,977,11453,64,128,127
988,0,924,11559,64,128,129
662,0,1326,12241,64,128,127
1658,0,1115,11585,64,128,127
263,0,1313,11810,64,128,128
1415,0,1036,11479,64,128,128
112,0,1225,11767,64,128,127
219,0,1290,11980,64,128,128
1507,0,1057,11515,64,128,129
1389,0,868,11422,64,128,127
1639,0,1277,11916,64,128,128
1943,0,916,11862,64,128,129
899,0,1135,12000,64,128,129
314,0,934,11527,64,128,127
770,0,938,11611,64,128,127
449,0,1008,11584,64,128,128
1603,0,1093,11678,64,128,129
500,0,1171,12608,64,128,129
466,0,1076,11637,64,128,128
1112,0,1238,12245,64,128,129
1516,0,907,11492,64,128,127
1088,0,829,11434,64,128,128
1838,0,1046,11652,64,128,127
1873,0,930,11602,64,128,128
1263,0,1053,11636,64,128,129
249,0,772,11705,64,128,127
1113,0,1261,11672,64,128,127
1237,0,1561,11726,64,128,129
405,0,1507,11697,64,128,128
26,0,712,11538,64,128,127
1291,0,1382,11989,64,128,128
222,0,1218,11855,64,128,127
1249,0,1362,11962,64,128,128
1643,0,744,11380,64,128,128
1064,0,1116,11721,64,128,127
711,0,1580,11919,64,128,128
1630,0,809,11465,64,128,130
1152,0,1110,11737,64,128,129
1696,0,1099,11595,64,128,127
1460,0,1512,11867,64,128,129
484,0,1460,11641,64,128,128
956,0,1209,11901,64,128,128
481,0,1168,12017,64,128,129
1996,0,756,11423,64,128,128
1964,0,982,11663,64,128,130
741,0,1000,11809,64,128,128
1194,0,1387,11965,64,128,130
764,0,808,11507,64,128,126
447,0,909,11546,64,128,127
788,0,954,11701,64,128,128
969,0,857,11577,64,128,128
1586,0,1345,11943,64,128,129
1992,0,1295,11794,64,128,129
634,0,974,11587,64,128,127
1241,0,1367,12224,64,128,127
1506,0,1319,11822,64,128,127
