sid,BUFF,NOT,AND,PI,PO,LP
1714,0,59,314,104,90,5
1419,0,42,312,104,90,6
960,0,31,276,104,90,6
1934,0,42,313,104,90,6
420,0,40,309,104,90,5
169,0,37,298,104,90,6
1721,0,39,298,104,90,6
1346,0,38,297,104,90,6
806,0,43,312,104,90,5
524,0,39,297,104,90,6
464,0,31,279,104,90,5
416,0,73,296,104,90,5
162,0,57,281,104,90,5
1860,0,72,296,104,90,5
709,0,41,310,104,90,6
1974,0,58,313,104,90,5
817,0,38,297,104,90,6
1632,0,31,272,104,90,5
1821,0,32,247,104,90,5
1347,0,57,281,104,90,5
1153,0,62,330,104,90,5
1625,0,42,312,104,90,6
154,0,30,245,104,90,5
260,0,34,274,104,90,5
161,0,42,312,104,90,6
1225,0,40,309,104,90,5
392,0,32,247,104,90,5
867,0,40,310,104,90,6
410,0,30,245,104,90,5
313,0,37,298,104,90,6
411,0,39,297,104,90,6
1385,0,38,296,104,90,6
1542,0,40,310,104,90,6
1761,0,42,312,104,90,6
707,0,42,313,104,90,6
343,0,41,301,104,90,6
1412,0,41,311,104,90,6
226,0,40,312,104,90,6
91,0,33,271,104,90,5
1254,0,41,310,104,90,6
1012,0,64,303,104,90,5
1059,0,39,297,104,90,6
1284,0,41,310,104,90,5
968,0,38,300,104,90,6
1491,0,32,246,104,90,5
1257,0,41,312,104,90,6
477,0,47,287,104,90,5
853,0,41,311,104,90,6
1089,0,30,274,104,90,6
1587,0,58,313,104,90,5
273,0,40,310,104,90,6
1211,0,32,280,104,90,5
256,0,30,246,104,90,5
1764,0,42,311,104,90,6
70,0,42,311,104,90,6
1607,0,43,291,104,90,5
909,0,75,305,104,90,5
1,0,30,277,104,90,5
994,0,31,279,104,90,6
1631,0,38,297,104,90,6
79,0,32,270,104,90,5
380,0,39,298,104,90,6
1865,0,42,313,104,90,6
1049,0,43,312,104,90,5
61,0,32,247,104,90,5
1185,0,41,302,104,90,5
1482,0,32,247,104,90,5
1334,0,66,305,104,90,5
1426,0,32,279,104,90,6
1408,0,32,247,104,90,5
1751,0,43,312,104,90,5
1073,0,39,298,104,90,6
1726,0,41,309,104,90,6
301,0,42,312,104,90,5
1300,0,64,303,104,90,5
1272,0,56,280,104,90,5
1275,0,42,312,104,90,6
600,0,63,304,104,90,5
310,0,30,280,104,90,6
1130,0,41,314,104,90,6
254,0,30,245,104,90,5
658,0,30,277,104,90,5
696,0,63,287,104,90,5
276,0,58,282,104,90,5
1658,0,40,310,104,90,6
472,0,32,279,104,90,6
962,0,41,310,104,90,6
1019,0,39,297,104,90,6
2,0,42,312,104,90,6
1260,0,45,261,104,90,5
772,0,39,298,104,90,6
1415,0,74,317,104,90,5
662,0,32,247,104,90,5
988,0,30,277,104,90,5
1176,0,41,311,104,90,6
