sid,BUFF,NOT,AND,PI,PO,LP
817,0,888,6562,636,361,32
416,0,943,6574,636,361,32
960,0,847,6484,636,361,34
420,0,921,6438,636,361,35
162,0,938,6491,636,361,33
1347,0,915,6444,636,361,33
1714,0,858,6356,636,361,32
1346,0,899,6609,636,361,32
169,0,850,6491,636,361,33
709,0,897,6509,636,361,32
1934,0,868,6542,636,361,33
806,0,896,6506,636,361,33
1974,0,877,6387,636,361,32
464,0,862,6375,636,361,34
524,0,838,6464,636,361,35
1860,0,911,6608,636,361,33
1632,0,889,6398,636,361,32
1821,0,889,6520,636,361,33
1721,0,842,6482,636,361,33
1419,0,864,6564,636,361,32
867,0,861,6586,636,361,33
1225,0,896,6439,636,361,32
161,0,871,6594,636,361,32
1412,0,899,6761,636,361,32
410,0,867,6354,636,361,32
392,0,918,6512,636,361,34
1625,0,846,6420,636,361,33
313,0,900,6607,636,361,33
260,0,870,6440,636,361,34
411,0,851,6565,636,361,34
154,0,912,6564,636,361,34
1385,0,889,6473,636,361,33
707,0,850,6415,636,361,35
1542,0,910,6610,636,361,32
343,0,842,6435,636,361,33
1153,0,882,6489,636,361,33
91,0,907,6478,636,361,32
1761,0,869,6472,636,361,34
226,0,884,6692,636,361,33
1254,0,874,6487,636,361,33
1491,0,909,6484,636,361,33
1012,0,890,6354,636,361,35
1284,0,930,6487,636,361,33
853,0,897,6573,636,361,32
1257,0,890,6524,636,361,33
256,0,947,6412,636,361,33
70,0,918,6678,636,361,33
909,0,872,6379,636,361,33
1587,0,899,6542,636,361,32
1059,0,850,6407,636,361,32
1211,0,934,6537,636,361,34
477,0,833,6391,636,361,32
273,0,951,6597,636,361,33
968,0,881,6541,636,361,33
1,0,869,6377,636,361,35
1089,0,916,6490,636,361,32
994,0,790,6528,636,361,34
1631,0,902,6433,636,361,31
1764,0,920,6539,636,361,31
1607,0,897,6518,636,361,32
79,0,875,6475,636,361,32
1426,0,879,6534,636,361,32
1185,0,943,6440,636,361,33
61,0,867,6439,636,361,33
1865,0,879,6551,636,361,33
380,0,940,6540,636,361,33
1482,0,902,6507,636,361,35
1751,0,888,6443,636,361,33
1726,0,860,6487,636,361,34
301,0,963,6698,636,361,33
310,0,808,6738,636,361,35
1049,0,884,6427,636,361,33
1408,0,883,6495,636,361,33
1275,0,832,6416,636,361,36
1334,0,935,6537,636,361,34
1073,0,839,6378,636,361,32
1272,0,902,6451,636,361,33
1300,0,866,6438,636,361,32
600,0,941,6486,636,361,33
1130,0,938,6649,636,361,36
962,0,926,6627,636,361,32
276,0,901,6499,636,361,33
772,0,876,6654,636,361,31
1019,0,852,6468,636,361,33
99,0,892,6436,636,361,33
472,0,827,6537,636,361,35
658,0,904,6389,636,361,34
254,0,856,6393,636,361,32
696,0,869,6367,636,361,32
