sid,BUFF,NOT,AND,PI,PO,LP
416,0,66,329,132,90,6
1860,0,75,338,132,90,7
1821,0,86,354,132,90,7
709,0,69,332,132,90,7
1934,0,69,328,132,90,6
1714,0,70,331,132,90,7
169,0,65,334,132,90,7
1974,0,64,327,132,90,6
1347,0,78,323,132,90,7
524,0,74,346,132,90,6
1346,0,75,337,132,90,7
464,0,89,336,132,90,7
1419,0,68,332,132,90,7
420,0,74,335,132,90,7
162,0,86,338,132,90,6
960,0,69,336,132,90,6
1721,0,65,334,132,90,6
817,0,75,341,132,90,7
1632,0,80,331,132,90,6
806,0,75,338,132,90,6
1225,0,82,335,132,90,7
867,0,68,327,132,90,6
260,0,80,331,132,90,6
1412,0,69,333,132,90,7
1153,0,88,337,132,90,6
1385,0,71,334,132,90,7
410,0,82,334,132,90,6
1625,0,73,336,132,90,6
161,0,70,339,132,90,7
343,0,65,324,132,90,6
1761,0,62,323,132,90,6
1542,0,74,338,132,90,7
392,0,68,331,132,90,6
154,0,84,336,132,90,6
1254,0,70,326,132,90,6
707,0,72,331,132,90,7
313,0,63,330,132,90,7
226,0,68,340,132,90,7
91,0,78,333,132,90,7
411,0,64,333,132,90,6
968,0,72,332,132,90,7
1012,0,81,335,132,90,7
256,0,75,334,132,90,7
909,0,73,325,132,90,6
70,0,65,331,132,90,6
1059,0,69,338,132,90,6
477,0,67,328,132,90,7
1284,0,88,337,132,90,7
1764,0,71,335,132,90,7
1,0,80,336,132,90,7
994,0,66,335,132,90,6
1607,0,71,338,132,90,6
1257,0,58,319,132,90,7
853,0,68,336,132,90,6
1211,0,86,335,132,90,7
273,0,70,327,132,90,7
1491,0,77,326,132,90,6
1587,0,71,327,132,90,7
1089,0,76,342,132,90,7
1631,0,69,334,132,90,7
79,0,74,330,132,90,7
380,0,63,333,132,90,6
1185,0,75,334,132,90,6
1865,0,66,332,132,90,7
1482,0,77,333,132,90,7
61,0,77,324,132,90,7
1049,0,85,333,132,90,7
1426,0,68,324,132,90,7
1751,0,82,337,132,90,7
1073,0,67,327,132,90,6
1408,0,86,343,132,90,7
1726,0,64,331,132,90,6
1334,0,83,332,132,90,7
310,0,67,338,132,90,7
1275,0,65,332,132,90,6
1272,0,73,316,132,90,7
301,0,81,337,132,90,6
1300,0,80,321,132,90,7
600,0,85,332,132,90,7
1130,0,66,331,132,90,6
254,0,68,326,132,90,7
1019,0,63,329,132,90,6
276,0,67,334,132,90,7
962,0,67,325,132,90,6
99,0,73,332,132,90,7
772,0,70,328,132,90,6
513,0,70,324,132,90,7
472,0,70,339,132,90,6
658,0,68,328,132,90,7
2,0,67,336,132,90,6
453,0,78,327,132,90,7
696,0,69,328,132,90,6
1260,0,73,338,132,90,7
1658,0,71,336,132,90,6
662,0,72,325,132,90,7
366,0,71,332,132,90,7
988,0,86,331,132,90,6
1176,0,72,335,132,90,7
1415,0,73,334,132,90,7
263,0,79,337,132,90,6
1507,0,67,330,132,90,7
1639,0,89,338,132,90,6
112,0,67,331,132,90,7
219,0,69,342,132,90,6
1943,0,68,337,132,90,6
1112,0,65,335,132,90,7
1389,0,70,329,132,90,6
314,0,62,322,132,90,7
899,0,82,327,132,90,7
770,0,78,326,132,90,6
1088,0,71,330,132,90,6
1603,0,82,333,132,90,7
1516,0,62,330,132,90,6
466,0,70,338,132,90,7
1237,0,75,343,132,90,7
449,0,87,342,132,90,6
500,0,70,334,132,90,7
1838,0,79,339,132,90,7
1873,0,71,336,132,90,6
249,0,72,338,132,90,7
1263,0,75,333,132,90,6
1113,0,81,343,132,90,7
1291,0,82,329,132,90,7
1249,0,70,339,132,90,7
26,0,69,334,132,90,6
405,0,64,334,132,90,7
1643,0,68,327,132,90,6
222,0,72,338,132,90,6
711,0,68,330,132,90,6
1630,0,77,328,132,90,6
1964,0,62,320,132,90,6
1064,0,68,328,132,90,6
1696,0,84,334,132,90,7
1152,0,73,342,132,90,6
1460,0,67,335,132,90,7
484,0,69,337,132,90,7
1194,0,69,339,132,90,7
481,0,72,337,132,90,7
741,0,71,336,132,90,6
956,0,69,327,132,90,7
1586,0,70,337,132,90,6
764,0,88,351,132,90,7
1996,0,87,343,132,90,6
1506,0,68,328,132,90,6
447,0,72,332,132,90,7
1665,0,86,355,132,90,6
1241,0,69,334,132,90,6
788,0,67,331,132,90,6
969,0,70,331,132,90,7
634,0,72,332,132,90,7
739,0,66,333,132,90,7
835,0,66,332,132,90,7
1933,0,75,341,132,90,7
1992,0,82,334,132,90,7
1610,0,75,325,132,90,6
846,0,74,344,132,90,7
1135,0,80,341,132,90,7
622,0,80,335,132,90,6
365,0,69,327,132,90,6
1723,0,68,329,132,90,6
387,0,75,334,132,90,6
948,0,70,333,132,90,6
