sid,BUFF,NOT,AND,PI,PO,LP
960,0,8837,64806,17322,17063,13
420,0,13604,70602,17322,17063,13
416,0,11121,65693,17322,17063,14
709,0,11389,74384,17322,17063,14
1714,0,8293,68983,17322,17063,14
1346,0,4017,66892,17322,17063,14
1347,0,13402,73559,17322,17063,12
162,0,9160,73922,17322,17063,13
1860,0,8666,61510,17322,17063,13
464,0,5140,61331,17322,17063,15
817,0,7178,62247,17322,17063,14
806,0,3875,64051,17322,17063,13
1934,0,8802,67365,17322,17063,14
524,0,10881,73005,17322,17063,14
169,0,8641,66704,17322,17063,14
1821,0,9916,67274,17322,17063,13
1974,0,9393,70851,17322,17063,13
1419,0,8155,69437,17322,17063,15
1632,0,8481,64269,17322,17063,14
1721,0,12223,73232,17322,17063,14
260,0,2902,51297,17322,17063,14
867,0,9669,71453,17322,17063,15
154,0,5934,65476,17322,17063,14
410,0,9934,73501,17322,17063,14
1412,0,8860,70580,17322,17063,14
392,0,4777,62817,17322,17063,14
1153,0,6553,61271,17322,17063,14
161,0,4057,63698,17322,17063,13
1625,0,9458,72592,17322,17063,14
313,0,8875,71827,17322,17063,14
1225,0,2868,62408,17322,17063,13
411,0,10391,65485,17322,17063,13
1542,0,2529,55520,17322,17063,14
1385,0,11680,70775,17322,17063,14
343,0,9648,73041,17322,17063,14
1761,0,12099,73077,17322,17063,14
91,0,7203,61877,17322,17063,13
707,0,11627,74522,17322,17063,14
1254,0,2910,54546,17322,17063,13
226,0,11898,73361,17322,17063,15
1012,0,9400,64614,17322,17063,14
1491,0,6095,65364,17322,17063,14
968,0,9482,73242,17322,17063,14
909,0,3903,66989,17322,17063,14
1587,0,13603,73646,17322,17063,14
1284,0,4337,61510,17322,17063,13
853,0,7767,68897,17322,17063,15
1059,0,3816,72989,17322,17063,13
70,0,9495,77966,17322,17063,13
1257,0,9233,76239,17322,17063,13
273,0,2565,55561,17322,17063,13
256,0,8665,66960,17322,17063,13
1211,0,8431,59575,17322,17063,13
1089,0,3379,66239,17322,17063,14
1,0,11078,68854,17322,17063,14
994,0,11043,69268,17322,17063,13
477,0,8617,68335,17322,17063,14
1607,0,10645,70552,17322,17063,14
79,0,4542,62306,17322,17063,14
1764,0,5113,65012,17322,17063,14
1631,0,8683,70630,17322,17063,13
1482,0,4756,62753,17322,17063,14
380,0,12828,73467,17322,17063,14
61,0,7706,67043,17322,17063,15
1185,0,8629,67034,17322,17063,13
1426,0,3590,70894,17322,17063,13
1408,0,7568,62977,17322,17063,13
1726,0,2491,56347,17322,17063,13
310,0,5210,64622,17322,17063,15
1334,0,7276,67364,17322,17063,14
1865,0,9430,72918,17322,17063,14
1751,0,8522,62217,17322,17063,14
301,0,8466,64552,17322,17063,13
1049,0,4478,61808,17322,17063,13
1272,0,3686,64174,17322,17063,13
1073,0,3527,68069,17322,17063,14
1275,0,10505,74134,17322,17063,14
1300,0,7964,68094,17322,17063,14
962,0,9040,70596,17322,17063,15
600,0,8620,64259,17322,17063,13
1130,0,10055,65057,17322,17063,13
99,0,8873,67384,17322,17063,14
1019,0,12756,72909,17322,17063,14
254,0,4806,64368,17322,17063,13
772,0,5909,66412,17322,17063,14
276,0,8540,62464,17322,17063,12
513,0,5484,59013,17322,17063,13
658,0,9401,65692,17322,17063,14
472,0,8877,63665,17322,17063,14
453,0,4939,63426,17322,17063,14
1260,0,5986,61812,17322,17063,13
696,0,2097,63407,17322,17063,14
1658,0,7397,69237,17322,17063,14
366,0,4504,62327,17322,17063,14
2,0,9077,72032,17322,17063,14
662,0,8863,67917,17322,17063,15
1415,0,8688,61996,17322,17063,13
988,0,6080,60884,17322,17063,13
1176,0,4711,66275,17322,17063,13
263,0,8649,61392,17322,17063,14
219,0,7489,70045,17322,17063,14
112,0,4863,64700,17322,17063,14
1639,0,11227,72027,17322,17063,14
1507,0,10131,71121,17322,17063,15
1389,0,3832,59054,17322,17063,13
1943,0,4091,63748,17322,17063,14
314,0,11256,75965,17322,17063,14
899,0,4055,62450,17322,17063,15
1112,0,9514,68502,17322,17063,14
770,0,5838,65346,17322,17063,13
466,0,5896,66438,17322,17063,14
1603,0,4741,67991,17322,17063,14
1088,0,4852,62044,17322,17063,13
449,0,8954,63173,17322,17063,14
1516,0,3357,64914,17322,17063,14
500,0,6864,61944,17322,17063,13
1237,0,9718,72939,17322,17063,14
1838,0,8652,67050,17322,17063,14
1873,0,4272,58236,17322,17063,13
249,0,10879,74106,17322,17063,16
405,0,5097,64340,17322,17063,15
1263,0,8804,61203,17322,17063,13
1291,0,3990,60500,17322,17063,13
1113,0,8634,67060,17322,17063,13
26,0,6926,70068,17322,17063,15
1249,0,9293,74860,17322,17063,13
222,0,10465,72766,17322,17063,14
1152,0,8157,70614,17322,17063,15
1643,0,2434,65721,17322,17063,14
1064,0,8555,72049,17322,17063,13
711,0,8936,63996,17322,17063,14
484,0,8815,64693,17322,17063,13
1696,0,9401,69081,17322,17063,14
1630,0,5831,63367,17322,17063,13
1460,0,9691,69711,17322,17063,13
481,0,8836,65483,17322,17063,14
1194,0,9643,69537,17322,17063,13
956,0,4622,61211,17322,17063,13
1964,0,8174,69578,17322,17063,15
741,0,9225,71232,17322,17063,15
447,0,12305,73910,17322,17063,14
764,0,9207,66169,17322,17063,14
1996,0,6759,63402,17322,17063,14
1586,0,8811,68001,17322,17063,13
634,0,8844,65837,17322,17063,14
739,0,9828,71467,17322,17063,14
969,0,8868,62037,17322,17063,14
1506,0,7030,67594,17322,17063,14
1241,0,9275,69555,17322,17063,15
835,0,13994,73631,17322,17063,13
1665,0,10203,68282,17322,17063,14
788,0,4459,66015,17322,17063,13
1933,0,10173,68306,17322,17063,14
1135,0,5223,65839,17322,17063,13
1992,0,8912,65286,17322,17063,13
846,0,8856,67652,17322,17063,13
622,0,8600,63111,17322,17063,14
365,0,8727,59782,17322,17063,14
387,0,6002,60879,17322,17063,13
1723,0,4896,66503,17322,17063,13
948,0,8571,67473,17322,17063,14
1610,0,9609,66067,17322,17063,14
814,0,8753,68020,17322,17063,13
1902,0,6700,68197,17322,17063,15
412,0,7212,61424,17322,17063,13
502,0,9461,77941,17322,17063,13
704,0,3627,69765,17322,17063,14
1951,0,6094,65420,17322,17063,14
1158,0,9026,71864,17322,17063,14
1896,0,7323,70014,17322,17063,15
727,0,8942,71838,17322,17063,14
1720,0,3970,67293,17322,17063,14
761,0,6406,61723,17322,17063,13
1315,0,4353,61158,17322,17063,14
1438,0,6891,61949,17322,17063,14
337,0,8562,67416,17322,17063,13
1570,0,11162,67422,17322,17063,12
712,0,8775,67287,17322,17063,13
666,0,9726,65668,17322,17063,14
511,0,4376,59360,17322,17063,14
1484,0,8762,71396,17322,17063,13
1083,0,11630,70013,17322,17063,14
338,0,8846,66857,17322,17063,14
1563,0,7793,61377,17322,17063,13
708,0,5809,62562,17322,17063,14
1311,0,3249,65536,17322,17063,14
1247,0,6790,61643,17322,17063,14
803,0,9493,67751,17322,17063,14
25,0,8880,70080,17322,17063,13
