sid,BUFF,NOT,AND,PI,PO,LP
817,0,2994,24017,2122,2075,14
960,0,2846,23426,2122,2075,14
416,0,2982,22850,2122,2075,13
1346,0,2854,23929,2122,2075,14
1714,0,3360,23385,2122,2075,14
1347,0,2814,22929,2122,2075,13
420,0,2677,22880,2122,2075,13
709,0,3064,22992,2122,2075,13
169,0,3038,25647,2122,2075,14
1934,0,3035,23877,2122,2075,13
464,0,2934,25733,2122,2075,15
162,0,2973,24237,2122,2075,13
524,0,3011,24592,2122,2075,14
1632,0,3017,23777,2122,2075,14
1860,0,3275,23418,2122,2075,13
1974,0,3208,23320,2122,2075,13
806,0,2847,24695,2122,2075,14
1419,0,2904,25072,2122,2075,13
1721,0,2880,25477,2122,2075,14
1821,0,2819,23466,2122,2075,14
260,0,3230,26389,2122,2075,14
1225,0,3205,24515,2122,2075,14
161,0,3053,24582,2122,2075,13
867,0,3188,23483,2122,2075,13
392,0,2837,25763,2122,2075,15
1625,0,3050,24674,2122,2075,14
410,0,3013,24704,2122,2075,14
1412,0,3063,24444,2122,2075,13
313,0,2880,24670,2122,2075,14
411,0,2828,25749,2122,2075,14
1385,0,2996,25438,2122,2075,15
343,0,2849,25421,2122,2075,14
154,0,3044,23961,2122,2075,15
1153,0,3142,26749,2122,2075,14
226,0,3016,24212,2122,2075,13
1542,0,2952,23010,2122,2075,14
91,0,3217,24829,2122,2075,14
707,0,2976,25757,2122,2075,14
1761,0,2942,25563,2122,2075,14
1254,0,2983,23549,2122,2075,13
1012,0,3917,24265,2122,2075,14
1491,0,3082,22943,2122,2075,14
1284,0,3024,23510,2122,2075,13
853,0,2845,23202,2122,2075,13
968,0,2996,25818,2122,2075,14
1059,0,3092,24949,2122,2075,14
70,0,2962,25607,2122,2075,13
1257,0,2954,24697,2122,2075,14
1587,0,2837,22643,2122,2075,13
256,0,2910,25941,2122,2075,15
909,0,3032,22952,2122,2075,14
1089,0,3125,23409,2122,2075,14
1211,0,3086,25734,2122,2075,15
477,0,3144,22958,2122,2075,14
273,0,3067,23400,2122,2075,14
1,0,2840,23143,2122,2075,14
1607,0,3042,23942,2122,2075,14
1764,0,2993,25265,2122,2075,13
994,0,2804,23503,2122,2075,14
1631,0,3024,24403,2122,2075,14
79,0,2989,23128,2122,2075,15
1426,0,3078,23045,2122,2075,14
1865,0,3169,25833,2122,2075,14
380,0,2748,25558,2122,2075,15
1185,0,3053,25681,2122,2075,13
1049,0,2920,25249,2122,2075,15
301,0,3073,25458,2122,2075,14
1334,0,2957,25606,2122,2075,15
310,0,3076,23946,2122,2075,15
1408,0,2943,23376,2122,2075,15
61,0,2939,25925,2122,2075,15
1751,0,2942,25473,2122,2075,14
1482,0,2849,25787,2122,2075,14
1272,0,3133,23420,2122,2075,13
1275,0,2921,24372,2122,2075,13
1726,0,2923,23314,2122,2075,13
1073,0,2899,24958,2122,2075,15
1300,0,2948,24613,2122,2075,14
600,0,2906,25448,2122,2075,14
1130,0,2788,25301,2122,2075,14
962,0,3002,23285,2122,2075,13
1019,0,2962,25726,2122,2075,15
276,0,3059,24549,2122,2075,14
99,0,3159,22981,2122,2075,13
772,0,2957,24340,2122,2075,15
254,0,2854,23333,2122,2075,14
472,0,2796,23729,2122,2075,14
658,0,3980,24049,2122,2075,14
453,0,3246,23453,2122,2075,15
696,0,3295,23401,2122,2075,14
513,0,2796,24733,2122,2075,13
1658,0,3096,23152,2122,2075,13
1260,0,3220,23085,2122,2075,15
662,0,2889,25974,2122,2075,15
366,0,2847,23165,2122,2075,15
2,0,2843,25319,2122,2075,14
1415,0,3108,22988,2122,2075,13
988,0,2805,24415,2122,2075,14
1176,0,3178,25421,2122,2075,14
263,0,2920,24900,2122,2075,14
219,0,3242,23617,2122,2075,14
112,0,2918,25120,2122,2075,14
1639,0,3001,24895,2122,2075,13
899,0,3003,25448,2122,2075,15
1943,0,3214,24730,2122,2075,14
1507,0,2825,24270,2122,2075,14
1389,0,3175,23087,2122,2075,13
314,0,2686,24355,2122,2075,15
1603,0,2976,24546,2122,2075,14
1112,0,2917,25934,2122,2075,14
1088,0,2909,24920,2122,2075,14
770,0,3228,23482,2122,2075,14
466,0,2849,25597,2122,2075,15
1516,0,2957,23314,2122,2075,14
1873,0,3207,23034,2122,2075,13
1237,0,3120,24694,2122,2075,14
449,0,2898,23574,2122,2075,14
500,0,3313,23213,2122,2075,15
1838,0,3029,25253,2122,2075,14
249,0,2908,25606,2122,2075,15
1263,0,2761,22613,2122,2075,13
711,0,2956,24727,2122,2075,14
1249,0,2900,24582,2122,2075,14
405,0,2696,23099,2122,2075,14
1113,0,2995,25496,2122,2075,13
26,0,2896,25564,2122,2075,13
1291,0,3120,23428,2122,2075,13
222,0,2991,22851,2122,2075,13
1643,0,3167,23440,2122,2075,13
1152,0,3180,23349,2122,2075,13
484,0,2979,23170,2122,2075,14
1064,0,3010,25886,2122,2075,14
