sid,BUFF,NOT,AND,PI,PO,LP
1347,0,465,2553,828,702,18
169,0,395,2464,828,702,17
817,0,435,2518,828,702,16
1346,0,442,2518,828,702,18
1934,0,365,2475,828,702,17
1974,0,438,2377,828,702,19
960,0,343,2348,828,702,16
806,0,394,2390,828,702,18
1721,0,423,2512,828,702,18
709,0,361,2436,828,702,18
524,0,354,2358,828,702,17
416,0,374,2340,828,702,18
162,0,452,2590,828,702,18
420,0,438,2535,828,702,18
1632,0,417,2386,828,702,18
1860,0,457,2462,828,702,18
464,0,396,2352,828,702,17
1714,0,406,2462,828,702,18
1419,0,394,2513,828,702,17
1821,0,347,2282,828,702,16
867,0,375,2480,828,702,16
1225,0,390,2340,828,702,16
260,0,382,2356,828,702,16
1412,0,368,2338,828,702,17
313,0,349,2423,828,702,18
410,0,411,2437,828,702,17
154,0,402,2436,828,702,17
411,0,373,2415,828,702,19
392,0,429,2455,828,702,17
1625,0,362,2436,828,702,18
707,0,422,2490,828,702,18
1542,0,334,2279,828,702,16
161,0,418,2504,828,702,17
1385,0,411,2481,828,702,17
1153,0,395,2417,828,702,17
343,0,384,2573,828,702,18
1254,0,448,2585,828,702,19
226,0,447,2584,828,702,19
1761,0,386,2456,828,702,18
91,0,408,2343,828,702,17
1012,0,357,2301,828,702,17
256,0,427,2411,828,702,17
968,0,401,2512,828,702,18
1059,0,412,2511,828,702,19
70,0,391,2545,828,702,18
1491,0,407,2468,828,702,17
1257,0,336,2417,828,702,17
1284,0,385,2439,828,702,18
1211,0,375,2339,828,702,17
853,0,363,2336,828,702,17
1089,0,396,2489,828,702,16
1587,0,365,2362,828,702,16
909,0,418,2424,828,702,16
477,0,412,2380,828,702,17
994,0,380,2549,828,702,17
1631,0,366,2308,828,702,16
273,0,419,2474,828,702,17
1764,0,437,2587,828,702,17
1,0,441,2432,828,702,17
1607,0,442,2527,828,702,17
380,0,379,2454,828,702,17
79,0,391,2290,828,702,15
1185,0,473,2629,828,702,18
1426,0,464,2552,828,702,18
1482,0,394,2287,828,702,15
1049,0,467,2554,828,702,18
1408,0,378,2324,828,702,17
1865,0,443,2693,828,702,17
1334,0,414,2380,828,702,17
1726,0,423,2477,828,702,17
61,0,426,2592,828,702,15
1751,0,396,2402,828,702,18
301,0,398,2346,828,702,19
310,0,422,2607,828,702,18
1272,0,496,2590,828,702,17
600,0,359,2260,828,702,18
1300,0,376,2239,828,702,18
1073,0,412,2513,828,702,17
1275,0,420,2579,828,702,17
1130,0,422,2488,828,702,19
962,0,418,2588,828,702,18
254,0,362,2368,828,702,16
1019,0,378,2549,828,702,16
276,0,420,2541,828,702,17
772,0,406,2481,828,702,17
1658,0,383,2430,828,702,17
696,0,356,2349,828,702,17
453,0,353,2301,828,702,18
99,0,487,2615,828,702,18
513,0,436,2483,828,702,17
658,0,431,2412,828,702,16
472,0,374,2500,828,702,16
2,0,403,2390,828,702,18
1415,0,392,2475,828,702,19
263,0,441,2495,828,702,18
1176,0,362,2473,828,702,17
366,0,416,2445,828,702,15
662,0,385,2467,828,702,17
988,0,389,2431,828,702,17
1260,0,312,2343,828,702,17
112,0,403,2455,828,702,19
219,0,404,2533,828,702,19
1639,0,394,2419,828,702,15
1943,0,381,2509,828,702,16
1507,0,362,2302,828,702,16
314,0,459,2502,828,702,18
1088,0,395,2408,828,702,19
899,0,398,2370,828,702,18
1516,0,387,2410,828,702,17
1389,0,431,2425,828,702,17
1112,0,413,2558,828,702,17
466,0,393,2474,828,702,18
1603,0,376,2363,828,702,18
1237,0,374,2476,828,702,18
770,0,415,2482,828,702,17
249,0,383,2428,828,702,17
500,0,361,2250,828,702,16
449,0,358,2323,828,702,16
1838,0,433,2574,828,702,18
1873,0,343,2391,828,702,17
1263,0,397,2391,828,702,17
1291,0,419,2446,828,702,18
1249,0,386,2553,828,702,16
1113,0,408,2548,828,702,18
26,0,391,2521,828,702,18
405,0,378,2461,828,702,16
222,0,343,2327,828,702,19
1643,0,422,2526,828,702,17
484,0,437,2467,828,702,16
1460,0,299,2446,828,702,18
1064,0,355,2484,828,702,18
1152,0,352,2370,828,702,18
1964,0,440,2584,828,702,17
711,0,375,2507,828,702,17
481,0,375,2358,828,702,17
1696,0,401,2348,828,702,15
1630,0,378,2345,828,702,16
956,0,414,2394,828,702,17
1194,0,372,2406,828,702,16
741,0,436,2427,828,702,17
1586,0,369,2411,828,702,16
447,0,398,2491,828,702,19
764,0,430,2565,828,702,17
1241,0,483,2550,828,702,19
969,0,409,2342,828,702,17
634,0,395,2354,828,702,17
1506,0,399,2478,828,702,16
1665,0,447,2510,828,702,18
1992,0,415,2385,828,702,18
788,0,359,2409,828,702,20
1996,0,365,2422,828,702,17
835,0,477,2550,828,702,18
1933,0,377,2326,828,702,17
739,0,400,2536,828,702,17
846,0,429,2525,828,702,17
622,0,384,2290,828,702,17
1135,0,370,2573,828,702,18
1610,0,387,2380,828,702,17
365,0,380,2355,828,702,16
1723,0,408,2482,828,702,17
948,0,416,2477,828,702,19
387,0,399,2398,828,702,18
1902,0,400,2440,828,702,18
814,0,366,2480,828,702,17
412,0,374,2374,828,702,19
1951,0,404,2443,828,702,16
1158,0,373,2468,828,702,18
502,0,386,2511,828,702,16
704,0,378,2333,828,702,16
1315,0,396,2401,828,702,17
1896,0,418,2600,828,702,19
727,0,377,2396,828,702,17
1720,0,376,2367,828,702,18
761,0,409,2466,828,702,16
1570,0,445,2513,828,702,18
337,0,365,2521,828,702,18
1083,0,405,2418,828,702,17
1438,0,343,2378,828,702,17
1484,0,454,2545,828,702,19
708,0,421,2400,828,702,16
666,0,405,2515,828,702,16
712,0,401,2433,828,702,19
511,0,430,2424,828,702,15
338,0,380,2422,828,702,17
1247,0,437,2486,828,702,17
1563,0,413,2480,828,702,18
1379,0,399,2459,828,702,17
885,0,355,2637,828,702,18
626,0,344,2471,828,702,17
508,0,420,2422,828,702,17
25,0,403,2350,828,702,16
803,0,423,2561,828,702,17
1311,0,379,2311,828,702,17
1767,0,408,2343,828,702,20
407,0,402,2381,828,702,18
1261,0,426,2445,828,702,17
1842,0,442,2473,828,702,19
563,0,410,2412,828,702,18
1093,0,363,2425,828,702,17
1645,0,376,2530,828,702,17
116,0,403,2622,828,702,17
465,0,383,2323,828,702,17
858,0,431,2463,828,702,18
1463,0,399,2429,828,702,16
1982,0,381,2419,828,702,17
188,0,371,2432,828,702,17
514,0,464,2586,828,702,18
921,0,455,2553,828,702,18
737,0,429,2542,828,702,18
1662,0,414,2464,828,702,16
1917,0,420,2441,828,702,19
1596,0,405,2347,828,702,18
526,0,435,2521,828,702,18
234,0,375,2445,828,702,18
157,0,401,2384,828,702,18
1687,0,469,2575,828,702,18
1624,0,317,2307,828,702,16
1377,0,437,2497,828,702,18
992,0,452,2560,828,702,15
990,0,404,2502,828,702,18
1175,0,386,2345,828,702,18
762,0,397,2512,828,702,17
686,0,362,2381,828,702,17
1906,0,423,2571,828,702,19
593,0,397,2489,828,702,17
265,0,389,2430,828,702,16
322,0,324,2459,828,702,16
958,0,448,2436,828,702,19
1635,0,455,2538,828,702,18
418,0,427,2331,828,702,18
1382,0,422,2455,828,702,18
1166,0,389,2361,828,702,19
794,0,398,2390,828,702,15
213,0,361,2362,828,702,17
636,0,414,2485,828,702,18
1231,0,383,2380,828,702,18
295,0,397,2466,828,702,17
1689,0,368,2428,828,702,17
1770,0,467,2549,828,702,17
1931,0,502,2592,828,702,18
1462,0,454,2572,828,702,17
398,0,409,2362,828,702,17
824,0,397,2463,828,702,16
1281,0,417,2411,828,702,19
1155,0,424,2361,828,702,19
1075,0,458,2636,828,702,19
1042,0,339,2354,828,702,17
1366,0,457,2575,828,702,16
290,0,407,2394,828,702,18
278,0,362,2333,828,702,18
596,0,414,2446,828,702,16
1622,0,427,2503,828,702,19
1815,0,410,2414,828,702,17
966,0,426,2496,828,702,16
128,0,407,2430,828,702,19
560,0,427,2475,828,702,18
641,0,465,2499,828,702,17
980,0,417,2355,828,702,19
765,0,431,2466,828,702,17
1327,0,422,2639,828,702,18
1404,0,397,2446,828,702,18
42,0,435,2381,828,702,17
1292,0,445,2494,828,702,16
1735,0,327,2275,828,702,16
1004,0,386,2431,828,702,19
1994,0,411,2378,828,702,19
388,0,411,2460,828,702,17
698,0,412,2403,828,702,17
368,0,419,2434,828,702,17
1312,0,409,2494,828,702,17
123,0,390,2447,828,702,18
884,0,376,2342,828,702,16
153,0,417,2549,828,702,18
1712,0,400,2336,828,702,17
1277,0,430,2477,828,702,18
80,0,476,2585,828,702,18
1626,0,357,2292,828,702,18
572,0,379,2387,828,702,17
44,0,365,2476,828,702,18
528,0,418,2386,828,702,16
293,0,454,2504,828,702,17
951,0,414,2466,828,702,19
236,0,322,2315,828,702,16
1910,0,415,2541,828,702,19
1769,0,408,2504,828,702,17
233,0,414,2521,828,702,17
1287,0,380,2331,828,702,15
1997,0,338,2535,828,702,16
880,0,376,2303,828,702,17
917,0,412,2455,828,702,16
215,0,441,2534,828,702,18
1701,0,388,2431,828,702,17
474,0,362,2343,828,702,18
1889,0,364,2542,828,702,18
95,0,462,2573,828,702,18
776,0,457,2602,828,702,19
1133,0,427,2490,828,702,18
1033,0,416,2538,828,702,19
428,0,464,2506,828,702,16
836,0,375,2419,828,702,17
