sid,area,power
894,7394.97,8617.38
641,7441.94,8699.22
710,6826.66,8050.78
117,7170.52,8190.68
979,7040.38,8312.33
325,7436.13,8815.15
166,7156.05,8637.88
671,7407.93,8719.24
717,7224.83,8227.0
599,7820.88,9280.34
400,6957.28,8258.52
669,7476.36,8946.47
436,7399.65,8679.39
706,7828.67,9098.91
973,7163.04,8511.87
427,6938.74,8237.13
727,7787.21,9022.56
489,7181.97,8415.12
84,7494.63,8882.54
61,7186.43,8652.2
794,7367.71,8445.09
307,7055.78,8338.12
445,6964.42,8271.01
680,7746.01,9007.88
382,7198.61,8797.13
880,7223.36,8251.17
697,7432.28,8927.03
245,7048.19,8359.98
408,7068.34,8375.03
808,7248.19,8274.36
402,7712.23,9071.09
939,7421.98,8842.05
346,6968.21,8232.95
991,7515.99,8988.58
901,7373.42,8588.8
618,7510.67,9101.21
615,7418.83,8804.91
548,7592.65,9026.86
972,7496.99,8902.52
406,7361.61,8592.37
54,7151.13,8528.37
355,7367.04,8785.91
396,7146.24,8490.12
181,7079.78,8518.55
414,7766.5,8977.2
279,7200.51,8738.07
607,7052.74,8289.17
558,7064.35,8546.81
190,7107.38,8465.65
447,7370.22,8794.12
910,7042.34,8326.0
707,7073.99,8318.17
838,6996.78,8336.03
936,7419.05,8869.83
646,7102.39,8547.91
542,7380.98,8681.9
64,7109.7,8455.17
524,7019.23,8328.33
585,7160.54,8521.52
696,7538.37,9074.92
448,6972.42,8263.31
169,7211.79,8796.11
313,6952.65,8211.07
59,7781.93,9045.62
841,6992.49,8278.73
252,7491.0,8930.97
594,7526.68,9118.67
271,7495.4,9070.73
874,8123.24,9638.59
290,7433.68,8707.82
492,6983.45,8307.68
421,6959.09,8266.51
529,7244.7,8427.21
683,7304.99,8900.67
892,7294.94,8517.71
600,7078.04,8422.15
186,6938.28,8239.12
393,7520.53,9123.33
392,7289.77,8367.18
345,7369.33,8844.55
541,7176.09,8588.68
718,7628.38,8919.44
418,7789.44,9073.21
788,7183.65,8208.7
