sid,area,power
894,964.45,1161.61
710,896.48,1078.62
166,930.67,1127.89
979,938.1,1141.49
717,1008.38,1217.5
669,941.41,1133.91
671,976.11,1173.18
400,968.09,1170.47
117,942.13,1132.13
641,936.92,1129.99
325,998.26,1190.68
599,1037.4,1263.73
436,1025.57,1243.06
706,970.01,1150.79
61,947.19,1150.45
427,947.99,1132.24
489,930.38,1120.62
84,936.41,1129.31
794,927.7,1109.4
727,1000.89,1196.9
307,957.94,1142.03
808,958.93,1137.63
680,975.2,1178.72
973,976.49,1182.66
382,1005.45,1240.16
445,940.48,1147.37
245,926.74,1123.15
408,981.13,1179.65
697,945.17,1129.96
939,994.47,1181.5
402,1016.56,1216.17
972,965.16,1166.64
618,991.56,1201.69
346,952.94,1150.73
880,951.1,1143.08
901,961.4,1168.84
991,996.85,1213.21
54,1004.4,1219.3
406,955.47,1151.79
548,957.7,1147.27
615,961.57,1152.05
396,934.01,1130.27
355,1045.71,1254.17
558,961.65,1165.95
607,951.51,1145.75
414,952.55,1149.57
838,967.33,1175.66
279,926.88,1124.46
696,978.21,1182.73
169,1008.52,1246.66
646,976.2,1188.73
181,973.04,1193.89
447,1029.76,1232.23
524,949.81,1143.8
910,975.73,1182.12
190,965.34,1158.76
252,944.35,1140.96
585,955.01,1151.72
707,939.42,1118.48
936,959.93,1153.16
529,997.33,1225.41
448,929.61,1123.35
542,960.15,1154.46
64,943.99,1124.79
874,920.87,1109.76
393,1000.04,1216.74
59,969.71,1159.71
841,934.62,1119.84
290,943.86,1150.03
313,982.3,1186.08
271,931.12,1117.25
594,970.67,1155.46
541,922.07,1109.77
392,948.99,1141.8
492,978.8,1197.15
421,938.33,1136.07
683,995.29,1197.53
892,972.56,1190.6
600,965.79,1164.74
983,965.37,1168.56
186,968.54,1177.38
718,936.94,1140.09
262,957.15,1159.42
418,987.38,1181.29
345,964.14,1146.12
788,935.05,1117.33
649,960.91,1168.77
760,945.27,1134.05
264,971.81,1175.88
89,965.71,1165.51
748,970.32,1168.39
326,950.93,1144.56
360,943.49,1136.79
209,985.56,1181.86
37,992.68,1184.54
481,946.85,1149.55
762,996.71,1183.54
184,959.55,1158.49
422,944.34,1145.31
790,963.04,1180.34
951,922.6,1128.19
34,940.57,1128.07
940,960.2,1149.19
834,962.45,1166.02
562,991.92,1201.69
660,998.78,1213.1
518,969.08,1163.68
5,1007.1,1215.26
949,952.21,1137.43
916,938.58,1143.33
366,970.1,1178.96
164,976.49,1191.34
465,941.5,1141.62
741,935.39,1124.82
515,935.29,1105.32
772,985.66,1169.1
624,963.12,1146.66
370,978.98,1178.4
818,993.41,1201.54
604,943.88,1149.2
988,988.2,1198.45
984,965.25,1159.11
71,967.46,1158.11
873,934.58,1127.83
777,943.71,1134.87
525,972.12,1160.62
362,963.07,1174.77
145,980.04,1180.29
238,973.4,1193.15
300,958.78,1156.35
487,982.23,1173.0
453,943.34,1139.22
162,954.48,1139.39
666,949.76,1135.23
237,943.53,1148.06
132,975.14,1163.02
667,973.22,1169.57
527,955.28,1157.58
658,923.99,1112.88
312,990.09,1209.93
428,951.83,1168.1
621,951.31,1156.73
216,944.95,1138.7
573,955.44,1167.73
19,968.61,1150.85
86,943.89,1135.84
970,1006.66,1211.73
363,951.96,1151.63
565,1009.71,1218.7
644,942.96,1131.12
505,955.61,1141.36
107,1008.73,1200.26
410,983.56,1188.56
980,957.59,1161.39
446,972.94,1159.79
974,957.77,1165.45
628,923.79,1109.51
206,957.35,1155.92
606,962.1,1153.22
240,989.7,1197.77
975,963.48,1169.3
457,958.75,1144.9
123,938.76,1136.46
911,959.01,1154.18
147,948.6,1129.84
497,987.4,1210.55
434,945.6,1135.2
327,1035.77,1257.36
224,927.4,1117.99
918,923.99,1119.92
922,1023.58,1220.59
