sid,area,power
894,3617.56,3390.12
325,3535.32,3371.66
979,3472.07,3365.69
599,3524.29,3366.97
671,3609.37,3417.64
400,3494.16,3352.56
166,3490.03,3335.34
117,3429.51,3283.61
669,3543.27,3391.02
641,3484.97,3326.25
717,3401.89,3303.13
710,3494.99,3364.36
436,3607.79,3386.86
706,3518.46,3330.69
427,3475.98,3343.6
84,3437.22,3342.7
727,3581.74,3364.6
489,3449.3,3360.14
794,3619.81,3389.73
61,3524.63,3341.52
445,3437.83,3321.09
680,3506.82,3318.46
307,4443.59,4289.35
697,3460.34,3352.81
973,3599.87,3440.47
382,3449.79,3295.74
808,3533.96,3397.29
402,3524.12,3373.22
408,3427.33,3341.09
245,4588.85,4428.72
939,3492.75,3361.89
880,3445.91,3333.6
901,3556.11,3362.99
346,3488.77,3362.48
615,3622.37,3416.63
548,3631.09,3433.79
991,3593.84,3394.94
406,3554.66,3376.14
618,3456.77,3342.61
396,3507.15,3338.83
972,3580.74,3401.28
54,3501.69,3355.3
355,3431.31,3325.84
838,3374.29,3321.21
558,3473.16,3333.56
696,3434.74,3325.68
646,3468.59,3320.38
414,3640.38,3416.5
607,3482.31,3365.52
181,3509.03,3341.2
447,3431.31,3325.83
279,3535.79,3370.34
190,3459.66,3333.14
169,3433.76,3291.74
910,3355.86,3301.45
707,3439.67,3336.02
252,3608.71,3402.15
936,3616.35,3423.08
542,3598.47,3416.4
524,4436.22,4292.07
64,3422.39,3313.16
529,4298.69,4154.53
448,3427.89,3318.83
585,3453.05,3318.94
393,3472.57,3360.9
841,3434.84,3316.97
313,3520.58,3383.31
59,3551.22,3353.84
874,3530.06,3341.72
271,3596.07,3400.0
594,3492.01,3363.24
290,3609.45,3376.47
541,3583.83,3385.71
392,3581.75,3396.55
892,3544.09,3346.61
492,4708.36,4548.78
683,3459.37,3325.55
983,3617.65,3409.16
600,3533.08,3361.57
421,3529.89,3387.69
186,3517.05,3365.44
264,3560.23,3403.35
649,3458.25,3341.16
718,3511.47,3349.12
262,3626.86,3439.69
345,3460.34,3352.81
418,3526.44,3337.66
788,3470.52,3340.47
89,3594.42,3440.09
748,4388.95,4216.64
37,3503.51,3362.29
760,4411.52,4274.51
184,3619.73,3417.37
209,3469.83,3360.09
360,3570.45,3399.47
326,3531.3,3393.17
481,3495.05,3349.01
951,3485.43,3338.51
422,3600.83,3437.01
762,3487.3,3357.18
562,3428.9,3297.91
5,3465.09,3304.35
940,3617.03,3400.97
34,3545.58,3383.5
834,3466.48,3347.19
660,3543.41,3372.42
790,3586.29,3403.52
515,3572.19,3377.66
772,3501.48,3382.6
465,3491.4,3391.33
366,3542.3,3385.65
518,3497.55,3381.84
164,3493.3,3386.66
949,3467.78,3363.62
916,3412.71,3279.71
604,3527.26,3349.3
741,3401.57,3306.89
370,3530.74,3395.41
818,3498.2,3339.21
525,3540.23,3381.33
624,3500.21,3333.04
71,3462.97,3342.1
984,4555.38,4400.92
988,3448.7,3332.08
362,3458.18,3299.22
873,3525.35,3341.25
487,3494.07,3363.0
777,3407.97,3283.27
162,3533.2,3374.4
145,3503.42,3328.28
132,3460.34,3352.81
300,3667.49,3452.36
666,3615.15,3382.42
237,3443.01,3339.48
453,3508.11,3376.28
238,3506.81,3329.88
667,3434.57,3326.15
19,4573.36,4375.18
658,3523.88,3347.24
621,3447.3,3305.62
573,3484.8,3349.63
312,3491.5,3326.67
527,3483.37,3358.18
216,3487.02,3366.31
428,3454.75,3316.05
86,3596.74,3399.33
565,3482.26,3329.87
970,3437.41,3325.57
628,3586.02,3403.37
107,3441.21,3295.57
644,4519.93,4327.83
410,3634.66,3464.95
206,3523.07,3349.86
446,3359.85,3272.64
363,3433.62,3347.57
505,3501.32,3377.67
980,3568.96,3351.29
606,3456.21,3312.25
975,3510.34,3363.97
457,4533.42,4358.58
974,3439.07,3337.8
240,3558.09,3388.51
327,3615.2,3404.87
911,3446.5,3297.52
147,3585.8,3378.24
224,3527.49,3349.03
123,3449.21,3326.04
918,3531.44,3350.91
922,3488.05,3349.87
497,3613.24,3419.07
334,3498.32,3369.5
434,3408.83,3307.24
905,3557.29,3363.74
771,3459.08,3341.95
15,3585.48,3376.96
498,3470.3,3351.77
832,3470.9,3349.39
775,3441.73,3325.64
958,3430.05,3293.07
336,3550.96,3387.35
593,3542.01,3354.04
990,3569.56,3420.57
333,3458.27,3310.7
904,3523.06,3406.25
533,3480.76,3331.3
862,3533.84,3376.62
960,3627.62,3390.17
851,3474.87,3369.99
509,3443.49,3316.3
283,3459.01,3349.62
906,3400.83,3288.88
695,3508.05,3330.16
343,3563.99,3357.61
567,3557.03,3359.82
699,3590.82,3404.3
90,4309.1,4179.23
485,3506.94,3350.64
102,3473.67,3338.91
678,3420.04,3312.13
475,3458.15,3317.57
372,4403.14,4228.73
849,3446.46,3344.59
473,3501.7,3381.49
60,3467.15,3358.34
879,3514.55,3355.87
872,3605.54,3376.6
320,3459.27,3349.28
555,3458.73,3344.04
291,3555.67,3395.99
861,3459.12,3358.89
13,3444.07,3297.02
369,3525.0,3381.52
211,3470.9,3349.39
797,3744.89,3487.56
168,3572.1,3358.27
25,3494.29,3383.57
754,3518.3,3335.75
796,3490.65,3368.8
500,3398.06,3272.84
430,3488.06,3366.59
109,3420.88,3298.88
611,3506.8,3350.54
837,3500.08,3362.69
749,3533.14,3365.41
928,3516.08,3355.06
474,3570.52,3386.68
351,4591.03,4429.83
69,3641.75,3453.62
352,4501.1,4360.76
0,3476.55,3355.15
867,3653.56,3437.28
595,3425.33,3291.43
36,3411.21,3311.3
494,3533.01,3379.83
813,3477.59,3347.99
705,4503.47,4338.69
229,3481.32,3309.73
276,3555.73,3382.48
46,3481.18,3318.65
144,3525.35,3354.13
310,3553.62,3406.69
137,3475.5,3354.36
776,4606.46,4463.65
342,3511.05,3371.74
610,3474.69,3334.44
519,3494.27,3326.43
915,3519.76,3378.71
941,3624.85,3440.58
367,3538.28,3383.37
226,3563.9,3368.99
296,3511.37,3339.28
134,3416.46,3317.97
885,3526.55,3336.85
415,3466.4,3334.07
545,3452.36,3335.3
551,3404.75,3324.92
185,3408.33,3302.66
161,3448.7,3332.08
148,3641.03,3435.73
100,3478.66,3325.62
745,3459.15,3339.63
304,3434.1,3297.78
694,3508.43,3364.26
214,3494.88,3365.04
113,3418.7,3298.04
43,3467.77,3346.57
780,3489.42,3353.76
232,3513.36,3367.05
281,3470.3,3351.77
926,3472.91,3321.65
827,3584.09,3377.0
444,3606.5,3422.58
722,3616.32,3402.39
588,3627.62,3390.17
514,3536.49,3347.03
495,3369.18,3308.89
496,4358.86,4204.95
364,3502.14,3355.51
423,3583.83,3385.71
140,3628.06,3463.52
897,3462.2,3382.87
703,3489.95,3387.32
198,3476.8,3359.07
141,3553.65,3358.24
670,4517.02,4329.11
103,3436.67,3284.13
459,3431.38,3290.43
996,3401.89,3303.13
274,3438.56,3324.76
200,3460.43,3364.6
114,3542.18,3395.72
623,3493.34,3357.72
260,3483.04,3358.54
739,3523.04,3361.52
721,3568.12,3371.3
965,3630.0,3444.57
44,3441.26,3298.69
961,3611.77,3386.29
284,3492.5,3326.93
709,4409.52,4265.55
690,3502.46,3324.35
385,3401.89,3303.13
863,3458.11,3346.11
52,3458.15,3317.57
