sid,area,power
717,171284.77,178031.86
117,169670.69,176368.19
400,160801.72,175601.03
166,165635.42,179531.72
669,163914.87,174119.44
894,166364.68,180046.95
599,166801.1,179390.17
325,167599.01,180196.2
979,163584.23,177829.94
671,167021.2,179822.14
641,162648.04,174036.77
710,167213.32,182374.86
489,159972.14,174892.83
436,167889.7,180835.86
84,162662.28,172473.53
427,161665.42,176585.95
794,166642.53,180277.14
307,161573.13,176255.19
61,159748.2,172622.98
445,159268.18,173971.45
973,160979.83,175897.69
706,167817.94,181956.88
727,168404.4,182718.16
680,167012.94,181966.86
382,160389.09,173870.92
697,166247.46,179445.47
245,161404.68,176364.78
408,162344.41,176824.55
808,166560.97,180123.2
402,167687.33,180319.78
346,161543.69,176350.53
939,165988.72,179158.23
880,170876.93,177724.98
991,163549.86,173529.09
901,166728.41,180432.94
615,167515.39,180421.09
355,167235.8,180476.3
406,166465.95,180097.91
972,162629.13,172314.44
396,166068.43,180037.72
618,158731.34,172442.14
54,165458.13,179313.86
548,163770.73,173840.17
607,161999.5,177629.2
414,167172.68,181558.98
838,161454.31,176941.59
558,162168.94,175969.0
279,162080.99,175904.75
646,166349.01,180255.36
181,166440.5,180590.09
190,161452.54,176673.22
696,157562.42,171148.89
447,167247.25,180492.17
169,161603.03,175316.02
252,163066.85,172891.56
910,162896.36,177713.89
524,161767.69,176530.55
707,161256.52,176477.16
542,166842.61,179623.28
936,166383.66,179240.42
529,161150.77,175938.69
585,165426.68,179402.73
448,160904.28,175657.31
64,166735.86,180134.11
393,158886.92,172705.34
59,166190.18,180784.42
874,165925.74,179569.23
841,160526.71,175278.83
594,158051.71,171190.06
271,162394.09,172142.53
313,166023.06,181395.41
541,165920.19,179821.59
290,166677.27,180516.09
421,161054.62,176413.19
492,162799.48,178199.89
392,166699.74,180460.88
600,165696.97,179963.33
892,167141.58,181250.17
683,162247.78,175918.55
983,162460.06,172173.72
345,165981.19,179178.5
186,161534.26,176810.59
788,169343.85,175690.8
718,161646.47,172601.02
264,162851.47,172682.61
418,167162.38,181832.36
262,162080.79,172266.66
89,162161.83,171745.28
649,166170.81,181786.53
37,166025.35,179752.55
748,161588.04,176963.02
209,160905.7,176337.08
760,161501.25,176725.5
360,166962.9,179723.55
481,165521.22,181029.77
326,166526.79,179180.25
422,161112.51,171028.58
762,166252.21,179687.64
184,163007.58,172880.81
790,166747.08,182429.78
951,166049.21,181539.53
34,167665.91,180579.16
660,162636.18,172344.53
940,166746.33,180576.58
834,161384.58,176283.31
562,165956.81,179839.12
5,162300.97,177266.77
366,161798.85,171669.28
518,165851.93,178885.94
916,166000.58,180365.86
949,162475.88,178239.86
515,166542.05,180829.45
164,162916.54,172646.78
465,162641.5,172630.11
772,165995.46,179285.56
818,161077.37,174669.83
741,169984.09,176816.11
370,162662.39,172378.11
604,166160.73,180099.05
624,162268.42,177248.11
984,161580.29,176519.11
71,166530.52,179838.39
873,166501.74,180404.36
988,161924.64,177166.47
525,166841.06,180291.28
162,167574.34,180345.5
487,166877.59,180203.47
362,166409.65,180847.95
145,166048.04,180558.22
777,166201.27,180409.17
237,162512.26,177880.53
300,162768.32,172619.44
238,166086.06,180272.53
666,164825.71,177044.75
453,162681.49,172930.55
428,165833.99,179907.08
658,163777.27,176046.89
621,166554.01,181004.09
132,167019.32,180626.05
19,168830.53,174772.42
667,166741.78,180542.53
573,165913.43,181431.73
216,163000.27,178191.7
312,165895.65,180231.11
527,166970.54,179778.69
565,166358.69,180206.03
363,161967.04,177023.14
86,162186.31,171869.41
970,158830.39,172602.38
644,161748.97,177059.59
107,167361.45,182296.31
446,170764.13,177284.73
410,163139.3,172969.78
505,167055.43,180358.16
980,162364.9,174193.31
206,165482.78,179100.3
457,161294.78,176107.66
628,165700.01,181000.59
327,167488.97,180344.33
911,162892.23,177969.42
240,167680.0,180614.11
975,161722.4,177068.42
606,167133.34,181862.58
147,166965.29,181239.0
123,160611.56,175377.02
974,163293.01,178990.66
918,165081.83,178807.05
497,161909.36,171659.23
224,165133.87,178646.92
434,170992.81,177812.97
922,162093.41,175941.17
905,167405.85,181837.75
498,168856.67,175254.39
334,159077.79,172872.42
771,169849.13,176673.53
832,160538.03,175982.2
15,166670.98,180953.38
775,165631.09,179351.73
990,162821.28,172635.48
958,161342.29,174902.17
333,166831.9,180562.02
593,166112.08,180127.55
336,162664.85,172474.27
960,163938.24,176000.09
862,167495.59,180941.22
904,163015.57,173232.58
533,161439.03,174952.73
567,167191.08,181571.61
906,164798.08,178777.3
851,166205.95,181319.38
283,167251.29,180600.5
509,159979.19,172653.02
695,169896.43,176646.91
343,167769.26,182024.31
699,163228.15,173297.09
678,162708.63,178468.84
90,160467.86,175169.69
849,162546.21,172506.33
102,161070.0,175857.69
372,159900.75,174414.22
485,166130.12,180173.25
473,161720.83,177164.22
475,161972.06,176206.56
320,166431.68,179508.06
879,162471.88,174422.06
872,168254.93,182723.58
861,166600.08,181525.3
291,166399.15,179429.94
60,165732.01,180945.5
211,161230.98,176700.62
555,164784.41,179944.72
25,161509.64,176163.91
13,171052.06,177886.17
369,166174.36,178903.42
109,168037.95,181554.81
500,166056.18,179914.38
168,167864.96,181855.38
754,166984.26,181441.17
797,163076.2,172883.66
837,166766.63,179880.84
430,166392.53,181868.11
749,161946.36,175739.33
796,166370.48,178903.61
611,164355.93,178480.5
928,165405.52,179584.42
474,165370.74,179267.33
351,161945.59,177146.3
0,161217.54,176109.95
352,160618.27,175293.36
867,162619.13,172224.98
69,162269.98,171958.28
705,161258.4,176344.38
595,166679.27,181000.94
36,165505.37,179290.48
494,162980.72,174200.47
229,161275.53,175472.2
276,163823.94,175993.38
46,162220.45,176252.41
310,160926.4,176052.36
813,161098.02,176454.5
137,162376.6,177534.41
144,166520.88,180730.11
610,166310.0,180041.02
776,161395.55,176371.53
342,161895.57,177179.97
519,166101.68,180000.86
367,166537.21,179375.17
941,167013.34,179917.77
915,166128.86,178958.69
296,165696.25,179717.42
134,161193.28,176000.86
226,167399.98,181743.48
885,160962.68,175317.97
148,163114.63,173181.39
161,162694.82,178043.89
545,162249.04,176764.67
304,161827.04,175405.23
745,161639.52,177044.06
415,159582.98,174346.91
100,162090.33,175739.52
551,162326.85,177067.02
214,166076.87,179094.22
185,166547.89,182228.69
694,160539.14,175229.14
780,166594.14,179927.7
113,167200.62,182670.14
43,165543.83,178866.31
926,165873.52,179857.27
722,167300.66,181900.72
281,170494.51,176963.8
444,166657.69,179628.88
232,167180.15,180039.78
588,164119.04,176233.59
495,161738.86,176976.27
496,160703.81,175413.62
364,162565.96,177725.42
827,167763.26,181884.56
423,166406.09,180248.53
514,167070.78,181390.59
140,162770.84,172600.69
897,166523.06,178719.19
198,165484.23,178804.72
703,167119.69,179967.55
670,168474.18,174218.02
200,161774.48,176972.86
996,171434.31,178222.61
141,166478.03,180070.98
274,162230.94,177540.38
459,166129.57,180619.88
103,168015.42,182807.86
260,160561.45,175197.88
739,163892.86,176205.72
623,162136.92,177131.56
114,167028.16,180497.23
965,163904.08,175350.09
709,161337.96,176074.08
44,166341.7,180156.19
284,160766.89,175198.36
961,166537.52,180359.28
721,166406.88,179876.41
690,169414.04,176015.69
824,166743.09,180484.05
942,162493.07,172290.91
52,162091.01,175980.55
27,165816.44,179663.83
385,170319.89,176889.27
863,158771.05,172513.59
952,161305.28,175906.81
516,167206.95,181039.23
464,165479.06,179790.94
616,162045.16,176907.14
244,159849.58,173913.33
395,161972.81,175604.38
439,166198.41,180848.27
815,167271.43,181521.06
547,159494.88,173919.28
