sid,area,power
117,38194.07,34986.98
599,40439.95,41561.73
325,44131.07,47313.69
669,37489.73,34851.07
717,40841.25,42181.74
710,38208.09,35347.58
641,37370.15,34975.51
166,38262.77,35903.1
400,37289.97,34360.11
894,36555.28,34171.32
671,38249.91,34602.07
979,36695.16,35910.03
436,40169.16,40680.5
489,35045.88,32752.78
706,43778.28,46373.25
794,37958.78,34809.96
427,37903.98,34974.17
61,37269.11,34794.03
84,37644.83,36421.71
307,38227.65,37796.56
680,37997.77,34959.95
445,36058.17,33172.36
973,37728.75,36385.94
727,43859.88,46556.27
697,38577.82,38369.1
808,38327.79,35142.92
939,36761.11,34474.05
382,37311.03,34528.58
245,36711.78,34762.86
880,38301.31,36455.46
346,38309.46,37235.27
615,38375.07,34894.76
402,44022.79,46742.17
408,37810.26,36872.35
901,36605.79,35057.94
406,36489.36,35110.16
991,37357.34,34487.53
618,33914.08,31068.49
396,36693.69,34271.95
972,38096.76,34682.96
355,44527.8,47805.88
54,35941.15,33709.05
548,37519.09,35771.32
558,38132.98,36777.94
838,37426.41,35335.93
279,35241.02,31865.5
607,35411.64,33954.92
696,34107.98,31782.52
414,34259.2,31924.94
190,37873.85,35041.93
447,44326.27,47426.32
181,36000.95,33146.62
169,22243.1,20319.89
646,35469.63,32893.07
910,34366.28,32683.29
252,37940.62,34933.38
542,36617.85,33847.38
936,38335.12,35170.89
707,36800.53,35369.07
448,38033.13,34912.86
524,35512.46,33105.55
59,38282.34,34958.01
585,36174.28,33701.8
64,38225.59,37117.42
529,34875.01,33541.58
874,36269.8,33537.07
393,34141.94,31361.93
841,36807.25,33826.7
594,37664.26,34623.86
313,39088.04,38825.78
271,37822.13,34562.79
541,39337.85,38121.45
492,37238.17,35210.66
392,34760.2,32935.77
290,38525.78,35566.55
683,36496.05,33970.87
600,36821.71,34360.01
983,36731.51,33726.24
345,38842.27,35049.27
892,34153.55,32304.37
421,35572.46,32355.29
788,38609.82,35524.89
186,37464.09,34139.12
264,39092.1,38029.36
418,38404.99,34884.27
718,34461.55,32924.88
89,37870.06,36495.0
262,36999.96,34369.69
649,38233.89,35300.8
37,39064.47,38640.64
748,37820.83,36515.4
209,36453.17,34850.5
360,38374.08,34869.51
760,33269.96,30886.39
481,36684.86,34693.69
184,36505.53,33479.99
326,34558.54,32584.12
790,37171.37,35096.21
762,38148.83,36589.75
940,36466.52,35042.0
422,33399.94,30819.51
660,38312.62,36972.51
562,39046.59,37716.28
951,35753.82,33593.0
34,38818.22,35008.84
834,37903.14,35318.93
366,38517.84,36741.71
5,36208.04,33348.79
515,38468.37,35371.75
518,38872.23,35108.61
949,37807.69,37077.92
916,38403.66,35518.98
772,38305.01,34792.91
624,37961.96,34845.93
164,37291.66,35859.71
741,38003.97,34670.76
465,36424.22,34779.15
370,35411.04,33702.18
818,37749.8,36290.03
984,37108.46,35320.63
604,37169.0,35040.84
988,36395.64,33616.52
873,38291.33,37304.28
