sid,area,power
117,166118.9,171262.73
717,166052.3,171217.98
325,166053.6,171015.02
599,166017.22,171048.06
166,155699.02,156391.77
671,166054.7,171019.11
400,166714.58,172253.67
436,166099.42,171109.61
894,166389.73,171588.33
710,164970.09,169879.44
669,156444.79,156881.56
979,163821.91,167575.47
706,166055.41,171019.56
794,165162.98,170104.14
427,166940.45,172868.11
641,156122.13,157606.66
680,166120.95,171281.06
727,166088.72,171288.59
307,166364.27,170906.86
489,164114.04,168202.62
61,166332.61,171824.92
697,165973.32,171019.95
445,165597.68,169945.06
939,165927.04,171033.86
402,166004.41,171018.59
973,165142.01,170173.84
84,156072.52,156825.19
245,166841.29,171077.8
808,166617.01,172025.69
880,166052.03,171212.7
615,166009.34,171012.67
346,165003.4,169810.88
382,164864.89,170218.25
901,164698.03,169611.67
408,156860.63,157853.98
355,165925.85,171001.3
54,165436.28,170235.34
396,165038.0,169903.52
618,166651.73,172246.48
406,164713.09,169565.42
972,166757.93,172081.81
548,165542.05,170422.53
414,166117.36,171271.27
447,165901.68,170992.64
991,167291.52,173550.91
646,166747.25,172046.25
607,155381.81,155448.19
558,165241.23,170279.44
181,154452.28,155364.88
279,155174.45,155115.38
190,166911.73,172831.61
838,163542.27,167548.22
696,164978.03,169485.81
936,166147.54,171265.91
252,166532.17,172166.69
542,166104.01,171262.81
524,168136.43,173332.08
910,165527.38,170342.14
64,155858.19,156510.94
585,165250.09,170073.12
169,165789.52,170163.09
707,165312.34,170255.06
59,166107.26,171222.53
448,166738.79,172322.34
393,166719.64,172325.42
841,166864.43,172762.48
313,155896.55,156580.33
874,165204.32,170015.78
271,166631.67,172479.86
594,166876.69,172896.91
541,155799.19,156708.48
392,165188.16,170005.53
529,166945.06,171220.47
290,166441.49,171674.39
345,165930.62,171052.08
788,166123.51,171232.3
186,166407.3,171768.09
983,166629.66,172456.58
492,167654.45,172729.61
600,165390.06,169938.3
421,165470.3,170198.41
892,164991.41,169504.23
683,166355.12,172052.34
89,165355.32,170748.23
418,166080.43,171244.12
264,164766.38,169874.77
649,166271.16,171977.66
360,166171.94,171264.19
262,164184.54,168175.34
718,166775.57,172008.0
326,164726.02,169599.69
37,165355.68,169979.62
748,166593.94,171375.7
184,166695.04,172547.22
760,166441.46,171125.14
209,165279.84,169816.67
481,165401.06,169488.28
422,164145.85,168237.91
951,164979.64,169839.78
34,166089.42,171296.98
790,165407.19,170205.52
762,165093.23,169171.86
940,164712.46,169657.47
518,165946.65,171002.23
834,166674.76,172409.36
660,165113.19,169927.83
562,155751.66,156583.16
366,164204.53,168578.09
5,166508.76,171956.36
515,166087.76,171284.02
772,165935.54,170971.89
916,166069.18,171433.28
741,166094.2,171223.52
164,164773.12,169879.91
370,165166.89,169964.5
949,165404.92,169861.64
984,167704.54,172791.59
604,155563.8,156372.47
873,164982.52,169880.22
465,165306.68,169944.84
818,164978.5,169977.05
988,166088.4,171508.7
624,166639.55,172485.03
525,165910.12,171004.52
162,166130.37,171293.72
487,166092.56,171263.44
71,165592.12,169969.33
777,165279.3,169834.06
300,164763.57,169864.5
132,165930.52,171036.64
666,166673.7,172505.41
362,164947.39,169009.62
237,165248.03,169716.64
145,165773.06,170575.36
238,165850.66,170663.25
658,164239.55,168631.33
667,164772.26,169689.91
453,165546.65,170170.8
19,167246.22,171956.59
216,164900.59,169730.0
565,165511.98,170269.36
621,154923.27,155592.97
428,154829.69,154654.36
573,166703.49,172020.7
312,166292.5,172010.38
86,166664.52,172512.94
970,166651.09,172237.08
644,166891.46,171182.72
505,165980.27,171023.58
410,164754.14,169858.78
446,166098.38,171224.05
107,166097.57,171282.75
527,164498.14,168744.09
606,166103.96,171266.16
327,166046.13,171066.89
457,157503.11,157135.2
206,164830.01,170035.92
240,166093.2,171278.05
628,165422.14,170230.0
975,166274.56,171624.86
