sid,area,power
717,1361.45,1299.03
894,1343.28,1264.0
671,1285.9,1208.98
166,1307.06,1243.83
400,1327.13,1265.6
710,1348.58,1274.29
979,1271.38,1214.45
669,1276.0,1215.79
117,1309.58,1233.4
325,1377.1,1283.94
641,1275.25,1229.11
599,1355.91,1277.1
427,1296.31,1222.61
489,1300.46,1232.1
436,1359.53,1275.8
706,1367.32,1267.52
794,1335.8,1265.6
61,1252.7,1198.9
84,1246.23,1195.66
727,1399.21,1315.01
445,1278.51,1218.26
973,1267.27,1204.02
680,1295.43,1225.95
307,1289.82,1206.0
245,1296.39,1234.07
808,1335.87,1274.44
346,1255.83,1181.85
382,1272.75,1217.52
408,1252.35,1191.41
697,1326.09,1249.71
402,1344.68,1265.12
880,1347.91,1277.42
939,1337.63,1258.5
901,1331.08,1247.8
991,1281.64,1220.17
615,1333.88,1257.03
972,1310.82,1253.3
406,1349.97,1281.22
618,1292.76,1221.82
54,1372.57,1300.0
396,1279.78,1214.05
838,1287.41,1229.33
548,1312.94,1250.06
355,1368.44,1276.62
558,1265.24,1202.85
279,1296.32,1236.66
414,1323.91,1249.0
607,1300.15,1231.71
696,1291.6,1227.29
181,1324.62,1252.95
646,1325.94,1260.85
190,1271.24,1202.23
707,1301.8,1247.88
169,1318.2,1282.75
447,1366.85,1279.76
524,1317.59,1256.46
252,1306.33,1239.75
910,1288.46,1229.5
936,1332.84,1252.07
542,1312.0,1239.78
529,1310.26,1251.87
585,1282.62,1191.85
59,1290.23,1225.96
874,1317.45,1243.14
448,1310.07,1246.69
64,1311.83,1234.09
841,1285.99,1215.46
393,1327.56,1247.42
313,1326.98,1255.36
271,1269.91,1199.97
594,1310.72,1246.18
541,1293.73,1217.96
290,1329.28,1263.83
492,1298.65,1229.38
392,1335.12,1260.17
421,1309.65,1248.47
683,1287.15,1225.32
345,1296.7,1216.89
983,1308.3,1253.39
600,1283.55,1214.76
186,1321.1,1266.46
892,1279.73,1206.5
788,1345.22,1272.5
718,1296.77,1242.16
89,1310.22,1239.56
418,1342.48,1271.67
649,1313.9,1245.37
264,1288.6,1204.89
262,1288.71,1222.22
209,1293.56,1212.34
37,1291.26,1225.62
748,1275.87,1202.9
481,1267.83,1194.54
360,1323.97,1253.04
760,1311.71,1239.81
326,1329.47,1246.89
184,1322.54,1244.63
422,1313.64,1253.12
762,1312.32,1261.44
940,1309.28,1259.29
951,1269.64,1197.65
790,1277.65,1196.29
562,1304.11,1223.52
34,1363.15,1286.7
834,1299.39,1231.94
5,1319.59,1246.51
660,1277.43,1210.64
366,1313.31,1237.45
518,1323.99,1244.06
949,1282.83,1220.22
916,1330.65,1261.64
515,1331.94,1246.2
772,1312.89,1242.95
465,1276.37,1232.69
164,1287.4,1239.93
818,1266.44,1203.72
741,1320.17,1247.95
604,1314.13,1243.18
624,1286.18,1206.04
370,1309.76,1247.11
71,1338.69,1286.28
984,1306.75,1241.67
873,1296.62,1206.79
988,1301.9,1247.5
362,1276.88,1203.3
777,1312.4,1236.92
525,1305.69,1236.07
487,1297.33,1213.26
145,1302.11,1239.61
162,1319.28,1220.55
300,1285.49,1216.38
237,1276.79,1213.93
238,1308.17,1228.48
666,1303.25,1240.99
453,1268.1,1193.9
132,1350.81,1273.2
658,1286.32,1218.42
621,1301.53,1244.3
667,1276.98,1213.61
527,1307.28,1244.79
428,1325.64,1270.13
216,1267.15,1186.94
573,1321.9,1246.89
19,1349.63,1280.17
312,1334.38,1266.0
86,1301.04,1237.66
565,1315.9,1242.56
644,1307.66,1240.94
970,1315.25,1264.92
363,1270.74,1219.23
107,1378.14,1305.23
505,1320.3,1239.62
410,1300.56,1236.25
628,1314.99,1248.03
446,1368.46,1299.86
980,1271.54,1213.91
206,1301.82,1253.12
457,1324.75,1240.99
975,1298.64,1232.83
606,1319.9,1231.97
911,1309.94,1229.25
974,1269.47,1215.26
327,1384.53,1302.92
240,1376.69,1309.89
123,1293.75,1224.41
147,1348.53,1256.82
918,1299.61,1222.25
497,1280.0,1227.88
905,1323.9,1248.2
224,1308.01,1235.72
434,1378.45,1306.72
334,1304.94,1243.54
15,1310.32,1241.39
922,1282.17,1215.93
832,1266.49,1193.81
771,1318.28,1223.41
498,1332.64,1241.7
958,1271.75,1195.68
775,1321.56,1268.41
990,1291.68,1230.09
333,1294.64,1237.62
593,1293.0,1218.39
336,1311.11,1236.33
960,1302.89,1234.33
509,1263.73,1208.83
851,1320.83,1265.92
533,1274.68,1208.06
862,1320.32,1246.89
904,1234.93,1164.53
906,1277.79,1219.86
283,1321.03,1243.29
567,1297.03,1231.38
695,1308.95,1234.64
343,1359.16,1282.48
90,1291.69,1231.71
699,1279.18,1210.8
102,1285.01,1213.62
678,1293.89,1233.01
485,1308.61,1237.91
849,1267.21,1217.61
372,1310.05,1247.58
475,1241.49,1176.39
473,1304.48,1242.53
879,1273.52,1214.75
320,1354.79,1280.2
60,1349.31,1279.47
872,1342.37,1258.09
861,1318.03,1242.21
555,1302.79,1238.49
211,1261.67,1188.15
291,1335.87,1254.77
369,1300.95,1220.12
13,1319.16,1222.41
25,1312.48,1231.37
797,1302.03,1228.57
168,1326.92,1260.39
837,1355.45,1268.93
796,1377.95,1320.0
754,1353.23,1293.52
109,1363.17,1294.44
500,1298.22,1232.27
430,1354.81,1304.93
474,1307.13,1238.1
749,1298.07,1240.76
611,1270.85,1208.75
351,1298.84,1218.24
928,1312.97,1238.43
595,1313.86,1242.99
352,1307.83,1223.07
69,1265.81,1203.49
867,1312.14,1240.63
0,1270.51,1200.55
36,1278.09,1210.92
494,1300.62,1240.28
705,1306.54,1247.77
813,1247.81,1183.7
276,1263.27,1183.9
46,1300.45,1233.3
229,1283.45,1236.28
144,1273.33,1208.84
310,1297.2,1222.31
137,1286.44,1215.43
915,1293.95,1227.46
342,1273.53,1207.21
776,1322.45,1274.25
610,1336.34,1268.82
519,1321.54,1266.95
296,1302.73,1234.3
941,1325.38,1249.48
367,1304.21,1238.59
226,1325.74,1221.87
134,1302.57,1250.2
885,1287.08,1223.29
545,1227.72,1156.89
148,1307.51,1239.47
161,1311.65,1248.28
304,1255.63,1200.82
745,1267.8,1213.95
551,1304.42,1254.4
415,1307.84,1242.8
185,1310.65,1241.67
100,1285.36,1217.77
694,1311.68,1239.16
214,1342.94,1270.6
113,1289.56,1225.93
780,1324.62,1240.76
444,1302.45,1232.52
43,1320.39,1236.29
722,1323.18,1249.96
926,1324.32,1264.26
281,1331.34,1239.8
588,1269.61,1205.36
232,1325.97,1248.86
495,1284.85,1220.9
364,1301.2,1232.48
827,1374.62,1288.5
514,1368.13,1285.53
496,1310.89,1245.17
140,1317.52,1262.11
423,1280.33,1200.3
198,1360.75,1291.14
897,1285.26,1218.14
703,1317.07,1233.4
670,1332.75,1224.57
200,1302.74,1240.72
996,1347.33,1277.8
141,1328.14,1254.55
274,1301.85,1237.23
459,1351.4,1293.79
103,1375.07,1290.33
739,1279.95,1218.66
260,1303.3,1236.38
623,1272.15,1221.92
114,1313.44,1238.33
965,1294.78,1230.5
44,1301.17,1231.66
721,1292.92,1223.5
709,1334.99,1255.63
961,1281.95,1210.67
690,1327.82,1256.89
52,1272.24,1212.07
284,1304.58,1249.67
942,1240.77,1188.77
824,1316.47,1249.36
385,1357.23,1280.9
27,1320.42,1241.27
863,1279.19,1205.55
952,1297.47,1227.13
464,1274.15,1201.92
516,1336.27,1290.4
395,1281.32,1220.09
616,1256.64,1208.09
815,1355.47,1280.24
244,1297.34,1247.99
75,1292.03,1235.06
439,1316.4,1257.1
640,1280.93,1227.0
547,1293.56,1240.85
914,1281.58,1210.36
688,1335.72,1244.68
79,1302.48,1224.05
898,1334.06,1251.85
716,1341.97,1242.78
467,1277.2,1200.34
50,1290.54,1216.12
167,1337.65,1261.01
309,1354.17,1278.72
662,1279.5,1228.33
285,1304.4,1230.42
472,1302.4,1225.99
116,1285.39,1206.82
66,1297.81,1210.09
42,1344.26,1276.86
752,1273.96,1214.48
389,1323.74,1247.42
479,1255.35,1185.07
959,1287.6,1209.28
508,1301.88,1233.65
672,1322.48,1242.42
597,1305.04,1221.7
919,1286.31,1221.66
253,1319.31,1256.26
907,1324.35,1255.77
449,1258.27,1195.48
49,1326.21,1265.46
21,1321.38,1266.22
189,1337.06,1256.03
478,1320.95,1237.89
239,1289.33,1228.09
943,1236.05,1181.57
68,1284.12,1227.34
929,1266.6,1217.41
589,1291.6,1226.46
193,1263.56,1202.46
380,1334.06,1263.93
633,1320.23,1255.61
82,1286.43,1215.98
217,1314.13,1238.34
512,1354.74,1271.04
468,1340.82,1259.26
159,1305.56,1249.65
878,1357.95,1292.91
17,1314.02,1226.64
839,1298.33,1232.13
10,1314.95,1257.52
411,1310.43,1237.04
738,1337.53,1282.53
111,1285.25,1206.66
152,1282.64,1226.68
802,1331.71,1257.82
803,1283.52,1220.61
270,1299.17,1200.22
3,1316.58,1250.26
685,1341.27,1282.47
373,1306.4,1248.17
561,1320.43,1242.06
568,1326.45,1247.57
903,1352.93,1292.97
868,1333.45,1250.52
452,1332.07,1270.73
390,1373.27,1285.17
31,1342.25,1254.48
530,1266.96,1206.15
381,1322.31,1249.17
648,1322.14,1247.23
976,1311.05,1231.87
947,1351.62,1293.08
93,1349.58,1296.48
659,1319.1,1253.7
835,1289.19,1221.04
560,1301.26,1243.2
321,1262.51,1203.78
783,1361.98,1282.02
143,1331.24,1257.7
998,1340.05,1275.27
653,1308.51,1237.14
288,1328.56,1247.32
511,1342.11,1282.12
11,1291.97,1225.69
282,1297.37,1233.2
865,1286.15,1216.91
643,1274.27,1220.45
85,1269.87,1205.49
331,1266.12,1212.95
504,1325.24,1231.83
442,1295.72,1240.71
877,1308.17,1230.29
170,1297.43,1230.32
629,1312.95,1244.47
805,1317.99,1231.39
572,1282.13,1220.78
311,1294.1,1231.64
556,1295.18,1238.56
73,1266.45,1200.58
935,1291.89,1219.0
8,1331.46,1223.43
323,1297.97,1220.58
896,1309.38,1245.47
932,1304.36,1251.59
365,1307.93,1230.33
520,1285.68,1219.1
750,1334.67,1273.1
502,1339.98,1256.77
663,1300.1,1224.57
70,1321.22,1253.49
766,1299.09,1242.64
963,1344.77,1261.47
83,1313.55,1251.38
388,1267.16,1198.54
275,1298.92,1222.6
330,1272.43,1199.16
221,1318.53,1252.46
210,1298.29,1230.42
265,1326.09,1246.54
174,1329.73,1245.53
598,1286.46,1212.26
219,1327.01,1271.12
531,1305.65,1241.4
893,1337.48,1275.14
842,1298.39,1235.76
962,1308.27,1233.03
441,1303.67,1219.21
433,1336.07,1271.27
566,1270.88,1217.66
564,1288.12,1201.87
895,1316.01,1257.4
580,1331.9,1236.49
887,1320.41,1249.75
213,1320.83,1263.62
118,1287.57,1232.57
921,1335.85,1241.69
2,1281.43,1218.84
647,1302.04,1232.77
348,1343.64,1262.09
197,1326.86,1249.65
712,1285.95,1236.64
733,1331.59,1254.78
759,1260.0,1203.34
470,1295.07,1226.42
927,1283.17,1230.47
344,1346.9,1265.87
969,1311.73,1248.46
179,1313.16,1255.07
807,1300.19,1244.85
668,1307.41,1242.01
522,1279.35,1228.0
176,1401.49,1296.79
665,1325.01,1252.59
995,1329.96,1262.12
153,1295.76,1233.62
692,1323.87,1254.17
106,1310.77,1250.97
435,1258.74,1195.13
225,1295.16,1236.43
757,1321.65,1247.74
735,1290.05,1243.63
125,1328.87,1247.95
765,1288.19,1230.44
583,1324.17,1264.75
484,1350.18,1276.65
989,1280.29,1217.77
968,1286.86,1217.67
993,1295.21,1237.07
482,1322.91,1260.21
726,1279.75,1202.08
720,1353.65,1259.1
676,1339.41,1274.45
821,1305.03,1249.96
592,1297.15,1217.27
99,1367.84,1308.68
112,1308.53,1214.13
829,1307.67,1228.33
638,1344.79,1266.97
268,1278.81,1214.58
80,1291.75,1208.99
261,1338.31,1280.33
596,1263.01,1195.57
650,1308.71,1240.29
645,1338.2,1258.76
280,1337.17,1269.84
477,1301.08,1223.88
823,1274.84,1210.47
203,1268.23,1206.99
78,1265.99,1204.57
319,1337.18,1254.06
461,1324.07,1241.34
301,1277.54,1207.7
816,1301.07,1241.92
864,1302.72,1224.66
