sid,area,power
671,663.54,684.4
117,670.77,691.49
717,676.72,696.13
325,682.56,715.37
894,663.5,692.01
166,641.53,662.19
669,665.99,690.47
641,655.74,682.9
979,646.59,706.62
400,653.0,692.89
710,655.88,680.85
599,684.94,710.29
427,646.7,696.15
436,683.94,712.46
489,645.8,694.02
706,678.12,704.83
680,659.28,680.15
61,656.52,702.78
84,651.14,670.09
794,666.51,689.45
973,636.91,670.88
307,658.57,707.22
727,667.6,699.87
445,644.0,685.49
808,674.96,698.76
402,665.64,696.51
939,664.95,694.87
245,681.33,724.03
382,658.21,694.7
697,669.6,694.76
880,676.7,687.12
346,645.82,675.63
901,658.62,676.46
408,638.13,688.28
991,653.4,683.06
615,660.04,684.81
406,663.29,687.15
548,663.96,672.96
618,658.57,691.96
972,684.0,708.03
396,640.36,664.85
54,653.98,669.68
355,677.02,709.55
558,625.46,668.82
838,665.45,688.92
607,639.8,685.33
279,630.49,681.39
414,669.24,682.05
447,676.99,709.08
696,655.84,687.9
181,637.56,677.75
910,653.08,683.12
646,648.07,685.48
169,647.87,689.08
252,665.11,703.53
542,662.26,683.63
707,634.79,692.82
190,629.35,675.63
936,659.55,687.01
524,673.82,710.03
529,660.16,712.25
64,641.43,680.03
393,676.21,715.87
585,641.71,658.17
448,656.36,685.06
59,659.79,666.39
874,672.17,677.72
594,662.92,692.44
541,644.3,683.04
841,644.44,686.77
313,651.88,691.74
271,662.72,698.99
392,660.95,674.79
600,643.16,682.17
492,666.13,722.27
290,664.19,682.91
186,647.83,684.52
892,656.84,676.52
683,643.33,682.41
983,661.04,687.04
421,630.94,674.55
345,675.48,699.66
788,688.99,714.87
718,659.55,687.92
264,672.46,698.32
748,658.91,719.1
262,647.3,685.44
89,680.17,698.36
37,670.04,716.06
418,658.93,672.19
649,656.13,697.52
360,670.77,688.24
481,632.56,695.03
209,653.97,682.44
760,662.03,719.67
326,667.95,686.57
184,660.8,698.9
940,663.64,679.77
762,656.72,711.91
5,681.25,709.04
422,664.61,695.36
660,675.64,702.64
951,658.71,683.63
834,660.85,701.35
790,653.92,680.68
34,670.05,693.17
562,658.88,702.09
366,674.14,685.32
518,678.61,707.77
515,671.59,686.19
465,673.47,693.61
772,669.28,690.08
949,673.9,711.65
916,668.97,699.25
741,674.91,699.79
818,633.05,681.69
164,685.38,712.14
624,665.84,700.85
604,658.17,673.11
370,676.29,692.92
71,673.32,693.72
984,669.8,719.17
988,634.18,686.9
873,637.26,660.25
777,629.11,686.48
525,672.43,702.32
362,654.95,688.25
487,672.03,707.28
162,676.56,692.13
237,647.21,680.82
145,666.22,702.53
300,664.52,688.74
238,635.25,691.87
453,655.9,677.67
658,677.33,690.25
666,669.4,691.7
132,672.31,687.34
428,623.58,690.49
667,648.84,673.6
621,639.37,701.17
216,646.64,677.36
527,654.36,679.19
573,632.77,675.01
19,715.05,750.73
312,643.32,685.99
86,664.09,694.99
644,657.8,715.68
565,649.61,680.59
363,656.52,703.52
505,670.12,701.38
970,664.88,699.97
410,659.69,681.68
107,690.26,726.2
980,668.88,692.63
446,692.4,719.26
628,650.48,680.46
206,656.79,673.73
606,674.97,696.14
457,661.92,725.97
975,625.48,672.32
974,661.07,690.92
147,682.75,694.14
123,659.86,686.61
918,649.38,676.86
327,694.73,726.92
240,671.84,701.9
911,652.65,700.75
497,643.34,670.59
224,653.8,679.66
905,673.94,693.37
434,677.55,689.6
334,663.51,690.19
922,638.73,669.39
15,658.95,674.22
498,676.89,701.5
771,672.62,697.17
958,641.35,694.09
832,645.6,684.54
990,671.14,694.4
775,663.46,701.51
593,627.62,663.78
333,657.32,694.15
533,650.95,693.36
336,663.59,687.34
960,660.11,689.42
904,664.66,693.44
862,667.99,693.88
283,668.44,692.04
509,644.81,691.92
851,656.06,697.69
906,654.26,691.68
567,671.44,693.88
695,672.6,697.4
343,671.46,699.67
678,633.82,681.25
90,682.86,723.85
699,654.24,692.3
475,640.39,679.15
849,663.16,700.19
485,634.87,658.28
102,664.24,689.89
372,646.14,709.98
879,671.16,690.43
473,636.47,681.12
60,669.51,701.13
320,670.94,694.21
555,634.03,673.69
872,676.75,702.83
861,641.67,688.68
211,643.02,678.72
291,670.38,699.71
25,649.8,694.95
797,676.16,696.45
13,670.08,691.07
168,665.15,688.75
369,659.68,680.48
796,671.99,699.72
754,668.89,679.78
500,671.29,705.36
837,670.39,701.73
109,672.24,695.5
430,657.93,705.19
749,644.85,685.41
611,659.75,701.11
928,639.79,679.88
351,649.61,715.24
474,636.0,670.28
352,694.34,727.93
595,650.76,690.56
867,692.3,707.61
36,645.92,674.78
0,650.52,687.51
69,652.45,663.2
494,657.78,681.35
276,655.1,677.18
705,669.41,718.53
229,677.07,703.86
813,647.85,690.17
46,669.86,711.74
137,654.44,698.26
144,625.62,668.6
610,633.96,687.12
310,623.25,673.77
342,662.92,702.94
519,629.71,681.02
776,667.29,720.16
915,661.19,688.03
941,667.67,701.7
367,655.53,684.47
296,642.85,676.02
226,671.29,688.22
134,658.13,693.83
