sid,area,power
117,164729.01,170777.44
400,157120.47,171670.86
669,159085.07,168774.7
979,158311.56,171787.38
166,161225.96,174651.59
717,166651.11,172707.75
894,163193.55,176806.59
325,162968.8,174930.58
599,163296.3,175686.75
671,162574.38,174695.03
710,162976.87,177716.64
641,159319.38,170545.47
436,163397.62,175674.41
489,157493.02,172439.44
427,157686.53,172160.09
445,157590.62,172506.91
84,158258.51,167530.55
794,162471.29,175686.48
61,157107.52,170227.05
307,158796.88,173564.83
680,162525.39,176861.34
973,157316.79,171987.88
706,163295.7,176903.88
727,163518.8,177143.94
382,158608.35,172278.64
697,161865.73,174455.7
245,157071.66,171385.48
808,162208.26,175346.91
346,158621.52,173504.45
880,165965.37,172181.72
408,157896.87,171984.69
939,162425.63,175300.33
991,159378.45,168851.88
402,163143.26,175195.28
615,162930.15,175058.78
901,162716.03,176123.52
406,162569.23,175885.84
972,158950.91,168284.38
618,155395.89,168928.38
355,162478.55,175056.44
396,162019.39,175676.8
54,162099.86,175806.14
548,160488.79,170355.41
558,157862.92,171259.11
607,156975.31,172095.27
838,156650.62,171538.06
414,163162.99,176999.67
279,157724.02,170977.28
696,153858.03,167219.02
190,158200.19,173281.12
181,161992.88,175610.56
169,157489.99,170675.94
646,162304.04,175842.67
447,162553.41,175142.12
910,158698.38,173116.61
524,158917.09,173792.83
707,158056.32,173053.98
252,159217.42,168725.12
936,161897.67,173993.11
542,162101.99,174254.95
529,157541.61,172166.05
448,157797.63,172550.45
64,162490.9,175501.02
585,160902.71,174371.33
59,161705.55,175625.67
393,155241.76,168633.61
841,156713.0,171165.92
874,162715.52,176192.3
271,158357.33,167720.47
313,161994.09,177069.5
594,155202.84,168351.44
541,161341.75,174717.59
492,158311.71,173080.14
290,162951.16,176490.27
392,163071.83,176625.7
421,157492.94,172492.45
683,157993.35,171205.44
600,161374.2,175115.73
186,156868.08,171574.62
983,158158.37,167456.17
345,162208.23,175009.09
892,162638.62,176162.8
718,159521.22,170883.59
788,165028.24,170799.52
649,161243.61,176186.59
264,158582.36,167940.16
89,157881.82,167008.55
262,159338.02,169572.36
418,162463.65,176455.06
748,157842.16,172890.08
209,156447.9,171397.12
37,161432.26,174688.66
760,157412.63,172184.84
481,160634.11,175428.06
360,162396.61,174491.84
326,162769.23,175160.14
422,159154.99,169283.45
184,159070.58,168550.62
762,161664.46,174608.48
951,161406.59,176250.89
940,163043.72,176652.11
790,162905.65,178271.75
34,162752.82,174928.78
660,158121.98,167365.95
834,157238.26,171792.84
5,158586.78,173120.88
562,161929.74,175477.2
366,158171.06,167737.77
518,162137.42,174882.31
949,158205.67,173410.81
916,161671.08,175552.03
515,161932.75,175481.0
772,161474.75,174016.52
164,158640.63,167940.98
465,158011.77,167473.06
818,157161.44,170369.44
741,165531.76,171814.69
370,158804.05,168008.59
624,158296.63,172791.25
604,161821.74,175185.56
984,157947.81,172614.8
71,162282.05,175079.12
873,162435.48,176102.84
988,157889.53,172723.62
525,162368.69,175242.39
487,162599.8,175432.95
362,162446.96,176509.33
162,162705.92,174891.31
777,161552.87,175197.16
145,161897.81,176007.25
237,157987.43,172840.95
300,158479.66,167860.81
238,161327.94,174997.66
666,160896.34,172809.53
132,162331.95,175374.17
453,158228.63,167929.67
428,161297.13,174866.98
621,161219.98,174911.39
658,160087.37,172048.83
667,162691.95,176198.59
19,165630.31,171320.47
216,158892.8,173794.7
527,162777.46,175180.81
573,162960.42,178331.17
312,161238.98,174962.0
565,161963.59,175365.48
86,158296.83,167534.08
644,157792.12,172574.83
363,158645.55,173555.17
410,159039.73,168448.17
970,155134.05,168619.19
505,163347.54,176172.64
107,162974.06,177242.72
446,166261.2,172139.3
628,162324.17,177377.95
980,159474.95,171288.31
206,160922.07,174038.45
457,158147.53,172945.59
606,163125.47,177385.03
974,158138.19,173212.62
975,156818.65,171514.83
911,158198.22,172648.94
327,163079.04,175380.22
123,156752.74,171089.38
240,163286.7,175630.75
147,162780.53,176557.0
497,159415.94,169055.66
224,160328.48,173359.45
918,162474.03,176279.28
905,163104.02,176912.12
434,165958.68,172192.58
334,155244.88,168698.27
498,165085.79,171119.83
922,157591.23,170997.45
832,156735.34,171840.17
771,165620.72,171894.2
15,162652.93,176266.95
775,162209.24,175775.22
990,158902.61,168381.3
958,157269.03,170405.45
593,161510.33,174970.05
333,162890.39,176289.88
336,159025.87,168474.48
960,159541.77,171177.8
904,158763.37,168419.73
862,162547.99,175301.91
533,157092.4,170070.86
851,161369.37,175963.53
509,157458.9,170211.5
567,162658.98,176336.58
283,162646.88,175262.66
695,165732.55,171928.98
343,163501.77,177156.28
906,160416.91,173746.92
699,158639.7,168151.66
90,157367.21,171952.17
678,157846.32,173027.94
102,157090.54,171456.56
849,158051.58,167500.44
485,162105.16,175778.08
475,158207.73,171969.83
372,157297.24,172079.56
473,157314.96,172334.95
320,162161.02,174696.77
60,161976.77,177071.7
879,158760.87,170475.06
872,163857.24,177744.66
291,161903.39,174347.86
861,162920.37,177681.94
25,157669.25,172110.89
211,156820.91,171760.31
555,161331.15,176225.83
13,166880.03,173305.31
369,161937.91,174261.3
168,164200.88,177946.23
797,158985.98,168454.69
837,162128.69,174705.56
754,162881.04,176777.45
109,163680.69,176523.48
500,162663.43,176280.52
796,162518.68,174797.41
430,162248.83,177263.58
749,157886.53,171236.69
611,160168.98,173832.94
928,161377.69,175205.98
351,158202.45,173090.84
474,160762.32,174108.84
352,157721.7,172375.88
867,158375.22,167602.78
0,157965.38,172654.86
595,161722.72,175469.92
494,159412.9,170228.2
36,161133.5,174349.61
69,158042.32,167226.09
705,157065.12,171621.72
813,157597.36,172644.94
46,157865.78,171361.73
276,160467.37,172374.83
229,157696.54,171745.83
144,162502.7,176380.89
310,157471.12,172165.92
137,158383.53,173100.09
