sid,area,power
641,1048.29,615.91
166,1099.63,706.28
979,1044.6,643.62
669,1114.58,741.67
671,1209.15,782.2
894,1026.25,616.16
717,1100.45,672.2
400,1119.36,695.35
117,1100.52,694.86
710,1113.0,670.05
599,1130.56,711.44
325,1211.61,706.69
706,1195.15,713.87
489,1110.47,673.0
436,1128.69,704.08
84,1109.23,594.82
427,1104.4,678.4
727,1166.21,781.41
61,1065.56,650.95
794,1137.0,705.75
680,1132.94,729.27
973,1140.63,643.22
445,1035.61,643.39
307,1148.34,634.75
697,1130.95,738.89
382,1021.83,610.88
808,1117.92,695.1
245,1101.65,649.45
408,1112.92,603.14
880,1060.3,692.77
402,1217.17,715.12
939,1084.48,683.16
991,1075.13,655.29
615,1180.63,752.85
346,1151.08,643.49
901,1184.36,675.59
972,1148.62,750.53
406,1111.36,721.61
548,1180.64,709.67
396,1094.77,700.2
618,1072.83,643.97
54,1117.94,670.93
558,1088.05,573.15
355,1188.19,775.85
838,1095.36,676.74
607,1091.6,576.76
414,1075.26,655.5
279,1110.15,635.01
181,1093.87,692.5
696,1127.13,675.55
646,1082.9,695.6
447,1180.38,772.34
169,1059.29,632.14
190,1073.5,665.41
910,1062.48,683.41
707,1104.09,679.87
252,1087.41,689.95
936,1121.27,676.35
542,1167.72,743.39
524,1049.93,648.52
64,1174.88,797.83
529,1078.33,700.14
585,1088.45,666.63
59,1128.69,719.7
393,1085.69,682.31
448,1122.51,711.17
841,1072.71,670.63
874,1127.22,609.46
594,1095.79,684.41
313,1143.51,739.18
271,1074.08,681.43
541,1173.36,660.39
290,1104.75,681.73
392,1121.41,682.38
492,1074.91,645.12
683,1089.85,672.62
600,1128.03,697.64
421,1062.98,636.19
345,1113.59,737.26
892,1184.32,681.18
983,1085.63,649.86
718,1088.76,664.79
186,1124.18,682.92
788,1126.29,724.53
89,1079.33,689.39
264,1174.87,684.52
649,1065.6,701.06
418,1095.03,704.55
262,1012.16,597.43
37,1103.5,744.21
209,1072.09,688.35
760,1068.93,613.77
748,1074.5,632.33
481,1159.1,676.86
360,1109.47,698.26
326,1101.12,672.2
184,1134.2,708.0
951,1155.46,668.96
762,1152.75,754.16
422,1143.47,729.23
940,1092.94,711.36
790,1143.26,642.32
562,1202.03,710.38
834,1081.82,711.87
34,1141.54,750.2
660,1146.25,634.46
518,1093.93,714.78
366,1174.55,685.5
5,1146.6,717.08
515,1200.64,690.89
818,1077.54,661.74
916,1136.23,699.45
465,1078.14,660.5
772,1070.6,693.57
949,1035.86,644.89
741,1124.68,707.31
164,1092.54,712.59
604,1195.83,713.38
624,1128.94,689.89
370,1087.75,664.83
984,1133.41,700.82
71,1155.9,771.28
873,1130.87,629.19
525,1119.16,721.17
988,1096.82,671.25
777,1207.18,720.81
487,1107.87,690.18
362,1153.99,673.74
162,1171.52,662.04
145,1149.15,718.36
237,1138.04,641.38
238,1157.78,666.22
300,1143.58,613.28
666,1098.88,711.66
453,1137.61,643.55
132,1130.0,740.47
621,1137.09,692.0
658,1184.1,706.57
527,1186.74,718.27
428,1077.45,709.52
667,1089.21,669.58
216,1164.99,659.09
573,1144.75,743.05
312,1115.57,715.73
19,1096.1,726.74
565,1123.29,728.66
86,1063.57,671.62
410,1091.67,708.44
363,1072.29,641.46
107,1129.36,760.38
644,1117.56,603.07
505,1097.61,730.78
970,1117.34,681.67
446,1146.32,723.89
628,1178.71,683.58
980,1046.77,665.5
206,1082.69,683.01
457,1038.51,671.71
606,1045.44,685.21
975,1102.31,720.31
240,1118.02,703.2
974,1091.1,675.64
911,1111.01,722.62
123,1088.58,668.39
327,1131.3,731.81
497,1050.94,587.2
147,1130.53,718.82
918,1171.56,676.81
905,1118.62,673.88
224,1199.27,704.33
922,1086.63,679.61
434,1110.76,697.74
498,1155.07,643.2
832,1126.59,632.13
771,1154.35,656.43
334,1075.03,638.72
15,1112.63,711.19
775,1094.94,673.81
958,1121.93,617.01
990,1078.25,671.37
333,1100.28,686.6
960,1100.91,701.53
336,1116.84,720.46
593,1127.7,621.26
851,1077.55,699.43
904,1068.88,648.74
862,1132.36,731.55
533,1131.83,631.03
509,1048.35,627.32
906,1145.0,715.31
283,1090.95,667.11
567,1090.38,714.02
343,1121.71,721.85
695,1127.57,703.08
90,1088.53,679.15
678,1066.54,700.65
699,1105.42,673.28
849,1060.23,673.83
102,1088.41,674.2
485,1117.28,697.19
475,1119.3,622.0
473,1067.73,685.11
372,1067.47,675.11
879,1118.91,622.67
60,1151.08,737.17
320,1154.06,715.8
872,1120.45,717.04
861,1158.63,744.43
555,1171.57,677.08
25,1129.16,739.15
211,1125.09,628.97
291,1113.98,725.86
13,1153.78,649.06
369,1189.67,707.17
168,1089.6,731.63
797,1155.57,662.18
796,1077.6,680.75
754,1105.42,730.06
837,1137.27,722.41
430,1099.52,757.16
500,1085.02,698.42
109,1091.28,688.41
474,1045.72,665.67
928,1099.18,659.11
611,1127.94,711.69
749,1121.39,685.08
351,1065.44,682.67
595,1155.88,653.55
352,1124.06,743.54
867,1075.44,664.42
69,1126.18,649.78
36,1148.31,731.72
0,1104.2,687.5
494,1092.7,686.85
705,1042.43,627.95
276,1157.12,671.25
46,1048.73,650.06
813,1089.77,558.29
229,1082.05,662.79
144,1086.07,670.57
137,1091.33,679.64
310,1044.74,613.77
610,1084.3,688.83
519,1148.16,729.2
342,1141.69,645.07
915,1076.13,688.97
776,1077.53,662.01
367,1060.21,674.38
296,1080.55,650.16
941,1125.74,704.77
134,1101.96,735.84
226,1167.24,672.89
885,1068.2,639.66
545,1090.74,566.31
161,1113.57,698.2
148,1084.66,681.69
415,1040.32,653.77
551,1053.39,692.03
745,1099.69,601.74
304,1138.1,644.56
185,1146.06,722.68
100,1073.34,639.62
694,1054.29,606.12
214,1094.95,699.42
113,1124.28,670.33
43,1088.86,644.48
926,1157.24,743.12
780,1132.72,689.16
444,1149.3,734.42
588,1075.44,657.81
232,1093.46,710.31
722,1113.06,706.72
827,1237.18,740.38
281,1158.28,647.4
495,1080.18,681.04
364,1100.31,696.12
496,1086.45,671.66
514,1134.29,710.14
897,1112.11,728.15
423,1174.73,652.68
140,1097.49,678.13
703,1090.89,691.2
198,1145.26,728.61
996,1164.13,735.42
200,1109.01,690.67
274,1101.68,692.25
670,1156.19,664.75
141,1206.67,707.38
103,1185.28,736.58
459,1091.47,680.37
739,1144.33,743.09
114,1063.58,700.86
623,1088.69,714.1
965,1097.13,640.45
260,1066.55,660.15
721,1217.84,724.43
44,1083.81,712.45
709,1109.73,716.56
690,1146.55,742.34
961,1157.77,662.23
942,1067.13,682.44
284,1102.92,666.41
52,1100.87,595.52
824,1081.89,735.58
385,1097.55,667.04
27,1123.98,708.25
952,1077.59,695.32
863,1114.36,676.11
464,1133.9,629.56
516,1123.23,761.86
395,1098.61,656.59
616,1020.56,606.95
815,1115.77,759.45
640,1045.17,655.57
244,1104.7,691.77
547,1037.72,667.09
439,1085.82,667.78
