sid,area,power
117,19981.61,17753.54
400,19548.66,17268.32
166,19577.16,17397.63
669,19473.65,17109.18
979,19771.7,17688.89
717,20078.61,18003.73
894,19452.24,17201.88
325,19767.63,17721.88
599,19810.99,17697.17
710,19816.74,17779.07
641,19692.04,17689.52
671,19947.76,17912.51
436,19839.08,17735.72
489,19539.82,17243.99
427,19538.46,17237.12
794,19343.56,16957.02
307,19560.32,17526.92
61,20219.27,18254.02
445,19706.41,17436.22
680,20071.79,17910.62
706,20009.04,17914.16
84,19313.85,16869.91
973,20047.76,17857.72
727,19977.1,17900.45
382,20042.42,18170.54
697,20013.73,17827.79
808,19738.86,17615.89
245,19951.68,17780.12
346,19499.49,17480.42
408,19972.55,17721.67
939,20022.51,17804.44
402,19848.48,17732.24
880,19984.1,17804.96
901,19241.98,16727.9
991,19517.25,17264.28
615,19943.4,17884.42
406,19465.31,17189.6
618,19646.21,17322.05
972,19601.06,17401.77
396,19757.33,17626.03
548,19316.21,16818.19
54,19914.8,17856.98
355,20208.56,18108.17
414,19822.32,17678.07
279,19700.71,17478.67
838,19687.03,17410.38
558,19975.89,17755.44
607,19740.0,17556.88
646,19884.69,17875.6
190,19679.85,17360.72
181,19776.69,17626.44
696,19673.95,17397.16
447,20202.31,18103.25
910,20127.87,18017.4
524,20059.46,18015.21
252,19418.76,16928.89
169,20228.84,18325.86
707,19801.23,17794.03
936,20031.13,18020.11
542,19933.98,17850.02
64,19798.21,17757.3
585,19459.09,17089.53
448,19525.31,17261.49
393,19554.19,17247.74
529,20958.15,19187.97
841,19584.45,17284.48
59,20188.83,18098.12
313,19907.1,17679.78
874,19324.54,16877.24
594,19519.72,17262.19
271,19294.75,16826.18
541,19532.97,17269.84
392,19514.97,17260.15
290,19420.06,16954.41
600,20457.16,18426.53
492,19941.97,17803.09
683,20362.37,18355.78
892,19518.09,17288.47
186,19738.74,17565.07
983,19365.93,16870.1
421,19694.88,17412.75
345,20041.03,17872.35
718,19814.63,17734.15
788,20000.08,17771.75
264,19135.18,16561.94
262,19581.65,17225.2
649,19523.42,17233.7
89,19362.55,17028.16
418,20111.55,17998.42
37,20687.27,18635.66
209,20187.1,18160.13
748,19706.97,17638.96
760,19587.06,17371.26
360,19761.38,17603.02
326,19544.62,17219.03
481,19682.42,17605.11
422,19563.67,17179.01
184,19357.53,16843.6
762,20612.09,18472.56
790,19833.38,17639.5
940,19516.66,17264.95
34,19883.37,17771.07
660,19194.36,16625.5
951,20083.1,18056.62
834,19657.59,17446.46
5,19608.32,17210.83
562,19633.48,17370.84
366,19309.61,16794.04
518,20078.97,17925.54
949,20684.6,18587.37
164,19571.32,17370.69
916,19595.02,17320.66
515,19687.31,17556.17
772,20047.87,17795.06
370,19583.43,17383.65
818,20171.09,18178.75
465,19929.26,17941.79
741,19974.63,17861.61
624,19587.88,17232.37
604,19883.24,17761.76
984,19933.25,17839.02
873,19794.93,17552.69
988,19601.45,17231.95
487,19981.63,17800.51
525,20024.55,17857.49
71,20051.1,18087.42
162,19840.19,17777.67
362,19407.89,17018.6
777,20052.68,18070.0
145,19661.42,17454.99
237,19955.56,17906.16
300,19218.73,16758.72
238,19541.99,17306.83
666,19418.98,16890.48
453,19471.08,17110.26
428,19874.85,17767.94
132,20072.21,17895.9
667,19313.95,16875.86
658,19219.52,16781.18
19,20082.37,17938.09
621,20326.67,18405.69
216,19397.1,17319.12
527,19665.34,17571.47
312,19689.17,17526.96
573,19828.23,17649.38
565,19752.04,17593.86
86,19427.24,16878.27
644,19896.25,17729.38
970,19608.38,17292.53
107,20094.39,17956.01
410,19540.09,17364.79
505,20130.55,18004.02
363,20480.36,18524.69
446,20080.82,17930.55
628,19793.01,17542.05
457,20095.93,18252.78
980,19453.01,17127.98
206,19445.93,17141.95
606,20021.77,17812.88
911,19643.5,17279.57
975,19795.89,17694.17
327,20032.73,17951.13
974,19711.15,17610.5
123,19581.1,17278.66
240,19782.38,17671.71
147,19818.47,17596.18
224,19797.8,17648.91
918,19465.67,17210.15
905,19942.82,17829.3
497,19423.83,16986.79
434,20139.86,18029.41
334,19609.64,17318.51
922,20221.87,18203.53
498,19716.73,17899.71
15,19970.19,17831.86
832,19752.76,17571.28
771,19754.62,17946.1
775,19429.28,16949.48
990,19532.35,17281.69
333,20014.03,17905.28
958,19856.36,17660.7
336,19548.36,17269.6
593,20554.06,18574.71
960,19347.56,16863.99
862,20062.46,17870.75
851,19453.18,17036.99
904,19810.19,17846.12
533,19860.56,17695.2
509,19496.29,17192.8
283,20107.84,17970.88
906,19600.95,17370.84
695,19974.15,17790.78
90,19821.91,17816.05
567,19936.1,17795.47
699,19463.78,16971.43
343,19951.31,17890.43
102,19584.32,17316.84
678,20269.1,18314.97
485,19868.06,17717.09
849,19800.49,17568.41
372,20732.08,18840.54
473,19842.05,17866.54
475,19879.94,17829.19
320,20126.64,18022.54
60,20022.36,17796.94
879,19231.37,16755.78
872,19963.16,17883.51
861,19978.51,17897.04
291,20003.29,17828.13
25,19806.18,17754.61
13,19699.35,17774.96
555,20136.26,18106.96
211,19752.76,17571.28
369,19312.85,16787.42
168,19513.46,17131.97
837,19951.45,17802.8
797,19253.69,16729.59
754,20010.18,17831.97
109,20076.1,17950.39
500,19720.13,17530.91
796,19453.25,17242.49
430,19959.6,17992.32
749,19741.52,17505.23
474,19766.7,17642.49
611,19588.33,17264.37
928,20501.53,18419.39
351,19933.03,17835.51
352,19626.27,17432.48
867,19570.83,17376.33
0,19574.61,17251.27
595,19708.4,17536.89
69,19229.49,16736.09
36,19615.39,17391.67
494,19684.58,17634.71
705,20255.3,18314.48
46,19567.04,17242.66
229,19554.05,17211.73
276,19166.75,16606.89
813,19732.6,17561.71
144,20282.55,18398.25
137,19578.7,17259.03
310,19694.53,17371.16
610,20085.98,18237.15
776,19828.95,17696.82
342,19783.39,17617.89
519,19561.12,17240.54
296,19748.2,17625.1
915,19783.7,17736.75
134,19675.88,17465.53
367,19908.27,17796.88
941,19783.18,17605.6
226,19763.18,17667.82
885,19634.87,17318.72
161,19596.91,17228.22
545,19709.89,17306.89
148,19589.46,17223.72
304,19705.99,17530.66
745,20030.1,17812.17
415,19706.71,17444.44
214,20053.81,17842.97
185,19543.98,17326.02
551,20787.73,19228.88
100,20360.19,18234.35
694,19710.5,17686.96
113,19962.23,17866.94
780,20173.9,18045.09
43,19829.61,17717.77
926,19715.47,17540.45
444,19768.89,17622.16
281,19727.78,17896.72
722,19864.83,17674.18
588,19331.94,16814.54
232,19943.24,17814.56
496,19981.18,17934.81
495,20798.96,18913.58
364,19555.4,17310.03
423,19860.21,17669.84
827,19733.15,17635.63
140,19515.34,17261.17
514,19732.43,17599.49
198,19583.43,17321.4
897,19887.76,17889.66
670,19833.18,17950.32
703,19849.8,17678.4
200,19578.45,17369.24
996,20056.27,17944.71
141,19273.44,16802.11
274,19840.05,17723.41
459,19595.54,17448.22
260,19591.52,17408.83
103,20188.41,18133.63
623,19692.99,17413.01
739,19798.55,17767.78
114,20018.84,17823.75
965,19475.93,17220.54
709,19946.17,18015.24
44,20160.36,18226.19
721,19258.35,16821.67
961,19331.04,16815.58
690,20014.99,17832.56
284,19561.47,17256.05
52,19907.37,17850.92
942,19393.76,17004.09
824,19558.74,17326.64
27,19683.21,17443.99
385,20013.42,17872.71
863,19570.68,17296.94
952,19351.75,16881.36
516,19441.49,17264.53
464,19516.14,17202.91
616,19442.9,17155.97
395,19731.49,17695.13
244,19738.19,17528.08
815,20040.04,18023.39
439,19554.52,17438.43
75,19833.22,17713.08
640,20205.13,18526.25
547,19998.47,18073.57
688,19700.51,17583.06
914,19718.31,17720.35
898,19512.22,17263.5
79,19214.45,16686.94
167,20064.14,17874.73
50,19929.22,17828.71
716,19733.58,17813.45
467,19165.67,16590.74
309,20125.96,17958.19
285,19793.57,17587.59
116,19814.54,17684.87
472,19520.03,17220.47
662,19524.19,17205.49
42,19823.25,17776.7
66,19971.25,17818.8
752,19843.84,17842.98
389,19630.81,17284.06
959,19443.9,16928.29
479,19222.26,16713.45
597,19909.04,17884.15
508,20641.45,18591.19
672,19326.84,16881.79
907,19829.31,17596.17
919,19481.95,17161.31
253,19687.79,17554.93
189,19970.71,17739.78
449,19226.1,16773.16
49,19925.68,17822.22
21,19364.63,16961.69
478,19805.93,17754.59
239,19745.15,17539.25
68,19455.04,17189.2
929,19691.44,17635.7
589,19818.52,17815.36
943,20010.69,18003.35
193,19366.17,17318.82
633,19835.12,17711.64
217,19251.0,16765.58
380,20055.26,17863.18
512,19916.98,17838.99
82,19547.58,17197.63
468,19911.18,17768.6
878,19597.98,17292.29
17,19837.79,17646.66
159,19822.27,17799.4
411,19476.46,16999.23
839,19293.77,16820.04
10,19662.26,17396.4
738,19419.08,17065.74
111,19783.14,17574.84
152,20230.72,18158.75
802,19475.53,17231.9
270,19727.0,17592.59
373,19517.82,17268.83
803,19611.7,17329.55
3,20109.28,18033.38
568,20049.11,17826.37
903,19574.58,17351.1
685,20113.34,18102.16
561,19386.79,17118.97
868,20487.14,18455.66
452,20011.69,17886.46
31,19860.74,17697.27
390,19770.44,17662.84
530,19528.05,17236.82
659,19975.97,17966.9
381,19920.22,17904.54
93,19736.74,17542.7
