sid,area,power
671,2336.33,2981.32
400,2385.87,3104.13
166,2033.93,2661.17
894,2434.0,3143.94
717,2251.05,2914.01
669,2298.28,2924.47
117,2248.15,2911.62
979,2232.49,2916.63
599,2315.15,2991.4
710,2216.11,2825.24
641,2258.34,2881.18
325,2182.92,2841.46
436,2336.33,2981.32
489,2236.47,2920.97
427,2386.64,3103.76
794,2290.45,2963.49
706,2071.52,2718.81
61,1992.95,2600.15
445,2427.55,3163.71
680,2244.06,2911.13
727,2149.11,2811.66
84,2043.58,2629.04
307,2214.06,2808.21
973,2205.92,2836.33
382,2205.55,2899.39
939,2255.38,2944.94
808,2319.5,3042.59
245,2423.9,3165.55
697,2280.41,2953.07
880,2251.05,2914.01
402,2183.12,2835.57
615,2336.33,2981.32
346,2214.06,2808.21
408,2192.6,2852.56
991,2163.67,2845.88
901,2181.2,2841.75
406,2212.4,2866.23
972,2179.35,2828.7
54,1997.93,2637.23
355,2287.56,2961.33
618,2096.89,2733.91
396,1997.93,2637.23
548,2025.12,2651.04
414,2215.62,2891.24
838,2217.86,2902.88
279,2352.98,2982.29
558,2002.38,2644.26
607,2214.55,2840.58
696,2640.44,3362.26
181,2124.16,2826.12
447,2287.56,2961.33
190,2381.68,3099.94
646,2075.4,2770.41
169,2305.1,2977.67
910,2158.74,2796.11
707,2243.69,2861.91
936,2336.33,2981.32
252,2205.69,2857.39
542,2243.89,2894.01
524,2344.49,3048.32
529,2056.29,2711.47
64,2465.13,3138.26
585,1997.93,2637.23
448,2383.27,3100.55
874,2153.64,2788.33
841,2386.38,3104.13
59,2244.06,2911.13
393,2103.3,2742.28
271,2213.05,2861.39
594,2239.47,2872.75
313,2209.97,2809.4
541,2067.19,2723.26
290,2233.06,2907.62
492,2262.25,2966.05
392,2227.59,2905.31
683,1965.56,2567.81
421,2462.86,3205.89
600,2277.65,2926.12
983,2104.25,2755.27
345,2280.41,2953.07
186,2382.75,3101.67
788,2248.15,2911.62
718,2405.14,3074.23
892,1964.13,2539.52
264,2003.89,2629.02
89,2049.4,2680.83
649,2409.59,3137.08
418,2244.06,2911.13
262,2298.79,2925.59
360,2336.33,2981.32
760,2264.63,2877.95
37,2183.37,2813.38
748,2243.69,2861.91
209,2274.08,2908.66
326,2044.13,2626.23
481,2014.75,2686.73
184,2213.05,2861.39
422,2294.5,2924.73
762,2183.37,2813.38
951,2024.33,2681.91
940,2348.97,3002.84
834,2343.7,3047.88
5,2432.39,3148.66
790,2136.97,2799.5
34,2157.96,2813.37
660,2029.09,2654.97
562,2046.83,2711.81
518,2244.28,2929.16
366,2029.89,2655.93
916,2124.16,2826.12
515,2063.08,2717.19
772,2315.96,2994.45
465,2355.44,2992.62
949,2274.08,2908.66
164,2009.81,2647.6
818,2042.26,2685.07
741,2251.05,2914.01
624,2435.82,3151.55
604,2067.19,2723.26
370,2071.27,2719.58
984,2382.75,3101.67
71,2221.34,2854.03
988,2385.35,3105.25
873,2116.65,2757.07
525,2285.7,2957.86
362,2269.33,2911.3
777,2148.71,2839.03
487,2171.2,2826.78
162,2177.07,2831.39
145,2259.74,2945.16
237,2057.19,2662.64
300,2029.09,2654.97
238,2168.57,2852.89
666,2403.86,3095.36
132,2280.41,2953.07
453,2190.49,2819.44
658,2191.55,2794.19
667,2465.13,3138.26
621,2125.89,2835.33
428,2288.04,2963.82
216,2212.71,2806.82
19,2248.15,2911.62
527,1971.03,2555.42
312,2074.62,2769.92
565,2406.05,3071.76
573,2302.23,3004.22
86,2104.53,2755.17
970,2203.05,2866.89
505,2315.96,2994.45
363,2255.99,2944.25
644,2129.32,2777.14
410,2003.7,2649.0
107,2271.43,2934.14
446,2248.15,2911.62
206,2163.31,2793.36
457,2246.0,2925.72
628,2218.6,2880.11
980,2193.12,2895.13
606,2230.99,2885.3
975,2387.19,3105.15
974,2234.07,2918.68
123,2385.35,3105.25
911,2441.67,3149.88
240,2163.28,2824.55
327,2336.33,2981.32
147,2215.62,2891.24
905,2266.53,2940.3
497,2161.47,2843.5
918,2116.33,2756.64
224,2116.33,2756.64
922,2254.04,2862.33
434,2248.15,2911.62
334,2102.23,2741.81
498,2214.87,2860.26
15,2266.53,2940.3
832,2214.55,2840.58
771,2214.87,2860.26
775,2406.05,3071.76
990,2003.7,2649.0
958,2065.17,2696.07
333,2264.67,3001.57
593,2049.1,2697.24
336,2009.81,2647.6
960,2175.87,2881.47
904,2267.4,2886.32
862,2315.96,2994.45
851,2207.4,2810.18
533,2068.08,2699.05
509,2463.77,3190.74
906,2224.47,2880.06
283,2287.56,2961.33
695,2251.05,2914.01
343,2269.43,2942.75
567,2238.93,2905.17
699,2104.25,2755.27
90,2217.54,2880.22
678,2355.07,3094.91
102,2385.87,3104.13
849,2267.03,2897.4
372,2283.5,2916.85
485,2033.93,2661.17
320,2280.94,2955.49
473,2170.05,2846.84
60,2199.44,2809.92
475,2227.68,2833.5
861,2309.13,3014.0
879,2153.02,2756.77
291,2287.56,2961.33
872,2261.26,2931.18
555,2029.5,2616.68
25,2163.14,2816.26
211,2214.55,2840.58
13,2214.87,2860.26
168,2434.0,3143.94
837,2287.56,2961.33
369,2062.77,2712.17
797,2025.12,2651.04
754,2203.05,2867.3
109,2315.96,2994.45
500,2222.05,2946.64
796,1997.15,2586.97
430,2317.69,3041.87
611,2278.45,2920.2
749,2346.06,2977.65
928,2277.65,2926.12
474,1997.93,2637.23
351,2381.43,3099.21
0,2386.12,3104.88
867,2071.27,2719.58
352,2217.54,2880.22
36,2465.13,3138.26
69,1994.57,2616.21
595,2156.43,2849.25
494,2078.02,2598.46
705,2249.13,2970.33
229,2355.26,3049.93
46,2349.66,2985.28
276,2157.59,2764.82
813,2214.55,2840.58
137,2385.35,3105.25
310,2462.86,3205.89
144,2173.92,2801.83
776,2381.68,3099.94
610,2303.78,2892.75
915,2261.13,2831.77
342,2163.81,2812.91
519,2224.29,2805.32
367,2339.49,2983.54
296,1997.93,2637.23
941,2163.28,2824.55
226,2063.08,2717.19
134,2342.65,3046.92
161,2385.35,3105.25
885,2402.24,3102.5
545,2178.6,2730.7
148,2262.77,2916.24
304,2060.12,2691.04
551,2149.89,2776.57
415,2427.55,3163.71
745,2129.32,2777.14
214,2255.38,2944.94
185,2373.64,3068.41
113,2391.15,3124.73
100,2188.7,2839.36
694,2080.01,2725.66
780,2287.56,2961.33
43,2465.13,3138.26
926,2329.05,2971.11
722,2215.62,2891.24
444,2085.0,2719.66
232,2336.33,2981.32
281,2214.87,2860.26
588,2196.75,2901.76
827,2066.05,2722.19
495,2204.84,2800.09
496,2162.33,2820.11
364,2383.27,3100.55
423,2067.19,2723.26
514,2127.22,2796.17
140,2007.03,2645.98
198,2418.1,3114.37
897,2178.86,2843.69
703,2206.38,2876.25
996,2251.05,2914.01
670,2214.87,2860.26
274,2383.27,3100.55
200,2218.06,2881.19
141,2181.2,2841.75
103,2253.86,2925.51
459,2074.62,2769.92
260,2427.53,3164.57
739,2139.91,2801.91
623,2387.19,3105.15
114,2255.38,2944.94
965,2358.71,2975.1
44,2280.61,3000.14
690,2251.05,2914.01
709,2162.08,2820.69
721,2130.27,2789.74
284,2403.91,3108.49
961,2181.2,2841.75
824,2341.26,3012.82
942,2017.12,2658.45
52,2125.12,2696.4
27,1997.93,2637.23
385,2251.05,2914.01
863,2203.05,2866.89
952,2217.54,2880.22
616,2181.95,2857.33
516,2434.68,3132.79
815,2261.26,2931.18
464,2168.57,2852.89
439,2434.96,3160.82
395,2264.23,2948.78
244,2239.39,2872.33
640,2376.72,3052.37
75,2157.96,2813.37
547,2322.22,3056.53
688,2063.08,2717.19
898,2434.0,3143.94
914,2154.32,2840.57
167,2244.28,2929.16
716,2214.87,2860.26
309,2315.96,2994.45
50,2248.15,2911.62
79,2002.53,2598.92
467,2013.37,2604.81
285,2220.11,2895.11
662,2159.35,2836.37
472,2214.75,2750.06
116,2381.68,3099.94
66,2287.56,2961.33
389,2455.15,3164.05
752,2293.17,2915.6
42,1997.93,2637.23
479,2183.02,2781.4
672,2181.2,2841.75
597,2182.05,2830.79
508,2183.65,2814.85
959,2218.06,2881.19
907,2386.91,3102.54
919,1970.49,2588.88
253,2288.59,2931.71
189,2248.15,2911.62
449,2029.89,2655.93
49,2192.16,2828.83
21,2254.57,2958.44
239,2243.87,2875.04
68,2446.72,3113.05
478,2163.14,2816.26
929,2210.97,2901.34
589,2458.41,3129.07
943,2137.49,2809.68
633,2382.75,3101.67
512,2336.33,2981.32
193,2183.81,2678.19
380,2315.96,2994.45
82,2187.5,2865.7
217,2014.44,2606.09
159,2328.54,2953.47
878,2418.1,3114.37
17,2185.1,2849.23
468,2183.12,2835.57
839,2213.05,2861.39
10,2343.7,3047.88
411,2162.08,2820.69
738,2152.33,2846.27
802,2219.34,2837.33
152,2019.2,2633.4
803,2381.41,3100.33
111,2136.97,2799.5
270,2057.26,2713.21
373,2079.27,2724.58
561,2163.31,2793.36
3,2163.63,2818.01
568,2255.38,2944.94
685,2202.08,2827.85
868,2228.52,2855.05
903,2217.54,2880.22
452,2255.38,2944.94
31,2339.49,2983.54
390,2066.05,2722.19
530,2213.48,2754.4
381,2266.53,2940.3
947,2338.21,3019.5
976,2226.64,2911.32
648,2030.02,2693.11
93,2214.75,2750.06
659,2217.54,2880.22
560,2465.13,3138.26
835,2349.97,3042.93
321,2365.23,3076.83
783,2251.05,2914.01
143,2244.28,2929.16
998,2161.7,2825.09
511,2124.16,2826.12
282,2144.81,2768.6
653,2050.94,2698.07
288,2251.05,2914.01
865,2218.06,2881.19
11,2194.57,2858.1
643,2386.62,3102.11
504,2280.94,2955.49
85,2266.64,2902.89
442,2173.68,2845.4
331,2149.83,2688.44
170,2336.33,2981.32
629,2427.55,3163.71
877,2152.4,2825.36
572,2288.59,2931.71
311,2139.91,2801.91
805,2063.08,2717.19
556,2278.3,2973.71
8,2066.05,2722.19
896,2237.39,2963.53
73,2156.6,2817.52
935,2214.3,2837.01
365,2466.87,3137.65
932,2183.37,2813.38
520,2237.55,2920.92
323,2212.71,2806.82
502,2237.39,2963.53
750,2517.16,3223.38
663,2177.8,2849.9
83,2462.86,3205.89
766,2423.9,3165.55
70,2048.64,2705.56
275,2383.27,3100.55
963,2182.37,2830.88
221,2221.84,2899.51
174,2280.41,2953.07
388,2059.72,2724.8
330,2025.12,2651.04
210,2205.69,2857.39
265,2229.23,2898.39
598,2181.2,2841.75
219,2244.28,2929.16
531,2103.3,2743.89
893,2500.47,3162.9
962,2024.33,2681.91
441,2116.33,2756.64
842,2275.76,2922.88
433,2248.15,2911.62
566,2311.1,2976.03
895,2285.01,2936.88
564,2165.76,2852.49
887,2244.95,2923.87
921,2243.89,2894.01
580,2182.92,2841.46
213,2033.93,2661.17
118,2152.04,2804.45
2,2251.05,2914.01
647,2465.13,3138.26
197,2218.06,2881.19
733,2315.15,2991.4
348,2274.08,2908.66
470,2307.4,2971.84
712,2049.86,2659.22
759,2174.02,2824.68
344,2266.53,2940.3
969,2274.08,2908.66
179,2246.01,2878.08
927,2044.17,2640.83
807,2003.7,2649.0
668,2357.73,3098.43
176,2066.05,2722.19
153,2447.6,3193.45
665,2138.6,2813.24
995,2170.01,2832.82
522,2319.83,3004.2
106,2383.52,3101.3
692,2201.21,2866.28
225,2239.04,2931.13
435,2272.78,2885.47
757,2277.65,2926.12
735,2284.3,3027.07
765,2079.27,2724.58
968,2383.27,3100.55
125,2285.7,2957.86
484,2315.15,2991.4
989,2403.86,3094.95
993,2263.06,2918.41
583,2029.07,2727.14
726,2214.55,2840.58
676,2207.06,2860.22
482,2099.07,2796.7
720,2214.87,2860.26
821,2284.89,2959.79
638,2253.86,2925.51
80,2183.28,2781.4
112,2177.07,2831.39
829,2285.7,2957.86
99,2257.12,2914.97
592,2116.33,2756.64
280,2385.26,3053.97
268,2214.06,2808.21
596,2188.12,2790.56
650,2201.21,2866.28
261,2327.03,3014.25
645,2067.19,2723.26
477,2162.97,2871.61
203,2386.12,3104.88
461,2116.33,2756.64
78,2192.6,2852.56
301,2261.31,2897.91
816,2078.22,2723.83
823,2215.04,2846.28
319,1997.93,2637.23
686,2253.86,2925.51
864,2182.58,2812.84
158,2245.22,2867.27
855,2014.44,2606.09
753,2243.89,2894.01
127,2336.33,2981.32
454,2336.33,2981.32
273,2183.81,2678.19
734,2243.89,2894.01
737,2076.42,2718.3
4,2464.78,3136.12
398,2269.43,2942.75
350,2100.11,2736.53
637,2183.37,2813.38
235,2276.83,2951.37
135,2315.96,2994.45
977,2164.63,2827.65
315,2214.06,2808.21
295,2252.96,2939.77
254,2214.55,2840.58
101,2082.86,2763.04
956,2104.48,2758.58
155,2212.71,2806.82
204,2165.76,2852.49
817,2280.96,2960.29
462,2253.86,2925.51
302,2126.54,2828.02
139,2375.94,3097.32
201,2029.89,2655.93
677,2245.2,2895.86
704,2214.3,2837.01
581,2213.61,2863.33
426,2202.85,2824.77
173,2175.87,2881.47
233,1997.93,2637.23
711,2212.71,2806.82
957,2344.49,3048.32
719,2287.48,2973.91
674,2065.17,2696.07
9,2218.06,2881.19
230,2182.1,2899.33
574,2214.87,2860.26
63,2050.94,2698.07
188,2285.7,2957.86
409,2204.05,2877.23
967,2183.81,2678.19
812,2170.55,2852.75
506,2357.95,3079.24
257,2057.62,2687.08
884,2332.58,2928.69
55,2247.93,2921.56
29,2130.27,2789.74
45,2251.05,2914.01
72,2060.12,2691.04
403,2251.05,2914.01
347,2183.81,2678.19
786,2355.66,3070.79
746,2287.56,2961.33
590,2208.59,2923.37
820,2274.08,2908.66
992,2014.12,2655.8
539,2035.95,2698.72
507,2208.32,2898.5
177,2251.05,2914.01
401,2188.12,2790.56
405,2262.25,2966.56
150,2336.33,2981.32
764,2233.38,2824.63
94,2116.31,2762.4
250,2248.61,2881.34
724,2253.18,2871.76
652,2289.94,2964.9
488,2266.53,2940.3
269,2116.65,2757.07
917,2081.49,2736.16
443,2310.79,2938.57
455,2033.93,2661.17
913,2234.62,2919.04
826,2385.35,3105.25
828,2302.73,2977.79
673,2245.84,2916.21
774,2386.88,3101.54
945,2185.1,2849.23
316,2149.83,2688.44
687,2224.94,2923.92
614,2246.55,2878.53
997,2148.02,2783.65
994,2345.54,3049.27
537,2215.62,2891.24
536,2085.1,2725.0
657,2446.75,3162.5
207,2386.91,3102.54
693,2134.2,2792.47
76,2129.32,2777.14
908,2255.39,2924.16
332,2104.25,2755.27
47,2280.94,2955.49
329,2339.49,2983.54
105,2163.84,2828.32
303,2061.4,2740.73
844,2113.78,2738.96
458,2497.38,3202.05
383,2253.86,2925.51
12,2230.99,2885.3
758,2033.93,2661.17
569,2381.43,3099.15
795,2099.49,2663.63
559,2262.25,2966.56
491,2385.35,3105.25
731,2216.71,2943.53
286,2267.03,2897.4
689,2182.1,2899.33
999,2184.98,2836.86
501,2067.19,2723.26
131,2204.37,2868.34
81,2183.81,2678.19
292,2336.33,2981.32
121,2192.6,2852.56
601,2218.69,2853.47
655,2261.26,2931.18
664,2244.28,2929.16
157,2136.49,2807.29
730,2126.54,2828.02
626,2103.3,2743.89
318,2116.65,2757.07
18,2157.17,2834.19
860,1997.93,2637.23
58,2181.2,2841.75
205,2116.65,2757.07
440,2406.84,3072.25
483,2172.79,2796.76
359,2192.0,2799.27
582,2162.33,2820.11
831,2209.97,2809.4
912,2178.6,2730.7
591,2101.19,2738.29
793,2422.85,3164.26
163,2218.98,2753.95
538,2280.94,2955.49
981,2381.43,3099.21
684,2280.41,2953.07
890,2116.33,2756.64
761,2082.09,2714.94
126,2348.59,3063.04
486,2265.46,2934.46
387,2217.53,2880.26
933,2298.79,2925.59
571,2199.95,2847.32
227,2177.07,2831.39
130,2177.07,2831.39
755,2463.82,3135.36
791,2338.21,3019.5
920,2269.51,2909.48
888,1986.95,2646.57
386,2029.09,2654.97
578,2237.48,2858.83
639,2383.27,3100.55
848,2163.28,2824.55
110,2191.55,2794.19
792,2096.89,2733.91
57,2298.77,2925.66
39,2377.65,3082.95
256,2244.28,2929.16
747,2190.75,2793.25
728,2275.76,2922.88
299,2185.1,2849.23
843,2280.41,2953.07
247,2348.97,3002.84
751,2287.7,2847.53
875,2253.26,2915.5
328,2125.92,2696.86
469,2255.65,2871.41
154,2248.15,2911.62
858,2287.02,2947.07
605,2014.75,2686.73
619,2238.04,2826.39
417,2218.06,2881.19
553,2285.7,2957.86
620,2253.26,2915.5
523,1967.66,2569.43
124,2141.07,2790.1
891,2238.93,2905.17
784,2373.62,3107.01
129,2057.62,2687.08
982,2262.86,2928.86
108,2152.54,2799.82
136,2218.06,2881.19
231,2371.14,3018.89
713,2425.95,3122.09
608,2336.33,2981.32
876,2013.07,2658.47
149,2063.08,2717.19
950,2287.56,2961.33
528,2339.49,2983.54
635,2248.15,2911.62
1,2064.63,2710.35
702,2255.38,2944.94
450,2285.7,2957.86
297,2163.81,2812.91
243,2204.37,2856.29
570,2124.24,2813.84
889,2167.13,2831.61
259,2045.92,2693.78
532,2066.05,2722.19
378,2248.15,2911.62
856,2182.71,2846.18
223,2077.98,2663.76
701,2100.02,2796.67
74,2398.31,3080.09
985,2283.69,2936.04
142,2206.25,2859.32
503,2063.08,2717.19
934,2397.24,3089.14
563,2147.66,2823.11
778,2072.32,2720.33
854,2263.06,2918.41
964,2214.55,2840.58
361,2079.27,2724.58
429,2214.87,2860.26
322,2134.2,2792.47
183,2182.92,2841.46
298,2157.96,2813.37
182,2214.55,2840.58
242,2066.05,2722.19
859,2185.1,2862.75
234,2014.12,2655.8
119,2238.93,2905.17
630,2447.6,3193.45
656,2356.92,2985.72
156,2218.6,2880.11
171,2163.81,2812.91
925,2182.37,2830.88
356,2066.05,2722.19
56,1997.93,2637.23
871,2465.13,3138.26
30,2116.33,2756.64
104,2218.06,2881.19
840,2327.46,2991.78
160,2136.6,2691.77
38,2066.05,2722.19
526,2033.93,2661.17
789,2381.43,3099.21
192,2269.51,2909.48
349,2092.03,2748.75
51,2190.75,2793.25
987,2076.85,2717.53
128,2109.39,2764.09
251,2423.9,3165.55
413,2251.05,2914.01
62,2268.37,2923.15
41,2185.04,2764.32
779,2473.24,3144.7
115,2025.12,2651.04
847,2082.86,2763.04
899,2251.05,2914.01
220,2255.99,2944.25
782,2289.85,2916.39
338,2287.56,2961.33
67,2025.12,2651.04
22,2223.01,2834.76
613,2195.57,2832.94
675,2386.79,3108.07
622,2068.08,2699.05
165,2164.63,2827.65
277,2274.08,2908.66
294,2262.25,2966.05
249,2251.58,2924.27
208,2163.14,2816.26
946,2138.92,2762.6
586,2147.64,2814.34
391,2250.36,2921.74
432,2057.26,2713.21
337,2348.59,3063.04
804,2262.25,2966.56
636,1938.72,2573.25
340,2218.06,2881.19
7,2406.29,3110.45
375,2233.82,2918.12
954,2385.35,3105.25
546,2218.06,2881.19
931,2218.06,2881.19
493,2182.1,2899.33
228,2275.97,2965.95
305,2251.05,2914.01
725,2124.16,2826.12
122,2188.82,2792.72
306,2214.87,2860.26
698,2065.17,2696.07
900,2199.85,2864.4
799,2332.74,3024.12
708,2157.96,2813.37
627,2017.12,2658.45
632,2170.44,2817.03
24,2213.61,2863.33
317,2248.15,2911.62
241,2498.95,3202.47
800,2129.32,2777.14
535,2215.62,2891.24
199,2397.52,3064.4
202,2465.13,3138.26
236,1978.77,2640.28
534,2395.38,3079.09
178,2163.63,2851.66
544,2245.84,2916.21
714,2017.46,2674.25
966,2385.35,3103.76
246,2181.2,2841.75
575,2272.22,2978.18
634,2126.54,2828.02
830,2470.58,3163.66
743,2007.54,2606.47
32,2124.16,2826.12
376,2183.02,2781.4
420,2236.47,2920.97
609,2243.89,2894.01
463,2078.22,2723.83
476,2181.2,2841.75
729,2183.12,2835.57
833,2157.74,2879.38
736,2148.41,2814.96
98,2190.75,2793.25
77,2066.05,2722.19
14,2193.71,2832.82
682,2057.15,2747.4
882,2216.15,2819.95
287,2191.61,2808.84
394,2203.71,2743.21
978,2379.99,3075.71
661,2213.05,2861.39
909,2214.87,2860.26
97,2099.49,2663.63
948,2214.87,2860.26
175,2125.12,2696.4
576,2386.91,3102.54
28,2166.96,2835.87
91,2248.15,2911.62
550,2218.06,2881.19
625,2181.2,2841.75
631,2190.94,2887.1
715,2315.96,2994.45
371,2214.87,2860.26
883,2246.28,2940.83
379,2212.98,2815.05
857,2244.06,2911.13
191,2173.33,2830.17
218,2332.58,2928.69
552,2249.6,2896.29
471,2251.05,2914.01
955,2287.5,2922.86
499,2016.31,2687.63
438,2387.19,3105.15
412,2035.58,2619.77
425,2029.09,2654.97
886,2245.6,2900.45
308,2336.33,2981.32
810,2250.94,2988.41
937,2285.7,2957.86
866,2025.12,2651.04
767,2033.93,2661.17
612,2383.27,3100.55
120,2243.89,2894.01
33,2163.16,2815.79
853,2243.87,2875.04
172,2099.56,2668.52
654,2386.12,3104.88
480,2202.85,2824.77
521,2088.95,2652.33
431,2258.68,2899.91
869,2033.93,2661.17
92,2227.59,2905.31
26,2212.71,2806.82
212,2315.67,2994.65
577,2282.18,2915.4
691,2383.52,3101.3
215,2287.56,2961.33
642,2415.37,3126.65
584,2415.2,3105.71
651,2232.49,2916.63
404,2383.27,3100.55
785,2327.48,2963.51
339,2109.92,2764.52
374,2315.96,2994.45
825,2217.54,2880.22
407,2220.11,2895.11
335,2339.49,2983.54
368,2159.7,2767.46
870,2298.77,2925.66
196,2292.76,2921.6
809,2134.8,2805.12
924,2383.27,3100.55
836,2254.54,2990.93
377,2266.53,2940.3
194,2063.08,2717.19
95,2214.87,2860.26
263,2218.06,2881.19
180,2465.13,3138.26
742,2214.87,2860.26
543,2140.36,2774.46
723,2255.82,2877.23
554,2315.67,2994.65
930,2244.28,2929.16
353,2014.44,2606.09
811,2128.58,2699.18
272,2212.71,2806.82
549,2212.4,2866.23
437,2183.37,2813.38
88,2285.7,2957.86
357,1938.72,2573.25
602,2266.53,2940.3
255,2139.64,2814.8
852,2315.96,2994.45
324,2251.05,2914.01
986,2216.11,2825.24
819,2215.62,2891.24
756,2033.93,2661.17
798,2178.33,2828.96
138,2238.04,2826.39
587,2455.56,3185.28
424,2248.15,2911.62
16,2057.26,2713.21
787,2085.94,2732.51
456,2219.95,2848.06
902,2183.12,2835.57
146,2248.15,2911.62
781,2182.92,2841.46
768,2287.56,2961.33
248,2336.33,2981.32
681,2212.4,2866.23
617,2209.79,2790.84
222,2251.05,2914.01
881,2285.7,2957.86
20,2222.03,2875.29
23,2267.16,2912.49
278,2209.97,2809.4
416,2171.26,2770.84
151,2208.57,2899.06
700,2244.28,2929.16
490,2236.47,2883.81
845,2251.05,2914.01
466,2217.53,2880.26
266,2161.17,2821.21
53,2214.55,2840.58
822,2073.69,2675.88
40,2130.27,2789.74
579,2036.44,2634.42
557,2253.26,2915.5
773,2255.38,2944.94
